TABLE=051 | AREA=Xã Phú Lâm
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5989-5992 | LINES=113 ---
P=5991 | X=0090.100-0510.700 | Y=0254.010-0267.970 | Hết ranh thửa đất số 144 tờ BĐĐC số 27 về bên phải và hết ranh thửa
P=5991 | X=0090.100-0317.680 | Y=0268.010-0281.970 | đất số 303, tờ BĐĐC số 28 về bên trái
P=5991 | X=0090.100-0277.170 | Y=0310.010-0323.970 | Đường Quán Hiến vào khu Lá ủ
P=5991 | X=0090.100-0198.670 | Y=0324.010-0337.970 | Đường 30 tháng 4
P=5991 | X=0090.100-0199.440 | Y=0338.010-0351.970 | Đường đi khu Lá ủ
P=5991 | X=0090.100-0277.170 | Y=0380.010-0393.970 | Đường Quán Hiến vào khu Lá ủ
P=5991 | X=0090.100-0229.120 | Y=0394.010-0407.970 | Giáp đường đi khu Lá ủ
P=5991 | X=0090.100-0250.180 | Y=0408.010-0421.970 | Đường Phú Lâm - Phú Bình
P=5991 | X=0090.100-0191.380 | Y=0450.010-0463.970 | Đường Phù Đổng
P=5991 | X=0090.100-0154.580 | Y=0464.010-0477.970 | Quốc lộ 20
P=5991 | X=0090.100-0154.020 | Y=0478.010-0491.970 | Km 0+500
P=5991 | X=0090.100-0191.380 | Y=0520.010-0533.970 | Đường Phù Đổng
P=5991 | X=0090.100-0154.020 | Y=0534.010-0547.970 | Km 0+500
P=5991 | X=0090.100-0154.020 | Y=0548.010-0561.970 | Km 0+800
P=5991 | X=0090.100-0191.380 | Y=0590.010-0603.970 | Đường Phù Đổng
P=5991 | X=0090.100-0154.020 | Y=0604.010-0617.970 | Km 0+800
P=5991 | X=0090.100-0510.700 | Y=0618.010-0631.970 | Hết ranh thửa đất số 218 tờ BĐĐC số 26 về bên phải và hết ranh thửa
P=5991 | X=0090.100-0317.680 | Y=0632.010-0645.970 | đất số 618, tờ BĐĐC số 27 về bên trái
P=5991 | X=0090.100-0167.020 | Y=0674.010-0687.970 | Đường 5 Tấn
P=5991 | X=0090.100-0154.580 | Y=0688.010-0701.970 | Quốc lộ 20
P=5991 | X=0090.100-0154.020 | Y=0702.010-0715.970 | Km 0+500
P=5992 | X=0090.100-0167.020 | Y=0100.010-0113.970 | Đường 5 Tấn
P=5992 | X=0090.100-0154.020 | Y=0114.010-0127.970 | Km 0+500
P=5992 | X=0090.100-0161.650 | Y=0128.010-0141.970 | Km 0+1000
P=5992 | X=0090.100-0167.020 | Y=0170.010-0183.970 | Đường 5 Tấn
P=5992 | X=0090.100-0161.650 | Y=0184.010-0197.970 | Km 0+1000
P=5992 | X=0090.100-0219.470 | Y=0198.010-0211.970 | Giáp ranh xã Tân Phú
P=5992 | X=0090.100-0261.000 | Y=0240.010-0253.970 | Đường Phú Lâm - Thanh Sơn
P=5992 | X=0090.100-0154.580 | Y=0254.010-0267.970 | Quốc lộ 20
P=5992 | X=0090.100-0181.680 | Y=0268.010-0281.970 | Suối Cầu Trắng
P=5992 | X=0090.100-0261.000 | Y=0310.010-0323.970 | Đường Phú Lâm - Thanh Sơn
P=5992 | X=0090.100-0181.680 | Y=0324.010-0337.970 | Suối Cầu Trắng
P=5992 | X=0090.100-0152.930 | Y=0338.010-0351.970 | Hồ Đa Tôn
P=5992 | X=0090.100-0210.360 | Y=0380.010-0393.970 | Đường Bình Trung 2
P=5992 | X=0090.100-0154.580 | Y=0394.010-0407.970 | Quốc lộ 20
P=5992 | X=0090.100-0268.930 | Y=0408.010-0421.970 | Hết ngã tư đi Giáo họ Gioan B
P=5992 | X=0090.100-0190.060 | Y=0450.010-0463.970 | Đường Phú Ngọc
P=5992 | X=0090.100-0154.580 | Y=0464.010-0477.970 | Quốc lộ 20
P=5992 | X=0090.100-0510.700 | Y=0478.010-0491.970 | Hết ranh thửa đất số 154 tờ BĐĐC số 77 về bên phải và hết ranh thửa
P=5992 | X=0090.100-0317.680 | Y=0492.010-0505.970 | đất số 343, tờ BĐĐC số 77 về bên trái
P=5992 | X=0090.100-0158.330 | Y=0534.010-0547.970 | Đường số 4
P=5992 | X=0090.100-0154.580 | Y=0548.010-0561.970 | Quốc lộ 20
P=5992 | X=0090.100-0498.470 | Y=0562.010-0575.970 | Ngã ba giáp đường nhà thờ lớn Kim Lân (đường Phú Trung đi xã Phú
P=5992 | X=0090.100-0110.580 | Y=0576.010-0589.970 | An)
P=5992 | X=0090.100-0204.920 | Y=0618.010-0631.970 | Đường Bến Thuyền
P=5992 | X=0090.100-0160.250 | Y=0632.010-0645.970 | Đường 30/4
P=5992 | X=0090.100-0510.700 | Y=0646.010-0659.970 | Hết ranh thửa đất số 163 tờ BĐĐC số 40 về bên phải và hết ranh thửa
P=5992 | X=0090.100-0317.680 | Y=0660.010-0673.970 | đất số 164, tờ BĐĐC số 40 về bên trái
P=5992 | X=0090.100-0105.360 | Y=0688.010-0701.970 | 52
P=5992 | X=0090.100-0158.470 | Y=0702.010-0715.970 | Xã Đắk Lua
--- SEQUENCE=12 | SECTION=agricultural | PAGES=6014-6014 | LINES=38 ---
P=6014 | X=0090.100-0105.360 | Y=0072.010-0085.970 | 20
P=6014 | X=0090.100-0105.360 | Y=0086.010-0099.970 | 20
P=6014 | X=0090.100-0105.360 | Y=0114.010-0127.970 | 51
P=6014 | X=0090.100-0161.420 | Y=0128.010-0141.970 | Xã Phú Lâm
P=6014 | X=0090.100-0105.360 | Y=0142.010-0155.970 | 30
P=6014 | X=0090.100-0105.360 | Y=0156.010-0169.970 | 30
P=6014 | X=0090.100-0105.360 | Y=0170.010-0183.970 | 25
P=6014 | X=0090.100-0105.360 | Y=0184.010-0197.970 | 25
P=6014 | X=0090.100-0105.360 | Y=0212.010-0225.970 | 52
P=6014 | X=0090.100-0158.470 | Y=0226.010-0239.970 | Xã Đak Lua
P=6014 | X=0090.100-0105.360 | Y=0240.010-0253.970 | 15
P=6014 | X=0090.100-0105.360 | Y=0254.010-0267.970 | 15
P=6014 | X=0090.100-0105.360 | Y=0268.010-0281.970 | 15
P=6014 | X=0090.100-0105.360 | Y=0282.010-0295.970 | 15
P=6014 | X=0090.100-0105.360 | Y=0310.010-0323.970 | 53
P=6014 | X=0090.100-0144.650 | Y=0324.010-0337.970 | Xã Trị An
P=6014 | X=0090.100-0105.360 | Y=0338.010-0351.970 | 35
P=6014 | X=0090.100-0105.360 | Y=0352.010-0365.970 | 35
P=6014 | X=0090.100-0105.360 | Y=0366.010-0379.970 | 25
P=6014 | X=0090.100-0105.360 | Y=0380.010-0393.970 | 25
P=6014 | X=0090.100-0105.360 | Y=0408.010-0421.970 | 54
P=6014 | X=0090.100-0151.330 | Y=0422.010-0435.970 | Xã Tân An
P=6014 | X=0090.100-0113.000 | Y=0436.010-0449.970 | 130
P=6014 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 130
P=6014 | X=0090.100-0105.360 | Y=0464.010-0477.970 | 80
P=6014 | X=0090.100-0105.360 | Y=0478.010-0491.970 | 80
P=6014 | X=0090.100-0105.360 | Y=0506.010-0519.970 | 55
P=6014 | X=0090.100-0149.480 | Y=0520.010-0533.970 | Xã Phú Lý
P=6014 | X=0090.100-0105.360 | Y=0534.010-0547.970 | 35
P=6014 | X=0090.100-0105.360 | Y=0548.010-0561.970 | 35
P=6014 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 25
P=6014 | X=0090.100-0105.360 | Y=0576.010-0589.970 | 25
P=6014 | X=0090.100-0105.360 | Y=0604.010-0617.970 | 56
P=6014 | X=0090.100-0205.770 | Y=0618.010-0631.970 | Phường Bình Phước
P=6014 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 240
P=6014 | X=0090.100-0113.000 | Y=0646.010-0659.970 | 170
P=6014 | X=0090.100-0105.360 | Y=0660.010-0673.970 | 25
P=6014 | X=0090.100-0105.360 | Y=0702.010-0715.970 | 57
