TABLE=021 | AREA=Phường Xuân Lập
--- SEQUENCE=11 | SECTION=non-agricultural | PAGES=5872-5874 | LINES=80 ---
P=5874 | X=0090.100-0160.250 | Y=0352.010-0365.970 | Đường 21/4
P=5874 | X=0090.100-0233.340 | Y=0366.010-0379.970 | Giáp ranh xã Xuân Định
P=5874 | X=0090.100-0279.820 | Y=0408.010-0421.970 | Đường từ tổ 31B đi khu Bàu Tra
P=5874 | X=0090.100-0285.240 | Y=0422.010-0435.970 | Tuyến đường qua khu đô thị mới
P=5874 | X=0090.100-0206.300 | Y=0436.010-0449.970 | Đường Nguyễn Trãi
P=5874 | X=0090.100-0258.920 | Y=0478.010-0491.970 | Đường Tân Mỹ - Nhân Nghĩa
P=5874 | X=0090.100-0154.580 | Y=0492.010-0505.970 | Quốc lộ 56
P=5874 | X=0090.100-0233.340 | Y=0506.010-0519.970 | Giáp ranh xã Xuân Định
P=5874 | X=0090.100-0261.660 | Y=0548.010-0561.970 | Đường Xuân Tân - Hàng Gòn
P=5874 | X=0090.100-0154.580 | Y=0562.010-0575.970 | Quốc lộ 56
P=5874 | X=0090.100-0245.960 | Y=0576.010-0589.970 | Ranh giới xã Hàng Gòn cũ
P=5874 | X=0090.100-0261.660 | Y=0618.010-0631.970 | Đường Xuân Tân - Hàng Gòn
P=5874 | X=0090.100-0245.960 | Y=0632.010-0645.970 | Ranh giới xã Hàng Gòn cũ
P=5874 | X=0090.100-0505.130 | Y=0646.010-0659.970 | Hết ranh thửa đất số 135 tờ BĐĐC số 22 về bên trái và hết ranh thửa
P=5874 | X=0090.100-0472.750 | Y=0660.010-0673.970 | đất số 90 tờ BĐĐC số 22 + 60m về bên phải, phường Hàng Gòn
P=5874 | X=0090.100-0263.810 | Y=0702.010-0715.970 | Đường Hàng Gòn - Xuân Quế
