TABLE=070 | AREA=Xã Lộc Thành
--- SEQUENCE=1 | SECTION=non-agricultural | PAGES=3-5 | LINES=108 ---
P=0004 | X=0089.950-0163.260 | Y=0593.350-0604.510 | 37. Xã Bàu Hàm
P=0004 | X=0089.950-0166.580 | Y=0611.100-0622.260 | 38. Xã Bình Minh
P=0004 | X=0089.950-0174.400 | Y=0628.850-0640.010 | 39. Xã Hưng Thịnh
P=0004 | X=0089.950-0163.260 | Y=0646.600-0657.760 | 40. Xã Dầu Giây
P=0004 | X=0089.950-0162.690 | Y=0664.350-0675.510 | 41. Xã Gia Kiệm
P=0004 | X=0089.950-0173.820 | Y=0682.100-0693.260 | 42. Xã Thống Nhất
P=0004 | X=0089.950-0169.380 | Y=0699.850-0711.010 | 43. Xã Định Quán
P=0005 | X=0089.950-0162.160 | Y=0078.600-0089.760 | 44. Xã Phú Vinh
P=0005 | X=0089.950-0153.830 | Y=0096.350-0107.510 | 45. Xã La Ngà
P=0005 | X=0089.950-0160.490 | Y=0114.100-0125.260 | 46. Xã Phú Hòa
P=0005 | X=0089.950-0171.520 | Y=0131.850-0143.010 | 47. Xã Thanh Sơn
P=0005 | X=0089.950-0159.370 | Y=0149.600-0160.760 | 48. Xã Tân Phú
P=0005 | X=0089.950-0149.370 | Y=0167.350-0178.510 | 49. Xã Tà Lài
P=0005 | X=0089.950-0183.230 | Y=0185.100-0196.260 | 50. Xã Nam Cát Tiên
P=0005 | X=0089.950-0161.600 | Y=0202.850-0214.010 | 51. Xã Phú Lâm
P=0005 | X=0089.950-0158.830 | Y=0220.600-0231.760 | 52. Xã Đak Lua
P=0005 | X=0089.950-0148.240 | Y=0238.350-0249.510 | 53. Xã Trị An
P=0005 | X=0089.950-0153.810 | Y=0256.100-0267.260 | 54. Xã Tân An
P=0005 | X=0089.950-0152.710 | Y=0273.850-0285.010 | 55. Xã Phú Lý
P=0005 | X=0089.950-0199.740 | Y=0291.600-0302.760 | 56. Phường Bình Phước
P=0005 | X=0089.950-0192.630 | Y=0309.350-0320.510 | 57. Phường Đồng Xoài
P=0005 | X=0089.950-0195.420 | Y=0327.100-0338.260 | 58. Phường Minh Hưng
P=0005 | X=0089.950-0201.960 | Y=0344.850-0356.010 | 59. Phường Chơn Thành
P=0005 | X=0089.950-0162.700 | Y=0362.600-0373.760 | 60. Xã Nha Bích
P=0005 | X=0089.950-0191.520 | Y=0380.350-0391.510 | 61. Phường Bình Long
P=0005 | X=0089.950-0177.070 | Y=0398.100-0409.260 | 62. Phường An Lộc
P=0005 | X=0089.950-0199.750 | Y=0415.850-0427.010 | 63. Phường Phước Bình
P=0005 | X=0089.950-0201.430 | Y=0433.600-0444.760 | 64. Phường Phước Long
P=0005 | X=0089.950-0167.040 | Y=0451.350-0462.510 | 65. Xã Thuận Lợi
P=0005 | X=0089.950-0155.920 | Y=0469.100-0480.260 | 66. Xã Tân Lợi
P=0005 | X=0089.950-0168.260 | Y=0486.850-0498.010 | 67. Xã Đồng Tâm
P=0005 | X=0089.950-0166.050 | Y=0504.600-0515.760 | 68. Xã Đồng Phú
P=0005 | X=0089.950-0161.050 | Y=0522.350-0533.510 | 69. Xã Lộc Ninh
P=0005 | X=0089.950-0168.830 | Y=0540.100-0551.260 | 70. Xã Lộc Thành
P=0005 | X=0089.950-0165.520 | Y=0557.850-0569.010 | 71. Xã Lộc Hưng
P=0005 | X=0089.950-0157.710 | Y=0575.600-0586.760 | 72. Xã Lộc Tấn
P=0005 | X=0089.950-0168.830 | Y=0593.350-0604.510 | 73. Xã Lộc Thạnh
P=0005 | X=0089.950-0170.500 | Y=0611.100-0622.260 | 74. Xã Lộc Quang
P=0005 | X=0089.950-0161.590 | Y=0628.850-0640.010 | 75. Xã Tân Khai
P=0005 | X=0089.950-0166.620 | Y=0646.600-0657.760 | 76. Xã Tân Hưng
P=0005 | X=0089.950-0166.040 | Y=0664.350-0675.510 | 77. Xã Tân Quan
P=0005 | X=0089.950-0164.940 | Y=0682.100-0693.260 | 78. Xã Minh Đức
P=0005 | X=0089.950-0173.610 | Y=0699.850-0711.010 | 79. Xã Phước Sơn
--- SEQUENCE=8 | SECTION=non-agricultural | PAGES=5734-5734 | LINES=35 ---
P=5734 | X=0090.100-0131.870 | Y=0072.010-0085.970 | Hoa Lư
P=5734 | X=0090.100-0243.840 | Y=0086.010-0099.970 | Xã Lộc Tấn, xã Lộc Thạnh
P=5734 | X=0090.100-0113.000 | Y=0100.010-0113.970 | 500
P=5734 | X=0090.100-0105.360 | Y=0128.010-0141.970 | 57
P=5734 | X=0090.100-0134.060 | Y=0142.010-0155.970 | Ledana
P=5734 | X=0090.100-0171.330 | Y=0156.010-0169.970 | Xã Lộc Thạnh
P=5734 | X=0090.100-0113.000 | Y=0170.010-0183.970 | 500
P=5734 | X=0090.100-0097.160 | Y=0198.010-0211.970 | II
P=5734 | X=0090.100-0195.600 | Y=0212.010-0225.970 | Cụm công nghiệp
P=5734 | X=0090.100-0097.730 | Y=0268.010-0281.970 | 1
P=5734 | X=0090.100-0132.320 | Y=0282.010-0295.970 | Dốc 47
