TABLE=050 | AREA=Xã Nam Cát Tiên
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5986-5988 | LINES=84 ---
P=5988 | X=0090.100-0251.220 | Y=0226.010-0239.970 | Ngã ba đi xã Nam Cát Tiên
P=5988 | X=0090.100-0299.630 | Y=0268.010-0281.970 | Đường Phú Lập đi xã Nam Cát Tiên
P=5988 | X=0090.100-0251.220 | Y=0282.010-0295.970 | Ngã ba đi xã Nam Cát Tiên
P=5988 | X=0090.100-0140.120 | Y=0296.010-0309.970 | Cầu 200
P=5988 | X=0090.100-0299.630 | Y=0338.010-0351.970 | Đường Phú Lập đi xã Nam Cát Tiên
P=5988 | X=0090.100-0140.120 | Y=0352.010-0365.970 | Cầu 200
P=5988 | X=0090.100-0516.130 | Y=0366.010-0379.970 | Hết ranh thửa đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất
P=5988 | X=0090.100-0286.580 | Y=0380.010-0393.970 | số 376, tờ BĐĐC số 6 về bên trái
P=5988 | X=0090.100-0299.630 | Y=0422.010-0435.970 | Đường Phú Lập đi xã Nam Cát Tiên
P=5988 | X=0090.100-0516.130 | Y=0436.010-0449.970 | Hết ranh thửa đất số 490, tờ BĐĐC số 6 về bên phải; hết ranh thửa đất
P=5988 | X=0090.100-0286.580 | Y=0450.010-0463.970 | số 376, tờ BĐĐC số 6 về bên trái
P=5988 | X=0090.100-0164.420 | Y=0464.010-0477.970 | Đường 600A
P=5988 | X=0090.100-0173.150 | Y=0506.010-0519.970 | Đường 6A- 6B
P=5988 | X=0090.100-0281.390 | Y=0520.010-0533.970 | Đường Phú Lập đi Nam Cát Tiên
P=5988 | X=0090.100-0289.410 | Y=0534.010-0547.970 | Ngã ba (Trường THCS Núi Tượng)
P=5988 | X=0090.100-0164.450 | Y=0576.010-0589.970 | Đường 600B
P=5988 | X=0090.100-0164.420 | Y=0590.010-0603.970 | Đường 600A
P=5988 | X=0090.100-0246.170 | Y=0604.010-0617.970 | Hết ranh xã Nam Cát Tiên
P=5988 | X=0090.100-0231.400 | Y=0646.010-0659.970 | Đường nhà thờ Kim Lân
P=5988 | X=0090.100-0164.420 | Y=0660.010-0673.970 | Đường 600A
P=5988 | X=0090.100-0246.170 | Y=0674.010-0687.970 | Hết ranh xã Nam Cát Tiên
P=5988 | X=0090.100-0105.360 | Y=0702.010-0715.970 | 51
