TABLE=033 | AREA=Xã Sông Ray
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5766-5771 | LINES=141 ---
P=5768 | X=0090.100-0468.900 | Y=0422.010-0435.970 | Quyền và đoạn từ đường Nguyễn Hoàng đến đường Nguyễn Tri
P=5768 | X=0090.100-0139.740 | Y=0436.010-0449.970 | Phương)
P=5768 | X=0090.100-0132.060 | Y=0450.010-0463.970 | 11.100
P=5768 | X=0090.100-0097.730 | Y=0478.010-0491.970 | 4
P=5768 | X=0090.100-0340.490 | Y=0492.010-0505.970 | Khu dân cư số 1 (thị trấn Trảng Bom (cũ))
P=5768 | X=0090.100-0488.610 | Y=0548.010-0561.970 | Đường Nguyễn Hữu Cảnh (Đoạn từ trụ sở Hội người mù đến đường
P=5768 | X=0090.100-0168.820 | Y=0562.010-0575.970 | Nguyễn Huệ)
P=5768 | X=0090.100-0132.060 | Y=0576.010-0589.970 | 15.300
P=5768 | X=0090.100-0235.530 | Y=0618.010-0631.970 | Đường Nguyễn Văn Linh
P=5768 | X=0090.100-0132.060 | Y=0632.010-0645.970 | 11.800
P=5768 | X=0090.100-0502.760 | Y=0674.010-0687.970 | Đường Nguyễn Huệ (đoạn từ đường Đinh Tiên Hoàng đến đường Ngô
P=5768 | X=0090.100-0510.150 | Y=0688.010-0701.970 | Quyền và đoạn từ đường Nguyễn Hoàng đến đường Nguyễn Văn Linh)
P=5768 | X=0090.100-0132.060 | Y=0702.010-0715.970 | 11.100
P=5769 | X=0090.100-0203.350 | Y=0100.010-0113.970 | Đường Lê Quý Đôn
P=5769 | X=0090.100-0124.430 | Y=0114.010-0127.970 | 5.000
P=5769 | X=0090.100-0493.930 | Y=0156.010-0169.970 | Đường Trương Định (từ đường Lê Quý Đôn đến đường Nguyễn Huệ)
P=5769 | X=0090.100-0124.430 | Y=0170.010-0183.970 | 5.000
P=5769 | X=0090.100-0197.070 | Y=0212.010-0225.970 | Các đường còn lại
P=5769 | X=0090.100-0124.430 | Y=0226.010-0239.970 | 4.500
P=5769 | X=0090.100-0097.730 | Y=0254.010-0267.970 | 5
P=5769 | X=0090.100-0386.860 | Y=0268.010-0281.970 | Khu tái định cư Lò Gạch (thị trấn Trảng Bom (cũ))
P=5769 | X=0090.100-0200.150 | Y=0324.010-0337.970 | Đường Ngô Quyền
P=5769 | X=0090.100-0132.060 | Y=0338.010-0351.970 | 10.400
P=5769 | X=0090.100-0197.070 | Y=0380.010-0393.970 | Các đường còn lại
P=5769 | X=0090.100-0124.430 | Y=0394.010-0407.970 | 5.300
P=5769 | X=0090.100-0168.880 | Y=0436.010-0449.970 | Xã Bình Minh
P=5769 | X=0090.100-0097.730 | Y=0478.010-0491.970 | 1
