TABLE=017 | AREA=Xã Đại Phước
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5761-5762 | LINES=47 ---
P=5853 | X=0090.100-0253.150 | Y=0436.010-0449.970 | Đền thờ Phật mẫu Phú Hữu
P=5853 | X=0090.100-0278.050 | Y=0450.010-0463.970 | Rạch ông Chuốc xã Phú Hữu cũ
P=5853 | X=0090.100-0472.420 | Y=0492.010-0505.970 | Đường Phạm Thái Bường (đường vào UBND xã Phước Khánh cũ)
P=5853 | X=0090.100-0207.280 | Y=0506.010-0519.970 | Đường Hùng Vương
P=5853 | X=0090.100-0230.710 | Y=0520.010-0533.970 | Giáp đường đê ông Kèo
P=5853 | X=0090.100-0472.420 | Y=0562.010-0575.970 | Đường Phạm Thái Bường (đường vào UBND xã Phước Khánh cũ)
P=5853 | X=0090.100-0243.180 | Y=0576.010-0589.970 | Ngã tư đường đê ông Kèo
P=5853 | X=0090.100-0195.570 | Y=0590.010-0603.970 | Sông Vàm Mương
P=5853 | X=0090.100-0319.350 | Y=0632.010-0645.970 | Đường vào Trường THCS Phước Khánh
P=5853 | X=0090.100-0238.740 | Y=0646.010-0659.970 | Đường Phạm Thái Bường
P=5853 | X=0090.100-0294.070 | Y=0660.010-0673.970 | Hết Trường Tiểu học Phước Khánh
P=5853 | X=0090.100-0282.170 | Y=0702.010-0715.970 | Đường vào bến đò Phước Khánh
P=5854 | X=0090.100-0238.740 | Y=0072.010-0085.970 | Đường Phạm Thái Bường
P=5854 | X=0090.100-0500.470 | Y=0086.010-0099.970 | Ranh Bến đò Phước Khánh (thửa đất số 167, tờ BĐĐC số 194, xã Đại
P=5854 | X=0090.100-0131.130 | Y=0100.010-0113.970 | Phước)
P=5854 | X=0090.100-0318.510 | Y=0142.010-0155.970 | Đường Trường mầm non Phước Khánh
P=5854 | X=0090.100-0195.570 | Y=0156.010-0169.970 | Sông Vàm Mương
P=5854 | X=0090.100-0201.030 | Y=0170.010-0183.970 | Đường đê ông Kèo
P=5854 | X=0090.100-0330.070 | Y=0212.010-0225.970 | Đường vào khu tái định cư Phước Khánh
P=5854 | X=0090.100-0238.740 | Y=0226.010-0239.970 | Đường Phạm Thái Bường
P=5854 | X=0090.100-0286.180 | Y=0240.010-0253.970 | Hết khu tái định cư Phước Khánh
P=5854 | X=0090.100-0444.000 | Y=0282.010-0295.970 | Đường nối từ đường Phạm Thái Bường đến sông ông Thuộc
P=5854 | X=0090.100-0367.400 | Y=0296.010-0309.970 | Đường Phạm Thái Bường Xã Phước Khánh (cũ)
P=5854 | X=0090.100-0317.590 | Y=0310.010-0323.970 | Sông Ông Thuộc Xã Phước Khánh (cũ)
P=5854 | X=0090.100-0398.280 | Y=0352.010-0365.970 | Đường từ đường Hùng Vương đến đường Lý Thái Tổ
P=5854 | X=0090.100-0363.470 | Y=0366.010-0379.970 | Đường Hùng Vương (Đoạn Qua Xã Đại Phước)
