TABLE=013 | AREA=Xã An Phước
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5756-5757 | LINES=45 ---
P=5833 | X=0090.100-0226.300 | Y=0604.010-0617.970 | Đường Nguyễn Văn Cừ
P=5833 | X=0090.100-0149.370 | Y=0618.010-0631.970 | Hết tuyến
P=5833 | X=0090.100-0210.870 | Y=0660.010-0673.970 | Đường Trần Văn Trà
P=5833 | X=0090.100-0182.970 | Y=0674.010-0687.970 | Đường Lê Duẩn
P=5833 | X=0090.100-0160.220 | Y=0688.010-0701.970 | Chu Văn An
P=5834 | X=0090.100-0225.910 | Y=0086.010-0099.970 | Đường Nguyễn Văn Trị
P=5834 | X=0090.100-0208.550 | Y=0100.010-0113.970 | Đường Hà Huy Giáp
P=5834 | X=0090.100-0149.370 | Y=0114.010-0127.970 | Hết tuyến
P=5834 | X=0090.100-0225.040 | Y=0156.010-0169.970 | Đường Phan Chu Trinh
P=5834 | X=0090.100-0208.550 | Y=0170.010-0183.970 | Đường Hà Huy Giáp
P=5834 | X=0090.100-0224.340 | Y=0184.010-0197.970 | Đường Huỳnh Văn Lũy
P=5834 | X=0090.100-0220.500 | Y=0226.010-0239.970 | Đường Phan Bội Châu
P=5834 | X=0090.100-0182.970 | Y=0240.010-0253.970 | Đường Lê Duẩn
P=5834 | X=0090.100-0304.100 | Y=0254.010-0267.970 | Hết tuyến (đoạn trải nhựa, bê tông)
P=5834 | X=0090.100-0199.390 | Y=0296.010-0309.970 | Đường Lý Nam Đế
P=5834 | X=0090.100-0182.970 | Y=0310.010-0323.970 | Đường Lê Duẩn
P=5834 | X=0090.100-0163.860 | Y=0324.010-0337.970 | Đầu hẻm 56
P=5834 | X=0090.100-0235.250 | Y=0366.010-0379.970 | Đường Trần Quang Diệu
P=5834 | X=0090.100-0154.580 | Y=0380.010-0393.970 | Quốc lộ 51
P=5834 | X=0090.100-0229.760 | Y=0394.010-0407.970 | Đường Phạm Văn Đồng
P=5834 | X=0090.100-0186.750 | Y=0436.010-0449.970 | Đường Trần Phú
P=5834 | X=0090.100-0182.970 | Y=0450.010-0463.970 | Đường Lê Duẩn
P=5834 | X=0090.100-0242.290 | Y=0464.010-0477.970 | Đường Nguyễn Hữu Cảnh
P=5834 | X=0090.100-0264.200 | Y=0506.010-0519.970 | Đường Nguyễn Thị Minh Khai
P=5834 | X=0090.100-0224.110 | Y=0520.010-0533.970 | Đường Tôn Đức Thắng
P=5834 | X=0090.100-0242.290 | Y=0534.010-0547.970 | Đường Nguyễn Hữu Cảnh
P=5834 | X=0090.100-0223.910 | Y=0576.010-0589.970 | Đường Lê Hồng Phong
P=5834 | X=0090.100-0224.110 | Y=0590.010-0603.970 | Đường Tôn Đức Thắng
P=5834 | X=0090.100-0242.290 | Y=0604.010-0617.970 | Đường Nguyễn Hữu Cảnh
P=5834 | X=0090.100-0228.670 | Y=0646.010-0659.970 | Đường Trần Quốc Toản
P=5834 | X=0090.100-0242.290 | Y=0660.010-0673.970 | Đường Nguyễn Hữu Cảnh
P=5834 | X=0090.100-0233.240 | Y=0674.010-0687.970 | Đường Nguyễn Văn Trỗi
P=5835 | X=0090.100-0214.700 | Y=0072.010-0085.970 | Đường Lê Thánh Tôn
P=5835 | X=0090.100-0222.380 | Y=0086.010-0099.970 | Đường Lê Quang Định
P=5835 | X=0090.100-0149.370 | Y=0100.010-0113.970 | Hết tuyến
P=5835 | X=0090.100-0168.540 | Y=0142.010-0155.970 | Đường Lê Lai
P=5835 | X=0090.100-0182.630 | Y=0156.010-0169.970 | Đường Tạ Uyên
P=5835 | X=0090.100-0203.450 | Y=0170.010-0183.970 | Đường Chu Văn An
P=5835 | X=0090.100-0194.940 | Y=0212.010-0225.970 | Đường Lý Thái Tổ
P=5835 | X=0090.100-0182.970 | Y=0226.010-0239.970 | Đường Lê Duẩn
P=5835 | X=0090.100-0224.110 | Y=0240.010-0253.970 | Đường Tôn Đức Thắng
P=5835 | X=0090.100-0201.880 | Y=0282.010-0295.970 | Đường Võ Văn Tần
P=5835 | X=0090.100-0182.970 | Y=0296.010-0309.970 | Đường Lê Duẩn
P=5835 | X=0090.100-0224.110 | Y=0310.010-0323.970 | Đường Tôn Đức Thắng
P=5835 | X=0090.100-0315.350 | Y=0352.010-0365.970 | Đường liên xã An Phước - Long Thành
P=5835 | X=0090.100-0233.830 | Y=0366.010-0379.970 | Đường Trần Quang Khải
P=5835 | X=0090.100-0221.130 | Y=0380.010-0393.970 | Đường Hoàng Tam Kỳ
P=5835 | X=0090.100-0203.060 | Y=0422.010-0435.970 | Đường Nguyễn Hải
P=5835 | X=0090.100-0282.580 | Y=0436.010-0449.970 | Thửa đất số 585, tờ BĐĐC số 15
P=5835 | X=0090.100-0289.580 | Y=0450.010-0463.970 | Hết thửa đất số 4, tờ BĐĐC số 17
P=5835 | X=0090.100-0105.360 | Y=0478.010-0491.970 | 12
P=5835 | X=0090.100-0155.820 | Y=0492.010-0505.970 | Xã Bình An
P=5835 | X=0090.100-0154.580 | Y=0562.010-0575.970 | Quốc lộ 51
P=5835 | X=0090.100-0396.860 | Y=0576.010-0589.970 | Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển
P=5835 | X=0090.100-0134.810 | Y=0590.010-0603.970 | Mũi tàu
P=5835 | X=0090.100-0286.810 | Y=0632.010-0645.970 | Đường Lê Duẩn (Quốc lộ 51A cũ)
P=5835 | X=0090.100-0134.810 | Y=0646.010-0659.970 | Mũi tàu
P=5835 | X=0090.100-0241.450 | Y=0660.010-0673.970 | Giáp ranh xã Long Thành
P=5835 | X=0090.100-0317.860 | Y=0702.010-0715.970 | Đường Trường Chinh (Quốc lộ 51B cũ)
P=5836 | X=0090.100-0134.810 | Y=0072.010-0085.970 | Mũi tàu
P=5836 | X=0090.100-0197.260 | Y=0086.010-0099.970 | Đường Võ Thị Sáu
P=5836 | X=0090.100-0509.140 | Y=0128.010-0141.970 | Đường từ Sân bóng khu 15 đến hết đoạn đường Ráp thuộc xã Bình An
P=5836 | X=0090.100-0210.440 | Y=0170.010-0183.970 | Đường Vũ Hồng Phô
P=5836 | X=0090.100-0182.970 | Y=0184.010-0197.970 | Đường Lê Duẩn
P=5836 | X=0090.100-0214.000 | Y=0198.010-0211.970 | Đường Trường Chinh
P=5836 | X=0090.100-0209.820 | Y=0240.010-0253.970 | Đường Trần Văn Ơn
P=5836 | X=0090.100-0182.970 | Y=0254.010-0267.970 | Đường Lê Duẩn
P=5836 | X=0090.100-0224.110 | Y=0268.010-0281.970 | Đường Tôn Đức Thắng
P=5836 | X=0090.100-0197.260 | Y=0310.010-0323.970 | Đường Võ Thị Sáu
P=5836 | X=0090.100-0182.970 | Y=0324.010-0337.970 | Đường Lê Duẩn
P=5836 | X=0090.100-0303.610 | Y=0338.010-0351.970 | Đường liên xã Long Đức - Lộc An cũ
P=5836 | X=0090.100-0224.110 | Y=0380.010-0393.970 | Đường Tôn Đức Thắng
P=5836 | X=0090.100-0210.440 | Y=0394.010-0407.970 | Đường Vũ Hồng Phô
P=5836 | X=0090.100-0197.260 | Y=0408.010-0421.970 | Đường Võ Thị Sáu
P=5836 | X=0090.100-0305.750 | Y=0450.010-0463.970 | Đường liên xã Bình An - Long Thành
P=5836 | X=0090.100-0378.670 | Y=0464.010-0477.970 | Quốc lộ 51 qua Nhà máy mủ cao su Long Thành
P=5836 | X=0090.100-0222.380 | Y=0478.010-0491.970 | Đường Lê Quang Định
P=5836 | X=0090.100-0305.750 | Y=0520.010-0533.970 | Đường liên xã Bình An - Long Thành
P=5836 | X=0090.100-0284.020 | Y=0534.010-0547.970 | Nhà máy mủ cao su Long Thành
P=5836 | X=0090.100-0241.450 | Y=0548.010-0561.970 | Giáp ranh xã Long Thành
P=5836 | X=0090.100-0494.510 | Y=0590.010-0603.970 | Đường Cầu Mên (từ đường tỉnh 769 qua Cao tốc Hồ Chí Minh - Long
P=5836 | X=0090.100-0309.830 | Y=0604.010-0617.970 | Thành - Dầu giây đến giáp Cầu Mên)
P=5836 | X=0090.100-0183.250 | Y=0618.010-0631.970 | Đường tỉnh 769
P=5836 | X=0090.100-0173.910 | Y=0632.010-0645.970 | Giáp Cầu Mên
P=5836 | X=0090.100-0183.250 | Y=0674.010-0687.970 | Đường tỉnh 769
P=5836 | X=0090.100-0271.760 | Y=0688.010-0701.970 | Ranh xã Long Thành - Bình An
P=5836 | X=0090.100-0273.880 | Y=0702.010-0715.970 | Đường Liên ấp Sa Cá - Bàu Tre
P=5837 | X=0090.100-0183.250 | Y=0100.010-0113.970 | Đường tỉnh 769
P=5837 | X=0090.100-0273.880 | Y=0114.010-0127.970 | Đường Liên ấp Sa Cá - Bàu Tre
P=5837 | X=0090.100-0163.340 | Y=0128.010-0141.970 | Cầu An Viễn
P=5837 | X=0090.100-0183.250 | Y=0170.010-0183.970 | Đường tỉnh 769
P=5837 | X=0090.100-0163.340 | Y=0184.010-0197.970 | Cầu An Viễn
P=5837 | X=0090.100-0287.800 | Y=0198.010-0211.970 | Giáp nông trường cao su An Viễn
P=5837 | X=0090.100-0183.250 | Y=0240.010-0253.970 | Đường tỉnh 769
P=5837 | X=0090.100-0257.830 | Y=0254.010-0267.970 | Nông trường cao su An Viễn
P=5837 | X=0090.100-0163.760 | Y=0268.010-0281.970 | Cầu Cái Hảo
P=5837 | X=0090.100-0490.260 | Y=0310.010-0323.970 | Đường Hương lộ 10 xây dựng mới tránh sân bay Long Thành, đoạn
P=5837 | X=0090.100-0192.310 | Y=0324.010-0337.970 | thuộc xã Bình An
P=5837 | X=0090.100-0169.430 | Y=0338.010-0351.970 | Cầu Suối Sâu
P=5837 | X=0090.100-0288.240 | Y=0352.010-0365.970 | Giáp ranh xã Bình An - Xuân Quế
P=5837 | X=0090.100-0273.880 | Y=0394.010-0407.970 | Đường Liên ấp Sa Cá - Bàu Tre
P=5837 | X=0090.100-0183.250 | Y=0408.010-0421.970 | Đường tỉnh 769
P=5837 | X=0090.100-0248.460 | Y=0422.010-0435.970 | Hương lộ 10 xây dựng mới
P=5837 | X=0090.100-0222.380 | Y=0464.010-0477.970 | Đường Lê Quang Định
P=5837 | X=0090.100-0176.690 | Y=0478.010-0491.970 | Cầu Suối Phèn
P=5837 | X=0090.100-0366.580 | Y=0492.010-0505.970 | Giáp ranh đường Cao tốc Biên Hòa - Vũng Tàu
P=5837 | X=0090.100-0174.530 | Y=0534.010-0547.970 | Đường khu 14
P=5837 | X=0090.100-0284.020 | Y=0548.010-0561.970 | Nhà máy mủ cao su Long Thành
P=5837 | X=0090.100-0226.940 | Y=0562.010-0575.970 | Giáp ranh xã An Phước
P=5837 | X=0090.100-0225.360 | Y=0604.010-0617.970 | Đường Nguyễn Thị Giờ
P=5837 | X=0090.100-0305.630 | Y=0618.010-0631.970 | Đường Cao tốc Biên Hòa - Vũng Tàu
P=5837 | X=0090.100-0309.110 | Y=0632.010-0645.970 | Đường Liên xã Bình An - Long Thành
P=5837 | X=0090.100-0225.360 | Y=0674.010-0687.970 | Đường Nguyễn Thị Giờ
P=5837 | X=0090.100-0309.110 | Y=0688.010-0701.970 | Đường Liên xã Bình An - Long Thành
P=5837 | X=0090.100-0226.940 | Y=0702.010-0715.970 | Giáp ranh xã An Phước
P=5838 | X=0090.100-0225.680 | Y=0100.010-0113.970 | Đường Nguyễn Thị Xót
P=5838 | X=0090.100-0197.260 | Y=0114.010-0127.970 | Đường Võ Thị Sáu
P=5838 | X=0090.100-0222.380 | Y=0128.010-0141.970 | Đường Lê Quang Định
P=5838 | X=0090.100-0331.790 | Y=0170.010-0183.970 | Đường ấp Thanh Bình - Đội 3 xã Bình An
P=5838 | X=0090.100-0305.750 | Y=0184.010-0197.970 | Đường liên xã Long Thành - Bình An
P=5838 | X=0090.100-0324.460 | Y=0198.010-0211.970 | Giáp ranh khu công nghiệp Long Đức 2
P=5838 | X=0090.100-0205.810 | Y=0240.010-0253.970 | Đường ấp An Viễng
P=5838 | X=0090.100-0157.100 | Y=0254.010-0267.970 | Tỉnh lộ 769
P=5838 | X=0090.100-0255.110 | Y=0268.010-0281.970 | Điểm trung chuyển rác thải
P=5838 | X=0090.100-0189.780 | Y=0310.010-0323.970 | Đường Bàu Lùng
P=5838 | X=0090.100-0157.100 | Y=0324.010-0337.970 | Tỉnh lộ 769
P=5838 | X=0090.100-0317.050 | Y=0338.010-0351.970 | Hết ranh thửa đất số 4 tờ BĐĐC số 53
P=5838 | X=0090.100-0352.870 | Y=0380.010-0393.970 | Đường D1 trong khu dân cư Gam Sky World
P=5838 | X=0090.100-0399.770 | Y=0422.010-0435.970 | Các đường còn lại trong khu dân cư Gam Sky World
P=5838 | X=0090.100-0105.360 | Y=0450.010-0463.970 | 13
P=5838 | X=0090.100-0165.430 | Y=0464.010-0477.970 | Xã An Phước
P=5838 | X=0090.100-0155.140 | Y=0534.010-0547.970 | Hương lộ 2
P=5838 | X=0090.100-0162.770 | Y=0548.010-0561.970 | Hương lộ 21
P=5838 | X=0090.100-0245.860 | Y=0562.010-0575.970 | Hết ranh giới xã An Phước
P=5838 | X=0090.100-0162.770 | Y=0604.010-0617.970 | Hương lộ 21
P=5838 | X=0090.100-0154.580 | Y=0618.010-0631.970 | Quốc lộ 51
P=5838 | X=0090.100-0308.820 | Y=0632.010-0645.970 | Đường liên xã An Phước - Tam An cũ
P=5838 | X=0090.100-0162.770 | Y=0674.010-0687.970 | Hương lộ 21
P=5838 | X=0090.100-0308.820 | Y=0688.010-0701.970 | Đường liên xã An Phước - Tam An cũ
P=5838 | X=0090.100-0245.860 | Y=0702.010-0715.970 | Hết ranh giới xã An Phước
P=5839 | X=0090.100-0318.180 | Y=0100.010-0113.970 | Đường liên xã An Phước - Tam An (cũ)
P=5839 | X=0090.100-0203.060 | Y=0114.010-0127.970 | Đường Nguyễn Hải
P=5839 | X=0090.100-0162.770 | Y=0128.010-0141.970 | Hương lộ 21
P=5839 | X=0090.100-0203.060 | Y=0170.010-0183.970 | Đường Nguyễn Hải
P=5839 | X=0090.100-0215.670 | Y=0184.010-0197.970 | Ngã 3 Phước Nguyên
P=5839 | X=0090.100-0282.580 | Y=0198.010-0211.970 | Thửa đất số 173, tờ BĐĐC số 64
P=5839 | X=0090.100-0203.060 | Y=0240.010-0253.970 | Đường Nguyễn Hải
P=5839 | X=0090.100-0282.580 | Y=0254.010-0267.970 | Thửa đất số 173, tờ BĐĐC số 64
P=5839 | X=0090.100-0336.120 | Y=0268.010-0281.970 | Hết ranh thửa đất số 350, tờ BĐĐC số 65
P=5839 | X=0090.100-0203.450 | Y=0310.010-0323.970 | Đường Chu Văn An
P=5839 | X=0090.100-0241.450 | Y=0324.010-0337.970 | Giáp ranh xã Long Thành
P=5839 | X=0090.100-0364.390 | Y=0338.010-0351.970 | Thửa đất số 129, tờ BĐĐC số 67, xã An Phước
P=5839 | X=0090.100-0154.580 | Y=0380.010-0393.970 | Quốc lộ 51
P=5839 | X=0090.100-0244.060 | Y=0394.010-0407.970 | Ngã 3 đường Phùng Hưng
P=5839 | X=0090.100-0421.760 | Y=0408.010-0421.970 | Hết Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển
P=5839 | X=0090.100-0154.580 | Y=0450.010-0463.970 | Quốc lộ 51
P=5839 | X=0090.100-0421.760 | Y=0464.010-0477.970 | Hết Trung tâm huấn luyện chó nghiệp vụ Quân Khuyển
P=5839 | X=0090.100-0134.810 | Y=0478.010-0491.970 | Mũi tàu
P=5839 | X=0090.100-0243.590 | Y=0520.010-0533.970 | Lê Duẩn (Quốc lộ 51A cũ)
P=5839 | X=0090.100-0134.810 | Y=0534.010-0547.970 | Mũi tàu
P=5839 | X=0090.100-0241.450 | Y=0548.010-0561.970 | Giáp ranh xã Long Thành
P=5839 | X=0090.100-0223.450 | Y=0590.010-0603.970 | Đường liên ấp 7 - ấp 8
P=5839 | X=0090.100-0154.580 | Y=0604.010-0617.970 | Quốc lộ 51
P=5839 | X=0090.100-0292.700 | Y=0618.010-0631.970 | Đường Phùng Hưng - xã An Phước
P=5839 | X=0090.100-0206.570 | Y=0660.010-0673.970 | Đường Phùng Hưng
P=5839 | X=0090.100-0154.580 | Y=0674.010-0687.970 | Quốc lộ 51
P=5839 | X=0090.100-0217.100 | Y=0688.010-0701.970 | Giáp ranh xã An Viễn
