TABLE=049 | AREA=Xã Tà Lài
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5977-5985 | LINES=251 ---
P=5979 | X=0090.100-0154.580 | Y=0212.010-0225.970 | Quốc lộ 20
P=5979 | X=0090.100-0186.300 | Y=0226.010-0239.970 | Đường Cầu Suối
P=5979 | X=0090.100-0222.930 | Y=0240.010-0253.970 | Giáp ranh xã Phú Lâm
P=5979 | X=0090.100-0172.430 | Y=0282.010-0295.970 | Đường Trà Cổ
P=5979 | X=0090.100-0154.580 | Y=0296.010-0309.970 | Quốc lộ 20
P=5979 | X=0090.100-0223.330 | Y=0310.010-0323.970 | Đường vào chợ Trà Cổ
P=5979 | X=0090.100-0172.430 | Y=0352.010-0365.970 | Đường Trà Cổ
P=5979 | X=0090.100-0223.330 | Y=0366.010-0379.970 | Đường vào chợ Trà Cổ
P=5979 | X=0090.100-0228.070 | Y=0380.010-0393.970 | Giáp ranh xã Trà Cổ cũ
P=5979 | X=0090.100-0172.430 | Y=0422.010-0435.970 | Đường Trà Cổ
P=5979 | X=0090.100-0228.070 | Y=0436.010-0449.970 | Giáp ranh xã Trà Cổ cũ
P=5979 | X=0090.100-0297.200 | Y=0450.010-0463.970 | Đường số 1 (ấp 2-4B xã Trà Cổ cũ)
P=5979 | X=0090.100-0172.430 | Y=0492.010-0505.970 | Đường Trà Cổ
P=5979 | X=0090.100-0297.200 | Y=0506.010-0519.970 | Đường số 1 (ấp 2-4B xã Trà Cổ cũ)
P=5979 | X=0090.100-0260.160 | Y=0520.010-0533.970 | Đường ấp 5-6 (xã Trà Cổ cũ)
P=5979 | X=0090.100-0172.430 | Y=0562.010-0575.970 | Đường Trà Cổ
P=5979 | X=0090.100-0260.160 | Y=0576.010-0589.970 | Đường ấp 5-6 (xã Trà Cổ cũ)
P=5979 | X=0090.100-0220.900 | Y=0590.010-0603.970 | Giáp ranh xã Phú Hòa
P=5979 | X=0090.100-0242.030 | Y=0632.010-0645.970 | Đường Trương Công Định
P=5979 | X=0090.100-0154.580 | Y=0646.010-0659.970 | Quốc lộ 20
P=5979 | X=0090.100-0260.560 | Y=0660.010-0673.970 | Hết ranh thị trấn Tân Phú cũ
P=5979 | X=0090.100-0499.050 | Y=0702.010-0715.970 | Đường từ đường Trương Công Định đến hết ranh thửa đất số 394, tờ
P=5980 | X=0090.100-0169.360 | Y=0072.010-0085.970 | BĐĐC số 142
P=5980 | X=0090.100-0242.030 | Y=0086.010-0099.970 | Đường Trương Công Định
P=5980 | X=0090.100-0423.650 | Y=0100.010-0113.970 | Hết ranh thửa đất số 450, tờ BĐĐC số 140 (xã Tân Phú)
P=5980 | X=0090.100-0499.050 | Y=0142.010-0155.970 | Đường từ đường Trương Công Định đến hết ranh thửa đất số 394, tờ
P=5980 | X=0090.100-0169.360 | Y=0156.010-0169.970 | BĐĐC số 142
P=5980 | X=0090.100-0414.290 | Y=0170.010-0183.970 | Hết ranh thửa đất số 450, tờ BĐĐC số 142 xã Tân Phú
