TABLE=020 | AREA=Phường Bảo Vinh
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5763-5764 | LINES=45 ---
P=5861 | X=0090.100-0160.250 | Y=0506.010-0519.970 | Đường 21/4
P=5861 | X=0090.100-0207.280 | Y=0520.010-0533.970 | Đường Hùng Vương
P=5861 | X=0090.100-0241.740 | Y=0562.010-0575.970 | Đường Phạm Ngọc Thạch
P=5861 | X=0090.100-0235.250 | Y=0576.010-0589.970 | Đường Trần Quang Diệu
P=5861 | X=0090.100-0160.250 | Y=0590.010-0603.970 | Đường 21/4
P=5861 | X=0090.100-0241.740 | Y=0632.010-0645.970 | Đường Phạm Ngọc Thạch
P=5861 | X=0090.100-0160.250 | Y=0646.010-0659.970 | Đường 21/4
P=5861 | X=0090.100-0228.870 | Y=0660.010-0673.970 | Đường Lương Đình Của
P=5861 | X=0090.100-0252.630 | Y=0702.010-0715.970 | Đường Cách Mạng Tháng 8
P=5862 | X=0090.100-0264.200 | Y=0072.010-0085.970 | Đường Nguyễn Thị Minh Khai
P=5862 | X=0090.100-0172.430 | Y=0086.010-0099.970 | Sân vận động
P=5862 | X=0090.100-0212.310 | Y=0128.010-0141.970 | Đường Mạc Đĩnh Chi
P=5862 | X=0090.100-0160.250 | Y=0142.010-0155.970 | Đường 21/4
P=5862 | X=0090.100-0207.280 | Y=0156.010-0169.970 | Đường Hùng Vương
P=5862 | X=0090.100-0220.350 | Y=0198.010-0211.970 | Đường Tô Hiến Thành
P=5862 | X=0090.100-0160.250 | Y=0212.010-0225.970 | Đường 21/4
P=5862 | X=0090.100-0207.280 | Y=0226.010-0239.970 | Đường Hùng Vương
P=5862 | X=0090.100-0220.350 | Y=0268.010-0281.970 | Đường Tô Hiến Thành
P=5862 | X=0090.100-0207.280 | Y=0282.010-0295.970 | Đường Hùng Vương
P=5862 | X=0090.100-0211.240 | Y=0296.010-0309.970 | Đường Hai Bà Trưng
P=5862 | X=0090.100-0233.240 | Y=0338.010-0351.970 | Đường Nguyễn Văn Trỗi
P=5862 | X=0090.100-0228.870 | Y=0352.010-0365.970 | Đường Lương Định Của
P=5862 | X=0090.100-0160.250 | Y=0366.010-0379.970 | Đường 21/4
P=5862 | X=0090.100-0168.530 | Y=0408.010-0421.970 | Đường Lê Lợi
P=5862 | X=0090.100-0207.280 | Y=0422.010-0435.970 | Đường Hùng Vương
P=5862 | X=0090.100-0200.220 | Y=0436.010-0449.970 | Đường Nguyễn Du
P=5862 | X=0090.100-0235.690 | Y=0478.010-0491.970 | Đường Nguyễn Thái Học
P=5862 | X=0090.100-0207.280 | Y=0492.010-0505.970 | Đường Hùng Vương
P=5862 | X=0090.100-0226.300 | Y=0506.010-0519.970 | Đường Nguyễn Văn Cừ
