TABLE=015 | AREA=Xã Phước Thái
--- SEQUENCE=8 | SECTION=non-agricultural | PAGES=5729-5729 | LINES=37 ---
P=5760 | X=0090.100-0515.820 | Y=0226.010-0239.970 | Đường Huỳnh Văn Nghệ (Từ đường Tôn Đức Thắng đến hết thửa đất số
P=5760 | X=0090.100-0226.500 | Y=0240.010-0253.970 | 346, tờ bản đồ số 237)
P=5760 | X=0090.100-0124.430 | Y=0254.010-0267.970 | 9.100
P=5760 | X=0090.100-0197.070 | Y=0296.010-0309.970 | Các đường còn lại
P=5760 | X=0090.100-0124.430 | Y=0310.010-0323.970 | 6.300
P=5760 | X=0090.100-0097.730 | Y=0338.010-0351.970 | 4
P=5760 | X=0090.100-0311.100 | Y=0352.010-0365.970 | Khu dân cư, tái định cư Hiệp Phước 2
P=5760 | X=0090.100-0515.820 | Y=0408.010-0421.970 | Đường Huỳnh Văn Nghệ (Từ đường Tôn Đức Thắng đến hết thửa đất số
P=5760 | X=0090.100-0226.500 | Y=0422.010-0435.970 | 346, tờ bản đồ số 237)
P=5760 | X=0090.100-0124.430 | Y=0436.010-0449.970 | 9.100
P=5760 | X=0090.100-0197.070 | Y=0478.010-0491.970 | Các đường còn lại
P=5760 | X=0090.100-0124.430 | Y=0492.010-0505.970 | 6.300
P=5760 | X=0090.100-0097.730 | Y=0520.010-0533.970 | 5
P=5760 | X=0090.100-0262.960 | Y=0534.010-0547.970 | Khu tái định cư Hiệp Phước 1
P=5760 | X=0090.100-0512.410 | Y=0590.010-0603.970 | Đường Tôn Đức Thắng (Giáp ranh xã Nhơn Trạch đến đường Trần Phú)
P=5760 | X=0090.100-0132.060 | Y=0604.010-0617.970 | 14.600
P=5760 | X=0090.100-0197.070 | Y=0646.010-0659.970 | Các đường còn lại
P=5760 | X=0090.100-0132.060 | Y=0660.010-0673.970 | 10.200
P=5760 | X=0090.100-0169.580 | Y=0702.010-0715.970 | Xã Đại Phước
