TABLE=005 | AREA=Phường Trảng Dài
--- SEQUENCE=3 | SECTION=agricultural | PAGES=198-199 | LINES=126 ---
P=0198 | X=0115.350-0412.990 | Y=0661.350-0672.510 | tỉnh 768 đến Ngã ba (hết ranh thửa đất số 121, tờ bản đồ số 19) có
P=0198 | X=0094.250-0308.590 | Y=0672.850-0684.260 | 259 hiện trạng là đường nhựa, bê tông xi măng:
P=0198 | X=0445.650-0462.330 | Y=0673.100-0684.260 | 250
P=0198 | X=0505.200-0521.880 | Y=0673.100-0684.260 | 160
P=0198 | X=0115.350-0400.690 | Y=0690.350-0701.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0198 | X=0115.350-0341.320 | Y=0707.850-0719.010 | - Có bề rộng <3m, cách đường giao thông > 200m.
P=0199 | X=0115.350-0169.710 | Y=0078.850-0090.010 | Đường ranh
P=0199 | X=0115.350-0170.820 | Y=0090.350-0101.510 | phường Tân
P=0199 | X=0182.300-0297.310 | Y=0096.100-0107.260 | Ngã ba (hết ranh thửa đất
P=0199 | X=0310.150-0419.030 | Y=0096.100-0107.260 | Giáp ranh xã Thạnh Phú
P=0199 | X=0094.250-0144.220 | Y=0101.850-0113.010 | 260 Triều -
P=0199 | X=0445.650-0462.330 | Y=0101.850-0113.010 | 700
P=0199 | X=0505.200-0521.880 | Y=0101.850-0113.010 | 500
P=0199 | X=0182.300-0291.060 | Y=0107.600-0118.760 | số 121, tờ bản đồ số 19)
P=0199 | X=0310.150-0327.370 | Y=0107.600-0118.760 | (cũ)
P=0199 | X=0115.350-0179.710 | Y=0113.350-0124.510 | phường Trảng
P=0199 | X=0115.350-0130.350 | Y=0124.850-0136.010 | Dài
P=0199 | X=0115.350-0386.270 | Y=0142.850-0154.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ranh
P=0199 | X=0115.350-0402.360 | Y=0154.350-0165.510 | phường Tân Triều - phường Trảng Dài đoạn từ Ngã ba (hết ranh
P=0199 | X=0115.350-0415.200 | Y=0165.850-0177.010 | thửa đất số 121, tờ bản đồ số 19) đến Giáp ranh xã Thạnh Phú (cũ)
P=0199 | X=0094.250-0321.930 | Y=0177.350-0188.760 | 261 có hiện trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0445.650-0462.330 | Y=0177.600-0188.760 | 480
P=0199 | X=0505.200-0521.880 | Y=0177.600-0188.760 | 310
P=0199 | X=0115.350-0346.180 | Y=0194.850-0206.010 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0199 | X=0115.350-0392.010 | Y=0212.350-0223.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0199 | X=0115.350-0386.270 | Y=0230.350-0241.510 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ranh
P=0199 | X=0115.350-0402.430 | Y=0241.850-0253.010 | phường Tân Triều - phường Trảng Dài đoạn từ Ngã ba (hết ranh
P=0199 | X=0115.350-0415.440 | Y=0253.350-0264.510 | thửa đất số 121, tờ bản đồ số 19) đến Giáp ranh xã Thạnh Phú (cũ)
P=0199 | X=0115.350-0321.930 | Y=0264.850-0276.010 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0094.250-0346.530 | Y=0279.600-0293.510 | 262 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0199 | X=0445.650-0462.330 | Y=0279.600-0290.760 | 370
P=0199 | X=0505.200-0521.880 | Y=0279.600-0290.760 | 240
P=0199 | X=0115.350-0421.270 | Y=0299.850-0311.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0199 | X=0115.350-0156.930 | Y=0311.350-0322.510 | ≤1.000m.
P=0199 | X=0115.350-0338.200 | Y=0328.850-0340.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0199 | X=0115.350-0386.270 | Y=0346.850-0358.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường ranh
P=0199 | X=0115.350-0402.360 | Y=0358.350-0369.510 | phường Tân Triều - phường Trảng Dài đoạn từ Ngã ba (hết ranh
P=0199 | X=0115.350-0415.200 | Y=0369.850-0381.010 | thửa đất số 121, tờ bản đồ số 19) đến Giáp ranh xã Thạnh Phú (cũ)
P=0199 | X=0094.250-0321.930 | Y=0381.350-0392.760 | 263 có hiện trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0445.650-0462.330 | Y=0381.600-0392.760 | 250
P=0199 | X=0505.200-0521.880 | Y=0381.600-0392.760 | 160
P=0199 | X=0115.350-0400.690 | Y=0398.850-0410.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0199 | X=0115.350-0338.540 | Y=0416.350-0427.510 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0199 | X=0115.350-0400.260 | Y=0434.350-0445.510 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=0199 | X=0115.350-0416.720 | Y=0445.850-0457.010 | Đường ranh phường Tân Triều - phường Trảng Dài đoạn từ Ngã ba
P=0199 | X=0115.350-0417.440 | Y=0457.350-0468.510 | (hết ranh thửa đất số 121, tờ bản đồ số 19) đến Giáp ranh xã Thạnh
P=0199 | X=0094.250-0362.430 | Y=0468.850-0480.260 | 264 Phú (cũ) có hiện trạng là đường nhựa, bê tông xi măng:
P=0199 | X=0445.650-0462.330 | Y=0469.100-0480.260 | 480
