TABLE=031 | AREA=Xã Xuân Quế
--- SEQUENCE=8 | SECTION=non-agricultural | PAGES=5731-5731 | LINES=37 ---
P=5876 | X=0090.100-0219.770 | Y=0212.010-0225.970 | Đường Võ Duy Dương
P=5876 | X=0090.100-0201.880 | Y=0254.010-0267.970 | Đường Võ Văn Tần
P=5876 | X=0090.100-0296.270 | Y=0268.010-0281.970 | Giáp khu công nghiệp Long Khánh
P=5876 | X=0090.100-0262.760 | Y=0282.010-0295.970 | Đường Xuân Bình - Xuân Lập
P=5876 | X=0090.100-0262.760 | Y=0324.010-0337.970 | Đường Xuân Bình - Xuân Lập
P=5876 | X=0090.100-0219.770 | Y=0338.010-0351.970 | Đường Võ Duy Dương
P=5876 | X=0090.100-0201.880 | Y=0352.010-0365.970 | Đường Võ Văn Tần
P=5876 | X=0090.100-0262.760 | Y=0394.010-0407.970 | Đường Xuân Bình - Xuân Lập
P=5876 | X=0090.100-0201.880 | Y=0408.010-0421.970 | Đường Võ Văn Tần
P=5876 | X=0090.100-0258.080 | Y=0422.010-0435.970 | Giáp ranh phường Xuân Lập
P=5876 | X=0090.100-0219.770 | Y=0464.010-0477.970 | Đường Võ Duy Dương
P=5876 | X=0090.100-0217.270 | Y=0478.010-0491.970 | Đường Hồng Thập Tự
P=5876 | X=0090.100-0160.250 | Y=0492.010-0505.970 | Đường 21/4
P=5876 | X=0090.100-0159.400 | Y=0534.010-0547.970 | Đường Lê A
P=5876 | X=0090.100-0160.250 | Y=0548.010-0561.970 | Đường 21/4
P=5876 | X=0090.100-0232.910 | Y=0562.010-0575.970 | Giáp ranh KCN Bình Lộc
P=5876 | X=0090.100-0159.400 | Y=0604.010-0617.970 | Đường Lê A
P=5876 | X=0090.100-0170.270 | Y=0618.010-0631.970 | KCN Bình Lộc
P=5876 | X=0090.100-0197.950 | Y=0632.010-0645.970 | Giáp cầu Bình Lộc
P=5876 | X=0090.100-0159.400 | Y=0674.010-0687.970 | Đường Lê A
P=5876 | X=0090.100-0197.950 | Y=0688.010-0701.970 | Giáp cầu Bình Lộc
P=5876 | X=0090.100-0228.980 | Y=0702.010-0715.970 | Ngã ba Đài tưởng niệm
P=5877 | X=0090.100-0159.400 | Y=0100.010-0113.970 | Đường Lê A
P=5877 | X=0090.100-0228.980 | Y=0114.010-0127.970 | Ngã ba Đài tưởng niệm
P=5877 | X=0090.100-0299.200 | Y=0128.010-0141.970 | Giáp trụ sở UBND phường Bình Lộc
P=5877 | X=0090.100-0346.550 | Y=0170.010-0183.970 | Đường Bình Lộc đi ấp Bàu Cối xã Xuân Bắc
P=5877 | X=0090.100-0239.600 | Y=0184.010-0197.970 | Đường Bình Lộc - Cây Da
P=5877 | X=0090.100-0199.730 | Y=0198.010-0211.970 | Ranh xã Xuân Bắc
P=5877 | X=0090.100-0297.340 | Y=0240.010-0253.970 | Đường khu phố 3 phường Bình Lộc
P=5877 | X=0090.100-0159.400 | Y=0254.010-0267.970 | Đường Lê A
P=5877 | X=0090.100-0186.670 | Y=0268.010-0281.970 | Hết đường nhựa
P=5877 | X=0090.100-0253.300 | Y=0310.010-0323.970 | Đường Bình Lộc - Tín Nghĩa
P=5877 | X=0090.100-0228.980 | Y=0324.010-0337.970 | Ngã ba Đài tưởng niệm
P=5877 | X=0090.100-0301.370 | Y=0338.010-0351.970 | Giáp đường khu phố 2 đi khu phố 3
P=5877 | X=0090.100-0253.300 | Y=0380.010-0393.970 | Đường Bình Lộc - Tín Nghĩa
P=5877 | X=0090.100-0301.370 | Y=0394.010-0407.970 | Giáp đường khu phố 2 đi khu phố 3
P=5877 | X=0090.100-0289.680 | Y=0408.010-0421.970 | Giáp đường Lạc Sơn - Xuân Thiện
P=5877 | X=0090.100-0183.250 | Y=0450.010-0463.970 | Đường tỉnh 770
P=5877 | X=0090.100-0198.670 | Y=0464.010-0477.970 | Đường 21 tháng 4
P=5877 | X=0090.100-0346.910 | Y=0478.010-0491.970 | Ngã tư trụ sở Nông trường Cao su Bình Lộc
P=5877 | X=0090.100-0183.250 | Y=0520.010-0533.970 | Đường tỉnh 770
P=5877 | X=0090.100-0346.910 | Y=0534.010-0547.970 | Ngã tư trụ sở Nông trường Cao su Bình Lộc
P=5877 | X=0090.100-0246.560 | Y=0548.010-0561.970 | Hết ranh phường Bình Lộc
P=5877 | X=0090.100-0259.990 | Y=0590.010-0603.970 | Đường Lạc Sơn - Xuân Thiện
P=5877 | X=0090.100-0224.990 | Y=0604.010-0617.970 | Giáp ranh xã Gia Kiệm
P=5877 | X=0090.100-0197.790 | Y=0618.010-0631.970 | Đi vào hết 2536m
P=5877 | X=0090.100-0259.990 | Y=0660.010-0673.970 | Đường Lạc Sơn - Xuân Thiện
P=5877 | X=0090.100-0167.680 | Y=0674.010-0687.970 | Đoạn 2536m
P=5877 | X=0090.100-0249.140 | Y=0688.010-0701.970 | Cây xăng Hoàng Minh Việt
