TABLE=043 | AREA=Xã Định Quán
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5772-5776 | LINES=117 ---
P=5774 | X=0090.100-0197.070 | Y=0520.010-0533.970 | Các đường còn lại
P=5774 | X=0090.100-0113.000 | Y=0534.010-0547.970 | 700
P=5774 | X=0090.100-0162.420 | Y=0576.010-0589.970 | Xã Phú Vinh
P=5774 | X=0090.100-0097.730 | Y=0618.010-0631.970 | 1
P=5774 | X=0090.100-0278.120 | Y=0632.010-0645.970 | Khu tái định cư xã Phú Tân (cũ)
P=5774 | X=0090.100-0263.460 | Y=0688.010-0701.970 | Đường 120 (xã Phú Tân (cũ))
P=5774 | X=0090.100-0113.000 | Y=0702.010-0715.970 | 550
P=5775 | X=0090.100-0197.070 | Y=0100.010-0113.970 | Các đường còn lại
P=5775 | X=0090.100-0113.000 | Y=0114.010-0127.970 | 390
P=5775 | X=0090.100-0097.730 | Y=0142.010-0155.970 | 2
P=5775 | X=0090.100-0255.370 | Y=0156.010-0169.970 | Khu dân cư xã Phú Tân (cũ)
P=5775 | X=0090.100-0263.460 | Y=0212.010-0225.970 | Đường 120 (xã Phú Tân (cũ))
P=5775 | X=0090.100-0113.000 | Y=0226.010-0239.970 | 550
P=5775 | X=0090.100-0197.070 | Y=0268.010-0281.970 | Các đường còn lại
P=5775 | X=0090.100-0113.000 | Y=0282.010-0295.970 | 390
P=5775 | X=0090.100-0151.230 | Y=0324.010-0337.970 | Xã La Ngà
P=5775 | X=0090.100-0097.730 | Y=0366.010-0379.970 | 1
P=5775 | X=0090.100-0223.920 | Y=0380.010-0393.970 | Khu định canh định cư
P=5775 | X=0090.100-0351.490 | Y=0436.010-0449.970 | Các đường trong Khu tái định cư, xã La Ngà
P=5775 | X=0090.100-0113.000 | Y=0450.010-0463.970 | 350
P=5775 | X=0090.100-0097.730 | Y=0478.010-0491.970 | 2
P=5775 | X=0090.100-0263.980 | Y=0492.010-0505.970 | Khu tái định cư đô thị La Ngà
P=5775 | X=0090.100-0508.370 | Y=0548.010-0561.970 | Đường 101B (xã La Ngà), từ đường 101B đến đường nối từ Quốc lộ 20
P=5775 | X=0090.100-0244.040 | Y=0562.010-0575.970 | với Đồi Du Lịch xã La Ngà
P=5775 | X=0090.100-0113.000 | Y=0576.010-0589.970 | 780
P=5775 | X=0090.100-0197.070 | Y=0618.010-0631.970 | Các đường còn lại
P=5775 | X=0090.100-0113.000 | Y=0632.010-0645.970 | 550
P=5775 | X=0090.100-0097.730 | Y=0660.010-0673.970 | 3
P=5775 | X=0090.100-0319.550 | Y=0674.010-0687.970 | Khu tái định cư L16, xã Túc Trưng (cũ)
P=5776 | X=0090.100-0149.160 | Y=0086.010-0099.970 | Đường 2A
P=5776 | X=0090.100-0124.430 | Y=0100.010-0113.970 | 1.900
P=5776 | X=0090.100-0149.160 | Y=0142.010-0155.970 | Đường 4A
P=5776 | X=0090.100-0124.430 | Y=0156.010-0169.970 | 1.900
P=5776 | X=0090.100-0197.070 | Y=0198.010-0211.970 | Các đường còn lại
P=5776 | X=0090.100-0124.430 | Y=0212.010-0225.970 | 1.300
P=5776 | X=0090.100-0097.730 | Y=0240.010-0253.970 | 4
P=5776 | X=0090.100-0246.350 | Y=0254.010-0267.970 | Khu A1, xã Túc Trưng (cũ)
