TABLE=012 | AREA=Xã Bình An
--- SEQUENCE=9 | SECTION=non-agricultural | PAGES=5736-5736 | LINES=37 ---
P=5831 | X=0090.100-0214.000 | Y=0212.010-0225.970 | Đường Trường Chinh
P=5831 | X=0090.100-0230.470 | Y=0254.010-0267.970 | Đường Nguyễn An Ninh
P=5831 | X=0090.100-0211.240 | Y=0268.010-0281.970 | Đường Hai Bà Trưng
P=5831 | X=0090.100-0219.330 | Y=0282.010-0295.970 | Hông Siêu thị Vincom
P=5831 | X=0090.100-0255.300 | Y=0324.010-0337.970 | Đường vào nhà thờ Văn Hải
P=5831 | X=0090.100-0182.970 | Y=0338.010-0351.970 | Đường Lê Duẩn
P=5831 | X=0090.100-0225.910 | Y=0352.010-0365.970 | Đường Nguyễn Văn Trị
P=5831 | X=0090.100-0200.150 | Y=0394.010-0407.970 | Đường Ngô Quyền
P=5831 | X=0090.100-0182.970 | Y=0408.010-0421.970 | Đường Lê Duẩn
P=5831 | X=0090.100-0203.450 | Y=0422.010-0435.970 | Đường Chu Văn An
P=5831 | X=0090.100-0203.450 | Y=0464.010-0477.970 | Đường Chu Văn An
P=5831 | X=0090.100-0226.940 | Y=0478.010-0491.970 | Giáp ranh xã An Phước
P=5831 | X=0090.100-0168.540 | Y=0492.010-0505.970 | Đường Lê Lai
P=5831 | X=0090.100-0209.500 | Y=0534.010-0547.970 | Đường Đinh Bộ Lĩnh
P=5831 | X=0090.100-0182.970 | Y=0548.010-0561.970 | Đường Lê Duẩn
P=5831 | X=0090.100-0214.000 | Y=0562.010-0575.970 | Đường Trường Chinh
P=5831 | X=0090.100-0209.500 | Y=0604.010-0617.970 | Đường Đinh Bộ Lĩnh
P=5831 | X=0090.100-0214.000 | Y=0618.010-0631.970 | Đường Trường Chinh
P=5831 | X=0090.100-0183.250 | Y=0632.010-0645.970 | Đường tỉnh 769
P=5831 | X=0090.100-0182.630 | Y=0674.010-0687.970 | Đường Tạ Uyên
P=5831 | X=0090.100-0182.970 | Y=0688.010-0701.970 | Đường Lê Duẩn
P=5831 | X=0090.100-0203.450 | Y=0702.010-0715.970 | Đường Chu Văn An
P=5832 | X=0090.100-0204.410 | Y=0100.010-0113.970 | Đường Lý Tự Trọng
P=5832 | X=0090.100-0182.970 | Y=0114.010-0127.970 | Đường Lê Duẩn
P=5832 | X=0090.100-0211.240 | Y=0128.010-0141.970 | Đường Hai Bà Trưng
P=5832 | X=0090.100-0204.410 | Y=0170.010-0183.970 | Đường Lý Tự Trọng
P=5832 | X=0090.100-0211.240 | Y=0184.010-0197.970 | Đường Hai Bà Trưng
P=5832 | X=0090.100-0214.000 | Y=0198.010-0211.970 | Đường Trường Chinh
P=5832 | X=0090.100-0204.410 | Y=0240.010-0253.970 | Đường Lý Tự Trọng
P=5832 | X=0090.100-0214.000 | Y=0254.010-0267.970 | Đường Trường Chinh
P=5832 | X=0090.100-0222.380 | Y=0268.010-0281.970 | Đường Lê Quang Định
P=5832 | X=0090.100-0226.300 | Y=0310.010-0323.970 | Đường Nguyễn Văn Cừ
P=5832 | X=0090.100-0182.970 | Y=0324.010-0337.970 | Đường Lê Duẩn
P=5832 | X=0090.100-0233.830 | Y=0338.010-0351.970 | Đường Trần Quang Khải
P=5832 | X=0090.100-0208.550 | Y=0380.010-0393.970 | Đường Hà Huy Giáp
P=5832 | X=0090.100-0182.970 | Y=0394.010-0407.970 | Đường Lê Duẩn
P=5832 | X=0090.100-0518.400 | Y=0408.010-0421.970 | Đường Trần Quang Khải (đường xưởng cưa Tiền Phong vào đến hết khu
P=5832 | X=0090.100-0153.300 | Y=0422.010-0435.970 | dân cư cũ)
P=5832 | X=0090.100-0251.050 | Y=0464.010-0477.970 | Đường Trần Thượng Xuyên
P=5832 | X=0090.100-0182.970 | Y=0478.010-0491.970 | Đường Lê Duẩn
P=5832 | X=0090.100-0242.290 | Y=0492.010-0505.970 | Đường Nguyễn Hữu Cảnh
P=5832 | X=0090.100-0242.290 | Y=0534.010-0547.970 | Đường Nguyễn Hữu Cảnh
P=5832 | X=0090.100-0249.250 | Y=0548.010-0561.970 | Đường Nguyễn Đình Chiểu
P=5832 | X=0090.100-0197.260 | Y=0562.010-0575.970 | Đường Võ Thị Sáu
P=5832 | X=0090.100-0229.500 | Y=0604.010-0617.970 | Đường Trần Nhân Tông
P=5832 | X=0090.100-0209.500 | Y=0618.010-0631.970 | Đường Đinh Bộ Lĩnh
P=5832 | X=0090.100-0218.650 | Y=0632.010-0645.970 | Đường Ngô Hà Thành
P=5832 | X=0090.100-0224.110 | Y=0674.010-0687.970 | Đường Tôn Đức Thắng
P=5832 | X=0090.100-0211.240 | Y=0688.010-0701.970 | Đường Hai Bà Trưng
