TABLE=077 | AREA=Xã Tân Quan | SECTION=non-agricultural | SEGMENTS=1
P=2068 | X=0505.390-0522.030 | Y=0455.140-0464.460 | 320
P=2068 | X=0102.770-0154.690 | Y=0460.900-0470.220 | - Phú Thịnh
P=2068 | X=0212.230-0223.350 | Y=0466.660-0475.980 | 60
P=2068 | X=0292.920-0309.560 | Y=0466.660-0475.980 | 149
P=2068 | X=0212.230-0361.900 | Y=0482.780-0494.020 | Từ thửa đất số Hết thửa đất số
P=2068 | X=0102.770-0205.110 | Y=0488.540-0499.780 | Đường nhựa bên hông
P=2068 | X=0212.230-0358.050 | Y=0494.300-0505.540 | 232, tờ bản đồ số 983, tờ bản đồ
P=2068 | X=0090.500-0101.620 | Y=0496.180-0505.500 | 36
P=2068 | X=0378.620-0395.260 | Y=0496.180-0505.500 | 540
P=2068 | X=0426.650-0443.290 | Y=0496.180-0505.500 | 380
P=2068 | X=0505.390-0522.030 | Y=0496.180-0505.500 | 320
P=2068 | X=0102.770-0167.400 | Y=0501.940-0511.260 | chợ Tân Quan
P=2068 | X=0212.230-0223.350 | Y=0507.700-0517.020 | 93
P=2068 | X=0292.920-0317.240 | Y=0507.700-0517.020 | số 64
P=2068 | X=0212.230-0361.900 | Y=0523.820-0535.060 | Từ thửa đất số Hết thửa đất số
P=2068 | X=0102.770-0194.220 | Y=0529.580-0540.820 | Đường nhựa Ngã tư
P=2068 | X=0212.230-0365.740 | Y=0535.370-0546.610 | 198, tờ bản đồ số 44, tờ bản đồ số
P=2068 | X=0090.500-0101.620 | Y=0537.250-0546.570 | 37
P=2068 | X=0378.620-0395.260 | Y=0537.250-0546.570 | 900
P=2068 | X=0426.650-0443.290 | Y=0537.250-0546.570 | 630
P=2068 | X=0505.390-0522.030 | Y=0537.250-0546.570 | 540
P=2068 | X=0102.770-0167.400 | Y=0543.010-0552.330 | chợ Tân Quan
P=2068 | X=0212.230-0223.350 | Y=0548.770-0558.090 | 93
P=2068 | X=0292.920-0304.040 | Y=0548.770-0558.090 | 93
P=2068 | X=0102.770-0290.350 | Y=0564.890-0576.130 | Khu dân cư Phước An Các tuyến đường
P=2068 | X=0090.500-0284.110 | Y=0576.410-0587.650 | 38 (Công ty TNHH Địa ốc nội bộ trong khu
P=2068 | X=0378.620-0395.260 | Y=0578.290-0587.610 | 990
P=2068 | X=0426.650-0443.290 | Y=0578.290-0587.610 | 690
P=2068 | X=0505.390-0522.030 | Y=0578.290-0587.610 | 590
P=2068 | X=0102.770-0145.490 | Y=0587.930-0599.170 | Hoa Đào)
P=2068 | X=0212.230-0292.020 | Y=0587.930-0599.170 | dân cư Phước An
P=2068 | X=0212.230-0277.380 | Y=0605.930-0617.170 | Tù thửa đất số
P=2068 | X=0292.920-0361.900 | Y=0605.930-0617.170 | Hết thửa đất số
P=2068 | X=0102.770-0195.160 | Y=0611.690-0622.930 | Đường N1 (phía Tây
P=2068 | X=0212.230-0358.050 | Y=0617.470-0628.710 | 251, tờ bản đồ số 290, tờ bản đồ
P=2068 | X=0090.500-0101.620 | Y=0619.350-0628.670 | 39
P=2068 | X=0378.620-0395.260 | Y=0619.350-0628.670 | 540
P=2068 | X=0426.650-0443.290 | Y=0619.350-0628.670 | 380
P=2068 | X=0505.390-0522.030 | Y=0619.350-0628.670 | 320
P=2068 | X=0102.770-0172.850 | Y=0625.110-0634.430 | Chợ Tân Quan)
P=2068 | X=0212.230-0223.350 | Y=0630.630-0639.950 | 93
P=2068 | X=0292.920-0317.240 | Y=0630.630-0639.950 | số 93
P=2068 | X=0212.230-0361.900 | Y=0646.750-0657.990 | Từ thửa đất số Hết thửa đất số
P=2068 | X=0102.770-0202.450 | Y=0652.510-0663.750 | Đường N2 (phía Đông
P=2068 | X=0212.230-0358.050 | Y=0658.270-0669.510 | 252, tờ bản đồ số 414, tờ bản đồ
P=2068 | X=0090.500-0101.620 | Y=0660.150-0669.470 | 40
P=2068 | X=0378.620-0395.260 | Y=0660.150-0669.470 | 540
P=2068 | X=0426.650-0443.290 | Y=0660.150-0669.470 | 380
P=2068 | X=0505.390-0522.030 | Y=0660.150-0669.470 | 320
P=2068 | X=0102.770-0172.850 | Y=0665.910-0675.230 | Chợ Tân Quan)
P=2068 | X=0212.230-0223.350 | Y=0671.670-0680.990 | 93
P=2068 | X=0292.920-0317.240 | Y=0671.670-0680.990 | số 93
P=2068 | X=0102.770-0199.480 | Y=0687.790-0699.030 | Đường D1 (phía Nam
P=2068 | X=0212.230-0361.900 | Y=0687.790-0699.030 | Từ thửa đất số Hết thửa đất số
P=2068 | X=0090.500-0101.620 | Y=0695.430-0704.750 | 41
P=2068 | X=0378.620-0395.260 | Y=0695.430-0704.750 | 540
P=2068 | X=0426.650-0443.290 | Y=0695.430-0704.750 | 380
P=2068 | X=0505.390-0522.030 | Y=0695.430-0704.750 | 320
P=2068 | X=0212.230-0358.050 | Y=0699.310-0710.550 | 297, tờ bản đồ số 321, tờ bản đồ
P=2068 | X=0102.770-0172.850 | Y=0701.190-0710.510 | Chợ Tân Quan)
P=2069 | X=0212.230-0223.350 | Y=0074.620-0083.940 | 93
P=2069 | X=0292.920-0317.240 | Y=0074.620-0083.940 | số 93
P=2069 | X=0102.770-0208.950 | Y=0090.740-0101.980 | Đường giao thông nông
P=2069 | X=0102.770-0201.190 | Y=0102.260-0113.500 | thôn có độ rộng từ 3m
P=2069 | X=0102.770-0206.790 | Y=0113.780-0125.020 | trở lên đấu nối trực tiếp
P=2069 | X=0090.500-0262.500 | Y=0125.330-0136.570 | 42 ra Đường ĐT 75 6B và Toàn tuyến
P=2069 | X=0378.620-0395.260 | Y=0127.210-0136.530 | 450
P=2069 | X=0426.650-0443.290 | Y=0127.210-0136.530 | 320
P=2069 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 270
P=2069 | X=0102.770-0201.240 | Y=0136.850-0148.090 | đường ĐT 756C trong
P=2069 | X=0102.770-0204.630 | Y=0148.370-0159.610 | phạm vi 200m đầu tính
P=2069 | X=0102.770-0141.350 | Y=0161.530-0170.850 | từ HLLG
P=2069 | X=0102.770-0208.950 | Y=0177.650-0188.890 | Đường giao thông nông
P=2069 | X=0090.500-0262.500 | Y=0189.170-0200.410 | 43 thôn có độ rộng từ 3m Toàn tuyến
P=2069 | X=0378.620-0395.260 | Y=0191.050-0200.370 | 360
P=2069 | X=0426.650-0443.290 | Y=0191.050-0200.370 | 250
P=2069 | X=0505.390-0522.030 | Y=0191.050-0200.370 | 220
P=2069 | X=0102.770-0131.890 | Y=0202.590-0211.910 | trở lên
P=2069 | X=0102.770-0199.600 | Y=0218.710-0229.950 | Các tuyến đường còn
P=2069 | X=0090.500-0101.620 | Y=0226.350-0235.670 | 44
P=2069 | X=0212.230-0262.500 | Y=0226.350-0235.670 | Toàn tuyến
P=2069 | X=0378.620-0395.260 | Y=0226.350-0235.670 | 270
P=2069 | X=0426.650-0443.290 | Y=0226.350-0235.670 | 190
P=2069 | X=0505.390-0522.030 | Y=0226.350-0235.670 | 160
P=2069 | X=0102.770-0112.930 | Y=0232.110-0241.430 | lại
