TABLE=086 | AREA=Xã Tân Tiến | SECTION=non-agricultural | SEGMENTS=1
P=2113 | X=0102.770-0194.790 | Y=0563.690-0574.930 | Đường nhựa ấp Tân
P=2113 | X=0203.590-0358.770 | Y=0569.450-0580.690 | Đường ĐT 759B số 380, tờ bản đồ
P=2113 | X=0090.500-0101.620 | Y=0571.330-0580.650 | 60
P=2113 | X=0370.700-0387.340 | Y=0571.330-0580.650 | 480
P=2113 | X=0420.410-0437.050 | Y=0571.330-0580.650 | 340
P=2113 | X=0505.390-0522.030 | Y=0571.330-0580.650 | 290
P=2113 | X=0102.770-0115.090 | Y=0577.090-0586.410 | An
P=2113 | X=0280.180-0307.800 | Y=0582.850-0592.170 | số 73)
P=2113 | X=0280.180-0347.190 | Y=0598.970-0610.210 | Ngã tư máy trà
P=2113 | X=0280.180-0339.890 | Y=0612.130-0621.450 | ông Viện (hết
P=2113 | X=0090.500-0176.290 | Y=0621.790-0633.030 | 61 Đường nhựa H8
P=2113 | X=0203.590-0353.720 | Y=0621.790-0633.030 | Đường ĐT 759B ranh thửa đất số
P=2113 | X=0370.700-0387.340 | Y=0623.670-0632.990 | 480
P=2113 | X=0420.410-0437.050 | Y=0623.670-0632.990 | 340
P=2113 | X=0505.390-0522.030 | Y=0623.670-0632.990 | 290
P=2113 | X=0280.180-0358.520 | Y=0633.310-0644.550 | 170, tờ bản đồ số
P=2113 | X=0280.180-0294.580 | Y=0646.710-0656.030 | 80)
P=2113 | X=0102.770-0182.530 | Y=0662.830-0674.070 | Đường nhựa giáp
P=2113 | X=0090.500-0253.860 | Y=0676.230-0685.550 | 62 ranh Tân Thành - Tân Toàn tuyến
P=2113 | X=0370.700-0387.340 | Y=0676.230-0685.550 | 480
P=2113 | X=0420.410-0437.050 | Y=0676.230-0685.550 | 340
P=2113 | X=0505.390-0522.030 | Y=0676.230-0685.550 | 290
P=2113 | X=0102.770-0122.530 | Y=0687.750-0697.070 | Tiến
P=2113 | X=0090.500-0351.310 | Y=0703.890-0715.130 | 63 Đường nhựa ấp Tân Đường ĐT 759B Ngã ba nhà ông
P=2113 | X=0370.700-0387.340 | Y=0705.780-0715.100 | 480
P=2113 | X=0420.410-0437.050 | Y=0705.780-0715.100 | 340
P=2113 | X=0505.390-0522.030 | Y=0705.780-0715.100 | 290
P=2114 | X=0102.770-0199.490 | Y=0072.740-0083.980 | An (Đường Đào Tiên)
P=2114 | X=0280.180-0358.730 | Y=0074.620-0083.940 | Thái Hoàng Déng
P=2114 | X=0102.770-0199.600 | Y=0090.740-0101.980 | Đường bê tông, nhựa
P=2114 | X=0090.500-0323.250 | Y=0102.260-0113.500 | 64 (bên cạnh Cây xăng Đường ĐT 759B Hết tuyến
P=2114 | X=0370.700-0387.340 | Y=0104.140-0113.460 | 480
P=2114 | X=0420.410-0437.050 | Y=0104.140-0113.460 | 340
P=2114 | X=0505.390-0522.030 | Y=0104.140-0113.460 | 290
P=2114 | X=0102.770-0149.330 | Y=0115.660-0124.980 | Thanh Xổ)
P=2114 | X=0102.770-0194.790 | Y=0131.810-0143.050 | Đường nhựa ấp Tân
P=2114 | X=0090.500-0323.250 | Y=0143.330-0154.570 | 65 Bình (cổng chào Tân Đường ĐT 759B Hết tuyến
P=2114 | X=0370.700-0387.340 | Y=0145.210-0154.530 | 520
P=2114 | X=0420.410-0437.050 | Y=0145.210-0154.530 | 360
P=2114 | X=0505.390-0522.030 | Y=0145.210-0154.530 | 310
P=2114 | X=0102.770-0126.760 | Y=0156.730-0166.050 | Bình)
P=2114 | X=0102.770-0194.790 | Y=0172.850-0184.090 | Đường nhựa ấp Tân
P=2114 | X=0090.500-0355.160 | Y=0184.370-0195.610 | 66 Hòa (bên cạnh Cây Đường ĐT 759B Kênh nhánh N12
P=2114 | X=0370.700-0387.340 | Y=0186.250-0195.570 | 520
P=2114 | X=0420.410-0437.050 | Y=0186.250-0195.570 | 360
P=2114 | X=0505.390-0522.030 | Y=0186.250-0195.570 | 310
P=2114 | X=0102.770-0189.190 | Y=0195.650-0206.890 | xăng Hoàng Trọng)
P=2114 | X=0102.770-0194.790 | Y=0213.670-0224.910 | Đường nhựa ấp Tân
P=2114 | X=0280.180-0351.310 | Y=0221.310-0230.630 | Ngã ba nhà ông
P=2114 | X=0090.500-0180.290 | Y=0225.190-0236.430 | 67 Thuận (trại cá Tư
P=2114 | X=0203.590-0277.510 | Y=0225.190-0236.430 | Đường ĐT 759B
P=2114 | X=0370.700-0387.340 | Y=0227.070-0236.390 | 520
P=2114 | X=0420.410-0437.050 | Y=0227.070-0236.390 | 360
P=2114 | X=0505.390-0522.030 | Y=0227.070-0236.390 | 310
P=2114 | X=0280.180-0328.280 | Y=0230.950-0242.190 | Bế Văn Ba
P=2114 | X=0102.770-0132.770 | Y=0236.710-0247.950 | Nghĩa)
P=2114 | X=0102.770-0182.530 | Y=0254.710-0265.950 | Đường nhựa giáp
P=2114 | X=0090.500-0253.860 | Y=0268.110-0277.430 | 68 ranh Tân Tiến - Thanh Toàn tuyến
P=2114 | X=0370.700-0387.340 | Y=0268.110-0277.430 | 560
P=2114 | X=0420.410-0437.050 | Y=0268.110-0277.430 | 390
P=2114 | X=0505.390-0522.030 | Y=0268.110-0277.430 | 340
P=2114 | X=0102.770-0202.390 | Y=0279.630-0288.950 | Hòa (ấp 2 Thạnh Hòa)
P=2114 | X=0102.770-0182.530 | Y=0295.780-0307.020 | Đường nhựa giáp
P=2114 | X=0090.500-0253.860 | Y=0309.180-0318.500 | 69 ranh Tân Tiến - Thanh Toàn tuyến
P=2114 | X=0370.700-0387.340 | Y=0309.180-0318.500 | 520
P=2114 | X=0420.410-0437.050 | Y=0309.180-0318.500 | 360
P=2114 | X=0505.390-0522.030 | Y=0309.180-0318.500 | 310
P=2114 | X=0102.770-0202.360 | Y=0320.700-0330.020 | Hòa (ấp 6 Thanh Hòa)
P=2114 | X=0102.770-0261.030 | Y=0336.820-0348.060 | Đường liên xã Lộc An Giáp ranh xã
P=2114 | X=0280.180-0356.520 | Y=0338.700-0348.020 | Giáp ranh xã Lộc
P=2114 | X=0090.500-0101.620 | Y=0344.460-0353.780 | 70
P=2114 | X=0370.700-0387.340 | Y=0344.460-0353.780 | 320
P=2114 | X=0420.410-0437.050 | Y=0344.460-0353.780 | 220
P=2114 | X=0505.390-0522.030 | Y=0344.460-0353.780 | 190
P=2114 | X=0102.770-0158.530 | Y=0348.340-0359.580 | - Lộc Tấn cũ
P=2114 | X=0203.590-0250.980 | Y=0350.220-0359.540 | Lộc Thạnh
P=2114 | X=0280.180-0297.560 | Y=0350.220-0359.540 | Tấn
P=2114 | X=0102.770-0200.310 | Y=0366.360-0377.600 | Đường liên xã Lộc An
P=2114 | X=0280.180-0350.930 | Y=0366.360-0377.600 | Thửa đất số 16,
P=2114 | X=0203.590-0274.990 | Y=0372.120-0383.360 | Nông trường 11
P=2114 | X=0090.500-0101.620 | Y=0374.000-0383.320 | 71
P=2114 | X=0370.700-0387.340 | Y=0374.000-0383.320 | 320
P=2114 | X=0420.410-0437.050 | Y=0374.000-0383.320 | 220
P=2114 | X=0505.390-0522.030 | Y=0374.000-0383.320 | 190
P=2114 | X=0102.770-0158.530 | Y=0377.880-0389.120 | - Lộc Tấn cũ
P=2114 | X=0280.180-0355.640 | Y=0377.880-0389.120 | tờ bản đồ số 119
P=2114 | X=0102.770-0274.350 | Y=0395.880-0407.120 | Đường liên xã Lộc An Thửa đất số 16,
P=2114 | X=0090.500-0101.620 | Y=0403.520-0412.840 | 72
P=2114 | X=0280.180-0357.800 | Y=0403.520-0412.840 | Ngã ba Trạm y tế
P=2114 | X=0370.700-0387.340 | Y=0403.520-0412.840 | 320
P=2114 | X=0420.410-0437.050 | Y=0403.520-0412.840 | 220
P=2114 | X=0505.390-0522.030 | Y=0403.520-0412.840 | 190
P=2114 | X=0102.770-0158.530 | Y=0407.400-0418.640 | - Lộc Tấn cũ
P=2114 | X=0203.590-0279.060 | Y=0407.400-0418.640 | tờ bản đồ số 119
P=2114 | X=0102.770-0270.080 | Y=0425.400-0436.640 | Đường liên xã Lộc An Ngã ba Trạm y
P=2114 | X=0280.180-0356.520 | Y=0427.280-0436.600 | Giáp ranh xã Lộc
P=2114 | X=0090.500-0101.620 | Y=0433.040-0442.360 | 73
P=2114 | X=0370.700-0387.340 | Y=0433.040-0442.360 | 320
P=2114 | X=0420.410-0437.050 | Y=0433.040-0442.360 | 220
P=2114 | X=0505.390-0522.030 | Y=0433.040-0442.360 | 190
P=2114 | X=0102.770-0158.530 | Y=0436.920-0448.160 | - Lộc Tấn cũ
P=2114 | X=0203.590-0212.070 | Y=0438.800-0448.120 | tế
P=2114 | X=0280.180-0310.270 | Y=0438.800-0448.120 | Quang
P=2114 | X=0090.500-0346.280 | Y=0454.940-0466.180 | 74 Các tuyến đường giao thông nông thôn từ 3,5m trở lên
P=2114 | X=0370.700-0387.340 | Y=0456.820-0466.140 | 280
P=2114 | X=0420.410-0437.050 | Y=0456.820-0466.140 | 200
P=2114 | X=0505.390-0522.030 | Y=0456.820-0466.140 | 170
P=2114 | X=0102.770-0199.600 | Y=0472.940-0484.180 | Các tuyến đường còn
P=2114 | X=0090.500-0101.620 | Y=0480.580-0489.900 | 75
P=2114 | X=0203.590-0253.860 | Y=0480.580-0489.900 | Toàn tuyến
P=2114 | X=0370.700-0387.340 | Y=0480.580-0489.900 | 260
P=2114 | X=0420.410-0437.050 | Y=0480.580-0489.900 | 180
P=2114 | X=0505.390-0522.030 | Y=0480.580-0489.900 | 150
P=2114 | X=0102.770-0112.930 | Y=0486.100-0495.420 | lại
