TABLE=026 | AREA=Xã Xuân Thành | SECTION=non-agricultural | SEGMENTS=1
P=0972 | X=0445.610-0462.250 | Y=0457.060-0466.380 | 410
P=0972 | X=0505.390-0522.030 | Y=0457.060-0466.380 | 350
P=0972 | X=0111.890-0342.970 | Y=0472.220-0483.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0972 | X=0111.890-0353.000 | Y=0489.740-0500.980 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0972 | X=0111.890-0145.410 | Y=0501.260-0512.500 | ≤500m.
P=0972 | X=0111.890-0377.000 | Y=0519.020-0530.260 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 8/3
P=0972 | X=0111.890-0379.990 | Y=0530.540-0541.780 | đoạn từ Đường tỉnh 766 đến Bên phải đến hết ranh thửa đất
P=0972 | X=0111.890-0384.310 | Y=0542.090-0553.330 | số 525, tờ BĐĐC số 37, Bên trái đến hết ran thửa đất số 567,
P=0972 | X=0111.890-0360.680 | Y=0553.610-0564.850 | tờ BĐĐC số 37 (xã Xuân Thành) có hiện trạng là đường
P=0972 | X=0111.890-0215.000 | Y=0565.130-0576.370 | nhựa, bê tông xi măng:
P=0972 | X=0095.060-0106.180 | Y=0575.890-0585.210 | 45
P=0972 | X=0408.620-0425.260 | Y=0575.890-0585.210 | 530
P=0972 | X=0445.610-0462.250 | Y=0575.890-0585.210 | 370
P=0972 | X=0505.390-0522.030 | Y=0575.890-0585.210 | 320
P=0972 | X=0111.890-0343.440 | Y=0582.650-0593.890 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0972 | X=0111.890-0365.200 | Y=0600.170-0611.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0972 | X=0111.890-0206.840 | Y=0611.690-0622.930 | >500m đến ≤1.000m.
P=0972 | X=0111.890-0335.060 | Y=0629.230-0640.470 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0972 | X=0111.890-0377.000 | Y=0646.750-0657.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 8/3
P=0972 | X=0111.890-0379.990 | Y=0658.270-0669.510 | đoạn từ Đường tỉnh 766 đến Bên phải đến hết ranh thửa đất
P=0972 | X=0095.060-0384.310 | Y=0669.790-0681.030 | 46 số 525, tờ BĐĐC số 37, Bên trái đến hết ran thửa đất số 567,
P=0972 | X=0408.620-0425.260 | Y=0671.670-0680.990 | 400
P=0972 | X=0445.610-0462.250 | Y=0671.670-0680.990 | 280
P=0972 | X=0505.390-0522.030 | Y=0671.670-0680.990 | 240
P=0972 | X=0111.890-0360.680 | Y=0681.310-0692.550 | tờ BĐĐC số 37 (xã Xuân Thành) có hiện trạng là đường
P=0972 | X=0111.890-0215.000 | Y=0692.830-0704.070 | nhựa, bê tông xi măng:
P=0973 | X=0111.890-0353.000 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0973 | X=0111.890-0154.030 | Y=0091.900-0101.220 | >1.000m.
P=0973 | X=0111.890-0335.530 | Y=0107.540-0118.780 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0973 | X=0111.890-0385.400 | Y=0125.330-0136.570 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0973 | X=0111.890-0379.750 | Y=0136.850-0148.090 | ra Đường 8/3 đoạn từ Đường tỉnh 766 đến Bên phải đến hết
P=0973 | X=0111.890-0371.470 | Y=0148.370-0159.610 | ranh thửa đất số 525, tờ BĐĐC số 37, Bên trái đến hết ran
P=0973 | X=0111.890-0367.660 | Y=0159.650-0170.890 | thửa đất số 567, tờ BĐĐC số 37 (xã Xuân Thành) có hiện
P=0973 | X=0095.060-0283.670 | Y=0171.170-0182.610 | 47 trạng là đường nhựa, bê tông xi măng:
P=0973 | X=0408.620-0425.260 | Y=0173.290-0182.610 | 530
P=0973 | X=0445.610-0462.250 | Y=0173.290-0182.610 | 370
P=0973 | X=0505.390-0522.030 | Y=0173.290-0182.610 | 330
P=0973 | X=0111.890-0342.970 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0973 | X=0111.890-0353.000 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0973 | X=0111.890-0145.410 | Y=0217.750-0228.990 | ≤500m.
P=0973 | X=0111.890-0385.400 | Y=0235.510-0246.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0973 | X=0111.890-0379.750 | Y=0247.030-0258.270 | ra Đường 8/3 đoạn từ Đường tỉnh 766 đến Bên phải đến hết
P=0973 | X=0111.890-0371.470 | Y=0258.550-0269.790 | ranh thửa đất số 525, tờ BĐĐC số 37, Bên trái đến hết ran
P=0973 | X=0111.890-0367.660 | Y=0270.070-0281.310 | thửa đất số 567, tờ BĐĐC số 37 (xã Xuân Thành) có hiện
P=0973 | X=0111.890-0283.670 | Y=0281.620-0292.860 | trạng là đường nhựa, bê tông xi măng:
P=0973 | X=0095.060-0106.180 | Y=0292.380-0301.700 | 48
P=0973 | X=0408.620-0425.260 | Y=0292.380-0301.700 | 480
P=0973 | X=0445.610-0462.250 | Y=0292.380-0301.700 | 340
P=0973 | X=0505.390-0522.030 | Y=0292.380-0301.700 | 290
P=0973 | X=0111.890-0343.440 | Y=0299.140-0310.380 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0973 | X=0111.890-0365.200 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0973 | X=0111.890-0206.840 | Y=0327.940-0339.180 | >500m đến ≤1.000m.
P=0973 | X=0111.890-0335.060 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0973 | X=0111.890-0385.400 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0973 | X=0111.890-0379.750 | Y=0374.760-0386.000 | ra Đường 8/3 đoạn từ Đường tỉnh 766 đến Bên phải đến hết
P=0973 | X=0111.890-0377.000 | Y=0386.280-0397.520 | ranh thửa đất số 525, tờ BĐĐC số 37, Bên trái đến hết ranh
P=0973 | X=0111.890-0367.660 | Y=0397.800-0409.040 | thửa đất số 567, tờ BĐĐC số 37 (xã Xuân Thành) có hiện
P=0973 | X=0095.060-0283.670 | Y=0409.320-0420.760 | 49 trạng là đường nhựa, bê tông xi măng:
P=0973 | X=0408.620-0425.260 | Y=0411.440-0420.760 | 360
P=0973 | X=0445.610-0462.250 | Y=0411.440-0420.760 | 250
P=0973 | X=0505.390-0522.030 | Y=0411.440-0420.760 | 220
P=0973 | X=0111.890-0353.000 | Y=0426.840-0438.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0973 | X=0111.890-0154.030 | Y=0440.240-0449.560 | >1.000m.
P=0973 | X=0111.890-0335.530 | Y=0455.900-0467.140 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0973 | X=0306.360-0382.150 | Y=0473.660-0484.900 | Ngã ba (thửa đất
P=0973 | X=0306.360-0388.300 | Y=0485.180-0496.420 | số 1774, tờ BĐĐC
P=0973 | X=0095.060-0172.230 | Y=0490.940-0502.180 | 50 Đường tổ 6-7
P=0973 | X=0230.980-0301.150 | Y=0490.940-0502.180 | Đường tỉnh 766
P=0973 | X=0400.460-0425.510 | Y=0492.820-0502.140 | 1.200
P=0973 | X=0445.610-0462.250 | Y=0492.820-0502.140 | 840
P=0973 | X=0505.390-0522.030 | Y=0492.820-0502.140 | 720
P=0973 | X=0306.360-0373.150 | Y=0498.340-0507.660 | số 39, xã Xuân
P=0973 | X=0306.360-0338.040 | Y=0509.860-0519.180 | Thành)
P=0973 | X=0111.890-0383.180 | Y=0525.740-0536.980 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6-
P=0973 | X=0111.890-0378.750 | Y=0537.290-0548.530 | 7 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất số 1774, tờ
P=0973 | X=0111.890-0377.110 | Y=0548.810-0560.050 | BĐĐC số 39, xã Xuân Thành) có hiện trạng là đường nhựa,
P=0973 | X=0111.890-0185.970 | Y=0560.330-0571.570 | bê tông xi măng:
P=0973 | X=0095.060-0106.180 | Y=0568.210-0577.530 | 51
P=0973 | X=0408.620-0425.260 | Y=0568.210-0577.530 | 590
P=0973 | X=0445.610-0462.250 | Y=0568.210-0577.530 | 410
P=0973 | X=0505.390-0522.030 | Y=0568.210-0577.530 | 350
P=0973 | X=0111.890-0342.970 | Y=0577.850-0589.090 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0973 | X=0111.890-0353.000 | Y=0595.370-0606.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0973 | X=0111.890-0145.410 | Y=0606.890-0618.130 | ≤500m.
P=0973 | X=0111.890-0383.180 | Y=0624.670-0635.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6-
P=0973 | X=0111.890-0378.750 | Y=0636.190-0647.430 | 7 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất số 1774, tờ
P=0973 | X=0111.890-0377.110 | Y=0647.710-0658.950 | BĐĐC số 39, xã Xuân Thành) có hiện trạng là đường nhựa,
P=0973 | X=0111.890-0185.970 | Y=0659.230-0670.470 | bê tông xi măng:
P=0973 | X=0095.060-0106.180 | Y=0667.110-0676.430 | 52
P=0973 | X=0408.620-0425.260 | Y=0667.110-0676.430 | 530
P=0973 | X=0445.610-0462.250 | Y=0667.110-0676.430 | 370
P=0973 | X=0505.390-0522.030 | Y=0667.110-0676.430 | 320
P=0973 | X=0111.890-0343.440 | Y=0676.510-0687.750 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0973 | X=0111.890-0365.200 | Y=0694.030-0705.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0973 | X=0111.890-0206.840 | Y=0705.570-0716.810 | >500m đến ≤1.000m.
P=0974 | X=0111.890-0335.060 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0974 | X=0111.890-0383.180 | Y=0096.260-0107.500 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6-
P=0974 | X=0111.890-0378.750 | Y=0107.780-0119.020 | 7 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất số 1774, tờ
P=0974 | X=0111.890-0377.110 | Y=0119.330-0130.570 | BĐĐC số 39, xã Xuân Thành) có hiện trạng là đường nhựa,
P=0974 | X=0111.890-0185.970 | Y=0130.850-0142.090 | bê tông xi măng:
P=0974 | X=0095.060-0106.180 | Y=0138.730-0148.050 | 53
P=0974 | X=0408.620-0425.260 | Y=0138.730-0148.050 | 400
P=0974 | X=0445.610-0462.250 | Y=0138.730-0148.050 | 280
P=0974 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 240
P=0974 | X=0111.890-0353.000 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0974 | X=0111.890-0154.030 | Y=0161.530-0170.850 | >1.000m.
P=0974 | X=0111.890-0335.530 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0974 | X=0111.890-0385.400 | Y=0194.930-0206.170 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0974 | X=0111.890-0374.860 | Y=0206.470-0217.710 | ra Đường tổ 6-7 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa
P=0974 | X=0111.890-0385.650 | Y=0217.990-0229.230 | đất số 1774, tờ BĐĐC số 39, xã Xuân Thành) có hiện trạng là
P=0974 | X=0111.890-0247.660 | Y=0229.510-0240.750 | đường nhựa, bê tông xi măng:
P=0974 | X=0095.060-0106.180 | Y=0237.390-0246.710 | 54
P=0974 | X=0408.620-0425.260 | Y=0237.390-0246.710 | 530
P=0974 | X=0445.610-0462.250 | Y=0237.390-0246.710 | 370
P=0974 | X=0505.390-0522.030 | Y=0237.390-0246.710 | 330
P=0974 | X=0111.890-0342.970 | Y=0247.030-0258.270 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0974 | X=0111.890-0353.000 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0974 | X=0111.890-0145.410 | Y=0276.070-0287.310 | ≤500m.
P=0974 | X=0111.890-0385.400 | Y=0293.860-0305.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0974 | X=0111.890-0374.860 | Y=0305.380-0316.620 | ra Đường tổ 6-7 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa
P=0974 | X=0111.890-0385.650 | Y=0316.900-0328.140 | đất số 1774, tờ BĐĐC số 39, xã Xuân Thành) có hiện trạng là
P=0974 | X=0111.890-0247.660 | Y=0328.420-0339.660 | đường nhựa, bê tông xi măng:
P=0974 | X=0095.060-0343.440 | Y=0344.940-0356.940 | 55 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0974 | X=0408.620-0425.260 | Y=0344.940-0354.260 | 480
P=0974 | X=0445.610-0462.250 | Y=0344.940-0354.260 | 340
P=0974 | X=0505.390-0522.030 | Y=0344.940-0354.260 | 290
P=0974 | X=0111.890-0365.200 | Y=0363.220-0374.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0974 | X=0111.890-0206.840 | Y=0374.760-0386.000 | >500m đến ≤1.000m.
P=0974 | X=0111.890-0335.060 | Y=0392.280-0403.520 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0974 | X=0111.890-0385.400 | Y=0410.040-0421.280 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0974 | X=0111.890-0374.860 | Y=0421.560-0432.800 | ra Đường tổ 6-7 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa
P=0974 | X=0111.890-0385.650 | Y=0433.080-0444.320 | đất số 1774, tờ BĐĐC số 39, xã Xuân Thành) có hiện trạng là
P=0974 | X=0111.890-0247.660 | Y=0444.600-0455.840 | đường nhựa, bê tông xi măng:
P=0974 | X=0095.060-0106.180 | Y=0452.500-0461.820 | 56
P=0974 | X=0408.620-0425.260 | Y=0452.500-0461.820 | 360
P=0974 | X=0445.610-0462.250 | Y=0452.500-0461.820 | 250
P=0974 | X=0505.390-0522.030 | Y=0452.500-0461.820 | 220
P=0974 | X=0111.890-0353.000 | Y=0462.140-0473.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0974 | X=0111.890-0154.030 | Y=0475.540-0484.860 | >1.000m.
P=0974 | X=0111.890-0335.530 | Y=0491.180-0502.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0974 | X=0306.360-0382.150 | Y=0508.940-0520.180 | Ngã ba (thửa đất
P=0974 | X=0306.360-0388.300 | Y=0520.220-0531.460 | số 1182, tờ BĐĐC
P=0974 | X=0095.060-0165.970 | Y=0525.980-0537.220 | 57 Đường 30/4
P=0974 | X=0230.980-0301.150 | Y=0525.980-0537.220 | Đường tỉnh 766
P=0974 | X=0400.460-0425.510 | Y=0527.860-0537.180 | 1.200
P=0974 | X=0445.610-0462.250 | Y=0527.860-0537.180 | 840
P=0974 | X=0505.390-0522.030 | Y=0527.860-0537.180 | 720
P=0974 | X=0306.360-0373.150 | Y=0533.620-0542.940 | số 19, xã Xuân
P=0974 | X=0306.360-0338.040 | Y=0545.170-0554.490 | Thành)
P=0974 | X=0111.890-0382.520 | Y=0561.050-0572.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 30/4
P=0974 | X=0111.890-0370.350 | Y=0572.570-0583.810 | đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất số 1182, tờ
P=0974 | X=0111.890-0377.110 | Y=0584.090-0595.330 | BĐĐC số 19, xã Xuân Thành) có hiện trạng là đường nhựa,
P=0974 | X=0111.890-0185.970 | Y=0595.610-0606.850 | bê tông xi măng:
P=0974 | X=0095.060-0106.180 | Y=0603.490-0612.810 | 58
P=0974 | X=0408.620-0425.260 | Y=0603.490-0612.810 | 590
P=0974 | X=0445.610-0462.250 | Y=0603.490-0612.810 | 410
P=0974 | X=0505.390-0522.030 | Y=0603.490-0612.810 | 350
P=0974 | X=0111.890-0342.970 | Y=0613.130-0624.370 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0974 | X=0111.890-0353.000 | Y=0630.670-0641.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0974 | X=0111.890-0145.410 | Y=0642.190-0653.430 | ≤500m.
P=0974 | X=0111.890-0382.520 | Y=0659.950-0671.190 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 30/4
P=0974 | X=0111.890-0370.350 | Y=0671.470-0682.710 | đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất số 1182, tờ
P=0974 | X=0095.060-0106.180 | Y=0679.110-0688.430 | 59
P=0974 | X=0408.620-0425.260 | Y=0679.110-0688.430 | 530
P=0974 | X=0445.610-0462.250 | Y=0679.110-0688.430 | 370
P=0974 | X=0505.390-0522.030 | Y=0679.110-0688.430 | 320
P=0974 | X=0111.890-0377.110 | Y=0682.750-0693.990 | BĐĐC số 19, xã Xuân Thành) có hiện trạng là đường nhựa,
P=0974 | X=0111.890-0185.970 | Y=0694.270-0705.510 | bê tông xi măng:
P=0975 | X=0111.890-0343.440 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0975 | X=0111.890-0365.200 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0975 | X=0111.890-0206.840 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=0975 | X=0111.890-0335.060 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0975 | X=0111.890-0382.520 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 30/4
P=0975 | X=0111.890-0370.350 | Y=0154.370-0165.610 | đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất số 1182, tờ
P=0975 | X=0111.890-0377.110 | Y=0165.650-0176.890 | BĐĐC số 19, xã Xuân Thành) có hiện trạng là đường nhựa,
P=0975 | X=0111.890-0185.970 | Y=0177.170-0188.410 | bê tông xi măng:
P=0975 | X=0095.060-0106.180 | Y=0185.050-0194.370 | 60
P=0975 | X=0408.620-0425.260 | Y=0185.050-0194.370 | 400
P=0975 | X=0445.610-0462.250 | Y=0185.050-0194.370 | 280
P=0975 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 240
P=0975 | X=0111.890-0353.000 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0975 | X=0111.890-0154.030 | Y=0208.110-0217.430 | >1.000m.
P=0975 | X=0111.890-0335.530 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0975 | X=0111.890-0385.400 | Y=0241.510-0252.750 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0975 | X=0111.890-0385.270 | Y=0253.030-0264.270 | ra Đường 30/4 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất
P=0975 | X=0111.890-0368.830 | Y=0264.550-0275.790 | số 1182, tờ BĐĐC số 19, xã Xuân Thành) có hiện trạng là
P=0975 | X=0111.890-0247.660 | Y=0276.070-0287.310 | đường nhựa, bê tông xi măng:
P=0975 | X=0095.060-0106.180 | Y=0283.980-0293.300 | 61
P=0975 | X=0408.620-0425.260 | Y=0283.980-0293.300 | 530
P=0975 | X=0445.610-0462.250 | Y=0283.980-0293.300 | 370
P=0975 | X=0505.390-0522.030 | Y=0283.980-0293.300 | 330
P=0975 | X=0111.890-0342.970 | Y=0293.620-0304.860 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0975 | X=0111.890-0353.000 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0975 | X=0111.890-0145.410 | Y=0322.660-0333.900 | ≤500m.
P=0975 | X=0111.890-0385.400 | Y=0340.420-0351.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0975 | X=0111.890-0385.270 | Y=0351.700-0362.940 | ra Đường 30/4 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất
P=0975 | X=0111.890-0368.830 | Y=0363.220-0374.460 | số 1182, tờ BĐĐC số 19, xã Xuân Thành) có hiện trạng là
P=0975 | X=0111.890-0247.660 | Y=0374.760-0386.000 | đường nhựa, bê tông xi măng:
P=0975 | X=0095.060-0343.440 | Y=0391.520-0403.520 | 62 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0975 | X=0408.620-0425.260 | Y=0391.520-0400.840 | 480
P=0975 | X=0445.610-0462.250 | Y=0391.520-0400.840 | 340
P=0975 | X=0505.390-0522.030 | Y=0391.520-0400.840 | 290
P=0975 | X=0111.890-0365.200 | Y=0409.800-0421.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0975 | X=0111.890-0206.840 | Y=0421.320-0432.560 | >500m đến ≤1.000m.
P=0975 | X=0111.890-0335.060 | Y=0438.840-0450.080 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0975 | X=0111.890-0385.400 | Y=0456.620-0467.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0975 | X=0111.890-0385.270 | Y=0468.140-0479.380 | ra Đường 30/4 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất
P=0975 | X=0111.890-0368.830 | Y=0479.660-0490.900 | số 1182, tờ BĐĐC số 19, xã Xuân Thành) có hiện trạng là
P=0975 | X=0111.890-0247.660 | Y=0491.180-0502.420 | đường nhựa, bê tông xi măng:
P=0975 | X=0095.060-0106.180 | Y=0499.060-0508.380 | 63
P=0975 | X=0408.620-0425.260 | Y=0499.060-0508.380 | 360
P=0975 | X=0445.610-0462.250 | Y=0499.060-0508.380 | 250
P=0975 | X=0505.390-0522.030 | Y=0499.060-0508.380 | 220
P=0975 | X=0111.890-0353.000 | Y=0508.460-0519.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0975 | X=0111.890-0154.030 | Y=0521.860-0531.180 | >1.000m.
P=0975 | X=0111.890-0335.530 | Y=0537.530-0548.770 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0975 | X=0306.360-0385.030 | Y=0555.290-0566.530 | Hết ranh thửa đất
P=0975 | X=0306.360-0388.300 | Y=0566.810-0578.050 | số 1866, tờ BĐĐC
P=0975 | X=0306.360-0385.410 | Y=0580.210-0589.530 | số 12 về bên phải
P=0975 | X=0306.360-0380.150 | Y=0591.730-0601.050 | và hết ranh thửa
P=0975 | X=0095.060-0165.970 | Y=0595.610-0606.850 | 64 Đường 19/5
P=0975 | X=0230.980-0301.150 | Y=0595.610-0606.850 | Đường tỉnh 766
P=0975 | X=0400.460-0425.510 | Y=0597.490-0606.810 | 1.200
P=0975 | X=0445.610-0462.250 | Y=0597.490-0606.810 | 840
P=0975 | X=0505.390-0522.030 | Y=0597.490-0606.810 | 720
P=0975 | X=0306.360-0373.710 | Y=0601.370-0612.610 | đất số 1588, tờ
P=0975 | X=0306.360-0378.460 | Y=0612.890-0624.130 | BĐĐC số 12, về
P=0975 | X=0306.360-0382.030 | Y=0626.310-0635.630 | bên trái, xã Xuân
P=0975 | X=0306.360-0334.770 | Y=0637.830-0647.150 | Thành
P=0975 | X=0111.890-0382.520 | Y=0653.710-0664.950 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 19/5
P=0975 | X=0111.890-0373.230 | Y=0665.230-0676.470 | đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 1866, tờ
P=0975 | X=0095.060-0368.190 | Y=0676.510-0687.750 | 65 BĐĐC số 12 về bên phải và hết ranh thửa đất số 1588, tờ
P=0975 | X=0408.620-0425.260 | Y=0678.390-0687.710 | 590
P=0975 | X=0445.610-0462.250 | Y=0678.390-0687.710 | 410
P=0975 | X=0505.390-0522.030 | Y=0678.390-0687.710 | 350
P=0975 | X=0111.890-0364.520 | Y=0688.030-0699.270 | BĐĐC số 12, về bên trái, xã Xuân Thành có hiện trạng là
P=0975 | X=0111.890-0247.660 | Y=0699.550-0710.790 | đường nhựa, bê tông xi măng:
P=0976 | X=0111.890-0342.970 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0976 | X=0111.890-0353.000 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0976 | X=0111.890-0145.410 | Y=0107.540-0118.780 | ≤500m.
P=0976 | X=0111.890-0382.520 | Y=0125.330-0136.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 19/5
P=0976 | X=0111.890-0373.230 | Y=0136.850-0148.090 | đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 1866, tờ
P=0976 | X=0111.890-0368.190 | Y=0148.370-0159.610 | BĐĐC số 12 về bên phải và hết ranh thửa đất số 1588, tờ
P=0976 | X=0111.890-0364.520 | Y=0159.650-0170.890 | BĐĐC số 12, về bên trái, xã Xuân Thành có hiện trạng là
P=0976 | X=0111.890-0247.660 | Y=0171.170-0182.410 | đường nhựa, bê tông xi măng:
P=0976 | X=0095.060-0106.180 | Y=0182.170-0191.490 | 66
P=0976 | X=0408.620-0425.260 | Y=0182.170-0191.490 | 530
P=0976 | X=0445.610-0462.250 | Y=0182.170-0191.490 | 370
P=0976 | X=0505.390-0522.030 | Y=0182.170-0191.490 | 320
P=0976 | X=0111.890-0343.440 | Y=0188.690-0199.930 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0976 | X=0111.890-0365.200 | Y=0206.230-0217.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0976 | X=0111.890-0206.840 | Y=0217.750-0228.990 | >500m đến ≤1.000m.
P=0976 | X=0111.890-0335.060 | Y=0235.270-0246.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0976 | X=0111.890-0382.520 | Y=0253.030-0264.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 19/5
P=0976 | X=0111.890-0373.230 | Y=0264.550-0275.790 | đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 1866, tờ
P=0976 | X=0111.890-0368.190 | Y=0276.070-0287.310 | BĐĐC số 12 về bên phải và hết ranh thửa đất số 1588, tờ
P=0976 | X=0111.890-0364.520 | Y=0287.620-0298.860 | BĐĐC số 12, về bên trái, xã Xuân Thành có hiện trạng là
P=0976 | X=0095.060-0247.660 | Y=0299.140-0310.580 | 67 đường nhựa, bê tông xi măng:
P=0976 | X=0408.620-0425.260 | Y=0301.260-0310.580 | 400
P=0976 | X=0445.610-0462.250 | Y=0301.260-0310.580 | 280
P=0976 | X=0505.390-0522.030 | Y=0301.260-0310.580 | 240
P=0976 | X=0111.890-0353.010 | Y=0316.660-0327.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0976 | X=0111.890-0154.030 | Y=0329.820-0339.140 | >1.000m.
P=0976 | X=0111.890-0335.530 | Y=0345.460-0356.700 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0976 | X=0111.890-0385.400 | Y=0363.220-0374.460 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0976 | X=0111.890-0388.150 | Y=0374.760-0386.000 | ra Đường 19/5 đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất
P=0976 | X=0111.890-0381.340 | Y=0386.280-0397.520 | số 1866, tờ BĐĐC số 12 về bên phải và hết ranh thửa đất số
P=0976 | X=0111.890-0368.140 | Y=0397.800-0409.040 | 1588, tờ BĐĐC số 12, về bên trái, xã Xuân Thành có hiện
P=0976 | X=0095.060-0283.670 | Y=0409.320-0420.760 | 68 trạng là đường nhựa, bê tông xi măng:
