TABLE=026 | AREA=Xã Xuân Thành | SECTION=non-agricultural | SEGMENTS=1
P=0966 | X=0111.890-0364.800 | Y=0276.070-0287.310 | xăng số 9 có hiện trạng là đường nhựa, bê tông xi măng:
P=0966 | X=0097.970-0343.440 | Y=0293.620-0307.700 | 6 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0966 | X=0408.620-0425.260 | Y=0298.380-0307.700 | 760
P=0966 | X=0445.610-0462.250 | Y=0298.380-0307.700 | 530
P=0966 | X=0505.390-0522.030 | Y=0298.380-0307.700 | 460
P=0966 | X=0111.890-0365.200 | Y=0311.140-0322.380 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0966 | X=0111.890-0206.880 | Y=0322.660-0333.900 | >500m đến ≤1.000m.
P=0966 | X=0111.890-0335.060 | Y=0339.940-0351.180 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0966 | X=0111.890-0385.400 | Y=0357.700-0368.940 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0966 | X=0111.890-0375.960 | Y=0369.240-0380.480 | ra Đường tỉnh 766 đoạn từ Giáp ranh xã Xuân Lộc đến Cây
P=0966 | X=0111.890-0364.800 | Y=0380.760-0392.000 | xăng số 9 có hiện trạng là đường nhựa, bê tông xi măng:
P=0966 | X=0097.970-0103.570 | Y=0394.400-0403.720 | 7
P=0966 | X=0408.620-0425.260 | Y=0394.400-0403.720 | 570
P=0966 | X=0445.610-0462.250 | Y=0394.400-0403.720 | 400
P=0966 | X=0505.390-0522.030 | Y=0394.400-0403.720 | 340
P=0966 | X=0111.890-0353.000 | Y=0398.280-0409.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0966 | X=0111.890-0154.030 | Y=0411.680-0421.000 | >1.000m.
P=0966 | X=0111.890-0335.530 | Y=0427.320-0438.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0966 | X=0306.360-0381.550 | Y=0445.080-0456.320 | Hết Nhà văn hóa
P=0966 | X=0097.970-0182.060 | Y=0450.860-0462.100 | 8 Đường tỉnh 766
P=0966 | X=0230.980-0294.900 | Y=0450.860-0462.100 | Cây xăng số 9
P=0966 | X=0400.460-0425.510 | Y=0452.740-0462.060 | 2.200
P=0966 | X=0437.450-0462.500 | Y=0452.740-0462.060 | 1.500
P=0966 | X=0497.230-0522.280 | Y=0452.740-0462.060 | 1.300
P=0966 | X=0306.360-0359.990 | Y=0456.620-0467.860 | ấp Tân Hữu
P=0966 | X=0111.890-0379.430 | Y=0474.380-0485.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0966 | X=0111.890-0386.140 | Y=0485.900-0497.140 | 766 đoạn từ Cây xăng số 9 đến Hết Nhà văn hóa ấp Tân Hữu
P=0966 | X=0111.890-0318.740 | Y=0497.420-0508.660 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0966 | X=0097.970-0103.570 | Y=0511.060-0520.380 | 9
P=0966 | X=0400.460-0425.510 | Y=0511.060-0520.380 | 1.100
P=0966 | X=0445.610-0462.250 | Y=0511.060-0520.380 | 770
P=0966 | X=0505.390-0522.030 | Y=0511.060-0520.380 | 660
P=0966 | X=0111.890-0342.970 | Y=0514.940-0526.180 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0966 | X=0111.890-0353.000 | Y=0532.220-0543.460 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0966 | X=0111.890-0145.410 | Y=0543.770-0555.010 | ≤500m.
P=0966 | X=0111.890-0379.430 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0966 | X=0111.890-0386.140 | Y=0573.050-0584.290 | 766 đoạn từ Cây xăng số 9 đến Hết Nhà văn hóa ấp Tân Hữu
P=0966 | X=0111.890-0318.740 | Y=0584.570-0595.810 | có hiện trạng là đường nhựa, bê tông xi măng:
P=0966 | X=0095.060-0343.440 | Y=0602.090-0616.410 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0966 | X=0408.620-0425.260 | Y=0607.090-0616.410 | 840
P=0966 | X=0445.610-0462.250 | Y=0607.090-0616.410 | 590
P=0966 | X=0505.390-0522.030 | Y=0607.090-0616.410 | 500
P=0966 | X=0111.890-0365.200 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0966 | X=0111.890-0206.840 | Y=0631.150-0642.390 | >500m đến ≤1.000m.
P=0966 | X=0111.890-0335.060 | Y=0648.670-0659.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0966 | X=0111.890-0379.430 | Y=0666.430-0677.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0966 | X=0111.890-0386.140 | Y=0677.950-0689.190 | 766 đoạn từ Cây xăng số 9 đến Hết Nhà văn hóa ấp Tân Hữu
P=0966 | X=0095.060-0318.740 | Y=0688.470-0700.710 | 11 có hiện trạng là đường nhựa, bê tông xi măng:
P=0966 | X=0408.620-0425.260 | Y=0688.470-0697.790 | 630
P=0966 | X=0445.610-0462.250 | Y=0688.470-0697.790 | 440
P=0966 | X=0505.390-0522.030 | Y=0688.470-0697.790 | 380
P=0966 | X=0111.890-0353.000 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0967 | X=0111.890-0154.030 | Y=0074.380-0083.700 | >1.000m.
P=0967 | X=0111.890-0335.530 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0967 | X=0111.890-0385.400 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0967 | X=0111.890-0375.800 | Y=0119.330-0130.570 | ra Đường tỉnh 766 đoạn từ Cây xăng số 9 đến Hết Nhà văn
P=0967 | X=0111.890-0363.800 | Y=0130.850-0142.090 | hóa ấp Tân Hữu có hiện trạng là đường nhựa, bê tông xi
P=0967 | X=0111.890-0139.890 | Y=0142.370-0153.610 | măng:
P=0967 | X=0095.060-0106.180 | Y=0150.250-0159.570 | 12
P=0967 | X=0408.620-0425.260 | Y=0150.250-0159.570 | 990
P=0967 | X=0445.610-0462.250 | Y=0150.250-0159.570 | 690
P=0967 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 590
P=0967 | X=0111.890-0342.970 | Y=0159.650-0170.890 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0967 | X=0111.890-0353.000 | Y=0177.170-0188.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0967 | X=0111.890-0145.410 | Y=0188.690-0199.930 | ≤500m.
P=0967 | X=0111.890-0385.400 | Y=0206.470-0217.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0967 | X=0111.890-0375.800 | Y=0217.990-0229.230 | ra Đường tỉnh 766 đoạn từ Cây xăng số 9 đến Hết Nhà văn
P=0967 | X=0111.890-0363.800 | Y=0229.510-0240.750 | hóa ấp Tân Hữu có hiện trạng là đường nhựa, bê tông xi
P=0967 | X=0111.890-0139.890 | Y=0241.030-0252.270 | măng:
P=0967 | X=0095.060-0343.440 | Y=0257.550-0269.790 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0967 | X=0408.620-0425.260 | Y=0257.550-0266.870 | 760
P=0967 | X=0445.610-0462.250 | Y=0257.550-0266.870 | 530
P=0967 | X=0505.390-0522.030 | Y=0257.550-0266.870 | 460
P=0967 | X=0111.890-0365.200 | Y=0276.070-0287.310 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=0967 | X=0111.890-0206.840 | Y=0287.620-0298.860 | >500m đến ≤1.000m.
P=0967 | X=0111.890-0335.060 | Y=0305.140-0316.380 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0967 | X=0111.890-0385.400 | Y=0322.900-0334.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=0967 | X=0111.890-0375.800 | Y=0334.420-0345.660 | ra Đường tỉnh 766 đoạn từ Cây xăng số 9 đến Hết Nhà văn
P=0967 | X=0111.890-0363.800 | Y=0345.700-0356.940 | hóa ấp Tân Hữu có hiện trạng là đường nhựa, bê tông xi
P=0967 | X=0111.890-0139.890 | Y=0357.220-0368.460 | măng:
P=0967 | X=0095.060-0106.180 | Y=0365.100-0374.420 | 14
P=0967 | X=0408.620-0425.260 | Y=0365.100-0374.420 | 570
P=0967 | X=0445.610-0462.250 | Y=0365.100-0374.420 | 400
P=0967 | X=0505.390-0522.030 | Y=0365.100-0374.420 | 340
P=0967 | X=0111.890-0353.000 | Y=0374.760-0386.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=0967 | X=0111.890-0154.030 | Y=0388.160-0397.480 | >1.000m.
P=0967 | X=0111.890-0335.530 | Y=0403.800-0415.040 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0967 | X=0230.980-0286.730 | Y=0421.560-0432.800 | Hết Nhà văn
P=0967 | X=0306.360-0368.870 | Y=0423.440-0432.760 | Ranh giới tỉnh
P=0967 | X=0095.060-0182.060 | Y=0427.320-0438.560 | 15 Đường tỉnh 766
P=0967 | X=0400.460-0425.510 | Y=0429.200-0438.520 | 2.800
P=0967 | X=0437.450-0462.500 | Y=0429.200-0438.520 | 2.000
P=0967 | X=0497.230-0522.280 | Y=0429.200-0438.520 | 1.700
P=0967 | X=0230.980-0352.770 | Y=0433.080-0444.320 | hóa ấp Tân Hữu Lâm Đồng
P=0967 | X=0111.890-0379.430 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh
P=0967 | X=0111.890-0384.460 | Y=0462.380-0473.620 | 766 đoạn từ Hết Nhà văn hóa ấp Tân Hữu đến Ranh giới tỉnh
P=0967 | X=0111.890-0367.480 | Y=0473.900-0485.140 | Lâm Đồng có hiện trạng là đường nhựa, bê tông xi măng:
P=0967 | X=0095.060-0106.180 | Y=0487.540-0496.860 | 16
P=0967 | X=0400.460-0425.510 | Y=0487.540-0496.860 | 1.400
P=0967 | X=0445.610-0462.250 | Y=0487.540-0496.860 | 980
P=0967 | X=0505.390-0522.030 | Y=0487.540-0496.860 | 840
P=0967 | X=0111.890-0342.970 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
