TABLE=090 | AREA=Xã Đa Kia | SECTION=non-agricultural | SEGMENTS=1
P=2132 | X=0102.770-0174.430 | Y=0072.740-0083.980 | (đường gom ĐT
P=2132 | X=0102.770-0122.690 | Y=0086.140-0095.460 | 759)
P=2132 | X=0102.770-0180.880 | Y=0102.260-0113.500 | Các tuyến đường
P=2132 | X=0102.770-0161.890 | Y=0115.660-0124.980 | nội bộ còn lại
P=2132 | X=0090.500-0101.620 | Y=0121.450-0130.770 | 52
P=2132 | X=0182.470-0232.740 | Y=0121.450-0130.770 | Toàn tuyến
P=2132 | X=0374.780-0399.830 | Y=0121.450-0130.770 | 1.800
P=2132 | X=0422.810-0447.860 | Y=0121.450-0130.770 | 1.300
P=2132 | X=0497.230-0522.280 | Y=0121.450-0130.770 | 1.100
P=2132 | X=0102.770-0180.300 | Y=0125.330-0136.570 | trong Khu dân cư
P=2132 | X=0102.770-0162.860 | Y=0138.730-0148.050 | thôn Bình Lợi
P=2132 | X=0102.770-0176.870 | Y=0156.490-0165.810 | Khu Quy hoạch
P=2132 | X=0102.770-0179.630 | Y=0168.010-0177.330 | 1/500 Trung tâm
P=2132 | X=0102.770-0170.250 | Y=0179.290-0188.610 | hành chính xã
P=2132 | X=0090.500-0150.130 | Y=0195.650-0206.890 | 53 Đường N4
P=2132 | X=0182.470-0232.740 | Y=0197.530-0206.850 | Toàn tuyến
P=2132 | X=0382.940-0399.580 | Y=0197.530-0206.850 | 700
P=2132 | X=0430.970-0447.610 | Y=0197.530-0206.850 | 490
P=2132 | X=0505.390-0522.030 | Y=0197.530-0206.850 | 420
P=2132 | X=0102.770-0180.880 | Y=0213.670-0224.910 | Các tuyến đường
P=2132 | X=0090.500-0232.740 | Y=0227.070-0236.390 | 54 nội bộ còn lại của Toàn tuyến
P=2132 | X=0382.940-0399.580 | Y=0227.070-0236.390 | 500
P=2132 | X=0430.970-0447.610 | Y=0227.070-0236.390 | 350
P=2132 | X=0505.390-0522.030 | Y=0227.070-0236.390 | 300
P=2132 | X=0102.770-0169.570 | Y=0238.590-0247.910 | Khu quy hoạch
P=2132 | X=0102.770-0147.970 | Y=0256.590-0265.910 | Các tuyến
P=2132 | X=0090.500-0232.740 | Y=0266.230-0277.470 | 55 Đường nhựa, bê Toàn tuyến
P=2132 | X=0382.940-0399.580 | Y=0268.110-0277.430 | 320
P=2132 | X=0430.970-0447.610 | Y=0268.110-0277.430 | 220
P=2132 | X=0505.390-0522.030 | Y=0268.110-0277.430 | 190
P=2132 | X=0102.770-0153.970 | Y=0279.630-0288.950 | tông còn lại
P=2132 | X=0102.770-0180.880 | Y=0295.780-0307.020 | Các tuyến đường
P=2132 | X=0090.500-0101.620 | Y=0303.420-0312.740 | 56
P=2132 | X=0182.470-0232.740 | Y=0303.420-0312.740 | Toàn tuyến
P=2132 | X=0382.940-0399.580 | Y=0303.420-0312.740 | 280
P=2132 | X=0430.970-0447.610 | Y=0303.420-0312.740 | 200
P=2132 | X=0505.390-0522.030 | Y=0303.420-0312.740 | 170
P=2132 | X=0102.770-0131.650 | Y=0309.180-0318.500 | còn lại
