TABLE=092 | AREA=Xã Phú Riềng | SECTION=non-agricultural | SEGMENTS=1
P=2137 | X=0102.530-0211.600 | Y=0575.450-0586.690 | Đường vào nông trường
P=2137 | X=0224.740-0276.160 | Y=0575.450-0586.690 | Ngã tư Phú
P=2137 | X=0296.040-0359.960 | Y=0577.330-0586.650 | Giáp lô cao su
P=2137 | X=0090.260-0101.380 | Y=0583.090-0592.410 | 78
P=2137 | X=0369.740-0394.790 | Y=0583.090-0592.410 | 1.300
P=2137 | X=0426.410-0443.050 | Y=0583.090-0592.410 | 890
P=2137 | X=0505.150-0521.790 | Y=0583.090-0592.410 | 770
P=2137 | X=0102.530-0127.090 | Y=0586.970-0598.210 | 10 cũ
P=2137 | X=0296.040-0365.730 | Y=0586.970-0598.210 | nông trường 10
P=2137 | X=0224.740-0250.980 | Y=0588.850-0598.170 | Riềng
P=2137 | X=0296.040-0347.960 | Y=0604.970-0616.210 | Giáp đất bà
P=2137 | X=0224.740-0272.660 | Y=0616.270-0627.510 | Đường ĐT
P=2137 | X=0296.040-0358.520 | Y=0618.150-0627.470 | Trần Thị Lanh
P=2137 | X=0102.530-0214.690 | Y=0622.030-0633.270 | Đường Khu dân cư Xuân
P=2137 | X=0224.740-0353.480 | Y=0627.790-0639.030 | 753B (ĐH 312 (Thửa đất số
P=2137 | X=0090.260-0101.380 | Y=0629.670-0638.990 | 79
P=2137 | X=0369.740-0394.790 | Y=0629.670-0638.990 | 1.300
P=2137 | X=0426.410-0443.050 | Y=0629.670-0638.990 | 890
P=2137 | X=0505.150-0521.790 | Y=0629.670-0638.990 | 770
P=2137 | X=0102.530-0120.370 | Y=0635.430-0644.750 | Anh
P=2137 | X=0224.740-0238.660 | Y=0639.310-0650.550 | cũ)
P=2137 | X=0296.040-0355.650 | Y=0639.310-0650.550 | 22, tờ bản đồ
P=2137 | X=0296.040-0323.640 | Y=0652.710-0662.030 | số 41)
P=2137 | X=0296.040-0343.960 | Y=0668.830-0680.070 | Đường ĐT
P=2137 | X=0224.740-0272.660 | Y=0674.590-0685.830 | Đường ĐT
P=2137 | X=0296.040-0359.480 | Y=0680.350-0691.590 | 753B (ĐH 312
P=2137 | X=0090.260-0288.180 | Y=0686.110-0697.350 | 80 Đường Phú Tân - Phú Lợi 753B (ĐH 312
P=2137 | X=0377.900-0394.540 | Y=0687.990-0697.310 | 680
P=2137 | X=0426.410-0443.050 | Y=0687.990-0697.310 | 480
P=2137 | X=0505.150-0521.790 | Y=0687.990-0697.310 | 410
P=2137 | X=0296.040-0359.980 | Y=0691.870-0703.110 | cũ) + 200m về
P=2137 | X=0224.740-0238.660 | Y=0697.630-0708.870 | cũ)
P=2137 | X=0296.040-0348.930 | Y=0705.300-0714.620 | phía ngã ba
P=2138 | X=0296.040-0346.680 | Y=0074.620-0083.940 | nhà ông Vỵ
P=2138 | X=0224.740-0272.660 | Y=0090.740-0101.980 | Đường ĐT
P=2138 | X=0224.740-0288.180 | Y=0102.260-0113.500 | 753B (ĐH 312
P=2138 | X=0296.040-0347.730 | Y=0109.900-0119.220 | Ngã ba nhà
P=2138 | X=0090.260-0288.660 | Y=0113.780-0125.020 | 81 Đường Phú Tân - Phú Lợi cũ) + 200m về
P=2138 | X=0377.900-0394.540 | Y=0115.660-0124.980 | 510
P=2138 | X=0426.410-0443.050 | Y=0115.660-0124.980 | 360
P=2138 | X=0505.150-0521.790 | Y=0115.660-0124.980 | 310
P=2138 | X=0296.040-0327.240 | Y=0121.450-0130.770 | ông Vỵ
P=2138 | X=0224.740-0277.630 | Y=0127.210-0136.530 | phía ngã ba
P=2138 | X=0224.740-0275.380 | Y=0138.730-0148.050 | nhà ông Vỵ
P=2138 | X=0102.530-0353.480 | Y=0154.850-0166.090 | Đường Phú Riềng - Phú Đường 312 cũ Giáp ranh xã
P=2138 | X=0090.260-0101.380 | Y=0162.490-0171.810 | 82
P=2138 | X=0377.900-0394.540 | Y=0162.490-0171.810 | 410
P=2138 | X=0426.410-0443.050 | Y=0162.490-0171.810 | 290
P=2138 | X=0505.150-0521.790 | Y=0162.490-0171.810 | 240
P=2138 | X=0102.530-0342.910 | Y=0166.370-0177.610 | Trung (ĐT 795 đi ĐT 741) (thôn Phú Bình) Phú Trung
P=2138 | X=0296.040-0346.850 | Y=0184.370-0195.610 | Ngã tư (hết
P=2138 | X=0224.740-0355.160 | Y=0195.650-0206.890 | Đường ĐT 75 thửa đất số 1
P=2138 | X=0090.260-0200.050 | Y=0201.430-0212.670 | 83 Đường thôn Phú Vinh
P=2138 | X=0377.900-0394.540 | Y=0203.310-0212.630 | 510
P=2138 | X=0426.410-0443.050 | Y=0203.310-0212.630 | 360
P=2138 | X=0505.150-0521.790 | Y=0203.310-0212.630 | 310
P=2138 | X=0224.740-0352.040 | Y=0207.190-0218.430 | 3B (ĐH 312 cũ) tờ bản đồ số
P=2138 | X=0296.040-0310.440 | Y=0220.590-0229.910 | 43)
P=2138 | X=0102.530-0214.390 | Y=0236.710-0247.950 | Đường Bù Nho đi Phước
P=2138 | X=0102.530-0219.510 | Y=0250.110-0259.430 | Tân qua TTHC huyện Phú
P=2138 | X=0102.530-0213.750 | Y=0259.750-0270.990 | Riềng (cũ) hướng về cầu
P=2138 | X=0296.040-0347.960 | Y=0259.750-0270.990 | Đường Tân
P=2138 | X=0224.740-0272.100 | Y=0265.510-0276.750 | Đường N9
P=2138 | X=0090.260-0101.380 | Y=0267.390-0276.710 | 84
P=2138 | X=0369.740-0394.790 | Y=0267.390-0276.710 | 4.300
P=2138 | X=0418.220-0443.270 | Y=0267.390-0276.710 | 3.000
P=2138 | X=0496.990-0522.040 | Y=0267.390-0276.710 | 2.600
P=2138 | X=0102.530-0223.830 | Y=0271.270-0282.510 | Long Tân - Tân Hưng, Hớn
P=2138 | X=0296.040-0322.270 | Y=0273.150-0282.470 | Phú 1
P=2138 | X=0102.530-0204.880 | Y=0282.820-0294.060 | Quản (cũ) (Đường Tân
P=2138 | X=0102.530-0193.950 | Y=0294.340-0305.580 | Bình - Tân Hoà (cũ))
P=2138 | X=0102.530-0214.390 | Y=0312.340-0323.580 | Đường Bù Nho đi Phước
P=2138 | X=0102.530-0219.510 | Y=0325.740-0335.060 | Tân qua TTHC huyện Phú
P=2138 | X=0102.530-0276.660 | Y=0335.380-0346.620 | Riềng (cũ) hướng về cầu Đường Tân
P=2138 | X=0296.040-0348.930 | Y=0341.140-0352.380 | Đường N3a
P=2138 | X=0090.260-0101.380 | Y=0343.020-0352.340 | 85
P=2138 | X=0369.740-0394.790 | Y=0343.020-0352.340 | 3.400
P=2138 | X=0418.220-0443.270 | Y=0343.020-0352.340 | 2.400
P=2138 | X=0496.990-0522.040 | Y=0343.020-0352.340 | 2.000
P=2138 | X=0102.530-0250.970 | Y=0346.900-0358.140 | Long Tân - Tân Hưng, Hớn Phú 1
P=2138 | X=0102.530-0204.880 | Y=0358.180-0369.420 | Quản (cũ) (Đường Tân
P=2138 | X=0102.530-0193.950 | Y=0369.720-0380.960 | Bình - Tân Hoà (cũ))
P=2138 | X=0090.260-0274.990 | Y=0387.720-0398.960 | 86 Đường giao thông liên xã Toàn tuyến
P=2138 | X=0377.900-0394.540 | Y=0389.600-0398.920 | 410
P=2138 | X=0426.410-0443.050 | Y=0389.600-0398.920 | 290
P=2138 | X=0505.150-0521.790 | Y=0389.600-0398.920 | 240
P=2138 | X=0102.530-0202.230 | Y=0405.720-0416.960 | Các tuyến đường giao
P=2138 | X=0090.260-0274.980 | Y=0417.240-0428.480 | 87 thông còn lại trên địa bàn Toàn tuyến
P=2138 | X=0377.900-0394.540 | Y=0419.120-0428.440 | 340
P=2138 | X=0426.410-0443.050 | Y=0419.120-0428.440 | 240
P=2138 | X=0505.150-0521.790 | Y=0419.120-0428.440 | 200
P=2138 | X=0102.530-0113.410 | Y=0430.640-0439.960 | xã
