TABLE=085 | AREA=Xã Thiện Hưng | SECTION=non-agricultural | SEGMENTS=1
P=2107 | X=0107.330-0202.720 | Y=0265.750-0276.990 | các đoạn đã quy định
P=2107 | X=0107.330-0193.110 | Y=0277.270-0288.510 | giá đất cụ thể trong
P=2107 | X=0107.330-0162.040 | Y=0290.700-0300.020 | phụ lục này)
P=2107 | X=0206.470-0357.080 | Y=0306.820-0318.060 | Hết ranh đất ông Hết ranh đất nhà
P=2107 | X=0107.330-0364.280 | Y=0318.340-0329.580 | Đường khu dân cư ấp Huấn (thửa đất ông Mến (hết ranh
P=2107 | X=0090.020-0106.660 | Y=0325.980-0335.300 | 105
P=2107 | X=0382.940-0399.580 | Y=0325.980-0335.300 | 480
P=2107 | X=0430.250-0446.890 | Y=0325.980-0335.300 | 340
P=2107 | X=0505.390-0522.030 | Y=0325.980-0335.300 | 290
P=2107 | X=0206.470-0361.950 | Y=0329.860-0341.100 | số 14, tờ bản đồ thửa đất số 96, tờ
P=2107 | X=0107.330-0112.930 | Y=0331.740-0341.060 | 3
P=2107 | X=0282.340-0348.840 | Y=0341.380-0352.620 | bản đồ số 115)
P=2107 | X=0206.470-0239.590 | Y=0343.260-0352.580 | số 118)
P=2107 | X=0282.340-0357.080 | Y=0359.380-0370.620 | Hết ranh đất ông
P=2107 | X=0206.470-0253.060 | Y=0372.800-0382.120 | Cống Tầm
P=2107 | X=0282.340-0369.820 | Y=0372.800-0382.120 | Ham (hết ranh thửa
P=2107 | X=0090.020-0164.770 | Y=0376.680-0387.920 | 106 Đường tránh
P=2107 | X=0374.780-0399.830 | Y=0378.560-0387.880 | 1.800
P=2107 | X=0422.090-0447.140 | Y=0378.560-0387.880 | 1.200
P=2107 | X=0497.230-0522.280 | Y=0378.560-0387.880 | 1.100
P=2107 | X=0282.340-0363.580 | Y=0382.200-0393.440 | đất số 244, tờ bản
P=2107 | X=0206.470-0235.850 | Y=0384.080-0393.400 | Roong
P=2107 | X=0282.340-0329.400 | Y=0393.720-0404.960 | đồ số 124)
P=2107 | X=0206.470-0354.650 | Y=0411.720-0422.960 | Nhà ông Vũ Văn Nhà ông Dương
P=2107 | X=0107.330-0370.390 | Y=0423.240-0434.480 | Đường vào Nghĩa địa Khẩn (thửa đất Văn Đông (thửa đất
P=2107 | X=0090.020-0106.660 | Y=0430.880-0440.200 | 107
P=2107 | X=0382.940-0399.580 | Y=0430.880-0440.200 | 480
P=2107 | X=0430.250-0446.890 | Y=0430.880-0440.200 | 340
P=2107 | X=0505.390-0522.030 | Y=0430.880-0440.200 | 290
P=2107 | X=0107.330-0126.850 | Y=0434.760-0446.000 | ấp 4
P=2107 | X=0206.470-0368.620 | Y=0434.760-0446.000 | số 02, tờ bản đồ số 28, tờ bản đồ số
P=2107 | X=0206.470-0234.070 | Y=0448.160-0457.480 | số 84)
P=2107 | X=0282.340-0296.740 | Y=0448.160-0457.480 | 91)
P=2107 | X=0107.330-0188.060 | Y=0464.300-0475.540 | Đường nhựa ranh
P=2107 | X=0206.470-0264.390 | Y=0471.940-0481.260 | Hết ranh nhà
P=2107 | X=0282.340-0361.030 | Y=0475.820-0487.060 | Hết ranh thửa đất
P=2107 | X=0107.330-0199.270 | Y=0477.700-0487.020 | giữa xã Thanh Hòa -
P=2107 | X=0206.470-0280.030 | Y=0483.460-0492.780 | ông Luyện (thửa
P=2107 | X=0282.340-0368.620 | Y=0487.340-0498.580 | số 47, tờ bản đồ số
P=2107 | X=0090.020-0192.600 | Y=0489.220-0498.540 | 108 thị trấn Thanh Bình
P=2107 | X=0382.940-0399.580 | Y=0489.220-0498.540 | 720
P=2107 | X=0430.250-0446.890 | Y=0489.220-0498.540 | 500
P=2107 | X=0505.390-0522.030 | Y=0489.220-0498.540 | 430
P=2107 | X=0206.470-0262.550 | Y=0493.100-0504.340 | đất số 01, tờ
P=2107 | X=0107.330-0204.850 | Y=0498.860-0510.100 | (cũ) (vào nhà văn hóa
P=2107 | X=0282.340-0293.460 | Y=0500.740-0510.060 | 91
P=2107 | X=0206.470-0267.460 | Y=0504.620-0515.860 | bản đồ số 84)
P=2107 | X=0107.330-0130.130 | Y=0510.380-0521.620 | ấp 4)
P=2107 | X=0107.330-0196.930 | Y=0528.380-0539.620 | Đường bê tông giáp
P=2107 | X=0206.470-0271.710 | Y=0534.170-0545.410 | Thửa đất số 2,
P=2107 | X=0282.340-0361.030 | Y=0534.170-0545.410 | Hết ranh thửa đất
P=2107 | X=0107.330-0194.780 | Y=0541.810-0551.130 | ranh giữa xã Thanh
P=2107 | X=0206.470-0262.500 | Y=0545.690-0556.930 | tờ bản đồ số
P=2107 | X=0282.340-0360.950 | Y=0545.690-0556.930 | số 192, tờ bản đồ
P=2107 | X=0090.020-0106.660 | Y=0547.570-0556.890 | 109
P=2107 | X=0382.940-0399.580 | Y=0547.570-0556.890 | 800
P=2107 | X=0430.250-0446.890 | Y=0547.570-0556.890 | 560
P=2107 | X=0505.390-0522.030 | Y=0547.570-0556.890 | 480
P=2107 | X=0107.330-0203.680 | Y=0553.330-0562.650 | Hòa và thị trấn Thanh
P=2107 | X=0206.470-0223.110 | Y=0559.090-0568.410 | 124
P=2107 | X=0282.340-0312.200 | Y=0559.090-0568.410 | số 120
P=2107 | X=0107.330-0148.120 | Y=0562.970-0574.210 | Bình (cũ)
P=2107 | X=0206.470-0270.400 | Y=0580.970-0592.210 | Ngã ba đồi chi
P=2107 | X=0282.340-0359.210 | Y=0582.850-0592.170 | Ngã ba nhà bà Ti
P=2107 | X=0090.020-0165.250 | Y=0586.490-0597.730 | 110 Đường nhựa
P=2107 | X=0374.780-0399.830 | Y=0588.370-0597.690 | 1.800
P=2107 | X=0422.090-0447.140 | Y=0588.370-0597.690 | 1.200
P=2107 | X=0497.230-0522.280 | Y=0588.370-0597.690 | 1.100
P=2107 | X=0206.470-0222.640 | Y=0594.130-0603.450 | khu
P=2107 | X=0282.340-0310.260 | Y=0594.130-0603.450 | thôn 3
P=2107 | X=0107.330-0189.560 | Y=0610.250-0621.490 | Đường quanh chợ
P=2107 | X=0090.020-0106.660 | Y=0617.890-0627.210 | 111
P=2107 | X=0206.470-0256.740 | Y=0617.890-0627.210 | Toàn tuyến
P=2107 | X=0374.780-0399.830 | Y=0617.890-0627.210 | 3.400
P=2107 | X=0422.090-0447.140 | Y=0617.890-0627.210 | 2.400
P=2107 | X=0497.230-0522.280 | Y=0617.890-0627.210 | 2.000
P=2107 | X=0107.330-0160.450 | Y=0621.790-0633.030 | Thiện Hưng
P=2107 | X=0107.330-0203.110 | Y=0639.790-0651.030 | Đường trong khu vực
P=2107 | X=0090.020-0106.660 | Y=0647.430-0656.750 | 112
P=2107 | X=0206.470-0256.740 | Y=0647.430-0656.750 | Toàn tuyến
P=2107 | X=0374.780-0399.830 | Y=0647.430-0656.750 | 3.400
P=2107 | X=0422.090-0447.140 | Y=0647.430-0656.750 | 2.400
P=2107 | X=0497.230-0522.280 | Y=0647.430-0656.750 | 2.000
P=2107 | X=0107.330-0124.500 | Y=0653.190-0662.510 | chợ
P=2107 | X=0090.020-0165.250 | Y=0669.310-0680.550 | 113 Đường nhựa
P=2107 | X=0206.470-0345.310 | Y=0671.190-0680.510 | Từ ngã ba chợ Trạm xá E717
P=2107 | X=0374.780-0399.830 | Y=0671.190-0680.510 | 1.700
P=2107 | X=0422.090-0447.140 | Y=0671.190-0680.510 | 1.200
P=2107 | X=0497.230-0522.280 | Y=0671.190-0680.510 | 1.000
P=2107 | X=0107.330-0203.670 | Y=0687.310-0698.550 | Đường quanh Bến xe
P=2107 | X=0090.020-0106.660 | Y=0694.950-0704.270 | 114
P=2107 | X=0206.470-0256.740 | Y=0694.950-0704.270 | Toàn tuyến
P=2107 | X=0374.780-0399.830 | Y=0694.950-0704.270 | 1.600
P=2107 | X=0422.090-0447.140 | Y=0694.950-0704.270 | 1.100
P=2107 | X=0505.390-0522.030 | Y=0694.950-0704.270 | 960
P=2107 | X=0107.330-0180.370 | Y=0698.830-0710.070 | mới Thiện Hưng
P=2108 | X=0107.330-0190.230 | Y=0078.740-0089.980 | Đường Quy hoạch
P=2108 | X=0090.020-0106.660 | Y=0086.380-0095.700 | 115
P=2108 | X=0206.470-0256.740 | Y=0086.380-0095.700 | Toàn tuyến
P=2108 | X=0374.780-0399.830 | Y=0086.380-0095.700 | 1.600
P=2108 | X=0422.090-0447.140 | Y=0086.380-0095.700 | 1.100
P=2108 | X=0505.390-0522.030 | Y=0086.380-0095.700 | 960
P=2108 | X=0107.330-0154.210 | Y=0092.140-0101.460 | khu 3,4 ha
P=2108 | X=0282.340-0361.030 | Y=0108.260-0119.500 | Hết ranh thửa đất
P=2108 | X=0090.020-0165.250 | Y=0119.810-0131.050 | 116 Đường nhựa
P=2108 | X=0282.340-0359.700 | Y=0119.810-0131.050 | nhà ông Lưu Vân
P=2108 | X=0206.470-0269.430 | Y=0121.690-0131.010 | Ngã ba thôn 6
P=2108 | X=0374.780-0399.830 | Y=0121.690-0131.010 | 1.200
P=2108 | X=0430.250-0446.890 | Y=0121.690-0131.010 | 840
P=2108 | X=0505.390-0522.030 | Y=0121.690-0131.010 | 720
P=2108 | X=0282.340-0306.200 | Y=0133.210-0142.530 | Châu
P=2108 | X=0282.340-0363.800 | Y=0149.330-0160.570 | Nhà văn hóa cộng
P=2108 | X=0206.470-0271.860 | Y=0151.210-0160.530 | Ngã ba bến xe
P=2108 | X=0090.020-0165.250 | Y=0155.090-0166.330 | 117 Đường nhựa
P=2108 | X=0374.780-0399.830 | Y=0156.970-0166.290 | 1.200
P=2108 | X=0430.250-0446.890 | Y=0156.970-0166.290 | 840
P=2108 | X=0505.390-0522.030 | Y=0156.970-0166.290 | 720
P=2108 | X=0282.340-0304.520 | Y=0160.850-0172.090 | đồng
P=2108 | X=0206.470-0264.770 | Y=0162.730-0172.050 | mới vào 30m
P=2108 | X=0282.340-0362.910 | Y=0178.850-0190.090 | Đến ngã ba trụ sở
P=2108 | X=0282.340-0355.240 | Y=0190.370-0201.610 | Trung Đoàn (hết
P=2108 | X=0282.340-0355.880 | Y=0201.670-0212.910 | ranh thửa đất số
P=2108 | X=0206.470-0263.910 | Y=0203.550-0212.870 | Giáp ranh xã
P=2108 | X=0090.020-0165.250 | Y=0207.430-0218.670 | 118 Đường nhựa
P=2108 | X=0382.940-0399.580 | Y=0209.310-0218.630 | 880
P=2108 | X=0430.250-0446.890 | Y=0209.310-0218.630 | 620
P=2108 | X=0505.390-0522.030 | Y=0209.310-0218.630 | 530
P=2108 | X=0206.470-0363.560 | Y=0213.190-0224.430 | Thanh Hòa (cũ) 18, thửa đất số 30
P=2108 | X=0282.340-0362.930 | Y=0224.710-0235.950 | và thửa đất số 27,
P=2108 | X=0282.340-0361.080 | Y=0236.230-0247.470 | tờ bản đồ số 148)
P=2108 | X=0206.470-0271.060 | Y=0256.110-0265.430 | Hết ranh Trạm
P=2108 | X=0282.340-0349.690 | Y=0256.110-0265.430 | Hết ranh trụ sở
P=2108 | X=0090.020-0165.250 | Y=0259.990-0271.230 | 119 Đường nhựa
P=2108 | X=0382.940-0399.580 | Y=0261.870-0271.190 | 720
P=2108 | X=0430.250-0446.890 | Y=0261.870-0271.190 | 500
P=2108 | X=0505.390-0522.030 | Y=0261.870-0271.190 | 430
P=2108 | X=0282.340-0354.660 | Y=0265.750-0276.990 | Trung Đoàn 717
P=2108 | X=0206.470-0243.280 | Y=0267.630-0276.950 | xá E717
P=2108 | X=0282.340-0351.850 | Y=0285.660-0294.980 | Ngã ba nhà thờ
P=2108 | X=0282.340-0349.720 | Y=0297.180-0306.500 | Châu Ninh (hết
P=2108 | X=0282.340-0355.880 | Y=0306.820-0318.060 | ranh thửa đất số
P=2108 | X=0090.020-0195.960 | Y=0318.340-0329.580 | 120 Đường nhựa thôn 4
P=2108 | X=0206.470-0366.290 | Y=0318.340-0329.580 | Đường ĐT 759B 25, thửa đất số 32,
P=2108 | X=0382.940-0399.580 | Y=0320.220-0329.540 | 720
P=2108 | X=0430.250-0446.890 | Y=0320.220-0329.540 | 500
P=2108 | X=0505.390-0522.030 | Y=0320.220-0329.540 | 430
P=2108 | X=0282.340-0360.450 | Y=0329.860-0341.100 | thửa đất số 40 và
P=2108 | X=0282.340-0361.950 | Y=0341.380-0352.620 | thửa đất số 48, tờ
P=2108 | X=0282.340-0348.840 | Y=0352.900-0364.140 | bản đồ số 138)
P=2108 | X=0282.340-0370.760 | Y=0370.920-0382.160 | Hết thửa đất số 605
P=2108 | X=0090.020-0195.960 | Y=0382.200-0393.440 | 121 Đường nhựa thôn 2
P=2108 | X=0206.470-0368.450 | Y=0382.200-0393.440 | Đường ĐT 759B và thửa đất số 641,
P=2108 | X=0382.940-0399.580 | Y=0384.080-0393.400 | 960
P=2108 | X=0430.250-0446.890 | Y=0384.080-0393.400 | 670
P=2108 | X=0505.390-0522.030 | Y=0384.080-0393.400 | 580
P=2108 | X=0282.340-0357.800 | Y=0393.720-0404.960 | tờ bản đồ số 138
P=2108 | X=0206.470-0275.460 | Y=0411.720-0422.960 | Hết thửa đất số
P=2108 | X=0206.470-0276.750 | Y=0423.240-0434.480 | 605 và thửa đất
P=2108 | X=0090.020-0195.960 | Y=0429.000-0440.240 | 122 Đường nhựa thôn 2
P=2108 | X=0282.340-0370.990 | Y=0429.000-0440.240 | Đường nhựa thôn 5
P=2108 | X=0382.940-0399.580 | Y=0430.880-0440.200 | 640
P=2108 | X=0430.250-0446.890 | Y=0430.880-0440.200 | 450
P=2108 | X=0505.390-0522.030 | Y=0430.880-0440.200 | 380
P=2108 | X=0206.470-0271.140 | Y=0436.640-0445.960 | số 641, tờ bản
P=2108 | X=0206.470-0250.260 | Y=0446.280-0457.520 | đồ số 138
P=2108 | X=0282.340-0361.030 | Y=0464.300-0475.540 | Hết ranh thửa đất
P=2108 | X=0206.470-0263.940 | Y=0471.940-0481.260 | Giáp ranh thị
P=2108 | X=0282.340-0360.300 | Y=0475.820-0487.060 | số 43 và thửa đất
P=2108 | X=0090.020-0195.960 | Y=0481.580-0492.820 | 123 Đường nhựa thôn 3
P=2108 | X=0206.470-0278.300 | Y=0483.460-0492.780 | trấn Thanh Bình
P=2108 | X=0374.780-0399.830 | Y=0483.460-0492.780 | 1.200
P=2108 | X=0430.250-0446.890 | Y=0483.460-0492.780 | 840
P=2108 | X=0505.390-0522.030 | Y=0483.460-0492.780 | 720
P=2108 | X=0282.340-0368.620 | Y=0487.340-0498.580 | số 46, tờ bản đồ số
P=2108 | X=0206.470-0223.750 | Y=0493.100-0504.340 | (cũ)
P=2108 | X=0282.340-0298.980 | Y=0500.740-0510.060 | 145
P=2108 | X=0282.340-0361.030 | Y=0516.860-0528.100 | Hết ranh thửa đất
P=2108 | X=0206.470-0268.510 | Y=0518.740-0528.060 | Hết ranh thửa
P=2108 | X=0090.020-0195.960 | Y=0528.380-0539.620 | 124 Đường nhựa thôn 3
P=2108 | X=0206.470-0262.550 | Y=0528.380-0539.620 | đất số 59, tờ
P=2108 | X=0282.340-0368.620 | Y=0528.380-0539.620 | số 49, tờ bản đồ số
P=2108 | X=0382.940-0399.580 | Y=0530.260-0539.580 | 720
P=2108 | X=0430.250-0446.890 | Y=0530.260-0539.580 | 500
P=2108 | X=0505.390-0522.030 | Y=0530.260-0539.580 | 430
P=2108 | X=0206.470-0269.700 | Y=0539.930-0551.170 | bản đồ số 145
P=2108 | X=0282.340-0298.980 | Y=0541.810-0551.130 | 145
P=2108 | X=0206.470-0280.420 | Y=0557.930-0569.170 | Đường ĐT 759B
P=2108 | X=0090.020-0195.960 | Y=0569.450-0580.690 | 125 Đường nhựa thôn 5
P=2108 | X=0206.470-0355.360 | Y=0571.330-0580.650 | vào 30m (ngã ba Chùa Tâm Pháp
P=2108 | X=0382.940-0399.580 | Y=0571.330-0580.650 | 720
P=2108 | X=0430.250-0446.890 | Y=0571.330-0580.650 | 500
P=2108 | X=0505.390-0522.030 | Y=0571.330-0580.650 | 430
P=2108 | X=0206.470-0268.400 | Y=0582.850-0592.170 | hạt Kiểm lâm)
P=2108 | X=0282.340-0361.030 | Y=0598.970-0610.210 | Hết ranh thửa đất
P=2108 | X=0282.340-0359.700 | Y=0610.250-0621.490 | nhà ông Lưu Văn
P=2108 | X=0090.020-0195.960 | Y=0621.790-0633.030 | 126 Đường nhựa thôn 6
P=2108 | X=0282.340-0363.100 | Y=0621.790-0633.030 | Châu (thửa đất số
P=2108 | X=0206.470-0269.430 | Y=0623.670-0632.990 | Ngã ba thôn 6
P=2108 | X=0382.940-0399.580 | Y=0623.670-0632.990 | 960
P=2108 | X=0430.250-0446.890 | Y=0623.670-0632.990 | 670
P=2108 | X=0505.390-0522.030 | Y=0623.670-0632.990 | 580
P=2108 | X=0282.340-0355.160 | Y=0633.310-0644.550 | 32, tờ bản đồ số
P=2108 | X=0282.340-0302.260 | Y=0646.710-0656.030 | 171)
P=2108 | X=0206.470-0267.140 | Y=0662.830-0674.070 | Giáp ranh đất
P=2108 | X=0206.470-0263.460 | Y=0674.350-0685.590 | thửa đất nhà
P=2108 | X=0090.020-0195.960 | Y=0680.110-0691.350 | 127 Đường nhựa thôn 6
P=2108 | X=0282.340-0343.830 | Y=0680.110-0691.350 | Ngã tư thôn 6
P=2108 | X=0382.940-0399.580 | Y=0681.990-0691.310 | 560
P=2108 | X=0430.250-0446.890 | Y=0681.990-0691.310 | 390
P=2108 | X=0505.390-0522.030 | Y=0681.990-0691.310 | 340
P=2108 | X=0206.470-0264.390 | Y=0685.870-0697.110 | ông Lưu Văn
P=2108 | X=0206.470-0230.330 | Y=0699.270-0708.590 | Châu
P=2109 | X=0282.340-0359.240 | Y=0078.740-0089.980 | Hết ranh nhà văn
P=2109 | X=0282.340-0364.870 | Y=0090.260-0101.500 | hóa ấp 6 (thửa đất
P=2109 | X=0090.020-0195.960 | Y=0101.780-0113.020 | 128 Đường nhựa thôn 6
P=2109 | X=0206.470-0267.960 | Y=0101.780-0113.020 | Ngã tư thôn 6
P=2109 | X=0282.340-0366.070 | Y=0101.780-0113.020 | số 101 và thửa đất
P=2109 | X=0382.940-0399.580 | Y=0103.660-0112.980 | 480
P=2109 | X=0430.250-0446.890 | Y=0103.660-0112.980 | 340
P=2109 | X=0505.390-0522.030 | Y=0103.660-0112.980 | 290
P=2109 | X=0282.340-0360.950 | Y=0113.300-0124.540 | số 120, tờ bản đồ
P=2109 | X=0282.340-0315.480 | Y=0126.730-0136.050 | số 140)
P=2109 | X=0282.340-0359.720 | Y=0142.850-0154.090 | Hết thửa đất số 6
P=2109 | X=0090.020-0195.960 | Y=0154.370-0165.610 | 129 Đường nhựa thôn 4
P=2109 | X=0206.470-0362.930 | Y=0154.370-0165.610 | Ngã ba Nhà thờ và thửa đất số 38,
P=2109 | X=0382.940-0399.580 | Y=0156.250-0165.570 | 560
P=2109 | X=0430.250-0446.890 | Y=0156.250-0165.570 | 390
P=2109 | X=0505.390-0522.030 | Y=0156.250-0165.570 | 340
P=2109 | X=0282.340-0357.800 | Y=0165.650-0176.890 | tờ bản đồ số 138
P=2109 | X=0206.470-0274.020 | Y=0185.530-0194.850 | Giáp ranh thửa
P=2109 | X=0206.470-0279.060 | Y=0195.170-0206.410 | đất số 6 và thửa
P=2109 | X=0090.020-0195.960 | Y=0200.950-0212.190 | 130 Đường nhựa thôn 4
P=2109 | X=0282.340-0345.300 | Y=0202.830-0212.150 | Ngã ba thôn 1
P=2109 | X=0382.940-0399.580 | Y=0202.830-0212.150 | 480
P=2109 | X=0430.250-0446.890 | Y=0202.830-0212.150 | 340
P=2109 | X=0505.390-0522.030 | Y=0202.830-0212.150 | 290
P=2109 | X=0206.470-0262.550 | Y=0206.710-0217.950 | đất số 38, tờ
P=2109 | X=0206.470-0269.700 | Y=0218.230-0229.470 | bản đồ số 138
P=2109 | X=0107.330-0188.540 | Y=0236.230-0247.470 | Đường giao thông
P=2109 | X=0107.330-0203.030 | Y=0247.750-0258.990 | đấu nối từ Đường ĐT
P=2109 | X=0107.330-0196.660 | Y=0261.150-0270.470 | 759B vào 200m (trừ
P=2109 | X=0090.020-0106.660 | Y=0266.910-0276.230 | 131
P=2109 | X=0206.470-0256.740 | Y=0266.910-0276.230 | Toàn tuyến
P=2109 | X=0382.940-0399.580 | Y=0266.910-0276.230 | 460
P=2109 | X=0430.250-0446.890 | Y=0266.910-0276.230 | 320
P=2109 | X=0505.390-0522.030 | Y=0266.910-0276.230 | 280
P=2109 | X=0107.330-0202.720 | Y=0270.790-0282.030 | các đoạn đã quy định
P=2109 | X=0107.330-0193.110 | Y=0282.340-0293.580 | giá đất cụ thể trong
P=2109 | X=0107.330-0162.040 | Y=0295.740-0305.060 | phụ lục này)
P=2109 | X=0107.330-0204.160 | Y=0311.860-0323.100 | Các tuyến đường còn
P=2109 | X=0090.020-0106.660 | Y=0319.500-0328.820 | 132
P=2109 | X=0206.470-0256.740 | Y=0319.500-0328.820 | Toàn tuyến
P=2109 | X=0382.940-0399.580 | Y=0319.500-0328.820 | 360
P=2109 | X=0430.250-0446.890 | Y=0319.500-0328.820 | 250
P=2109 | X=0505.390-0522.030 | Y=0319.500-0328.820 | 220
P=2109 | X=0107.330-0117.490 | Y=0325.260-0334.580 | lại
