TABLE=091 | AREA=Xã Bù Gia Mập | SECTION=non-agricultural | SEGMENTS=1
P=2132 | X=0281.140-0354.360 | Y=0687.310-0698.550 | tờ bản đồ số 28)
P=2132 | X=0093.380-0176.690 | Y=0705.330-0716.570 | 7 Đường ĐT 760B
P=2132 | X=0201.910-0338.370 | Y=0705.330-0716.570 | Hết ranh nhà ông Đến nhà ông
P=2132 | X=0363.500-0380.140 | Y=0707.220-0716.540 | 500
P=2132 | X=0414.380-0431.020 | Y=0707.220-0716.540 | 350
P=2132 | X=0505.390-0522.030 | Y=0707.220-0716.540 | 300
P=2133 | X=0201.910-0358.050 | Y=0072.740-0083.980 | Điểu Khên (thửa Điểu Thơm (thửa
P=2133 | X=0201.910-0356.840 | Y=0084.260-0095.500 | đất số 62, tờ bản đất số 83, tờ bản
P=2133 | X=0201.910-0243.460 | Y=0095.780-0107.020 | đồ số 28)
P=2133 | X=0281.140-0322.680 | Y=0095.780-0107.020 | đồ số 35)
P=2133 | X=0281.140-0355.880 | Y=0113.780-0125.020 | Hết ranh đất nhà
P=2133 | X=0201.910-0263.220 | Y=0119.570-0130.810 | Nhà ông Điểu
P=2133 | X=0281.140-0340.680 | Y=0125.330-0136.570 | ông Đào Đức
P=2133 | X=0201.910-0271.940 | Y=0131.090-0142.330 | Thơm (thửa đất
P=2133 | X=0093.380-0176.690 | Y=0136.850-0148.090 | 8 Đường ĐT 760B
P=2133 | X=0281.140-0380.140 | Y=0136.850-0148.090 | Sơn (thửa đất số 470
P=2133 | X=0414.380-0431.020 | Y=0138.730-0148.050 | 330
P=2133 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 280
P=2133 | X=0201.910-0274.990 | Y=0142.610-0153.850 | số 83, tờ bản đồ
P=2133 | X=0281.140-0346.290 | Y=0148.370-0159.610 | 234, tờ bản đồ
P=2133 | X=0201.910-0229.510 | Y=0156.010-0165.330 | số 35)
P=2133 | X=0281.140-0308.760 | Y=0161.530-0170.850 | số 39)
P=2133 | X=0281.140-0355.880 | Y=0177.650-0188.890 | Hết ranh đất nhà
P=2133 | X=0201.910-0279.270 | Y=0185.290-0194.610 | Hết ranh nhà ông
P=2133 | X=0281.140-0335.000 | Y=0191.050-0200.370 | ông Nguyễn
P=2133 | X=0201.910-0263.690 | Y=0194.930-0206.170 | Đào Đức Sơn
P=2133 | X=0093.380-0176.690 | Y=0200.710-0211.950 | 9 Đường ĐT 760B
P=2133 | X=0281.140-0380.140 | Y=0202.590-0211.910 | Công Mùi (thửa 470
P=2133 | X=0414.380-0431.020 | Y=0202.590-0211.910 | 330
P=2133 | X=0505.390-0522.030 | Y=0202.590-0211.910 | 280
P=2133 | X=0201.910-0278.190 | Y=0206.470-0217.710 | (thửa đất số 234,
P=2133 | X=0281.140-0356.840 | Y=0212.230-0223.470 | đất số 09, tờ bản
P=2133 | X=0201.910-0275.140 | Y=0217.990-0229.230 | tờ bản đồ số 39)
P=2133 | X=0281.140-0322.680 | Y=0223.750-0234.990 | đồ số 44)
P=2133 | X=0102.770-0197.340 | Y=0241.750-0252.990 | Đường nhựa nối Đăk
P=2133 | X=0201.910-0269.190 | Y=0247.510-0258.750 | Đường ĐT 741
P=2133 | X=0281.140-0343.150 | Y=0247.510-0258.750 | Suối Đăk Côn
P=2133 | X=0090.500-0101.620 | Y=0249.390-0258.710 | 10
P=2133 | X=0363.500-0380.140 | Y=0249.390-0258.710 | 340
P=2133 | X=0414.380-0431.020 | Y=0249.390-0258.710 | 230
P=2133 | X=0505.390-0522.030 | Y=0249.390-0258.710 | 200
P=2133 | X=0102.770-0160.200 | Y=0255.150-0264.470 | Côn, Bù Rên
P=2133 | X=0281.140-0352.970 | Y=0271.270-0282.510 | Nhà Lương Văn
P=2133 | X=0102.770-0183.010 | Y=0282.820-0294.060 | Đường nhựa thôn
P=2133 | X=0281.140-0352.040 | Y=0284.700-0294.020 | Tuyến (hết ranh
P=2133 | X=0201.910-0269.190 | Y=0288.580-0299.820 | Đường ĐT 741
P=2133 | X=0090.500-0101.620 | Y=0290.460-0299.780 | 11
P=2133 | X=0363.500-0380.140 | Y=0290.460-0299.780 | 420
P=2133 | X=0414.380-0431.020 | Y=0290.460-0299.780 | 290
P=2133 | X=0505.390-0522.030 | Y=0290.460-0299.780 | 250
P=2133 | X=0281.140-0357.410 | Y=0294.340-0305.580 | Thửa đất số 191,
P=2133 | X=0102.770-0138.940 | Y=0296.220-0305.540 | Cầu Sắt
P=2133 | X=0281.140-0354.360 | Y=0305.860-0317.100 | tờ bản đồ số 19)
P=2133 | X=0201.910-0266.710 | Y=0325.740-0335.060 | Từ ngã ba cây
P=2133 | X=0201.910-0256.000 | Y=0335.380-0346.620 | xăng Hoàng
P=2133 | X=0281.140-0343.170 | Y=0337.260-0346.580 | Hết ranh thửa
P=2133 | X=0102.770-0193.560 | Y=0341.140-0352.380 | Đường nhựa đi thôn
P=2133 | X=0201.910-0380.140 | Y=0346.900-0358.140 | Duyên (hết ranh đất số 73, tờ bản 420
P=2133 | X=0090.500-0101.620 | Y=0348.780-0358.100 | 12
P=2133 | X=0414.380-0431.020 | Y=0348.780-0358.100 | 290
P=2133 | X=0505.390-0522.030 | Y=0348.780-0358.100 | 250
P=2133 | X=0102.770-0130.120 | Y=0352.660-0363.900 | Đăk A
P=2133 | X=0201.910-0319.400 | Y=0358.180-0369.420 | thửa đất số 440, đồ số 42
P=2133 | X=0201.910-0275.140 | Y=0369.720-0380.960 | tờ bản đồ số 39)
