TABLE=084 | AREA=Xã Bom Bo | SECTION=non-agricultural | SEGMENTS=1
P=2099 | X=0383.900-0400.540 | Y=0220.590-0229.910 | 770
P=2099 | X=0420.650-0437.290 | Y=0220.590-0229.910 | 540
P=2099 | X=0505.390-0522.030 | Y=0220.590-0229.910 | 460
P=2099 | X=0267.220-0285.700 | Y=0226.350-0235.670 | Quý
P=2099 | X=0102.770-0122.530 | Y=0232.110-0241.430 | Tiểu
P=2099 | X=0102.770-0118.850 | Y=0243.630-0252.950 | học
P=2099 | X=0102.770-0134.530 | Y=0259.750-0270.990 | Đường
P=2099 | X=0102.770-0373.610 | Y=0271.270-0282.510 | Thôn 7 Ngã ba vào Trường Cấp 1,2 Ngã ba nhà ông Tô Văn
P=2099 | X=0090.500-0101.620 | Y=0278.910-0288.230 | 37
P=2099 | X=0383.900-0400.540 | Y=0278.910-0288.230 | 390
P=2099 | X=0420.650-0437.290 | Y=0278.910-0288.230 | 270
P=2099 | X=0505.390-0522.030 | Y=0278.910-0288.230 | 230
P=2099 | X=0102.770-0196.200 | Y=0282.820-0294.060 | - Thôn Trần Văn Ơn
P=2099 | X=0267.220-0298.020 | Y=0282.820-0294.060 | Tướng
P=2099 | X=0102.770-0108.370 | Y=0296.220-0305.540 | 9
P=2099 | X=0102.770-0134.530 | Y=0312.340-0323.580 | Đường
P=2099 | X=0102.770-0119.410 | Y=0325.740-0335.060 | bên
P=2099 | X=0102.770-0124.930 | Y=0337.260-0346.580 | hông
P=2099 | X=0137.810-0253.140 | Y=0341.140-0352.380 | hết ranh nhà ông Đỗ Đình
P=2099 | X=0267.220-0329.710 | Y=0346.900-0358.140 | Suối Đắk Liên
P=2099 | X=0090.500-0129.010 | Y=0348.780-0358.100 | 38 Trung
P=2099 | X=0383.900-0400.540 | Y=0348.780-0358.100 | 540
P=2099 | X=0420.650-0437.290 | Y=0348.780-0358.100 | 380
P=2099 | X=0505.390-0522.030 | Y=0348.780-0358.100 | 320
P=2099 | X=0137.810-0150.610 | Y=0354.540-0363.860 | Hà
P=2099 | X=0102.770-0119.320 | Y=0360.060-0369.380 | tâm
P=2099 | X=0102.770-0135.720 | Y=0369.720-0380.960 | thương
P=2099 | X=0102.770-0118.930 | Y=0383.120-0392.440 | mại
P=2099 | X=0102.770-0134.530 | Y=0399.240-0410.480 | Đường
P=2099 | X=0102.770-0119.170 | Y=0412.640-0421.960 | vào
P=2099 | X=0102.770-0120.610 | Y=0424.160-0433.480 | Khu
P=2099 | X=0267.220-0372.400 | Y=0428.040-0439.280 | Khu dân cư Thái Thành
P=2099 | X=0090.500-0101.620 | Y=0429.920-0439.240 | 39
P=2099 | X=0137.810-0234.620 | Y=0429.920-0439.240 | Ngã ba nhà ông Toàn
P=2099 | X=0383.900-0400.540 | Y=0429.920-0439.240 | 610
P=2099 | X=0420.650-0437.290 | Y=0429.920-0439.240 | 430
P=2099 | X=0505.390-0522.030 | Y=0429.920-0439.240 | 370
P=2099 | X=0102.770-0133.990 | Y=0433.800-0445.040 | dân cư
P=2099 | X=0102.770-0122.280 | Y=0447.200-0456.520 | Thái
P=2099 | X=0102.770-0131.180 | Y=0458.740-0468.060 | Thành
P=2099 | X=0102.770-0134.530 | Y=0474.860-0486.100 | Đường
P=2099 | X=0102.770-0124.690 | Y=0488.260-0497.580 | vành
P=2099 | X=0102.770-0116.060 | Y=0497.900-0509.140 | đai
P=2099 | X=0102.770-0123.400 | Y=0511.300-0520.620 | Bom
P=2099 | X=0090.500-0101.620 | Y=0517.060-0526.380 | 40
P=2099 | X=0137.810-0209.340 | Y=0517.060-0526.380 | Ngã ba ông Xây
P=2099 | X=0267.220-0360.660 | Y=0517.060-0526.380 | Ngã ba nhà ông Thái
P=2099 | X=0383.900-0400.540 | Y=0517.060-0526.380 | 410
P=2099 | X=0420.650-0437.290 | Y=0517.060-0526.380 | 280
P=2099 | X=0505.390-0522.030 | Y=0517.060-0526.380 | 240
P=2099 | X=0102.770-0136.920 | Y=0522.820-0532.140 | Bo giáp
P=2099 | X=0102.770-0116.770 | Y=0534.100-0543.420 | với
P=2099 | X=0102.770-0132.850 | Y=0543.770-0555.010 | đường
P=2099 | X=0102.770-0127.330 | Y=0555.290-0566.530 | 10 cũ
P=2099 | X=0102.770-0120.610 | Y=0575.170-0584.490 | Khu
P=2099 | X=0102.770-0133.990 | Y=0584.810-0596.050 | dân cư
P=2099 | X=0102.770-0122.280 | Y=0598.210-0607.530 | Thái
P=2099 | X=0102.770-0137.330 | Y=0609.730-0619.050 | Thành -
P=2099 | X=0102.770-0123.400 | Y=0621.270-0630.590 | Bom
P=2099 | X=0137.810-0261.980 | Y=0625.150-0636.390 | Các tuyến đường trong Khu
P=2099 | X=0102.770-0115.100 | Y=0632.790-0642.110 | Bo
P=2099 | X=0137.810-0243.940 | Y=0636.670-0647.910 | dân cư (không bao gồm
P=2099 | X=0090.500-0101.620 | Y=0638.550-0647.870 | 41
P=2099 | X=0375.740-0400.790 | Y=0638.550-0647.870 | 1.100
P=2099 | X=0420.650-0437.290 | Y=0638.550-0647.870 | 760
P=2099 | X=0505.390-0522.030 | Y=0638.550-0647.870 | 650
P=2099 | X=0102.770-0129.990 | Y=0644.310-0653.630 | (Công
P=2099 | X=0137.810-0208.370 | Y=0648.190-0659.430 | Đường ĐT 760)
P=2099 | X=0102.770-0126.380 | Y=0655.830-0665.150 | ty Cổ
P=2099 | X=0102.770-0124.930 | Y=0667.350-0676.670 | phần
P=2099 | X=0102.770-0131.830 | Y=0676.750-0687.990 | đầu tư
P=2099 | X=0102.770-0121.330 | Y=0690.150-0699.470 | kinh
P=2099 | X=0102.770-0130.450 | Y=0701.700-0711.020 | doanh
P=2100 | X=0102.770-0117.810 | Y=0074.620-0083.940 | Bất
P=2100 | X=0102.770-0124.930 | Y=0084.260-0095.500 | động
P=2100 | X=0102.770-0118.690 | Y=0097.660-0106.980 | sản
P=2100 | X=0102.770-0122.280 | Y=0109.180-0118.500 | Thái
P=2100 | X=0102.770-0134.450 | Y=0120.730-0130.050 | Thành)
P=2100 | X=0102.770-0134.530 | Y=0136.850-0148.090 | Đường
P=2100 | X=0102.770-0119.410 | Y=0150.250-0159.570 | bên
P=2100 | X=0090.500-0205.090 | Y=0159.650-0170.890 | 42 hông Đường ĐT 760
P=2100 | X=0267.220-0347.440 | Y=0161.530-0170.850 | UBND xã Bom Bo
P=2100 | X=0383.900-0400.540 | Y=0161.530-0170.850 | 410
P=2100 | X=0420.650-0437.290 | Y=0161.530-0170.850 | 280
P=2100 | X=0505.390-0522.030 | Y=0161.530-0170.850 | 240
P=2100 | X=0102.770-0122.280 | Y=0173.050-0182.370 | Thái
P=2100 | X=0102.770-0131.180 | Y=0184.570-0193.890 | Thành
P=2100 | X=0102.770-0120.530 | Y=0202.590-0211.910 | Các
P=2100 | X=0102.770-0127.330 | Y=0214.110-0223.430 | tuyến
P=2100 | X=0102.770-0132.850 | Y=0223.750-0234.990 | đường
P=2100 | X=0090.500-0113.890 | Y=0237.150-0246.470 | 43 bê
P=2100 | X=0137.810-0188.070 | Y=0237.150-0246.470 | Toàn tuyến
P=2100 | X=0383.900-0400.540 | Y=0237.150-0246.470 | 320
P=2100 | X=0420.650-0437.290 | Y=0237.150-0246.470 | 220
P=2100 | X=0505.390-0522.030 | Y=0237.150-0246.470 | 190
P=2100 | X=0102.770-0125.020 | Y=0248.670-0257.990 | tông,
P=2100 | X=0102.770-0126.130 | Y=0260.190-0269.510 | nhựa
P=2100 | X=0102.770-0131.650 | Y=0271.710-0281.030 | còn lại
P=2100 | X=0102.770-0120.530 | Y=0289.740-0299.060 | Các
P=2100 | X=0102.770-0127.330 | Y=0301.260-0310.580 | tuyến
P=2100 | X=0090.500-0188.070 | Y=0310.900-0322.140 | 44 đường Toàn tuyến
P=2100 | X=0383.900-0400.540 | Y=0312.780-0322.100 | 270
P=2100 | X=0420.650-0437.290 | Y=0312.780-0322.100 | 190
P=2100 | X=0505.390-0522.030 | Y=0312.780-0322.100 | 160
P=2100 | X=0102.770-0135.730 | Y=0322.180-0333.420 | đất còn
P=2100 | X=0102.770-0112.930 | Y=0335.580-0344.900 | lại
