TABLE=089 | AREA=Xã Phú Nghĩa | SECTION=non-agricultural | SEGMENTS=1
P=2123 | X=0114.050-0144.050 | Y=0682.270-0693.510 | Nghĩa)
P=2123 | X=0096.050-0185.410 | Y=0700.290-0711.530 | 77 Đường D7 (Khu
P=2123 | X=0199.510-0264.670 | Y=0700.290-0711.530 | Ngã ba đường
P=2123 | X=0278.260-0343.410 | Y=0700.290-0711.530 | Ngã ba đường
P=2123 | X=0368.780-0393.830 | Y=0702.180-0711.500 | 2.500
P=2123 | X=0417.500-0442.550 | Y=0702.180-0711.500 | 1.800
P=2123 | X=0497.230-0522.280 | Y=0702.180-0711.500 | 1.500
P=2124 | X=0114.050-0238.960 | Y=0072.740-0083.980 | trung tâm xã Phú Vành đai
P=2124 | X=0278.260-0291.060 | Y=0074.620-0083.940 | N7
P=2124 | X=0114.050-0144.050 | Y=0084.260-0095.500 | Nghĩa)
P=2124 | X=0114.050-0185.410 | Y=0102.260-0113.500 | Đường N7 (Khu
P=2124 | X=0278.260-0352.290 | Y=0102.260-0113.500 | Tiếp giáp đường
P=2124 | X=0199.510-0266.350 | Y=0108.020-0119.260 | Ngã ba Đường
P=2124 | X=0278.260-0341.930 | Y=0113.780-0125.020 | vành đai trung
P=2124 | X=0096.050-0181.560 | Y=0115.660-0124.980 | 78 trung tâm hành
P=2124 | X=0368.780-0393.830 | Y=0115.660-0124.980 | 3.100
P=2124 | X=0417.500-0442.550 | Y=0115.660-0124.980 | 2.100
P=2124 | X=0497.230-0522.280 | Y=0115.660-0124.980 | 1.800
P=2124 | X=0199.510-0232.480 | Y=0119.570-0130.810 | ĐT 741
P=2124 | X=0114.050-0192.060 | Y=0125.330-0136.570 | chính huyện (cũ))
P=2124 | X=0278.260-0294.810 | Y=0127.210-0136.530 | tâm
P=2124 | X=0114.050-0188.690 | Y=0143.330-0154.570 | Đường thôn Đăk
P=2124 | X=0199.510-0266.350 | Y=0143.330-0154.570 | Ngã ba Đường
P=2124 | X=0278.260-0335.640 | Y=0145.210-0154.530 | Hết ranh quy
P=2124 | X=0096.050-0107.170 | Y=0150.970-0160.290 | 79
P=2124 | X=0368.780-0393.830 | Y=0150.970-0160.290 | 1.300
P=2124 | X=0425.690-0442.330 | Y=0150.970-0160.290 | 910
P=2124 | X=0505.390-0522.030 | Y=0150.970-0160.290 | 780
P=2124 | X=0199.510-0232.460 | Y=0154.850-0166.090 | ĐT 741
P=2124 | X=0114.050-0131.890 | Y=0156.730-0166.050 | Son
P=2124 | X=0278.260-0355.640 | Y=0156.730-0166.050 | hoạch chợ huyện
P=2124 | X=0114.050-0188.690 | Y=0172.850-0184.090 | Đường thôn Đăk
P=2124 | X=0278.260-0342.930 | Y=0172.850-0184.090 | Ngã ba xưởng
P=2124 | X=0199.510-0262.390 | Y=0174.730-0184.050 | Giáp ranh quy
P=2124 | X=0096.290-0106.690 | Y=0180.490-0189.810 | so
P=2124 | X=0376.940-0393.580 | Y=0180.490-0189.810 | 650
P=2124 | X=0425.690-0442.330 | Y=0180.490-0189.810 | 450
P=2124 | X=0505.390-0522.030 | Y=0180.490-0189.810 | 390
P=2124 | X=0114.050-0131.890 | Y=0186.250-0195.570 | Son
P=2124 | X=0199.510-0343.410 | Y=0186.250-0195.570 | hoạch chợ huyện mộc ông Hùng
P=2124 | X=0114.050-0188.690 | Y=0202.390-0213.630 | Đường thôn Đăk
P=2124 | X=0199.510-0264.190 | Y=0202.390-0213.630 | Ngã ba xưởng
P=2124 | X=0278.260-0331.630 | Y=0204.270-0213.590 | Ngã ba Hoa
P=2124 | X=0096.050-0107.170 | Y=0209.790-0219.110 | 81
P=2124 | X=0376.940-0393.580 | Y=0209.790-0219.110 | 410
P=2124 | X=0425.690-0442.330 | Y=0209.790-0219.110 | 280
P=2124 | X=0505.390-0522.030 | Y=0209.790-0219.110 | 240
P=2124 | X=0114.050-0131.890 | Y=0215.550-0224.870 | Son
P=2124 | X=0199.510-0264.640 | Y=0215.550-0224.870 | mộc ông Hùng
P=2124 | X=0278.260-0306.680 | Y=0215.550-0224.870 | Thuận
P=2124 | X=0199.510-0272.330 | Y=0231.670-0242.910 | Ranh đất cao su
P=2124 | X=0278.260-0356.930 | Y=0237.430-0248.670 | Hết ranh thửa đất
P=2124 | X=0114.050-0183.260 | Y=0243.190-0254.430 | Đường thôn Bù
P=2124 | X=0199.510-0273.060 | Y=0243.190-0254.430 | 778 (thửa đất số
P=2124 | X=0278.260-0356.850 | Y=0248.950-0260.190 | số 105, tờ bản đồ
P=2124 | X=0096.050-0107.170 | Y=0250.830-0260.150 | 82
P=2124 | X=0376.940-0393.580 | Y=0250.830-0260.150 | 490
P=2124 | X=0425.690-0442.330 | Y=0250.830-0260.150 | 340
P=2124 | X=0505.390-0522.030 | Y=0250.830-0260.150 | 290
P=2124 | X=0199.510-0264.670 | Y=0254.710-0265.950 | 142, tờ bản đồ
P=2124 | X=0114.050-0163.780 | Y=0256.590-0265.910 | Gia Phúc 1
P=2124 | X=0278.260-0302.600 | Y=0262.350-0271.670 | số 39
P=2124 | X=0199.510-0227.110 | Y=0268.110-0277.430 | số 16)
P=2124 | X=0199.510-0261.550 | Y=0286.140-0295.460 | Hết ranh thửa
P=2124 | X=0278.260-0356.930 | Y=0293.140-0304.380 | Hết ranh thửa đất
P=2124 | X=0199.510-0226.710 | Y=0295.780-0307.020 | đất số
P=2124 | X=0114.050-0183.260 | Y=0298.900-0310.140 | Đường thôn Bù
P=2124 | X=0278.260-0351.330 | Y=0304.660-0315.900 | số 56, tờ bản đồ
P=2124 | X=0096.050-0107.170 | Y=0306.540-0315.860 | 83
P=2124 | X=0376.940-0393.580 | Y=0306.540-0315.860 | 430
P=2124 | X=0425.690-0442.330 | Y=0306.540-0315.860 | 300
P=2124 | X=0505.390-0522.030 | Y=0306.540-0315.860 | 260
P=2124 | X=0114.050-0163.780 | Y=0312.300-0321.620 | Gia Phúc 1
P=2124 | X=0199.510-0264.670 | Y=0313.300-0324.540 | 105, tờ bản đồ
P=2124 | X=0278.260-0302.600 | Y=0317.820-0327.140 | số 37
P=2124 | X=0199.510-0223.830 | Y=0326.700-0336.020 | số 39
P=2124 | X=0278.260-0358.020 | Y=0344.700-0354.020 | Cổng thôn Bù Gia
P=2124 | X=0199.510-0261.550 | Y=0350.460-0359.780 | Hết ranh thửa
P=2124 | X=0114.050-0183.260 | Y=0354.340-0365.580 | Đường thôn Bù
P=2124 | X=0278.260-0356.200 | Y=0354.340-0365.580 | Phúc 1 (Thửa đất
P=2124 | X=0199.510-0275.220 | Y=0360.100-0371.340 | đất số 56, tờ bản
P=2124 | X=0096.050-0107.170 | Y=0361.980-0371.300 | 84
P=2124 | X=0376.940-0393.580 | Y=0361.980-0371.300 | 410
P=2124 | X=0425.690-0442.330 | Y=0361.980-0371.300 | 280
P=2124 | X=0505.390-0522.030 | Y=0361.980-0371.300 | 240
P=2124 | X=0278.260-0356.850 | Y=0365.880-0377.120 | số 106, tờ bản đồ
P=2124 | X=0114.050-0163.780 | Y=0367.760-0377.080 | Gia Phúc 1
P=2124 | X=0199.510-0237.780 | Y=0371.640-0382.880 | đồ số 37
P=2124 | X=0278.260-0300.360 | Y=0379.280-0388.600 | số 8)
P=2124 | X=0278.260-0341.720 | Y=0397.280-0406.600 | Quán ông Lập
P=2124 | X=0114.050-0358.630 | Y=0406.920-0418.160 | Đường thôn đi Bù Giáp Đường ĐT (hết ranh thửa đất
P=2124 | X=0096.050-0107.170 | Y=0414.560-0423.880 | 85
P=2124 | X=0376.940-0393.580 | Y=0414.560-0423.880 | 490
P=2124 | X=0425.690-0442.330 | Y=0414.560-0423.880 | 340
P=2124 | X=0505.390-0522.030 | Y=0414.560-0423.880 | 290
P=2124 | X=0278.260-0356.850 | Y=0418.200-0429.440 | số 137, tờ bản đồ
P=2124 | X=0114.050-0149.160 | Y=0420.080-0429.400 | Cà Mau
P=2124 | X=0199.510-0216.150 | Y=0420.080-0429.400 | 741
P=2124 | X=0278.260-0305.880 | Y=0431.600-0440.920 | số 59)
P=2124 | X=0199.510-0262.980 | Y=0449.600-0458.920 | Quán ông Lập
P=2124 | X=0114.050-0263.230 | Y=0459.260-0470.500 | Đường thôn đi Bù (hết ranh thửa
P=2124 | X=0096.050-0107.170 | Y=0466.900-0476.220 | 86
P=2124 | X=0278.260-0336.170 | Y=0466.900-0476.220 | Suối Tà Niên
P=2124 | X=0376.940-0393.580 | Y=0466.900-0476.220 | 410
P=2124 | X=0425.690-0442.330 | Y=0466.900-0476.220 | 280
P=2124 | X=0505.390-0522.030 | Y=0466.900-0476.220 | 240
P=2124 | X=0199.510-0261.360 | Y=0470.780-0482.020 | đất số 137, tờ
P=2124 | X=0114.050-0149.160 | Y=0472.660-0481.980 | Cà Mau
P=2124 | X=0199.510-0260.500 | Y=0482.300-0493.540 | bản đồ số 59)
P=2124 | X=0114.050-0188.060 | Y=0500.300-0511.540 | Đường thôn Tân
P=2124 | X=0199.510-0269.530 | Y=0506.060-0517.300 | Giáp đường ĐT
P=2124 | X=0096.050-0176.280 | Y=0511.820-0523.060 | 87 Lập Gốc gõ đi
P=2124 | X=0278.260-0347.920 | Y=0511.820-0523.060 | Ngã ba Sơn Hà
P=2124 | X=0376.940-0393.580 | Y=0513.700-0523.020 | 650
P=2124 | X=0425.690-0442.330 | Y=0513.700-0523.020 | 450
P=2124 | X=0505.390-0522.030 | Y=0513.700-0523.020 | 390
P=2124 | X=0199.510-0216.150 | Y=0519.460-0528.780 | 741
P=2124 | X=0114.050-0181.330 | Y=0523.340-0534.580 | Đường ĐT 760
P=2124 | X=0114.050-0188.060 | Y=0541.370-0552.610 | Đường thôn Tân
P=2124 | X=0278.260-0345.090 | Y=0541.370-0552.610 | Ngã ba Đường
P=2124 | X=0096.050-0176.280 | Y=0552.890-0564.130 | 88 Lập Gốc gõ đi
P=2124 | X=0199.510-0358.490 | Y=0552.890-0564.130 | Ngã ba Sơn Hà ĐT 760 (ngay nhà
P=2124 | X=0376.940-0393.580 | Y=0554.770-0564.090 | 600
P=2124 | X=0425.690-0442.330 | Y=0554.770-0564.090 | 420
P=2124 | X=0505.390-0522.030 | Y=0554.770-0564.090 | 360
P=2124 | X=0114.050-0181.330 | Y=0564.410-0575.650 | Đường ĐT 760
P=2124 | X=0278.260-0353.880 | Y=0566.290-0575.610 | ông Hồng Chiến)
P=2124 | X=0199.510-0266.350 | Y=0582.410-0593.650 | Ngã ba Đường
P=2124 | X=0114.050-0188.060 | Y=0588.170-0599.410 | Đường thôn Tân
P=2124 | X=0199.510-0260.220 | Y=0593.930-0605.170 | ĐT 760 (ngay
P=2124 | X=0096.050-0176.280 | Y=0599.690-0610.930 | 89 Lập Gốc gõ đi
P=2124 | X=0278.260-0357.800 | Y=0599.690-0610.930 | Đường An Lương
P=2124 | X=0376.940-0393.580 | Y=0601.570-0610.890 | 570
P=2124 | X=0425.690-0442.330 | Y=0601.570-0610.890 | 400
P=2124 | X=0505.390-0522.030 | Y=0601.570-0610.890 | 340
P=2124 | X=0199.510-0262.270 | Y=0607.330-0616.650 | nhà ông Hồng
P=2124 | X=0114.050-0181.330 | Y=0611.210-0622.450 | Đường ĐT 760
P=2124 | X=0199.510-0229.030 | Y=0618.630-0627.950 | Chiến)
P=2124 | X=0278.260-0355.880 | Y=0636.630-0645.950 | Ngã ba (Hết thửa
P=2124 | X=0114.050-0185.670 | Y=0646.270-0657.510 | Đường thôn Hai
P=2124 | X=0199.510-0351.330 | Y=0646.270-0657.510 | Giáp đường ĐT đất số 105, thửa
P=2124 | X=0096.050-0107.170 | Y=0653.910-0663.230 | 90
P=2124 | X=0376.940-0393.580 | Y=0653.910-0663.230 | 570
P=2124 | X=0425.690-0442.330 | Y=0653.910-0663.230 | 400
P=2124 | X=0505.390-0522.030 | Y=0653.910-0663.230 | 340
P=2124 | X=0114.050-0132.380 | Y=0657.790-0669.030 | Căn
P=2124 | X=0278.260-0346.680 | Y=0657.790-0669.030 | đất số 48 thuộc
P=2124 | X=0199.510-0216.150 | Y=0659.670-0668.990 | 741
P=2124 | X=0278.260-0351.480 | Y=0669.310-0680.550 | tờ bản đồ số 43)
P=2124 | X=0114.050-0185.650 | Y=0687.310-0698.550 | Đường thôn Hai
P=2124 | X=0199.510-0277.140 | Y=0689.190-0698.510 | Ngã ba (Hết thửa
P=2124 | X=0096.050-0107.170 | Y=0694.950-0704.270 | 91
P=2124 | X=0278.260-0321.330 | Y=0694.950-0704.270 | Hết tuyến
P=2124 | X=0376.940-0393.580 | Y=0694.950-0704.270 | 410
P=2124 | X=0425.690-0442.330 | Y=0694.950-0704.270 | 280
P=2124 | X=0505.390-0522.030 | Y=0694.950-0704.270 | 240
P=2124 | X=0114.050-0132.380 | Y=0698.830-0710.070 | Căn
P=2124 | X=0199.510-0272.590 | Y=0698.830-0710.070 | đất số 105, thửa
P=2125 | X=0199.510-0267.940 | Y=0072.740-0083.980 | đất số 48 thuộc
P=2125 | X=0199.510-0255.540 | Y=0084.260-0095.500 | tờ bản đồ số
P=2125 | X=0199.510-0269.530 | Y=0102.260-0113.500 | Giáp đường ĐT
P=2125 | X=0278.260-0349.160 | Y=0109.900-0119.220 | Ngã ba Hải Yến
P=2125 | X=0114.050-0186.370 | Y=0113.780-0125.020 | Đường liên thôn
P=2125 | X=0199.510-0276.420 | Y=0113.780-0125.020 | 741 (Thửa đất số
P=2125 | X=0278.260-0352.370 | Y=0119.570-0130.810 | (Thửa đất số 50,
P=2125 | X=0096.050-0107.170 | Y=0121.450-0130.770 | 92
P=2125 | X=0376.940-0393.580 | Y=0121.450-0130.770 | 410
P=2125 | X=0425.690-0442.330 | Y=0121.450-0130.770 | 280
P=2125 | X=0505.390-0522.030 | Y=0121.450-0130.770 | 240
P=2125 | X=0199.510-0272.340 | Y=0125.330-0136.570 | 58, tờ bản đồ số
P=2125 | X=0114.050-0178.660 | Y=0127.210-0136.530 | Bù Gia Phúc 2
P=2125 | X=0278.260-0351.480 | Y=0131.090-0142.330 | tờ bản đồ số 39)
P=2125 | X=0199.510-0213.910 | Y=0138.730-0148.050 | 36)
P=2125 | X=0278.260-0356.930 | Y=0154.850-0166.090 | Hết ranh thửa đất
P=2125 | X=0114.050-0271.210 | Y=0160.610-0171.850 | Đường đi vào thôn Giáp Đường ĐT
P=2125 | X=0278.260-0356.850 | Y=0166.370-0177.610 | số 334, tờ bản đồ
P=2125 | X=0096.050-0107.170 | Y=0168.250-0177.570 | 93
P=2125 | X=0376.940-0393.580 | Y=0168.250-0177.570 | 490
P=2125 | X=0425.690-0442.330 | Y=0168.250-0177.570 | 340
P=2125 | X=0505.390-0522.030 | Y=0168.250-0177.570 | 290
P=2125 | X=0114.050-0168.610 | Y=0174.010-0183.330 | Khắc Khoan
P=2125 | X=0199.510-0216.150 | Y=0174.010-0183.330 | 741
P=2125 | X=0278.260-0302.600 | Y=0179.530-0188.850 | số 63
P=2125 | X=0199.510-0261.550 | Y=0197.530-0206.850 | Hết ranh thửa
P=2125 | X=0278.260-0335.720 | Y=0197.530-0206.850 | Hết ranh khu
P=2125 | X=0114.050-0197.640 | Y=0201.430-0212.670 | Đường đi vào thôn
P=2125 | X=0199.510-0261.360 | Y=0207.190-0218.430 | đất số 334, tờ
P=2125 | X=0278.260-0355.170 | Y=0207.190-0218.430 | niệm phật đường
P=2125 | X=0096.050-0107.170 | Y=0209.070-0218.390 | 94
P=2125 | X=0376.940-0393.580 | Y=0209.070-0218.390 | 410
P=2125 | X=0425.690-0442.330 | Y=0209.070-0218.390 | 280
P=2125 | X=0505.390-0522.030 | Y=0209.070-0218.390 | 240
P=2125 | X=0114.050-0168.610 | Y=0214.830-0224.150 | Khắc Khoan
P=2125 | X=0199.510-0257.220 | Y=0218.710-0229.950 | bản đồ số 63
P=2125 | X=0278.260-0319.600 | Y=0218.710-0229.950 | Tiên Sơn
P=2125 | X=0114.050-0351.320 | Y=0236.710-0247.950 | Đường N1 (Khu Ngã ba tiếp giáp Ngã ba tiếp giáp
P=2125 | X=0096.050-0107.170 | Y=0244.350-0253.670 | 95
P=2125 | X=0368.780-0393.830 | Y=0244.350-0253.670 | 2.900
P=2125 | X=0417.500-0442.550 | Y=0244.350-0253.670 | 2.000
P=2125 | X=0497.230-0522.280 | Y=0244.350-0253.670 | 1.700
P=2125 | X=0114.050-0323.960 | Y=0248.230-0259.470 | dân cư B11, B12) Đường ĐT 741 đường D1
P=2125 | X=0114.050-0351.320 | Y=0266.230-0277.470 | Đường N2 (Khu Ngã ba tiếp giáp Ngã ba tiếp giáp
P=2125 | X=0096.050-0107.170 | Y=0273.870-0283.190 | 96
P=2125 | X=0368.780-0393.830 | Y=0273.870-0283.190 | 2.200
P=2125 | X=0417.500-0442.550 | Y=0273.870-0283.190 | 1.500
P=2125 | X=0497.230-0522.280 | Y=0273.870-0283.190 | 1.300
P=2125 | X=0114.050-0245.190 | Y=0277.750-0288.990 | dân cư B11,B12) đường D1
P=2125 | X=0278.260-0329.490 | Y=0277.750-0288.990 | đường D21
P=2125 | X=0114.050-0349.640 | Y=0295.780-0307.020 | Đường N25 (Khu Ngã ba tiếp giáp Ngã tư tiếp giáp
P=2125 | X=0096.050-0107.170 | Y=0303.420-0312.740 | 97
P=2125 | X=0368.780-0393.830 | Y=0303.420-0312.740 | 2.200
P=2125 | X=0417.500-0442.550 | Y=0303.420-0312.740 | 1.500
P=2125 | X=0497.230-0522.280 | Y=0303.420-0312.740 | 1.300
P=2125 | X=0114.050-0329.490 | Y=0307.300-0318.540 | dân cư B11, B12) Đường ĐT 741 đường D21
P=2125 | X=0114.050-0349.640 | Y=0325.300-0336.540 | Đường N3 (Khu Ngã ba tiếp giáp Ngã tư tiếp giáp
P=2125 | X=0096.050-0107.170 | Y=0332.940-0342.260 | 98
P=2125 | X=0368.780-0393.830 | Y=0332.940-0342.260 | 2.200
P=2125 | X=0417.500-0442.550 | Y=0332.940-0342.260 | 1.500
P=2125 | X=0497.230-0522.270 | Y=0332.940-0342.260 | 1.300
P=2125 | X=0114.050-0329.490 | Y=0336.820-0348.060 | dân cư B11, B12) đường ĐT 741 đường D21
P=2125 | X=0114.050-0349.640 | Y=0354.820-0366.060 | Đường N26 (Khu Ngã ba tiếp giáp Ngã tư tiếp giáp
P=2125 | X=0096.050-0107.170 | Y=0362.460-0371.780 | 99
P=2125 | X=0368.780-0393.830 | Y=0362.460-0371.780 | 2.200
P=2125 | X=0417.500-0442.550 | Y=0362.460-0371.780 | 1.500
P=2125 | X=0497.230-0522.280 | Y=0362.460-0371.780 | 1.300
P=2125 | X=0114.050-0329.490 | Y=0366.360-0377.600 | dân cư B11, B12) đường ĐT 741 đường D21
P=2125 | X=0199.510-0273.550 | Y=0384.360-0395.600 | Tiếp giáp đường
P=2125 | X=0114.050-0185.410 | Y=0390.120-0401.360 | Đường D1 (Khu
P=2125 | X=0278.260-0351.320 | Y=0392.000-0401.320 | Ngã ba tiếp giáp
P=2125 | X=0199.510-0263.180 | Y=0395.880-0407.120 | vành đai trung
P=2125 | X=0093.140-0109.780 | Y=0397.760-0407.080 | 100
P=2125 | X=0368.780-0393.830 | Y=0397.760-0407.080 | 2.200
P=2125 | X=0417.500-0442.550 | Y=0397.760-0407.080 | 1.500
P=2125 | X=0497.230-0522.280 | Y=0397.760-0407.080 | 1.300
P=2125 | X=0114.050-0192.520 | Y=0401.640-0412.880 | dân cư B11, B12)
P=2125 | X=0278.260-0329.490 | Y=0401.640-0412.880 | đường N26
P=2125 | X=0199.510-0216.060 | Y=0409.280-0418.600 | tâm
P=2125 | X=0199.510-0267.490 | Y=0425.400-0436.640 | Ngã ba mũi tàu
P=2125 | X=0114.050-0185.410 | Y=0431.160-0442.400 | Đường D2 (Khu
P=2125 | X=0278.260-0351.320 | Y=0433.040-0442.360 | Ngã ba tiếp giáp
P=2125 | X=0199.510-0270.190 | Y=0436.920-0448.160 | tiếp giáp đường
P=2125 | X=0093.140-0109.780 | Y=0438.800-0448.120 | 101
P=2125 | X=0368.780-0393.830 | Y=0438.800-0448.120 | 2.200
P=2125 | X=0417.500-0442.550 | Y=0438.800-0448.120 | 1.500
P=2125 | X=0497.230-0522.280 | Y=0438.800-0448.120 | 1.300
P=2125 | X=0114.050-0192.530 | Y=0442.680-0453.920 | dân cư B11, B12)
P=2125 | X=0278.260-0329.490 | Y=0442.680-0453.920 | đường N26
P=2125 | X=0199.510-0212.310 | Y=0450.080-0459.400 | D1
P=2125 | X=0199.510-0273.550 | Y=0466.220-0477.460 | Tiếp giáp đường
P=2125 | X=0114.050-0190.940 | Y=0471.980-0483.220 | Đường D21 (Khu
P=2125 | X=0278.260-0351.320 | Y=0473.860-0483.180 | Ngã ba tiếp giáp
P=2125 | X=0199.510-0263.180 | Y=0477.740-0488.980 | vành đai trung
P=2125 | X=0093.140-0109.780 | Y=0479.620-0488.940 | 102
P=2125 | X=0368.780-0393.830 | Y=0479.620-0488.940 | 2.200
P=2125 | X=0417.500-0442.550 | Y=0479.620-0488.940 | 1.500
P=2125 | X=0497.230-0522.280 | Y=0479.620-0488.940 | 1.300
P=2125 | X=0114.050-0192.520 | Y=0483.500-0494.740 | dân cư B11, B12)
P=2125 | X=0278.260-0329.490 | Y=0483.500-0494.740 | đường N26
P=2125 | X=0199.510-0216.060 | Y=0491.140-0500.460 | tâm
P=2125 | X=0114.050-0351.320 | Y=0507.260-0518.500 | Đường N4b (Khu Ngã tư tiếp giáp Ngã ba tiếp giáp
P=2125 | X=0093.140-0109.780 | Y=0514.900-0524.220 | 103
P=2125 | X=0368.780-0393.830 | Y=0514.900-0524.220 | 1.900
P=2125 | X=0417.500-0442.550 | Y=0514.900-0524.220 | 1.300
P=2125 | X=0497.230-0522.280 | Y=0514.900-0524.220 | 1.100
P=2125 | X=0114.050-0169.240 | Y=0518.780-0530.020 | dân cư E20)
P=2125 | X=0199.510-0245.190 | Y=0518.780-0530.020 | đường D2
P=2125 | X=0278.260-0323.960 | Y=0518.780-0530.020 | đường D1
P=2125 | X=0114.050-0185.410 | Y=0536.810-0548.050 | Đường D1 (Khu
P=2125 | X=0199.510-0351.320 | Y=0538.690-0548.010 | Ngã ba tiếp giáp Ngã ba tiếp giáp
P=2125 | X=0093.140-0109.780 | Y=0544.450-0553.770 | 104
P=2125 | X=0368.780-0393.830 | Y=0544.450-0553.770 | 1.900
P=2125 | X=0417.500-0442.550 | Y=0544.450-0553.770 | 1.300
P=2125 | X=0497.230-0522.280 | Y=0544.450-0553.770 | 1.100
P=2125 | X=0114.050-0169.240 | Y=0548.330-0559.570 | dân cư E20)
P=2125 | X=0199.510-0323.960 | Y=0548.330-0559.570 | Đường ĐT 760 đường N3
P=2125 | X=0114.050-0188.060 | Y=0566.330-0577.570 | Đường Vành đai
P=2125 | X=0199.510-0351.320 | Y=0572.090-0583.330 | Ngã tư tiếp giáp Ngã ba tiếp giáp
P=2125 | X=0093.140-0182.030 | Y=0579.730-0589.050 | 105 trung tâm (phía
P=2125 | X=0368.780-0393.820 | Y=0579.730-0589.050 | 1.300
P=2125 | X=0425.690-0442.330 | Y=0579.730-0589.050 | 880
P=2125 | X=0505.390-0522.030 | Y=0579.730-0589.050 | 760
P=2125 | X=0199.510-0311.210 | Y=0583.610-0594.850 | đường ĐT 741 ĐT 760
P=2125 | X=0114.050-0141.190 | Y=0589.370-0600.610 | Đông)
P=2125 | X=0199.510-0272.580 | Y=0609.250-0618.570 | Ngã ba tiếp giáp
P=2125 | X=0114.050-0186.380 | Y=0613.130-0624.370 | Đường vành đai
P=2125 | X=0199.510-0343.410 | Y=0618.910-0630.150 | đường ĐT 741 Ngã ba đường
P=2125 | X=0093.140-0181.560 | Y=0626.550-0635.870 | 106 trung tâm hành
P=2125 | X=0368.780-0393.830 | Y=0626.550-0635.870 | 1.600
P=2125 | X=0417.500-0442.550 | Y=0626.550-0635.870 | 1.100
P=2125 | X=0505.390-0522.030 | Y=0626.550-0635.870 | 970
P=2125 | X=0199.510-0291.060 | Y=0630.430-0641.670 | (Cây xăng Trọng D8
P=2125 | X=0114.050-0188.710 | Y=0636.190-0647.430 | chính huyện (cũ)
P=2125 | X=0199.510-0233.590 | Y=0641.950-0653.190 | Tưởng)
P=2125 | X=0114.050-0190.940 | Y=0659.950-0671.190 | Đường D19 (Khu
P=2125 | X=0093.140-0249.780 | Y=0673.350-0682.670 | 107 Trung tâm hành Toàn tuyến
P=2125 | X=0368.780-0393.830 | Y=0673.350-0682.670 | 1.300
P=2125 | X=0425.690-0442.330 | Y=0673.350-0682.670 | 880
P=2125 | X=0505.390-0522.030 | Y=0673.350-0682.670 | 760
P=2125 | X=0114.050-0192.060 | Y=0682.750-0693.990 | chính huyện (cũ))
P=2125 | X=0093.140-0185.410 | Y=0700.770-0712.010 | 108 Đường D7 (Khu
P=2125 | X=0199.510-0349.640 | Y=0700.770-0712.010 | Ngã tư tiếp giáp Ngã tư tiếp giáp
P=2125 | X=0368.780-0393.830 | Y=0702.660-0711.980 | 1.500
P=2125 | X=0417.500-0442.550 | Y=0702.660-0711.980 | 1.100
P=2125 | X=0505.390-0522.030 | Y=0702.660-0711.980 | 920
P=2126 | X=0114.050-0245.190 | Y=0072.740-0083.980 | trung tâm xã Phú đường N7
P=2126 | X=0278.260-0343.880 | Y=0072.740-0083.980 | đường ĐT 760
P=2126 | X=0114.050-0144.050 | Y=0084.260-0095.500 | Nghĩa)
P=2126 | X=0114.050-0190.940 | Y=0102.260-0113.500 | Đường N15 (Khu
P=2126 | X=0199.510-0351.320 | Y=0109.900-0119.220 | Ngã ba tiếp giáp Ngã ba tiếp giáp
P=2126 | X=0093.140-0197.670 | Y=0113.780-0125.020 | 109 dân cư trường tiểu
P=2126 | X=0368.780-0393.830 | Y=0115.660-0124.980 | 2.500
P=2126 | X=0417.500-0442.550 | Y=0115.660-0124.980 | 1.800
P=2126 | X=0497.230-0522.280 | Y=0115.660-0124.980 | 1.500
P=2126 | X=0199.510-0329.490 | Y=0119.570-0130.810 | Đường ĐT 741 đường D16
P=2126 | X=0114.050-0183.640 | Y=0125.330-0136.570 | học Phú Nghĩa)
P=2126 | X=0114.050-0351.320 | Y=0143.330-0154.570 | Đường D16 (Khu Ngã ba tiếp giáp Ngã ba tiếp giáp
P=2126 | X=0093.140-0348.930 | Y=0154.850-0166.090 | 110 dân cư trường tiểu đường vành đai đường vành đai
P=2126 | X=0368.780-0393.830 | Y=0156.730-0166.050 | 2.500
P=2126 | X=0417.500-0442.550 | Y=0156.730-0166.050 | 1.800
P=2126 | X=0497.230-0522.280 | Y=0156.730-0166.050 | 1.500
P=2126 | X=0114.050-0183.640 | Y=0166.370-0177.610 | học Phú Nghĩa)
P=2126 | X=0199.510-0241.730 | Y=0168.250-0177.570 | trung tâm
P=2126 | X=0278.260-0302.580 | Y=0168.250-0177.570 | ngoài
P=2126 | X=0114.050-0191.890 | Y=0184.370-0195.610 | Đường NB1 (Khu
P=2126 | X=0199.510-0351.320 | Y=0192.010-0201.330 | Ngã ba tiếp giáp Ngã ba tiếp giáp
P=2126 | X=0093.140-0197.670 | Y=0195.650-0206.890 | 111 dân cư trường tiểu
P=2126 | X=0368.780-0393.830 | Y=0197.530-0206.850 | 2.500
P=2126 | X=0417.500-0442.550 | Y=0197.530-0206.850 | 1.800
P=2126 | X=0497.230-0522.280 | Y=0197.530-0206.850 | 1.500
P=2126 | X=0199.510-0250.720 | Y=0201.430-0212.670 | đường N15
P=2126 | X=0278.260-0330.680 | Y=0201.430-0212.670 | đường NB3
P=2126 | X=0114.050-0183.640 | Y=0207.190-0218.430 | học Phú Nghĩa)
P=2126 | X=0114.050-0191.890 | Y=0225.190-0236.430 | Đường NB2 (Khu
