TABLE=074 | AREA=Xã Lộc Quang | SECTION=non-agricultural | SEGMENTS=1
P=2054 | X=0497.230-0522.280 | Y=0410.720-0420.040 | 3.000
P=2054 | X=0239.140-0297.550 | Y=0426.840-0438.080 | Đường Đông
P=2054 | X=0309.240-0367.650 | Y=0426.840-0438.080 | Đường Đông
P=2054 | X=0092.900-0191.390 | Y=0432.600-0443.840 | 13 Đường Bắc Nam 4
P=2054 | X=0380.540-0405.590 | Y=0434.480-0443.800 | 4.500
P=2054 | X=0426.410-0451.460 | Y=0434.480-0443.800 | 3.200
P=2054 | X=0497.230-0522.280 | Y=0434.480-0443.800 | 2.700
P=2054 | X=0239.140-0264.410 | Y=0440.240-0449.560 | Tây 1
P=2054 | X=0309.240-0334.510 | Y=0440.240-0449.560 | Tây 7
P=2054 | X=0092.900-0196.920 | Y=0456.380-0467.620 | 14 Đường Bắc Nam 4a
P=2054 | X=0239.140-0289.380 | Y=0458.260-0467.580 | Toàn tuyến
P=2054 | X=0380.540-0405.590 | Y=0458.260-0467.580 | 4.500
P=2054 | X=0426.410-0451.460 | Y=0458.260-0467.580 | 3.200
P=2054 | X=0497.230-0522.280 | Y=0458.260-0467.580 | 2.700
P=2054 | X=0092.900-0196.920 | Y=0474.380-0485.620 | 15 Đường Bắc Nam 4b
P=2054 | X=0239.140-0289.380 | Y=0476.260-0485.580 | Toàn tuyến
P=2054 | X=0380.540-0405.590 | Y=0476.260-0485.580 | 4.500
P=2054 | X=0426.410-0451.460 | Y=0476.260-0485.580 | 3.200
P=2054 | X=0497.230-0522.280 | Y=0476.260-0485.580 | 2.700
P=2054 | X=0239.140-0297.550 | Y=0492.380-0503.620 | Đường Đông
P=2054 | X=0309.240-0367.650 | Y=0492.380-0503.620 | Đường Đông
P=2054 | X=0092.900-0191.390 | Y=0498.140-0509.380 | 16 Đường Bắc Nam 5
P=2054 | X=0380.540-0405.590 | Y=0500.020-0509.340 | 4.500
P=2054 | X=0426.410-0451.460 | Y=0500.020-0509.340 | 3.200
P=2054 | X=0497.230-0522.280 | Y=0500.020-0509.340 | 2.700
P=2054 | X=0239.140-0264.410 | Y=0505.780-0515.100 | Tây 1
P=2054 | X=0309.240-0334.510 | Y=0505.780-0515.100 | Tây 7
P=2054 | X=0239.140-0290.590 | Y=0523.780-0533.100 | Ngã ba tiếp
P=2054 | X=0309.240-0360.710 | Y=0523.780-0533.100 | Ngã ba tiếp
P=2054 | X=0092.900-0196.920 | Y=0533.450-0544.690 | 17 Đường Bắc Nam 5a
P=2054 | X=0239.140-0291.060 | Y=0533.450-0544.690 | giáp đường
P=2054 | X=0309.240-0361.160 | Y=0533.450-0544.690 | giáp đường
P=2054 | X=0380.540-0405.590 | Y=0535.330-0544.650 | 4.500
P=2054 | X=0426.410-0451.460 | Y=0535.330-0544.650 | 3.200
P=2054 | X=0497.230-0522.280 | Y=0535.330-0544.650 | 2.700
P=2054 | X=0239.140-0291.050 | Y=0544.970-0556.210 | Đông Tây 5
P=2054 | X=0309.240-0361.150 | Y=0544.970-0556.210 | Đông Tây 7
P=2054 | X=0239.140-0290.590 | Y=0564.850-0574.170 | Ngã ba tiếp
P=2054 | X=0309.240-0360.710 | Y=0564.850-0574.170 | Ngã ba tiếp
P=2054 | X=0092.900-0196.920 | Y=0574.250-0585.490 | 18 Đường Bắc Nam 5b
P=2054 | X=0239.140-0291.060 | Y=0574.250-0585.490 | giáp đường
P=2054 | X=0309.240-0361.160 | Y=0574.250-0585.490 | giáp đường
P=2054 | X=0380.540-0405.590 | Y=0576.130-0585.450 | 4.500
P=2054 | X=0426.410-0451.460 | Y=0576.130-0585.450 | 3.200
P=2054 | X=0497.230-0522.280 | Y=0576.130-0585.450 | 2.700
P=2054 | X=0239.140-0291.050 | Y=0585.770-0597.010 | Đông Tây 5
P=2054 | X=0309.240-0361.150 | Y=0585.770-0597.010 | Đông Tây 7
P=2054 | X=0239.140-0290.590 | Y=0605.650-0614.970 | Ngã ba tiếp
P=2054 | X=0309.240-0360.710 | Y=0605.650-0614.970 | Ngã ba tiếp
P=2054 | X=0092.900-0196.350 | Y=0615.290-0626.530 | 19 Đường Bắc Nam 5c
P=2054 | X=0239.140-0291.060 | Y=0615.290-0626.530 | giáp đường
P=2054 | X=0309.240-0361.160 | Y=0615.290-0626.530 | giáp đường
P=2054 | X=0380.540-0405.590 | Y=0617.170-0626.490 | 4.500
P=2054 | X=0426.410-0451.460 | Y=0617.170-0626.490 | 3.200
P=2054 | X=0497.230-0522.280 | Y=0617.170-0626.490 | 2.700
P=2054 | X=0239.140-0291.050 | Y=0626.830-0638.070 | Đông Tây 5
P=2054 | X=0309.240-0361.150 | Y=0626.830-0638.070 | Đông Tây 7
P=2054 | X=0309.240-0372.710 | Y=0644.830-0656.070 | Ngã tư đường
P=2054 | X=0239.140-0287.060 | Y=0650.590-0661.830 | Đường ĐT
P=2054 | X=0092.900-0196.920 | Y=0656.350-0667.590 | 20 Đường Bắc Nam 12
P=2054 | X=0309.240-0405.590 | Y=0658.230-0667.550 | vào cầu Huyện 3.000
P=2054 | X=0426.410-0451.460 | Y=0658.230-0667.550 | 2.100
P=2054 | X=0497.230-0522.280 | Y=0658.230-0667.550 | 1.800
P=2054 | X=0239.140-0262.980 | Y=0663.990-0673.310 | 756C
P=2054 | X=0309.240-0319.800 | Y=0667.870-0679.110 | ủy
P=2054 | X=0092.900-0289.380 | Y=0685.870-0697.110 | 21 Đường Trục chính Đông Tây Toàn tuyến
P=2054 | X=0380.540-0405.590 | Y=0687.750-0697.070 | 6.300
P=2054 | X=0426.410-0451.460 | Y=0687.750-0697.070 | 4.400
P=2054 | X=0497.230-0522.280 | Y=0687.750-0697.070 | 3.800
P=2054 | X=0092.900-0193.560 | Y=0703.890-0715.130 | 22 Đường Đông Tây 1
P=2054 | X=0309.240-0361.620 | Y=0703.890-0715.130 | Ngã tư giao
P=2054 | X=0239.140-0290.590 | Y=0705.780-0715.100 | Ngã ba tiếp
P=2054 | X=0380.540-0405.590 | Y=0705.780-0715.100 | 5.900
P=2054 | X=0426.410-0451.460 | Y=0705.780-0715.100 | 4.100
P=2054 | X=0497.230-0522.280 | Y=0705.780-0715.100 | 3.500
P=2055 | X=0239.140-0291.060 | Y=0072.740-0083.980 | giáp đường
P=2055 | X=0309.240-0358.920 | Y=0072.740-0083.980 | đường trục
P=2055 | X=0239.140-0287.700 | Y=0086.140-0095.460 | Quốc lộ 13
P=2055 | X=0309.240-0377.630 | Y=0086.140-0095.460 | chính Bắc Nam
P=2055 | X=0239.140-0291.520 | Y=0102.260-0113.500 | Ngã tư giao
P=2055 | X=0309.240-0361.620 | Y=0102.260-0113.500 | Ngã tư giao
P=2055 | X=0092.900-0193.560 | Y=0113.780-0125.020 | 23 Đường Đông Tây 1
P=2055 | X=0239.140-0288.820 | Y=0113.780-0125.020 | đường trục
P=2055 | X=0309.240-0361.100 | Y=0113.780-0125.020 | Đường Bắc
P=2055 | X=0380.540-0405.590 | Y=0115.660-0124.980 | 4.500
P=2055 | X=0426.410-0451.460 | Y=0115.660-0124.980 | 3.200
P=2055 | X=0497.230-0522.280 | Y=0115.660-0124.980 | 2.700
P=2055 | X=0239.140-0339.060 | Y=0127.210-0136.530 | chính Bắc Nam Nam 7
P=2055 | X=0309.240-0361.620 | Y=0143.330-0154.570 | Ngã tư giao
P=2055 | X=0239.140-0290.590 | Y=0145.210-0154.530 | Ngã ba tiếp
P=2055 | X=0092.900-0193.560 | Y=0154.850-0166.090 | 24 Đường Đông Tây 2
P=2055 | X=0239.140-0292.740 | Y=0154.850-0166.090 | giáp Đường
P=2055 | X=0309.240-0358.920 | Y=0154.850-0166.090 | đường trục
P=2055 | X=0380.540-0405.590 | Y=0156.730-0166.050 | 5.100
P=2055 | X=0426.410-0451.460 | Y=0156.730-0166.050 | 3.600
P=2055 | X=0497.230-0522.280 | Y=0156.730-0166.050 | 3.100
P=2055 | X=0239.140-0288.870 | Y=0168.250-0177.570 | Bắc Nam 1
P=2055 | X=0309.240-0377.630 | Y=0168.250-0177.570 | chính Bắc Nam
P=2055 | X=0239.140-0291.520 | Y=0184.370-0195.610 | Ngã tư giao
P=2055 | X=0309.240-0360.710 | Y=0186.250-0195.570 | Ngã ba tiếp
P=2055 | X=0092.900-0193.560 | Y=0195.650-0206.890 | 25 Đường Đông Tây 2
P=2055 | X=0239.140-0288.820 | Y=0195.650-0206.890 | đường trục
P=2055 | X=0309.240-0362.840 | Y=0195.650-0206.890 | giáp Đường
P=2055 | X=0380.540-0405.580 | Y=0197.530-0206.850 | 4.700
P=2055 | X=0426.410-0451.460 | Y=0197.530-0206.850 | 3.300
P=2055 | X=0497.230-0522.280 | Y=0197.530-0206.850 | 2.800
P=2055 | X=0239.140-0358.970 | Y=0209.070-0218.390 | chính Bắc Nam Bắc Nam 7
P=2055 | X=0309.240-0361.620 | Y=0225.190-0236.430 | Ngã tư giao
P=2055 | X=0239.140-0290.590 | Y=0227.070-0236.390 | Ngã ba tiếp
P=2055 | X=0092.900-0193.560 | Y=0236.710-0247.950 | 26 Đường Đông Tây 3
P=2055 | X=0239.140-0291.060 | Y=0236.710-0247.950 | giáp đường
P=2055 | X=0309.240-0358.920 | Y=0236.710-0247.950 | đường trục
P=2055 | X=0380.540-0405.590 | Y=0238.590-0247.910 | 5.400
P=2055 | X=0426.410-0451.460 | Y=0238.590-0247.910 | 3.800
P=2055 | X=0497.230-0522.280 | Y=0238.590-0247.910 | 3.200
P=2055 | X=0239.140-0287.700 | Y=0250.110-0259.430 | Quốc lộ 13
P=2055 | X=0309.240-0377.630 | Y=0250.110-0259.430 | chính Bắc Nam
P=2055 | X=0239.140-0291.520 | Y=0266.230-0277.470 | Ngã tư giao
P=2055 | X=0309.240-0360.710 | Y=0268.110-0277.430 | Ngã ba tiếp
P=2055 | X=0092.900-0193.560 | Y=0277.750-0288.990 | 27 Đường Đông Tây 3
P=2055 | X=0239.140-0288.820 | Y=0277.750-0288.990 | đường trục
P=2055 | X=0309.240-0362.840 | Y=0277.750-0288.990 | giáp Đường
P=2055 | X=0380.540-0405.590 | Y=0279.630-0288.950 | 4.700
P=2055 | X=0426.410-0451.460 | Y=0279.630-0288.950 | 3.300
P=2055 | X=0497.230-0522.280 | Y=0279.630-0288.950 | 2.800
P=2055 | X=0239.140-0358.970 | Y=0291.180-0300.500 | chính Bắc Nam Bắc Nam 7
P=2055 | X=0092.900-0193.560 | Y=0307.300-0318.540 | 28 Đường Đông Tây 4
P=2055 | X=0239.140-0289.380 | Y=0309.180-0318.500 | Toàn tuyến
P=2055 | X=0380.540-0405.590 | Y=0309.180-0318.500 | 4.700
P=2055 | X=0426.410-0451.460 | Y=0309.180-0318.500 | 3.300
P=2055 | X=0497.230-0522.280 | Y=0309.180-0318.500 | 2.800
P=2055 | X=0239.140-0290.590 | Y=0327.180-0336.500 | Ngã ba tiếp
P=2055 | X=0309.240-0360.710 | Y=0327.180-0336.500 | Ngã ba tiếp
P=2055 | X=0092.900-0199.090 | Y=0336.820-0348.060 | 29 Đường Đông Tây 4a
P=2055 | X=0239.140-0291.060 | Y=0336.820-0348.060 | giáp đường
P=2055 | X=0309.240-0362.840 | Y=0336.820-0348.060 | giáp Đường
P=2055 | X=0380.540-0405.590 | Y=0338.700-0348.020 | 4.500
P=2055 | X=0426.410-0451.460 | Y=0338.700-0348.020 | 3.200
P=2055 | X=0497.230-0522.280 | Y=0338.700-0348.020 | 2.700
P=2055 | X=0239.140-0287.700 | Y=0350.220-0359.540 | Quốc lộ 13
P=2055 | X=0309.240-0358.970 | Y=0350.220-0359.540 | Bắc Nam 2
P=2055 | X=0239.140-0290.590 | Y=0368.240-0377.560 | Ngã ba tiếp
P=2055 | X=0309.240-0360.710 | Y=0368.240-0377.560 | Ngã ba tiếp
P=2055 | X=0092.900-0199.090 | Y=0377.880-0389.120 | 30 Đường Đông Tây 4b
P=2055 | X=0239.140-0292.740 | Y=0377.880-0389.120 | giáp Đường
P=2055 | X=0309.240-0362.840 | Y=0377.880-0389.120 | giáp Đường
P=2055 | X=0380.540-0405.590 | Y=0379.760-0389.080 | 4.500
P=2055 | X=0426.410-0451.460 | Y=0379.760-0389.080 | 3.200
P=2055 | X=0497.230-0522.280 | Y=0379.760-0389.080 | 2.700
P=2055 | X=0239.140-0288.870 | Y=0391.280-0400.600 | Bắc Nam 5
P=2055 | X=0309.240-0358.970 | Y=0391.280-0400.600 | Bắc Nam 7
P=2055 | X=0239.140-0290.590 | Y=0409.280-0418.600 | Ngã ba tiếp
P=2055 | X=0309.240-0360.710 | Y=0409.280-0418.600 | Ngã ba tiếp
P=2055 | X=0092.900-0198.530 | Y=0418.920-0430.160 | 31 Đường Đông Tây 4c
P=2055 | X=0239.140-0291.060 | Y=0418.920-0430.160 | giáp đường
P=2055 | X=0309.240-0362.840 | Y=0418.920-0430.160 | giáp Đường
P=2055 | X=0380.540-0405.590 | Y=0420.800-0430.120 | 4.500
P=2055 | X=0426.410-0451.460 | Y=0420.800-0430.120 | 3.200
P=2055 | X=0497.230-0522.280 | Y=0420.800-0430.120 | 2.700
P=2055 | X=0239.140-0288.870 | Y=0432.080-0441.400 | Bắc Nam 5
P=2055 | X=0309.240-0358.970 | Y=0432.080-0441.400 | Bắc Nam 7
P=2055 | X=0239.140-0290.590 | Y=0450.080-0459.400 | Ngã ba tiếp
P=2055 | X=0309.240-0360.710 | Y=0450.080-0459.400 | Ngã ba tiếp
P=2055 | X=0092.900-0193.560 | Y=0459.740-0470.980 | 32 Đường Đông Tây 5
P=2055 | X=0239.140-0291.060 | Y=0459.740-0470.980 | giáp đường
P=2055 | X=0309.240-0361.160 | Y=0459.740-0470.980 | giáp đường
P=2055 | X=0380.540-0405.590 | Y=0461.620-0470.940 | 4.700
P=2055 | X=0426.410-0451.460 | Y=0461.620-0470.940 | 3.300
P=2055 | X=0497.230-0522.280 | Y=0461.620-0470.940 | 2.800
P=2055 | X=0239.140-0287.700 | Y=0473.140-0482.460 | Quốc lộ 13
P=2055 | X=0309.240-0358.970 | Y=0473.140-0482.460 | Bắc Nam 7
P=2055 | X=0239.140-0290.590 | Y=0491.140-0500.460 | Ngã ba tiếp
P=2055 | X=0309.240-0360.700 | Y=0491.140-0500.460 | Ngã ba tiếp
P=2055 | X=0092.900-0199.090 | Y=0500.780-0512.020 | 33 Đường Đông Tây 5a
P=2055 | X=0239.140-0292.740 | Y=0500.780-0512.020 | giáp Đường
P=2055 | X=0309.240-0362.840 | Y=0500.780-0512.020 | giáp Đường
P=2055 | X=0380.540-0405.590 | Y=0502.660-0511.980 | 3.000
P=2055 | X=0426.410-0451.460 | Y=0502.660-0511.980 | 2.100
P=2055 | X=0497.230-0522.280 | Y=0502.660-0511.980 | 1.800
P=2055 | X=0239.140-0288.870 | Y=0514.180-0523.500 | Bắc Nam 2
P=2055 | X=0309.240-0358.970 | Y=0514.180-0523.500 | Bắc Nam 3
P=2055 | X=0309.240-0360.710 | Y=0532.180-0541.500 | Ngã ba tiếp
P=2055 | X=0239.140-0290.590 | Y=0537.970-0547.290 | Ngã ba tiếp
P=2055 | X=0309.240-0361.160 | Y=0541.850-0553.090 | giáp đường
P=2055 | X=0092.900-0193.560 | Y=0547.610-0558.850 | 34 Đường Đông Tây 6
P=2055 | X=0239.140-0292.740 | Y=0547.610-0558.850 | giáp Đường
P=2055 | X=0380.540-0405.590 | Y=0549.490-0558.810 | 3.000
P=2055 | X=0426.410-0451.460 | Y=0549.490-0558.810 | 2.100
P=2055 | X=0497.230-0522.280 | Y=0549.490-0558.810 | 1.800
P=2055 | X=0309.240-0373.340 | Y=0555.250-0564.570 | trục chính Bắc
P=2055 | X=0239.140-0288.870 | Y=0561.010-0570.330 | Bắc Nam 2
P=2055 | X=0309.240-0330.360 | Y=0566.770-0576.090 | Nam
P=2055 | X=0239.140-0290.590 | Y=0584.770-0594.090 | Ngã ba tiếp
P=2055 | X=0309.240-0360.710 | Y=0584.770-0594.090 | Ngã ba tiếp
P=2055 | X=0092.900-0199.090 | Y=0594.410-0605.650 | 35 Đường Đông Tây 6a
P=2055 | X=0239.140-0292.740 | Y=0594.410-0605.650 | giáp Đường
P=2055 | X=0309.240-0362.840 | Y=0594.410-0605.650 | giáp Đường
P=2055 | X=0380.540-0405.590 | Y=0596.290-0605.610 | 3.000
P=2055 | X=0426.410-0451.460 | Y=0596.290-0605.610 | 2.100
P=2055 | X=0497.230-0522.280 | Y=0596.290-0605.610 | 1.800
P=2055 | X=0239.140-0288.870 | Y=0607.810-0617.130 | Bắc Nam 2
P=2055 | X=0309.240-0358.970 | Y=0607.810-0617.130 | Bắc Nam 3
P=2055 | X=0309.240-0361.620 | Y=0623.950-0635.190 | Ngã tư giao
P=2055 | X=0239.140-0290.590 | Y=0625.830-0635.150 | Ngã ba tiếp
P=2055 | X=0092.900-0193.560 | Y=0635.470-0646.710 | 36 Đường Đông Tây 7
P=2055 | X=0239.140-0291.060 | Y=0635.470-0646.710 | giáp đường
P=2055 | X=0309.240-0358.920 | Y=0635.470-0646.710 | đường trục
P=2055 | X=0380.540-0405.590 | Y=0637.350-0646.670 | 4.500
P=2055 | X=0426.410-0451.460 | Y=0637.350-0646.670 | 3.200
P=2055 | X=0497.230-0522.280 | Y=0637.350-0646.670 | 2.700
P=2055 | X=0239.140-0287.700 | Y=0648.630-0657.950 | Quốc lộ 13
P=2055 | X=0309.240-0377.630 | Y=0648.630-0657.950 | chính Bắc Nam
P=2055 | X=0239.140-0291.520 | Y=0664.750-0675.990 | Ngã tư giao
P=2055 | X=0309.240-0360.710 | Y=0666.630-0675.950 | Ngã ba tiếp
P=2055 | X=0092.900-0193.560 | Y=0676.270-0687.510 | 37 Đường Đông Tây 7
P=2055 | X=0239.140-0288.820 | Y=0676.270-0687.510 | đường trục
P=2055 | X=0309.240-0361.160 | Y=0676.270-0687.510 | giáp đường
P=2055 | X=0380.540-0405.590 | Y=0678.150-0687.470 | 3.600
P=2055 | X=0426.410-0451.460 | Y=0678.150-0687.470 | 2.500
P=2055 | X=0497.230-0522.280 | Y=0678.150-0687.470 | 2.200
P=2055 | X=0239.140-0358.970 | Y=0689.670-0698.990 | chính Bắc Nam Bắc Nam 7
P=2055 | X=0092.900-0193.560 | Y=0705.810-0717.050 | 38 Đường Đông Tây 9
P=2055 | X=0239.140-0361.620 | Y=0705.810-0717.050 | Đường Quốc lộ Ngã tư giao
P=2055 | X=0380.540-0405.590 | Y=0707.700-0717.020 | 3.000
P=2055 | X=0426.410-0451.460 | Y=0707.700-0717.020 | 2.100
P=2055 | X=0497.230-0522.280 | Y=0707.700-0717.020 | 1.800
P=2056 | X=0309.240-0358.920 | Y=0072.740-0083.980 | đường trục
P=2056 | X=0239.140-0250.260 | Y=0074.620-0083.940 | 13
P=2056 | X=0309.240-0377.630 | Y=0086.140-0095.460 | chính Bắc Nam
P=2056 | X=0239.140-0291.520 | Y=0102.260-0113.500 | Ngã tư giao
P=2056 | X=0309.240-0360.710 | Y=0104.140-0113.460 | Ngã ba tiếp
P=2056 | X=0092.900-0193.560 | Y=0113.780-0125.020 | 39 Đường Đông Tây 9
P=2056 | X=0239.140-0288.820 | Y=0113.780-0125.020 | đường trục
P=2056 | X=0309.240-0362.840 | Y=0113.780-0125.020 | giáp Đường
P=2056 | X=0380.540-0405.590 | Y=0115.660-0124.980 | 2.800
P=2056 | X=0426.410-0451.460 | Y=0115.660-0124.980 | 2.000
P=2056 | X=0497.230-0522.280 | Y=0115.660-0124.980 | 1.700
P=2056 | X=0239.140-0358.970 | Y=0127.210-0136.530 | chính Bắc Nam Bắc Nam 7
P=2056 | X=0239.140-0361.100 | Y=0143.330-0154.570 | Đường Quốc lộ Đường Bắc
P=2056 | X=0092.900-0199.090 | Y=0149.090-0160.330 | 40 Đường Đông Tây 10
P=2056 | X=0380.540-0405.590 | Y=0150.970-0160.290 | 2.800
P=2056 | X=0426.410-0451.460 | Y=0150.970-0160.290 | 2.000
P=2056 | X=0497.230-0522.280 | Y=0150.970-0160.290 | 1.700
P=2056 | X=0239.140-0250.260 | Y=0156.730-0166.050 | 13
P=2056 | X=0309.240-0339.060 | Y=0156.730-0166.050 | Nam 4
P=2056 | X=0092.900-0199.090 | Y=0172.850-0184.090 | 41 Đường Đông Tây 11
P=2056 | X=0239.140-0289.380 | Y=0174.730-0184.050 | Toàn tuyến
P=2056 | X=0380.540-0405.590 | Y=0174.730-0184.050 | 3.000
P=2056 | X=0426.410-0451.460 | Y=0174.730-0184.050 | 2.100
P=2056 | X=0497.230-0522.280 | Y=0174.730-0184.050 | 1.800
P=2056 | X=0092.900-0199.090 | Y=0190.850-0202.090 | 42 Đường Đông Tây 12
P=2056 | X=0239.140-0289.380 | Y=0192.730-0202.050 | Toàn tuyến
P=2056 | X=0380.540-0405.590 | Y=0192.730-0202.050 | 3.000
P=2056 | X=0426.410-0451.460 | Y=0192.730-0202.050 | 2.100
P=2056 | X=0497.230-0522.280 | Y=0192.730-0202.050 | 1,800
P=2056 | X=0239.140-0361.100 | Y=0208.870-0220.110 | Đường Quốc lộ Đường Bắc
P=2056 | X=0092.900-0199.090 | Y=0214.630-0225.870 | 43 Đường Đông Tây 13
P=2056 | X=0380.540-0405.590 | Y=0216.510-0225.830 | 3.000
P=2056 | X=0426.410-0451.460 | Y=0216.510-0225.830 | 2.100
P=2056 | X=0497.230-0522.280 | Y=0216.510-0225.830 | 1.800
P=2056 | X=0239.140-0250.260 | Y=0222.270-0231.590 | 13
P=2056 | X=0309.240-0339.060 | Y=0222.270-0231.590 | Nam 3
P=2056 | X=0239.140-0361.100 | Y=0238.390-0249.630 | Đường Quốc lộ Đường Bắc
P=2056 | X=0092.900-0199.090 | Y=0243.910-0255.150 | 44 Đường Đông Tây 14
P=2056 | X=0380.540-0405.590 | Y=0245.790-0255.110 | 3.000
P=2056 | X=0426.410-0451.460 | Y=0245.790-0255.110 | 2.100
P=2056 | X=0497.230-0522.280 | Y=0245.790-0255.110 | 1.800
P=2056 | X=0239.140-0250.260 | Y=0251.550-0260.870 | 13
P=2056 | X=0309.240-0339.060 | Y=0251.550-0260.870 | Nam 3
P=2056 | X=0239.140-0363.980 | Y=0267.670-0278.910 | Đường Quốc lộ Đường Trục
P=2056 | X=0092.900-0199.080 | Y=0273.430-0284.670 | 45 Đường Đông Tây 15
P=2056 | X=0380.540-0405.590 | Y=0275.310-0284.630 | 5.400
P=2056 | X=0426.410-0451.460 | Y=0275.310-0284.630 | 3.800
P=2056 | X=0497.230-0522.280 | Y=0275.310-0284.630 | 3.200
P=2056 | X=0239.140-0250.260 | Y=0281.070-0290.390 | 13
P=2056 | X=0309.240-0377.630 | Y=0281.070-0290.390 | chính Bắc Nam
P=2056 | X=0092.900-0199.090 | Y=0297.220-0308.460 | 46 Đường Đông Tây 15
P=2056 | X=0239.140-0294.920 | Y=0297.220-0308.460 | Đoạn còn lại
P=2056 | X=0380.540-0405.590 | Y=0299.100-0308.420 | 3.600
P=2056 | X=0426.410-0451.460 | Y=0299.100-0308.420 | 2.500
P=2056 | X=0497.230-0522.280 | Y=0299.100-0308.420 | 2.200
P=2056 | X=0092.900-0199.090 | Y=0315.220-0326.460 | 47 Đường Đông Tây 16
P=2056 | X=0239.140-0289.380 | Y=0317.100-0326.420 | Toàn tuyến
P=2056 | X=0380.540-0405.590 | Y=0317.100-0326.420 | 3.000
P=2056 | X=0426.410-0451.460 | Y=0317.100-0326.420 | 2.100
P=2056 | X=0497.230-0522.280 | Y=0317.100-0326.420 | 1.800
P=2056 | X=0092.900-0199.090 | Y=0333.220-0344.460 | 48 Đường Đông Tây 17
P=2056 | X=0239.140-0289.380 | Y=0335.100-0344.420 | Toàn tuyến
P=2056 | X=0380.540-0405.590 | Y=0335.100-0344.420 | 2.700
P=2056 | X=0426.410-0451.460 | Y=0335.100-0344.420 | 1.900
P=2056 | X=0497.230-0522.280 | Y=0335.100-0344.420 | 1.600
P=2056 | X=0309.240-0367.900 | Y=0351.220-0362.460 | Đến hết thửa
P=2056 | X=0239.140-0291.540 | Y=0358.860-0368.180 | Ngã ba Tân
P=2056 | X=0092.900-0181.810 | Y=0362.740-0373.980 | 49 Đường ĐT 756C
P=2056 | X=0309.240-0405.590 | Y=0362.740-0373.980 | đất số 339, tờ 3.200
P=2056 | X=0426.410-0451.460 | Y=0364.620-0373.940 | 2.200
P=2056 | X=0497.230-0522.280 | Y=0364.620-0373.940 | 1.900
P=2056 | X=0239.140-0263.700 | Y=0370.400-0379.720 | Quan
P=2056 | X=0309.240-0366.940 | Y=0374.280-0385.520 | bản đồ số 23
P=2056 | X=0239.140-0357.090 | Y=0392.280-0403.520 | Từ thửa đất số Cầu bà Hộ
P=2056 | X=0092.900-0181.810 | Y=0403.800-0415.040 | 50 Đường ĐT 756C
P=2056 | X=0239.140-0364.520 | Y=0403.800-0415.040 | 347, tờ bản đồ giáp ranh xã
P=2056 | X=0380.540-0405.590 | Y=0405.680-0415.000 | 2.300
P=2056 | X=0426.410-0451.460 | Y=0405.680-0415.000 | 1.600
P=2056 | X=0497.230-0522.280 | Y=0405.680-0415.000 | 1.400
P=2056 | X=0239.140-0263.460 | Y=0417.200-0426.520 | số 23
P=2056 | X=0309.240-0353.950 | Y=0417.200-0426.520 | Tân Quan
P=2056 | X=0239.140-0291.520 | Y=0433.320-0444.560 | Ngã tư giao
P=2056 | X=0239.140-0295.870 | Y=0444.840-0456.080 | đường Đông
P=2056 | X=0309.240-0375.550 | Y=0452.500-0461.820 | Giáp ranh thôn
P=2056 | X=0092.900-0181.810 | Y=0456.380-0467.620 | 51 Đường ĐT 756C
P=2056 | X=0239.140-0277.850 | Y=0458.260-0467.580 | Tây 1 và
P=2056 | X=0380.540-0405.590 | Y=0458.260-0467.580 | 2.300
P=2056 | X=0426.410-0451.460 | Y=0458.260-0467.580 | 1.600
P=2056 | X=0497.230-0522.280 | Y=0458.260-0467.580 | 1.400
P=2056 | X=0309.240-0358.270 | Y=0462.140-0473.380 | Đồng Nơ 1
P=2056 | X=0239.140-0290.980 | Y=0467.900-0479.140 | Đường Bắc
P=2056 | X=0239.140-0268.960 | Y=0481.300-0490.620 | Nam 7
P=2056 | X=0309.240-0377.720 | Y=0499.300-0508.620 | Ngã ba bê tông
P=2056 | X=0309.240-0366.790 | Y=0508.940-0520.180 | xi măng tổ 4,
P=2056 | X=0239.140-0294.430 | Y=0514.460-0525.700 | Ngã tư cổng
P=2056 | X=0107.330-0219.760 | Y=0520.220-0531.460 | Đường ĐT 756C (Đường
P=2056 | X=0309.240-0374.470 | Y=0520.220-0531.460 | Sóc 5 (đến hết
P=2056 | X=0239.140-0296.580 | Y=0525.980-0537.220 | Nông trường
P=2056 | X=0092.900-0104.020 | Y=0527.860-0537.180 | 52
P=2056 | X=0380.540-0405.590 | Y=0527.860-0537.180 | 2.200
P=2056 | X=0426.410-0451.460 | Y=0527.860-0537.180 | 1.500
P=2056 | X=0497.230-0522.280 | Y=0527.860-0537.180 | 1.300
P=2056 | X=0309.240-0369.430 | Y=0531.740-0542.980 | ranh thửa đất
P=2056 | X=0107.330-0157.260 | Y=0533.620-0542.940 | huyện 245)
P=2056 | X=0239.140-0255.780 | Y=0539.410-0548.730 | 425
P=2056 | X=0309.240-0373.900 | Y=0545.170-0554.490 | số 213, tờ bản
P=2056 | X=0309.240-0350.760 | Y=0554.810-0566.050 | đồ số 81)
P=2056 | X=0239.140-0307.620 | Y=0574.690-0584.010 | Ngã ba bê tông
P=2056 | X=0239.140-0375.070 | Y=0584.330-0595.570 | xi măng tổ 4, Đến cầu Sóc 5
P=2056 | X=0107.330-0219.760 | Y=0595.850-0607.090 | Đường ĐT 756C (Đường
