TABLE=095 | AREA=Xã Bình Tân | SECTION=non-agricultural | SEGMENTS=1
P=2146 | X=0102.770-0187.810 | Y=0218.230-0229.470 | đến đường ĐT 759
P=2146 | X=0102.770-0183.980 | Y=0236.230-0247.470 | Đường giao thông
P=2146 | X=0102.770-0155.330 | Y=0247.750-0258.990 | đấu nối trục
P=2146 | X=0090.500-0101.620 | Y=0255.390-0264.710 | 32
P=2146 | X=0188.710-0238.980 | Y=0255.390-0264.710 | Toàn tuyến
P=2146 | X=0374.540-0391.180 | Y=0255.390-0264.710 | 680
P=2146 | X=0423.530-0440.170 | Y=0255.390-0264.710 | 480
P=2146 | X=0505.390-0522.030 | Y=0255.390-0264.710 | 410
P=2146 | X=0102.770-0170.050 | Y=0259.270-0270.510 | Đường ĐT 741
P=2146 | X=0102.770-0165.630 | Y=0272.670-0281.990 | phạm vi 200m
P=2146 | X=0102.770-0183.980 | Y=0288.820-0300.060 | Đường giao thông
P=2146 | X=0102.770-0155.330 | Y=0300.340-0311.580 | đấu nối trục
P=2146 | X=0090.500-0101.620 | Y=0307.980-0317.300 | 33
P=2146 | X=0188.710-0238.980 | Y=0307.980-0317.300 | Toàn tuyến
P=2146 | X=0374.540-0391.180 | Y=0307.980-0317.300 | 380
P=2146 | X=0423.530-0440.170 | Y=0307.980-0317.300 | 270
P=2146 | X=0505.390-0522.030 | Y=0307.980-0317.300 | 230
P=2146 | X=0102.770-0176.690 | Y=0311.860-0323.100 | Đường ĐT 757B
P=2146 | X=0102.770-0165.630 | Y=0325.260-0334.580 | phạm vi 200m
P=2146 | X=0102.770-0177.730 | Y=0341.380-0352.620 | Đường dọc sông
P=2146 | X=0188.710-0339.800 | Y=0341.380-0352.620 | Giáp ranh xã Long Đất ông Đặng
P=2146 | X=0090.500-0101.620 | Y=0349.020-0358.340 | 34
P=2146 | X=0374.540-0391.180 | Y=0349.020-0358.340 | 360
P=2146 | X=0423.530-0440.170 | Y=0349.020-0358.340 | 250
P=2146 | X=0505.390-0522.030 | Y=0349.020-0358.340 | 210
P=2146 | X=0278.020-0323.080 | Y=0352.900-0364.140 | Đình Hoạt
P=2146 | X=0102.770-0113.890 | Y=0354.780-0364.100 | bé
P=2146 | X=0188.710-0201.510 | Y=0354.780-0364.100 | Hà
P=2146 | X=0102.770-0175.090 | Y=0370.920-0382.160 | Các đường giao
P=2146 | X=0090.500-0238.980 | Y=0384.080-0393.400 | 35 thông liên xã còn Toàn tuyến
P=2146 | X=0374.540-0391.180 | Y=0384.080-0393.400 | 360
P=2146 | X=0423.530-0440.170 | Y=0384.080-0393.400 | 250
P=2146 | X=0505.390-0522.030 | Y=0384.080-0393.400 | 210
P=2146 | X=0102.770-0112.930 | Y=0395.600-0404.920 | lại
P=2146 | X=0102.770-0182.320 | Y=0411.720-0422.960 | Các tuyến Đường
P=2146 | X=0102.770-0165.240 | Y=0425.120-0434.440 | nhựa, bê tông
P=2146 | X=0188.710-0259.430 | Y=0425.120-0434.440 | Bao gồm các tờ
P=2146 | X=0188.710-0257.540 | Y=0434.760-0446.000 | bản đồ số: 106,
P=2146 | X=0090.500-0167.190 | Y=0436.640-0445.960 | 36 nông thôn mới
P=2146 | X=0374.540-0391.180 | Y=0436.640-0445.960 | 310
P=2146 | X=0423.530-0440.170 | Y=0436.640-0445.960 | 220
P=2146 | X=0505.390-0522.030 | Y=0436.640-0445.960 | 190
P=2146 | X=0102.770-0249.990 | Y=0448.160-0457.480 | thuộc Trung tâm 114, 124, 125
P=2146 | X=0102.770-0113.650 | Y=0459.700-0469.020 | xã
P=2146 | X=0102.770-0180.880 | Y=0475.820-0487.060 | Các tuyến đường
P=2146 | X=0090.500-0238.980 | Y=0489.220-0498.540 | 37 giao thông còn lại Toàn tuyến
P=2146 | X=0374.540-0391.180 | Y=0489.220-0498.540 | 260
P=2146 | X=0423.530-0440.170 | Y=0489.220-0498.540 | 180
P=2146 | X=0505.390-0522.030 | Y=0489.220-0498.540 | 150
P=2146 | X=0102.770-0169.340 | Y=0498.860-0510.100 | trên địa bàn xã
