TABLE=062 | AREA=Phường An Lộc | SECTION=non-agricultural | SEGMENTS=1
P=1989 | X=0284.260-0345.050 | Y=0444.120-0455.360 | Đường TLT 3
P=1989 | X=0092.900-0104.020 | Y=0446.000-0455.320 | 43
P=1989 | X=0372.860-0397.910 | Y=0446.000-0455.320 | 4.200
P=1989 | X=0420.410-0445.460 | Y=0446.000-0455.320 | 2.900
P=1989 | X=0497.230-0522.280 | Y=0446.000-0455.320 | 2.500
P=1989 | X=0179.110-0251.830 | Y=0449.900-0461.140 | Trường Xa Cam
P=1989 | X=0107.330-0118.450 | Y=0451.780-0461.100 | 13
P=1989 | X=0107.330-0158.540 | Y=0467.900-0479.140 | Đường bao
P=1989 | X=0107.330-0173.430 | Y=0481.300-0490.620 | quanh khu dân
P=1989 | X=0092.900-0104.020 | Y=0487.060-0496.380 | 44
P=1989 | X=0179.110-0229.350 | Y=0487.060-0496.380 | Toàn tuyến
P=1989 | X=0372.860-0397.910 | Y=0487.060-0496.380 | 6.100
P=1989 | X=0420.410-0445.460 | Y=0487.060-0496.380 | 4.300
P=1989 | X=0497.230-0522.280 | Y=0487.060-0496.380 | 3.600
P=1989 | X=0107.330-0152.530 | Y=0490.940-0502.180 | cư chợ xã
P=1989 | X=0107.330-0156.370 | Y=0504.100-0513.420 | Thanh Phú
P=1989 | X=0284.260-0361.850 | Y=0522.100-0531.420 | Giáp ranh xã Tân
P=1989 | X=0092.900-0262.020 | Y=0525.980-0537.220 | 45 Đường ĐT 757 Đường Quốc lộ 13
P=1989 | X=0381.020-0397.660 | Y=0527.860-0537.180 | 970
P=1989 | X=0428.570-0445.210 | Y=0527.860-0537.180 | 680
P=1989 | X=0505.390-0522.030 | Y=0527.860-0537.180 | 580
P=1989 | X=0284.260-0309.300 | Y=0531.740-0542.980 | Hưng
P=1989 | X=0107.330-0158.540 | Y=0549.770-0561.010 | Đường bao
P=1989 | X=0092.900-0104.020 | Y=0557.410-0566.730 | 46
P=1989 | X=0179.110-0229.350 | Y=0557.410-0566.730 | Toàn tuyến
P=1989 | X=0372.860-0397.910 | Y=0557.410-0566.730 | 5.700
P=1989 | X=0420.410-0445.460 | Y=0557.410-0566.730 | 4.000
P=1989 | X=0497.230-0522.280 | Y=0557.410-0566.730 | 3.400
P=1989 | X=0107.330-0154.980 | Y=0563.170-0572.490 | quanh chợ
P=1989 | X=0107.330-0177.500 | Y=0579.290-0590.530 | Đường vào nhà
P=1989 | X=0179.110-0262.020 | Y=0585.050-0596.290 | Đường Quốc lộ 13
P=1989 | X=0092.900-0104.020 | Y=0586.930-0596.250 | 47
P=1989 | X=0284.260-0304.280 | Y=0586.930-0596.250 | Suối
P=1989 | X=0372.860-0397.910 | Y=0586.930-0596.250 | 1.100
P=1989 | X=0428.570-0445.210 | Y=0586.930-0596.250 | 790
P=1989 | X=0505.390-0522.030 | Y=0586.930-0596.250 | 680
P=1989 | X=0107.330-0164.270 | Y=0590.810-0602.050 | máy xi măng
P=1989 | X=0107.330-0177.500 | Y=0608.810-0620.050 | Đường vào nhà
P=1989 | X=0284.260-0351.810 | Y=0608.810-0620.050 | Cuối đường đã
P=1989 | X=0092.900-0104.020 | Y=0616.450-0625.770 | 48
P=1989 | X=0179.110-0199.110 | Y=0616.450-0625.770 | Suối
P=1989 | X=0381.020-0397.660 | Y=0616.450-0625.770 | 970
P=1989 | X=0428.570-0445.210 | Y=0616.450-0625.770 | 680
P=1989 | X=0505.390-0522.030 | Y=0616.450-0625.770 | 580
P=1989 | X=0107.330-0164.270 | Y=0620.350-0631.590 | máy xi măng
P=1989 | X=0284.260-0332.850 | Y=0622.230-0631.550 | thảm nhựa
P=1989 | X=0107.330-0163.580 | Y=0638.350-0649.590 | Đường vùng
P=1989 | X=0107.330-0177.960 | Y=0649.870-0661.110 | đệm nhà máy xi
P=1989 | X=0092.900-0104.020 | Y=0657.510-0666.830 | 49
P=1989 | X=0179.110-0229.350 | Y=0657.510-0666.830 | Toàn tuyến
P=1989 | X=0372.860-0397.910 | Y=0657.510-0666.830 | 1.100
P=1989 | X=0428.570-0445.210 | Y=0657.510-0666.830 | 790
P=1989 | X=0505.390-0522.030 | Y=0657.510-0666.830 | 680
P=1989 | X=0107.330-0155.880 | Y=0661.390-0672.630 | măng Bình
P=1989 | X=0107.330-0138.050 | Y=0672.910-0684.150 | Phước
P=1989 | X=0107.330-0159.190 | Y=0690.910-0702.150 | Khu dân cư
P=1989 | X=0179.110-0282.660 | Y=0690.910-0702.150 | Các tuyến đường trong
P=1989 | X=0092.900-0104.020 | Y=0698.550-0707.870 | 49
P=1989 | X=0372.860-0397.910 | Y=0698.550-0707.870 | 3.600
P=1989 | X=0420.410-0445.460 | Y=0698.550-0707.870 | 2.500
P=1989 | X=0497.230-0522.280 | Y=0698.550-0707.870 | 2.100
P=1989 | X=0179.110-0267.060 | Y=0702.450-0713.690 | khu dân cư (Đường
P=1989 | X=0107.330-0160.920 | Y=0704.340-0713.660 | Khang Minh
P=1990 | X=0107.330-0131.890 | Y=0074.620-0083.940 | Quân
P=1990 | X=0179.110-0266.100 | Y=0074.620-0083.940 | trục chính trừ tuyến
P=1990 | X=0179.110-0279.030 | Y=0084.260-0095.500 | đường vào nhà máy xi
P=1990 | X=0179.110-0207.670 | Y=0095.780-0107.020 | măng)
P=1990 | X=0179.110-0282.660 | Y=0113.780-0125.020 | Các tuyến đường trong
P=1990 | X=0107.330-0159.190 | Y=0119.570-0130.810 | Khu dân cư
P=1990 | X=0179.110-0261.030 | Y=0125.330-0136.570 | khu dân cư Khang
P=1990 | X=0092.900-0160.920 | Y=0132.970-0142.290 | 50 Khang Minh
P=1990 | X=0372.860-0397.910 | Y=0132.970-0142.290 | 2.900
P=1990 | X=0420.410-0445.460 | Y=0132.970-0142.290 | 2.000
P=1990 | X=0497.230-0522.280 | Y=0132.970-0142.290 | 1.700
P=1990 | X=0179.110-0266.110 | Y=0136.850-0148.090 | Minh Quân (Đường
P=1990 | X=0107.330-0131.890 | Y=0144.490-0153.810 | Quân
P=1990 | X=0179.110-0211.510 | Y=0150.250-0159.570 | còn lại)
P=1990 | X=0179.110-0282.650 | Y=0166.370-0177.610 | Các tuyến đường trong
P=1990 | X=0107.330-0159.190 | Y=0177.650-0188.890 | Khu dân cư
P=1990 | X=0179.110-0278.820 | Y=0177.650-0188.890 | khu dân cư Ngọc Điền
P=1990 | X=0092.900-0104.020 | Y=0185.290-0194.610 | 51
P=1990 | X=0372.860-0397.910 | Y=0185.290-0194.610 | 3.600
P=1990 | X=0420.410-0445.460 | Y=0185.290-0194.610 | 2.500
P=1990 | X=0497.230-0522.280 | Y=0185.290-0194.610 | 2.100
P=1990 | X=0107.330-0257.140 | Y=0189.170-0200.410 | Ngọc Điền Phát Phát (Đường trục
P=1990 | X=0179.110-0206.950 | Y=0202.590-0211.910 | chính)
P=1990 | X=0179.110-0282.660 | Y=0218.710-0229.950 | Các tuyến đường trang
P=1990 | X=0107.330-0159.190 | Y=0224.470-0235.710 | Khu dân cư
P=1990 | X=0179.110-0278.820 | Y=0230.230-0241.470 | khu dân cư Ngọc Điền
P=1990 | X=0092.900-0104.020 | Y=0232.110-0241.430 | 52
P=1990 | X=0372.860-0397.910 | Y=0232.110-0241.430 | 2.900
P=1990 | X=0420.410-0445.460 | Y=0232.110-0241.430 | 2.000
P=1990 | X=0497.230-0522.280 | Y=0232.110-0241.430 | 1.700
P=1990 | X=0107.330-0177.570 | Y=0235.990-0247.230 | Ngọc Điền Phát
P=1990 | X=0179.110-0272.740 | Y=0241.750-0252.990 | Phát (Đường còn lại)
P=1990 | X=0092.900-0262.020 | Y=0259.750-0270.990 | 53 Đường TPT 1 Đường Quốc lộ 13
P=1990 | X=0284.260-0346.030 | Y=0259.750-0270.990 | Đường TPT 4
P=1990 | X=0372.860-0397.910 | Y=0261.630-0270.950 | 1.500
P=1990 | X=0420.410-0445.460 | Y=0261.630-0270.950 | 1.000
P=1990 | X=0505.390-0522.030 | Y=0261.630-0270.950 | 870
P=1990 | X=0092.900-0240.860 | Y=0277.750-0288.990 | 54 Đường TPT 1 Đường TPT 4
P=1990 | X=0284.260-0316.250 | Y=0279.630-0288.950 | TLT 21
P=1990 | X=0381.020-0397.660 | Y=0279.630-0288.950 | 970
P=1990 | X=0428.570-0445.210 | Y=0279.630-0288.950 | 680
P=1990 | X=0505.390-0522.030 | Y=0279.630-0288.950 | 580
P=1990 | X=0179.110-0279.780 | Y=0295.780-0307.020 | Đường bao quanh khu
P=1990 | X=0284.260-0362.860 | Y=0301.540-0312.780 | Cuối đường nâng
P=1990 | X=0092.900-0274.750 | Y=0307.300-0318.540 | 55 Đường TPT 2 dân cư chợ xã Thanh
P=1990 | X=0372.860-0397.910 | Y=0309.180-0318.500 | 4.100
P=1990 | X=0420.410-0445.460 | Y=0309.180-0318.500 | 2.800
P=1990 | X=0497.230-0522.280 | Y=0309.180-0318.500 | 2.400
P=1990 | X=0284.260-0341.000 | Y=0314.940-0324.260 | cấp mở rộng
P=1990 | X=0179.110-0196.950 | Y=0320.700-0330.020 | Phú
P=1990 | X=0092.900-0242.070 | Y=0336.820-0348.060 | 56 Đường TPT 3 Cầu cây Sung
P=1990 | X=0284.260-0351.560 | Y=0336.820-0348.060 | Đường TPT 27
P=1990 | X=0381.020-0397.660 | Y=0338.700-0348.020 | 690
P=1990 | X=0428.570-0445.210 | Y=0338.700-0348.020 | 480
P=1990 | X=0505.390-0522.030 | Y=0338.700-0348.020 | 410
P=1990 | X=0092.900-0240.860 | Y=0354.820-0366.060 | 57 Đường TPT 4 Đường TPT 1
P=1990 | X=0284.260-0351.560 | Y=0354.820-0366.060 | Đường TPT 12
P=1990 | X=0381.020-0397.660 | Y=0356.700-0366.020 | 970
P=1990 | X=0428.570-0445.210 | Y=0356.700-0366.020 | 680
P=1990 | X=0505.390-0522.030 | Y=0356.700-0366.020 | 580
P=1990 | X=0092.900-0246.390 | Y=0372.840-0384.080 | 58 Đường TPT 4 Đường TPT 12
P=1990 | X=0284.260-0327.330 | Y=0374.720-0384.040 | Hết tuyến
P=1990 | X=0381.020-0397.660 | Y=0374.720-0384.040 | 690
P=1990 | X=0428.570-0445.210 | Y=0374.720-0384.040 | 480
P=1990 | X=0505.390-0522.030 | Y=0374.720-0384.040 | 410
P=1990 | X=0284.260-0360.530 | Y=0390.840-0402.080 | Thửa đất số 126,
P=1990 | X=0179.110-0281.460 | Y=0396.600-0407.840 | Thửa đất số 28, tờ bản
P=1990 | X=0284.260-0354.200 | Y=0402.360-0413.600 | tờ bản đồ số 03
P=1990 | X=0092.900-0267.150 | Y=0408.120-0419.360 | 59 Đường TPT 5 đồ số 14 thuộc tổ 4,
P=1990 | X=0381.020-0397.660 | Y=0410.000-0419.320 | 690
P=1990 | X=0428.570-0445.210 | Y=0410.000-0419.320 | 480
P=1990 | X=0505.390-0522.030 | Y=0410.000-0419.320 | 410
P=1990 | X=0284.260-0350.130 | Y=0415.760-0425.080 | thuộc tổ 6, khu
P=1990 | X=0179.110-0261.510 | Y=0421.520-0430.840 | khu phố Thanh Hà
P=1990 | X=0284.260-0350.110 | Y=0425.400-0436.640 | phố Sóc Trăng
P=1990 | X=0092.900-0240.860 | Y=0443.400-0454.640 | 60 Đường TPT 6 Đường TPT 7
P=1990 | X=0284.260-0346.030 | Y=0443.400-0454.640 | Đường TPT 4
P=1990 | X=0381.020-0397.660 | Y=0445.280-0454.600 | 690
P=1990 | X=0428.570-0445.210 | Y=0445.280-0454.600 | 480
P=1990 | X=0505.390-0522.030 | Y=0445.280-0454.600 | 410
P=1990 | X=0092.900-0240.860 | Y=0461.420-0472.660 | 61 Đường TPT 7 Đường TPT 8
P=1990 | X=0284.260-0346.030 | Y=0461.420-0472.660 | Đường TPT 4
P=1990 | X=0381.020-0397.660 | Y=0463.300-0472.620 | 690
P=1990 | X=0428.570-0445.210 | Y=0463.300-0472.620 | 480
P=1990 | X=0505.390-0522.030 | Y=0463.300-0472.620 | 410
P=1990 | X=0092.900-0240.860 | Y=0479.420-0490.660 | 62 Đường TPT 8 Đường TPT 5
P=1990 | X=0284.260-0351.560 | Y=0479.420-0490.660 | Đường TPT 12
P=1990 | X=0381.020-0397.660 | Y=0481.300-0490.620 | 690
P=1990 | X=0428.570-0445.210 | Y=0481.300-0490.620 | 480
P=1990 | X=0505.390-0522.030 | Y=0481.300-0490.620 | 410
P=1990 | X=0092.900-0258.190 | Y=0497.420-0508.660 | 63 Đường TPT 9 Đường ray xe lửa
P=1990 | X=0284.260-0346.030 | Y=0497.420-0508.660 | Đường TPT 5
P=1990 | X=0381.020-0397.660 | Y=0499.300-0508.620 | 690
P=1990 | X=0428.570-0445.210 | Y=0499.300-0508.620 | 480
P=1990 | X=0505.390-0522.030 | Y=0499.300-0508.620 | 410
P=1990 | X=0092.900-0240.860 | Y=0515.420-0526.660 | 64 Đường TPT 10 Đường TPT 5
P=1990 | X=0284.260-0346.030 | Y=0515.420-0526.660 | Đường TPT 8
P=1990 | X=0381.020-0397.660 | Y=0517.300-0526.620 | 690
P=1990 | X=0428.570-0445.210 | Y=0517.300-0526.620 | 480
P=1990 | X=0505.390-0522.030 | Y=0517.300-0526.620 | 410
P=1990 | X=0284.260-0350.350 | Y=0535.330-0544.650 | Lô cao su (nhà
P=1990 | X=0092.900-0240.860 | Y=0544.970-0556.210 | 65 Đường TPT 11 Đường TPT 4
P=1990 | X=0284.260-0361.220 | Y=0546.850-0556.170 | ông Huỳnh Thái),
P=1990 | X=0381.020-0397.660 | Y=0546.850-0556.170 | 690
P=1990 | X=0428.570-0445.210 | Y=0546.850-0556.170 | 480
P=1990 | X=0505.390-0522.030 | Y=0546.850-0556.170 | 410
P=1990 | X=0284.260-0350.100 | Y=0556.250-0567.490 | đường TPT 22
P=1990 | X=0284.260-0347.220 | Y=0576.130-0585.450 | Xóm (nhà ông
P=1990 | X=0092.900-0240.860 | Y=0585.770-0597.010 | 66 Đường TPT 12 Đường TPT 1
P=1990 | X=0284.260-0356.840 | Y=0585.770-0597.010 | Phạm Sáu), đến
P=1990 | X=0381.020-0397.660 | Y=0587.650-0596.970 | 690
P=1990 | X=0428.570-0445.210 | Y=0587.650-0596.970 | 480
P=1990 | X=0505.390-0522.030 | Y=0587.650-0596.970 | 410
P=1990 | X=0284.260-0325.640 | Y=0597.290-0608.530 | nghĩa địa
P=1990 | X=0092.900-0240.860 | Y=0615.290-0626.530 | 67 Đường TPT 13 Đường TPT 4
P=1990 | X=0284.260-0351.560 | Y=0615.290-0626.530 | Đường TPT 11
P=1990 | X=0381.020-0397.660 | Y=0617.170-0626.490 | 810
P=1990 | X=0428.570-0445.210 | Y=0617.170-0626.490 | 570
P=1990 | X=0505.390-0522.030 | Y=0617.170-0626.490 | 490
P=1990 | X=0092.900-0240.860 | Y=0633.310-0644.550 | 68 Đường TPT 14 Đường TPT 1
P=1990 | X=0284.260-0351.560 | Y=0633.310-0644.550 | Đường TPT 15
P=1990 | X=0381.020-0397.660 | Y=0635.190-0644.510 | 810
P=1990 | X=0428.570-0445.210 | Y=0635.190-0644.510 | 570
P=1990 | X=0505.390-0522.030 | Y=0635.190-0644.510 | 490
P=1990 | X=0092.900-0262.020 | Y=0651.310-0662.550 | 69 Đường TPT 15 Đường Quốc lộ 13
P=1990 | X=0284.260-0346.030 | Y=0651.310-0662.550 | Đường TPT 1
P=1990 | X=0381.020-0397.660 | Y=0653.190-0662.510 | 970
P=1990 | X=0428.570-0445.210 | Y=0653.190-0662.510 | 680
P=1990 | X=0505.390-0522.030 | Y=0653.190-0662.510 | 580
P=1990 | X=0284.260-0364.270 | Y=0671.190-0680.510 | Lô cao su (nhà bà
P=1990 | X=0179.110-0274.230 | Y=0675.070-0686.310 | Đường TPT 18 (chùa
P=1990 | X=0092.900-0174.610 | Y=0680.830-0692.070 | 70 Đường TPT 16
P=1990 | X=0284.260-0340.600 | Y=0680.830-0692.070 | Vũ Thị Ngọ),
P=1990 | X=0381.020-0397.660 | Y=0682.710-0692.030 | 690
P=1990 | X=0428.570-0445.210 | Y=0682.710-0692.030 | 480
P=1990 | X=0505.390-0522.030 | Y=0682.710-0692.030 | 410
P=1990 | X=0179.110-0253.060 | Y=0686.590-0697.830 | Chưởng Phước)
P=1990 | X=0284.260-0350.100 | Y=0692.350-0703.590 | đường TPT 20
P=1991 | X=0284.260-0353.480 | Y=0078.740-0089.980 | Đường Quốc lộ
P=1991 | X=0092.900-0240.860 | Y=0084.500-0095.740 | 71 Đường TPT 17 Đường TPT 5
P=1991 | X=0381.020-0397.660 | Y=0086.380-0095.700 | 970
P=1991 | X=0428.570-0445.210 | Y=0086.380-0095.700 | 680
P=1991 | X=0505.390-0522.030 | Y=0086.380-0095.700 | 580
P=1991 | X=0284.260-0295.380 | Y=0092.140-0101.460 | 13
P=1991 | X=0284.260-0353.240 | Y=0108.260-0119.500 | Đường Nguyễn
P=1991 | X=0092.900-0240.860 | Y=0114.050-0125.290 | 72 Đường TPT 18 Đường TPT 1
P=1991 | X=0381.020-0397.660 | Y=0115.930-0125.250 | 810
P=1991 | X=0428.570-0445.210 | Y=0115.930-0125.250 | 570
P=1991 | X=0505.390-0522.030 | Y=0115.930-0125.250 | 490
P=1991 | X=0284.260-0324.600 | Y=0121.690-0131.010 | Thái Học
P=1991 | X=0092.900-0246.390 | Y=0137.810-0149.050 | 73 Đường TPT 19 Đường TPT 16
P=1991 | X=0284.260-0351.560 | Y=0137.810-0149.050 | Đường TPT 20
P=1991 | X=0381.020-0397.660 | Y=0139.690-0149.010 | 690
P=1991 | X=0428.570-0445.210 | Y=0139.690-0149.010 | 480
P=1991 | X=0505.390-0522.030 | Y=0139.690-0149.010 | 410
P=1991 | X=0092.900-0246.390 | Y=0155.810-0167.050 | 74 Đường TPT 20 Đường TPT 18
P=1991 | X=0284.260-0351.560 | Y=0155.810-0167.050 | Đường TPT 22
P=1991 | X=0381.020-0397.660 | Y=0157.690-0167.010 | 690
P=1991 | X=0428.570-0445.210 | Y=0157.690-0167.010 | 480
P=1991 | X=0505.390-0522.030 | Y=0157.690-0167.010 | 410
P=1991 | X=0092.900-0262.020 | Y=0173.810-0185.050 | 75 Đường TPT 21 Đường Quốc lộ 13
P=1991 | X=0284.260-0351.560 | Y=0173.810-0185.050 | Đường TPT 18
P=1991 | X=0381.020-0397.660 | Y=0175.690-0185.010 | 810
P=1991 | X=0428.570-0445.210 | Y=0175.690-0185.010 | 570
P=1991 | X=0505.390-0522.030 | Y=0175.690-0185.010 | 490
P=1991 | X=0092.900-0262.020 | Y=0191.810-0203.050 | 76 Đường TPT 23 Đường Quốc lộ 13
P=1991 | X=0284.260-0346.030 | Y=0191.810-0203.050 | Đường TPT 1
P=1991 | X=0381.020-0397.660 | Y=0193.690-0203.010 | 970
P=1991 | X=0428.570-0445.210 | Y=0193.690-0203.010 | 680
P=1991 | X=0505.390-0522.030 | Y=0193.690-0203.010 | 580
P=1991 | X=0092.900-0262.020 | Y=0209.830-0221.070 | 77 Đường TPT 24 Đường Quốc lộ 13
P=1991 | X=0284.260-0351.560 | Y=0209.830-0221.070 | Đường TPT 23
P=1991 | X=0381.020-0397.660 | Y=0211.710-0221.030 | 970
P=1991 | X=0428.570-0445.210 | Y=0211.710-0221.030 | 680
P=1991 | X=0505.390-0522.030 | Y=0211.710-0221.030 | 580
P=1991 | X=0092.900-0246.390 | Y=0227.830-0239.070 | 78 Đường TPT 25 Đường TPT 50
P=1991 | X=0284.260-0351.560 | Y=0227.830-0239.070 | Đường TPT 26
P=1991 | X=0381.020-0397.660 | Y=0229.710-0239.030 | 970
P=1991 | X=0428.570-0445.210 | Y=0229.710-0239.030 | 680
P=1991 | X=0505.390-0522.030 | Y=0229.710-0239.030 | 580
P=1991 | X=0284.260-0360.700 | Y=0245.830-0257.070 | Hết Đường nhựa
P=1991 | X=0092.900-0262.020 | Y=0257.350-0268.590 | 79 Đường TPT 26 Đường Quốc lộ 13
P=1991 | X=0284.260-0351.560 | Y=0259.230-0268.550 | (ngã ba nhà bà
P=1991 | X=0381.020-0397.660 | Y=0259.230-0268.550 | 970
P=1991 | X=0428.570-0445.210 | Y=0259.230-0268.550 | 680
P=1991 | X=0505.390-0522.030 | Y=0259.230-0268.550 | 580
P=1991 | X=0284.260-0307.760 | Y=0270.750-0280.070 | Tâm)
P=1991 | X=0092.900-0262.020 | Y=0286.900-0298.140 | 80 Đường TPT 27 Đường Quốc lộ 13
P=1991 | X=0284.260-0346.030 | Y=0286.900-0298.140 | Đường TPT 3
P=1991 | X=0381.020-0397.660 | Y=0288.780-0298.100 | 970
P=1991 | X=0428.570-0445.210 | Y=0288.780-0298.100 | 680
P=1991 | X=0505.390-0522.030 | Y=0288.780-0298.100 | 580
P=1991 | X=0092.900-0262.020 | Y=0304.900-0316.140 | 81 Đường TPT 28 Đường Quốc lộ 13
P=1991 | X=0284.260-0351.560 | Y=0304.900-0316.140 | Đường TPT 27
P=1991 | X=0381.020-0397.660 | Y=0306.780-0316.100 | 970
P=1991 | X=0428.570-0445.210 | Y=0306.780-0316.100 | 680
P=1991 | X=0505.390-0522.030 | Y=0306.780-0316.100 | 580
P=1991 | X=0284.260-0361.140 | Y=0324.780-0334.100 | Xóm (nhà ông Lê
P=1991 | X=0092.900-0262.020 | Y=0334.420-0345.660 | 82 Đường TPT 29 Đường Quốc lộ 13
P=1991 | X=0284.260-0357.560 | Y=0334.420-0345.660 | Xuân Đạo), ranh
P=1991 | X=0381.020-0397.660 | Y=0336.300-0345.620 | 970
P=1991 | X=0428.570-0445.210 | Y=0336.300-0345.620 | 680
P=1991 | X=0505.390-0522.030 | Y=0336.300-0345.620 | 580
P=1991 | X=0284.260-0353.880 | Y=0345.700-0356.940 | phường An Lộc
P=1991 | X=0092.900-0262.020 | Y=0363.700-0374.940 | 83 Đường TPT 30 Đường Quốc lộ 13
P=1991 | X=0284.260-0351.560 | Y=0363.700-0374.940 | Đường TPT 29
P=1991 | X=0372.860-0397.910 | Y=0365.580-0374.900 | 1.500
P=1991 | X=0420.410-0445.460 | Y=0365.580-0374.900 | 1.000
P=1991 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 870
P=1991 | X=0284.260-0351.560 | Y=0381.720-0392.960 | Đường TPT 30
P=1991 | X=0092.900-0246.390 | Y=0387.480-0398.720 | 84 Đường TPT 31 Đường TPT 32
P=1991 | X=0381.020-0397.660 | Y=0389.360-0398.680 | 810
P=1991 | X=0428.570-0445.210 | Y=0389.360-0398.680 | 570
P=1991 | X=0505.390-0522.030 | Y=0389.360-0398.680 | 490
P=1991 | X=0284.260-0311.160 | Y=0395.120-0404.440 | (Suối)
P=1991 | X=0092.900-0262.020 | Y=0411.240-0422.480 | 85 Đường TPT 32 Đường Quốc lộ 13
P=1991 | X=0284.260-0351.560 | Y=0411.240-0422.480 | Đường TPT 31
P=1991 | X=0381.020-0397.660 | Y=0413.120-0422.440 | 970
P=1991 | X=0428.570-0445.210 | Y=0413.120-0422.440 | 680
P=1991 | X=0505.390-0522.030 | Y=0413.120-0422.440 | 580
P=1991 | X=0092.900-0246.390 | Y=0429.240-0440.480 | 86 Đường TPT 32 Đường TPT 31
P=1991 | X=0284.260-0351.560 | Y=0429.240-0440.480 | Đường TPT 30
P=1991 | X=0381.020-0397.660 | Y=0431.120-0440.440 | 810
P=1991 | X=0428.570-0445.210 | Y=0431.120-0440.440 | 570
P=1991 | X=0505.390-0522.030 | Y=0431.120-0440.440 | 490
P=1991 | X=0092.900-0262.020 | Y=0447.240-0458.480 | 87 Đường TPT 33 Đường Quốc lộ 13
P=1991 | X=0284.260-0351.560 | Y=0447.240-0458.480 | Đường TPT 32
P=1991 | X=0381.020-0397.660 | Y=0449.120-0458.440 | 810
P=1991 | X=0428.570-0445.210 | Y=0449.120-0458.440 | 570
P=1991 | X=0505.390-0522.030 | Y=0449.120-0458.440 | 490
P=1991 | X=0092.900-0246.390 | Y=0465.260-0476.500 | 88 Đường TPT 34 Đường TPT 27
P=1991 | X=0284.260-0351.560 | Y=0465.260-0476.500 | Đường TPT 35
P=1991 | X=0381.020-0397.660 | Y=0467.140-0476.460 | 690
P=1991 | X=0428.570-0445.210 | Y=0467.140-0476.460 | 480
P=1991 | X=0505.390-0522.030 | Y=0467.140-0476.460 | 410
P=1991 | X=0284.260-0351.560 | Y=0483.260-0494.500 | Đường TPT 39
P=1991 | X=0092.900-0246.390 | Y=0489.020-0500.260 | 89 Đường TPT 35 Đường TPT 34
P=1991 | X=0381.020-0397.660 | Y=0490.900-0500.220 | 690
P=1991 | X=0428.570-0445.210 | Y=0490.900-0500.220 | 480
P=1991 | X=0505.390-0522.030 | Y=0490.900-0500.220 | 410
P=1991 | X=0284.260-0311.160 | Y=0496.660-0505.980 | (Suối)
P=1991 | X=0092.900-0240.860 | Y=0512.780-0524.020 | 90 Đường TPT 36 Đường TPT 3
P=1991 | X=0284.260-0351.560 | Y=0512.780-0524.020 | Đường TPT 35
P=1991 | X=0381.020-0397.660 | Y=0514.660-0523.980 | 690
P=1991 | X=0428.570-0445.210 | Y=0514.660-0523.980 | 480
P=1991 | X=0505.390-0522.030 | Y=0514.660-0523.980 | 410
P=1991 | X=0092.900-0240.860 | Y=0530.780-0542.020 | 91 Đường TPT 37 Đường TPT 1
P=1991 | X=0284.260-0351.560 | Y=0530.780-0542.020 | Đường TPT 12
P=1991 | X=0381.020-0397.660 | Y=0532.660-0541.980 | 690
P=1991 | X=0428.570-0445.210 | Y=0532.660-0541.980 | 480
P=1991 | X=0505.390-0522.030 | Y=0532.660-0541.980 | 410
P=1991 | X=0092.900-0246.390 | Y=0548.810-0560.050 | 92 Đường TPT 38 Đường TPT 26
P=1991 | X=0284.260-0351.560 | Y=0548.810-0560.050 | Đường TPT 48
P=1991 | X=0381.020-0397.660 | Y=0550.690-0560.010 | 810
P=1991 | X=0428.570-0445.210 | Y=0550.690-0560.010 | 570
P=1991 | X=0505.390-0522.030 | Y=0550.690-0560.010 | 490
P=1991 | X=0092.900-0246.390 | Y=0566.810-0578.050 | 93 Đường TPT 39 Đường TPT 35
P=1991 | X=0284.260-0351.560 | Y=0566.810-0578.050 | Đường TPT 49
P=1991 | X=0381.020-0397.660 | Y=0568.690-0578.010 | 690
P=1991 | X=0428.570-0445.210 | Y=0568.690-0578.010 | 480
P=1991 | X=0505.390-0522.030 | Y=0568.690-0578.010 | 410
P=1991 | X=0092.900-0246.390 | Y=0584.810-0596.050 | 94 Đường TPT 40 Đường TPT 35
P=1991 | X=0284.260-0346.030 | Y=0584.810-0596.050 | Đường TPT 2
P=1991 | X=0381.020-0397.660 | Y=0586.690-0596.010 | 810
P=1991 | X=0428.570-0445.210 | Y=0586.690-0596.010 | 570
P=1991 | X=0505.390-0522.030 | Y=0586.690-0596.010 | 490
P=1991 | X=0092.900-0262.020 | Y=0602.810-0614.050 | 95 Đường TPT 41 Đường Quốc lộ 13
P=1991 | X=0284.260-0351.560 | Y=0602.810-0614.050 | Đường TPT 42
P=1991 | X=0381.020-0397.660 | Y=0604.690-0614.010 | 970
P=1991 | X=0428.570-0445.210 | Y=0604.690-0614.010 | 680
P=1991 | X=0505.390-0522.030 | Y=0604.690-0614.010 | 580
P=1991 | X=0092.900-0240.420 | Y=0620.830-0632.070 | 96 Đường TPT 42 Trường cấp 2
P=1991 | X=0284.260-0327.540 | Y=0622.710-0632.030 | Lô cao su
P=1991 | X=0381.020-0397.660 | Y=0622.710-0632.030 | 810
P=1991 | X=0428.570-0445.210 | Y=0622.710-0632.030 | 570
P=1991 | X=0505.390-0522.030 | Y=0622.710-0632.030 | 490
P=1991 | X=0092.900-0262.020 | Y=0638.830-0650.070 | 97 Đường TPT 43 Đường Quốc lộ 13
