TABLE=065 | AREA=Xã Thuận Lợi | SECTION=non-agricultural | SEGMENTS=1
P=2020 | X=0295.800-0385.170 | Y=0523.820-0535.060 | bản đồ số 126 (ranh
P=2020 | X=0090.500-0186.310 | Y=0525.700-0535.020 | 35 liên xã Thuận Lợi -
P=2020 | X=0401.660-0418.300 | Y=0525.700-0535.020 | 510
P=2020 | X=0451.370-0468.010 | Y=0525.700-0535.020 | 360
P=2020 | X=0505.390-0522.030 | Y=0525.700-0535.020 | 310
P=2020 | X=0202.390-0265.620 | Y=0529.580-0540.820 | bản đồ số 125
P=2020 | X=0102.770-0171.880 | Y=0535.370-0546.610 | Thuận Phú (cũ)
P=2020 | X=0295.800-0380.280 | Y=0537.250-0546.570 | cao su Thuận Phú)
P=2020 | X=0102.770-0183.980 | Y=0553.370-0564.610 | Đường giao thông
P=2020 | X=0090.500-0101.620 | Y=0561.010-0570.330 | 36
P=2020 | X=0202.390-0252.660 | Y=0561.010-0570.330 | Toàn tuyến
P=2020 | X=0401.660-0418.300 | Y=0561.010-0570.330 | 510
P=2020 | X=0451.370-0468.010 | Y=0561.010-0570.330 | 360
P=2020 | X=0505.390-0522.030 | Y=0561.010-0570.330 | 310
P=2020 | X=0102.770-0163.350 | Y=0566.770-0576.090 | liên xã còn lại
P=2020 | X=0102.770-0183.980 | Y=0582.890-0594.130 | Đường giao thông
P=2020 | X=0102.770-0189.270 | Y=0594.410-0605.650 | liên thôn, liên ấp có
P=2020 | X=0090.500-0252.660 | Y=0607.810-0617.130 | 37 kết cấu trải nhựa, bê Toàn tuyến
P=2020 | X=0401.660-0418.300 | Y=0607.810-0617.130 | 430
P=2020 | X=0451.370-0468.010 | Y=0607.810-0617.130 | 300
P=2020 | X=0505.390-0522.030 | Y=0607.810-0617.130 | 260
P=2020 | X=0102.770-0186.870 | Y=0619.350-0628.670 | tông (trừ các tuyến
P=2020 | X=0102.770-0192.780 | Y=0628.750-0639.990 | đường đã có ở trên)
P=2020 | X=0102.770-0183.980 | Y=0646.750-0657.990 | Đường giao thông
P=2020 | X=0090.500-0252.660 | Y=0658.270-0669.510 | 38 liên thôn, liên ấp còn Toàn tuyến
P=2020 | X=0401.660-0418.300 | Y=0660.150-0669.470 | 380
P=2020 | X=0451.370-0468.010 | Y=0660.150-0669.470 | 270
P=2020 | X=0505.390-0522.030 | Y=0660.150-0669.470 | 230
P=2020 | X=0102.770-0112.930 | Y=0671.670-0680.990 | lại
P=2020 | X=0102.770-0180.880 | Y=0687.790-0699.030 | Các tuyến đường
P=2020 | X=0090.500-0101.620 | Y=0695.430-0704.750 | 39
P=2020 | X=0202.390-0252.660 | Y=0695.430-0704.750 | Toàn tuyến
P=2020 | X=0401.660-0418.300 | Y=0695.430-0704.750 | 340
P=2020 | X=0451.370-0468.010 | Y=0695.430-0704.750 | 240
P=2020 | X=0505.390-0522.030 | Y=0695.430-0704.750 | 200
P=2020 | X=0102.770-0201.500 | Y=0701.190-0710.510 | giao thông còn lại trên
P=2021 | X=0102.770-0149.180 | Y=0072.740-0083.980 | địa bàn xã
