TABLE=081 | AREA=Xã Bù Đăng | SECTION=non-agricultural | SEGMENTS=1
P=2085 | X=0107.330-0191.440 | Y=0646.750-0657.990 | Đường Lý Thường
P=2085 | X=0291.240-0364.050 | Y=0648.630-0657.950 | Ngã ba Lê Hồng
P=2085 | X=0206.470-0289.380 | Y=0652.510-0663.750 | Đường Quốc lộ 14
P=2085 | X=0092.900-0104.020 | Y=0654.390-0663.710 | 59
P=2085 | X=0382.940-0407.990 | Y=0654.390-0663.710 | 3.500
P=2085 | X=0428.570-0453.620 | Y=0654.390-0663.710 | 2.500
P=2085 | X=0497.230-0522.280 | Y=0654.390-0663.710 | 2.100
P=2085 | X=0107.330-0124.770 | Y=0660.150-0669.470 | Kiệt
P=2085 | X=0291.240-0320.130 | Y=0660.150-0669.470 | Phong
P=2085 | X=0107.330-0191.440 | Y=0676.270-0687.510 | Đường Lý Thường
P=2085 | X=0206.470-0279.310 | Y=0678.150-0687.470 | Ngã ba Lê Hồng
P=2085 | X=0291.240-0324.190 | Y=0682.030-0693.270 | ĐT 755
P=2085 | X=0092.900-0104.020 | Y=0683.910-0693.230 | 60
P=2085 | X=0382.940-0407.990 | Y=0683.910-0693.230 | 2.400
P=2085 | X=0428.570-0453.620 | Y=0683.910-0693.230 | 1.700
P=2085 | X=0497.230-0522.280 | Y=0683.910-0693.230 | 1.400
P=2085 | X=0107.330-0124.770 | Y=0689.670-0698.990 | Kiệt
P=2085 | X=0206.470-0235.360 | Y=0689.670-0698.990 | Phong
P=2085 | X=0092.900-0192.870 | Y=0705.810-0717.050 | 61 Đường Nguyễn Thị
P=2085 | X=0206.470-0407.990 | Y=0705.810-0717.050 | Đường Quốc lộ 14 Ngã ba vào hồ Bra 1.800
P=2085 | X=0428.570-0453.620 | Y=0707.700-0717.020 | 1.300
P=2085 | X=0497.230-0522.280 | Y=0707.700-0717.020 | 1.100
P=2086 | X=0291.240-0316.520 | Y=0072.740-0083.980 | măng
P=2086 | X=0107.330-0151.800 | Y=0074.620-0083.940 | Minh Khai
P=2086 | X=0107.330-0192.870 | Y=0090.740-0101.980 | Đường Nguyễn Thị
P=2086 | X=0206.470-0262.260 | Y=0096.500-0107.740 | Đoạn còn lại
P=2086 | X=0092.900-0104.020 | Y=0098.380-0107.700 | 62
P=2086 | X=0382.940-0407.990 | Y=0098.380-0107.700 | 1.400
P=2086 | X=0436.730-0453.370 | Y=0098.380-0107.700 | 950
P=2086 | X=0505.390-0522.030 | Y=0098.380-0107.700 | 810
P=2086 | X=0107.330-0151.800 | Y=0104.140-0113.460 | Minh Khai
P=2086 | X=0107.330-0184.680 | Y=0120.290-0131.530 | Đường Nơ Trang
P=2086 | X=0092.900-0104.020 | Y=0127.930-0137.250 | 63
P=2086 | X=0206.470-0256.740 | Y=0127.930-0137.250 | Toàn tuyến
P=2086 | X=0382.940-0407.990 | Y=0127.930-0137.250 | 2.000
P=2086 | X=0428.570-0453.620 | Y=0127.930-0137.250 | 1.400
P=2086 | X=0497.230-0522.280 | Y=0127.930-0137.250 | 1.200
P=2086 | X=0107.330-0129.490 | Y=0133.690-0143.010 | Long
P=2086 | X=0107.330-0196.950 | Y=0149.810-0161.050 | Đường Nguyễn Văn
P=2086 | X=0092.900-0104.020 | Y=0157.450-0166.770 | 64
P=2086 | X=0206.470-0256.740 | Y=0157.450-0166.770 | Toàn tuyến
P=2086 | X=0382.940-0407.990 | Y=0157.450-0166.770 | 1.400
P=2086 | X=0436.730-0453.370 | Y=0157.450-0166.770 | 950
P=2086 | X=0505.390-0522.030 | Y=0157.450-0166.770 | 810
P=2086 | X=0107.330-0121.270 | Y=0163.210-0172.530 | Cừ
P=2086 | X=0291.240-0378.790 | Y=0179.330-0190.570 | Ngã tư nhà ông Bọt
P=2086 | X=0107.330-0194.560 | Y=0185.090-0196.330 | Đường số 3 Xưởng
P=2086 | X=0206.470-0407.990 | Y=0190.850-0202.090 | Đường Quốc lộ 14 (thửa đất số 20, tờ 1.500
P=2086 | X=0092.900-0104.020 | Y=0192.730-0202.050 | 65
P=2086 | X=0428.570-0453.620 | Y=0192.730-0202.050 | 1.100
P=2086 | X=0505.390-0522.030 | Y=0192.730-0202.050 | 920
P=2086 | X=0107.330-0177.980 | Y=0196.610-0207.850 | điều Long Đăng
P=2086 | X=0291.240-0352.200 | Y=0202.390-0213.630 | bản đồ số 15)
P=2086 | X=0107.330-0194.560 | Y=0220.390-0231.630 | Đường số 3 Xưởng
P=2086 | X=0206.470-0262.260 | Y=0225.910-0237.150 | Đoạn còn lại
P=2086 | X=0092.900-0104.020 | Y=0227.790-0237.110 | 66
P=2086 | X=0382.940-0407.990 | Y=0227.790-0237.110 | 1.400
P=2086 | X=0436.730-0453.370 | Y=0227.790-0237.110 | 950
P=2086 | X=0505.390-0522.030 | Y=0227.790-0237.110 | 810
P=2086 | X=0107.330-0177.990 | Y=0231.670-0242.910 | điều Long Đăng
P=2086 | X=0092.900-0154.690 | Y=0249.670-0260.910 | 67 Đường D1
P=2086 | X=0206.470-0256.740 | Y=0251.550-0260.870 | Toàn tuyến
P=2086 | X=0382.940-0407.990 | Y=0251.550-0260.870 | 5.000
P=2086 | X=0428.570-0453.620 | Y=0251.550-0260.870 | 3.500
P=2086 | X=0497.230-0522.280 | Y=0251.550-0260.870 | 3.000
P=2086 | X=0107.330-0202.950 | Y=0267.670-0278.910 | Đường bên hông nhà
P=2086 | X=0291.240-0370.290 | Y=0267.670-0278.910 | Ngã ba đường Lê
P=2086 | X=0206.470-0289.380 | Y=0273.430-0284.670 | Đường Quốc lộ 14
P=2086 | X=0092.900-0104.020 | Y=0275.310-0284.630 | 68
P=2086 | X=0382.940-0407.990 | Y=0275.310-0284.630 | 3.600
P=2086 | X=0428.570-0453.620 | Y=0275.310-0284.630 | 2.500
P=2086 | X=0497.230-0522.280 | Y=0275.310-0284.630 | 2.200
P=2086 | X=0107.330-0172.460 | Y=0281.070-0290.390 | thuốc Hà Loan
P=2086 | X=0291.240-0305.720 | Y=0281.070-0290.390 | Lợi
P=2086 | X=0107.330-0198.070 | Y=0297.220-0308.460 | Đường Cầu sắt Đức
P=2086 | X=0107.330-0181.340 | Y=0308.740-0319.980 | Hòa (đường bên
P=2086 | X=0206.470-0264.910 | Y=0308.740-0319.980 | Đường Hùng
P=2086 | X=0291.240-0368.600 | Y=0314.500-0325.740 | Cầu sắt Đức Hòa
P=2086 | X=0092.900-0104.020 | Y=0316.380-0325.700 | 69
P=2086 | X=0382.940-0407.990 | Y=0316.380-0325.700 | 1.400
P=2086 | X=0436.730-0453.370 | Y=0316.380-0325.700 | 950
P=2086 | X=0505.390-0522.030 | Y=0316.380-0325.700 | 810
P=2086 | X=0206.470-0237.750 | Y=0320.260-0331.500 | Vương
P=2086 | X=0107.330-0183.510 | Y=0322.140-0331.460 | hông nhà bà Yến
P=2086 | X=0107.330-0132.040 | Y=0333.660-0342.980 | Cam)
P=2086 | X=0107.330-0198.070 | Y=0349.780-0361.020 | Đường Cầu sắt Đức
P=2086 | X=0291.240-0380.540 | Y=0349.780-0361.020 | Ngã ba vị trí đập lấy
P=2086 | X=0107.330-0181.340 | Y=0361.300-0372.540 | Hòa (đường bên
P=2086 | X=0291.240-0365.720 | Y=0361.300-0372.540 | nước thủy lợi Bù
P=2086 | X=0206.470-0283.860 | Y=0367.080-0378.320 | Cầu sắt Đức Hòa
P=2086 | X=0092.900-0104.020 | Y=0368.960-0378.280 | 70
P=2086 | X=0391.100-0407.740 | Y=0368.960-0378.280 | 720
P=2086 | X=0436.730-0453.370 | Y=0368.960-0378.280 | 500
P=2086 | X=0505.390-0522.030 | Y=0368.960-0378.280 | 430
P=2086 | X=0291.240-0359.230 | Y=0372.840-0384.080 | Môn, thôn Vĩnh
P=2086 | X=0107.330-0183.510 | Y=0374.720-0384.040 | hông nhà bà Yến
P=2086 | X=0107.330-0132.040 | Y=0386.240-0395.560 | Cam)
P=2086 | X=0291.240-0316.520 | Y=0386.240-0395.560 | Thiện
P=2086 | X=0291.240-0368.850 | Y=0404.240-0413.560 | Nhà ông Lê Xuân
P=2086 | X=0291.240-0377.100 | Y=0415.760-0425.080 | Huy (Phía Bắc: Hết
P=2086 | X=0291.240-0376.360 | Y=0425.400-0436.640 | thửa đất số 150, tờ
P=2086 | X=0107.330-0191.910 | Y=0431.160-0442.400 | Đường quanh hồ 7
P=2086 | X=0206.470-0407.990 | Y=0436.920-0448.160 | Đường Quốc lộ 14 bản đồ số 9, Phía 1.800
P=2086 | X=0092.900-0104.020 | Y=0438.800-0448.120 | 71
P=2086 | X=0428.570-0453.620 | Y=0438.800-0448.120 | 1.300
P=2086 | X=0497.230-0522.280 | Y=0438.800-0448.120 | 1.100
P=2086 | X=0107.330-0127.090 | Y=0444.560-0453.880 | mẫu
P=2086 | X=0291.240-0373.750 | Y=0448.200-0459.440 | Nam: Hết thửa đất
P=2086 | X=0291.240-0369.830 | Y=0459.740-0470.980 | số 230, tờ bản đồ
P=2086 | X=0291.240-0313.320 | Y=0473.140-0482.460 | số 9)
P=2086 | X=0206.470-0283.830 | Y=0491.140-0500.460 | Hết ranh nhà ông
P=2086 | X=0291.240-0369.310 | Y=0496.900-0506.220 | Nhà ông Hồ Minh
P=2086 | X=0206.470-0264.080 | Y=0502.660-0511.980 | Lê Xuân Huy
P=2086 | X=0291.240-0363.180 | Y=0508.420-0517.740 | Toản (Phía Tây:
P=2086 | X=0206.470-0268.920 | Y=0514.180-0523.500 | (Phía Bắc; Từ
P=2086 | X=0291.240-0360.220 | Y=0518.060-0529.300 | Hết thửa đất số
P=2086 | X=0107.330-0191.910 | Y=0523.820-0535.060 | Đường quanh hồ 7
P=2086 | X=0206.470-0279.390 | Y=0523.820-0535.060 | thửa đất số 160,
P=2086 | X=0291.240-0407.990 | Y=0529.580-0540.820 | 192, tờ bản đồ số 9, 1.400
P=2086 | X=0092.900-0104.020 | Y=0531.460-0540.780 | 72
P=2086 | X=0436.730-0453.370 | Y=0531.460-0540.780 | 950
P=2086 | X=0505.390-0522.030 | Y=0531.460-0540.780 | 810
P=2086 | X=0206.470-0273.630 | Y=0535.370-0546.610 | tờ bản đồ số 9,
P=2086 | X=0107.330-0127.090 | Y=0537.250-0546.570 | mẫu
P=2086 | X=0291.240-0359.820 | Y=0541.130-0552.370 | Phía Đông: Hết
P=2086 | X=0206.470-0269.650 | Y=0548.770-0558.090 | Phía Nam: Từ
P=2086 | X=0291.240-0376.360 | Y=0552.650-0563.890 | thửa đất số 220, tờ
P=2086 | X=0206.470-0279.390 | Y=0558.410-0569.650 | thửa đất số 229,
P=2086 | X=0291.240-0346.680 | Y=0564.170-0575.410 | bản đồ số 9)
P=2086 | X=0206.470-0274.180 | Y=0569.930-0581.170 | tờ bản đồ số 9)
P=2086 | X=0206.470-0283.830 | Y=0589.810-0599.130 | Hết ranh nhà ông
P=2086 | X=0206.470-0269.460 | Y=0601.330-0610.650 | Hồ Minh Toản
P=2086 | X=0206.470-0268.920 | Y=0612.610-0621.930 | (Phía Bắc: Từ
P=2086 | X=0107.330-0191.910 | Y=0622.270-0633.510 | Đường quanh hồ 7
P=2086 | X=0206.470-0378.220 | Y=0622.270-0633.510 | thửa đất số 193, Ngã ba giao đường
P=2086 | X=0092.900-0104.020 | Y=0629.910-0639.230 | 73
P=2086 | X=0382.940-0407.990 | Y=0629.910-0639.230 | 1.800
P=2086 | X=0428.570-0453.620 | Y=0629.910-0639.230 | 1.300
P=2086 | X=0497.230-0522.280 | Y=0629.910-0639.230 | 1.100
P=2086 | X=0206.470-0273.630 | Y=0633.790-0645.030 | tờ bản đồ số 9,
P=2086 | X=0291.240-0333.800 | Y=0633.790-0645.030 | Điểu Ong
P=2086 | X=0107.330-0127.090 | Y=0635.670-0644.990 | mẫu
P=2086 | X=0206.470-0269.650 | Y=0647.190-0656.510 | Phía Nam: Từ
P=2086 | X=0206.470-0286.070 | Y=0656.830-0668.070 | thửa đất số 49, tờ
P=2086 | X=0206.470-0267.460 | Y=0668.350-0679.590 | bản đồ số 14)
P=2086 | X=0107.330-0183.510 | Y=0686.350-0697.590 | Đường bên hông
P=2086 | X=0092.900-0104.020 | Y=0693.990-0703.310 | 74
P=2086 | X=0206.470-0256.740 | Y=0693.990-0703.310 | Toàn tuyến
P=2086 | X=0382.940-0407.990 | Y=0693.990-0703.310 | 5.000
P=2086 | X=0428.570-0453.620 | Y=0693.990-0703.310 | 3.500
P=2086 | X=0497.230-0522.280 | Y=0693.990-0703.310 | 3.000
P=2086 | X=0107.330-0150.610 | Y=0697.870-0709.110 | huyện đội
P=2087 | X=0107.330-0188.060 | Y=0078.740-0089.980 | Đường Ngã ba Lê
P=2087 | X=0092.900-0194.790 | Y=0090.260-0101.500 | 75 Quý Đôn đi Nguyễn
P=2087 | X=0206.470-0256.740 | Y=0092.140-0101.460 | Toàn tuyến
P=2087 | X=0382.940-0407.990 | Y=0092.140-0101.460 | 1.400
P=2087 | X=0436.730-0453.370 | Y=0092.140-0101.460 | 950
P=2087 | X=0505.390-0522.030 | Y=0092.140-0101.460 | 810
P=2087 | X=0107.330-0168.600 | Y=0103.660-0112.980 | Thị Minh Khai
P=2087 | X=0291.240-0371.980 | Y=0121.690-0131.010 | Ngã ba cuối tuyến
P=2087 | X=0291.240-0366.920 | Y=0133.210-0142.530 | hết ranh nhà ông
P=2087 | X=0107.330-0191.420 | Y=0137.090-0148.330 | Đường vào sóc Bù
P=2087 | X=0206.470-0380.950 | Y=0142.850-0154.090 | Đường Quốc lộ 14 Điều MRắc thửa đất
P=2087 | X=0092.900-0104.020 | Y=0144.730-0154.050 | 76
P=2087 | X=0391.100-0407.740 | Y=0144.730-0154.050 | 720
P=2087 | X=0436.730-0453.370 | Y=0144.730-0154.050 | 500
P=2087 | X=0505.390-0522.030 | Y=0144.730-0154.050 | 430
P=2087 | X=0107.330-0147.970 | Y=0150.490-0159.810 | Ra Mang
P=2087 | X=0291.240-0377.500 | Y=0154.370-0165.610 | số 67, tờ bản đồ số
P=2087 | X=0291.240-0300.120 | Y=0167.530-0176.850 | 5)
P=2087 | X=0206.470-0274.900 | Y=0183.650-0194.890 | Cầu Đăk Chậm
P=2087 | X=0291.240-0361.870 | Y=0185.530-0194.850 | Trung tâm hành
P=2087 | X=0092.900-0174.610 | Y=0195.170-0206.410 | 77 Đường ĐT 755
P=2087 | X=0206.470-0276.580 | Y=0195.170-0206.410 | (ranh xã Phước
P=2087 | X=0291.240-0373.750 | Y=0195.170-0206.410 | chính xã Đoàn Kết
P=2087 | X=0391.100-0407.740 | Y=0197.050-0206.370 | 720
P=2087 | X=0436.730-0453.370 | Y=0197.050-0206.370 | 500
P=2087 | X=0505.390-0522.030 | Y=0197.050-0206.370 | 430
P=2087 | X=0206.470-0228.780 | Y=0206.710-0217.950 | Sơn)
P=2087 | X=0291.240-0357.000 | Y=0206.710-0217.950 | cũ (đường D6)
P=2087 | X=0206.470-0277.100 | Y=0226.590-0235.910 | Trung tâm hành
P=2087 | X=0092.900-0174.610 | Y=0236.230-0247.470 | 78 Đường ĐT 755
P=2087 | X=0206.470-0354.190 | Y=0236.230-0247.470 | chính xã Đoàn Kết Cầu Tân Minh
P=2087 | X=0391.100-0407.740 | Y=0238.110-0247.430 | 900
P=2087 | X=0436.730-0453.370 | Y=0238.110-0247.430 | 630
P=2087 | X=0505.390-0522.030 | Y=0238.110-0247.430 | 540
P=2087 | X=0206.470-0272.260 | Y=0247.750-0258.990 | cũ (đường D6)
P=2087 | X=0291.240-0368.860 | Y=0267.630-0276.950 | Giáp ranh thị trấn
P=2087 | X=0092.900-0174.610 | Y=0271.510-0282.750 | 79 Đường ĐT 755
P=2087 | X=0206.470-0269.420 | Y=0273.390-0282.710 | Cầu Tân Minh
P=2087 | X=0382.940-0407.990 | Y=0273.390-0282.710 | 1.900
P=2087 | X=0428.570-0453.620 | Y=0273.390-0282.710 | 1.300
P=2087 | X=0497.230-0522.280 | Y=0273.390-0282.710 | 1.100
P=2087 | X=0291.240-0355.390 | Y=0277.270-0288.510 | Đức Phong cũ
P=2087 | X=0291.240-0365.950 | Y=0297.180-0306.500 | Hết ranh trại heo
P=2087 | X=0107.330-0189.670 | Y=0301.060-0312.300 | Đường Đoàn Kết -
P=2087 | X=0206.470-0267.310 | Y=0301.060-0312.300 | Ngã ba Vườn
P=2087 | X=0092.900-0104.020 | Y=0308.700-0318.020 | 80
P=2087 | X=0291.240-0380.390 | Y=0308.700-0318.020 | nhà ông Sang (thửa
P=2087 | X=0391.100-0407.740 | Y=0308.700-0318.020 | 900
P=2087 | X=0436.730-0453.370 | Y=0308.700-0318.020 | 630
P=2087 | X=0505.390-0522.030 | Y=0308.700-0318.020 | 540
P=2087 | X=0107.330-0148.930 | Y=0312.580-0323.820 | Đồng Nai
P=2087 | X=0206.470-0230.340 | Y=0314.460-0323.780 | chuối
P=2087 | X=0291.240-0370.940 | Y=0318.340-0329.580 | 106 tờ bản đồ 75)
P=2087 | X=0206.470-0286.730 | Y=0338.220-0347.540 | Giáp ranh trại heo
P=2087 | X=0107.330-0189.670 | Y=0347.860-0359.100 | Đường Đoàn Kết -
P=2087 | X=0206.470-0268.730 | Y=0349.740-0359.060 | nhà ông Sang
P=2087 | X=0291.240-0368.870 | Y=0349.740-0359.060 | Giáp ranh xã Thọ
P=2087 | X=0092.900-0104.020 | Y=0355.500-0364.820 | 81
P=2087 | X=0391.100-0407.740 | Y=0355.500-0364.820 | 810
P=2087 | X=0436.730-0453.370 | Y=0355.500-0364.820 | 570
P=2087 | X=0505.390-0522.030 | Y=0355.500-0364.820 | 490
P=2087 | X=0107.330-0148.930 | Y=0359.380-0370.620 | Đồng Nai
P=2087 | X=0206.470-0310.270 | Y=0359.380-0370.620 | (thửa 106 tờ bản Sơn
P=2087 | X=0206.470-0234.790 | Y=0370.920-0382.160 | đồ 75)
P=2087 | X=0206.470-0278.170 | Y=0388.920-0400.160 | Giáp Đường ĐT
P=2087 | X=0291.240-0365.850 | Y=0388.920-0400.160 | Ngã tư danh lam
P=2087 | X=0092.900-0191.920 | Y=0394.680-0405.920 | 82 Đường Thác Đứng
P=2087 | X=0391.100-0407.740 | Y=0396.560-0405.880 | 600
P=2087 | X=0436.730-0453.370 | Y=0396.560-0405.880 | 420
P=2087 | X=0505.390-0522.030 | Y=0396.560-0405.880 | 360
P=2087 | X=0291.240-0341.480 | Y=0400.200-0411.440 | Thác Đứng
P=2087 | X=0206.470-0223.110 | Y=0402.080-0411.400 | 755
P=2087 | X=0206.470-0279.540 | Y=0420.080-0429.400 | Ngã ba tiếp giáp
P=2087 | X=0107.330-0190.210 | Y=0423.960-0435.200 | Đường sân bay cũ
P=2087 | X=0206.470-0358.520 | Y=0429.720-0440.960 | Đường Lý Thường Đường ĐT 755
P=2087 | X=0092.900-0104.020 | Y=0431.600-0440.920 | 83
P=2087 | X=0382.940-0407.990 | Y=0431.600-0440.920 | 1.200
P=2087 | X=0436.730-0453.370 | Y=0431.600-0440.920 | 840
P=2087 | X=0505.390-0522.030 | Y=0431.600-0440.920 | 720
P=2087 | X=0107.330-0150.990 | Y=0435.480-0446.720 | (Tránh lũ)
P=2087 | X=0206.470-0223.910 | Y=0443.120-0452.440 | Kiệt
P=2087 | X=0206.470-0290.580 | Y=0459.260-0470.500 | Đường Lý Thường
P=2087 | X=0291.240-0375.330 | Y=0465.020-0476.260 | Ngã ba đường vào
P=2087 | X=0092.900-0179.650 | Y=0470.780-0482.020 | 84 Đường liên thôn
P=2087 | X=0206.470-0287.180 | Y=0472.660-0481.980 | Kiệt (Quán cà phê
P=2087 | X=0391.100-0407.740 | Y=0472.660-0481.980 | 900
P=2087 | X=0436.730-0453.370 | Y=0472.660-0481.980 | 630
P=2087 | X=0505.390-0522.030 | Y=0472.660-0481.980 | 540
P=2087 | X=0291.240-0365.900 | Y=0476.540-0487.780 | chùa Thanh Đức
P=2087 | X=0206.470-0220.870 | Y=0484.180-0493.500 | 92)
P=2087 | X=0206.470-0273.780 | Y=0500.300-0511.540 | Đường ĐT 755
P=2087 | X=0291.240-0369.780 | Y=0500.300-0511.540 | Dốc bà Thơm (bà
P=2087 | X=0092.900-0179.650 | Y=0506.060-0517.300 | 85 Đường liên thôn
P=2087 | X=0391.100-0407.740 | Y=0507.940-0517.260 | 540
P=2087 | X=0436.730-0453.370 | Y=0507.940-0517.260 | 380
P=2087 | X=0505.390-0522.030 | Y=0507.940-0517.260 | 320
P=2087 | X=0206.470-0320.260 | Y=0513.700-0523.020 | (Ngã ba Tân Minh) Tham)
P=2087 | X=0291.240-0367.510 | Y=0529.820-0541.060 | Đi thôn Đoàn Kết
P=2087 | X=0291.240-0373.020 | Y=0541.370-0552.610 | (thôn 7 - Đoàn Kết
P=2087 | X=0206.470-0277.600 | Y=0543.250-0552.570 | Ngã ba nhà ông
P=2087 | X=0092.900-0179.650 | Y=0547.130-0558.370 | 86 Đường liên thôn
P=2087 | X=0391.100-0407.740 | Y=0549.010-0558.330 | 600
P=2087 | X=0436.730-0453.370 | Y=0549.010-0558.330 | 420
P=2087 | X=0505.390-0522.030 | Y=0549.010-0558.330 | 360
P=2087 | X=0206.470-0249.010 | Y=0552.890-0564.130 | Tư Nghĩa
P=2087 | X=0291.240-0349.160 | Y=0552.890-0564.130 | cũ) (tiếp giáp
P=2087 | X=0291.240-0360.120 | Y=0564.410-0575.650 | đường ĐT 755)
P=2087 | X=0291.240-0368.600 | Y=0584.290-0593.610 | Hết ranh nhà ông
P=2087 | X=0206.470-0263.420 | Y=0590.050-0599.370 | Ngã ba Minh
P=2087 | X=0092.900-0174.610 | Y=0593.930-0605.170 | 87 Đường ĐT 760
P=2087 | X=0291.240-0372.230 | Y=0593.930-0605.170 | Vũ Văn Hảo (thửa
P=2087 | X=0382.940-0407.990 | Y=0595.810-0605.130 | 5.900
P=2087 | X=0428.570-0453.620 | Y=0595.810-0605.130 | 4.100
P=2087 | X=0497.230-0522.280 | Y=0595.810-0605.130 | 3.500
P=2087 | X=0206.470-0231.510 | Y=0599.690-0610.930 | Hưng
P=2087 | X=0291.240-0370.680 | Y=0605.450-0616.690 | 40 tờ bản đồ 189)
P=2087 | X=0291.240-0380.860 | Y=0623.470-0634.710 | Đường bê tông phải
P=2087 | X=0206.470-0283.830 | Y=0631.110-0640.430 | Hết ranh nhà ông
P=2087 | X=0291.240-0355.870 | Y=0636.630-0645.950 | tuyến (vào Hội
P=2087 | X=0092.900-0174.610 | Y=0640.510-0651.750 | 88 Đường ĐT 760
P=2087 | X=0206.470-0287.470 | Y=0640.510-0651.750 | Vũ Văn Hảo (thửa
P=2087 | X=0382.940-0407.980 | Y=0642.390-0651.710 | 3.200
P=2087 | X=0428.570-0453.620 | Y=0642.390-0651.710 | 2.200
P=2087 | X=0497.230-0522.280 | Y=0642.390-0651.710 | 1.900
P=2087 | X=0291.240-0371.970 | Y=0646.270-0657.510 | trường thôn Hưng
P=2087 | X=0206.470-0285.940 | Y=0652.030-0663.270 | 40 tờ bản đồ 189)
P=2087 | X=0291.240-0325.320 | Y=0657.790-0669.030 | Phước)
P=2087 | X=0206.470-0274.500 | Y=0675.790-0687.030 | Đường bê tông
P=2087 | X=0291.240-0380.860 | Y=0675.790-0687.030 | Đường bê tông phải
P=2087 | X=0092.900-0174.610 | Y=0687.310-0698.550 | 89 Đường ĐT 760
P=2087 | X=0206.470-0275.220 | Y=0689.190-0698.510 | phải tuyến (vào
P=2087 | X=0291.240-0407.990 | Y=0689.190-0698.510 | tuyến vào Nhà hàng 2.300
P=2087 | X=0428.570-0453.620 | Y=0689.190-0698.510 | 1.600
P=2087 | X=0497.230-0522.280 | Y=0689.190-0698.510 | 1.400
P=2087 | X=0206.470-0277.150 | Y=0698.830-0710.070 | Hội trường thôn
P=2087 | X=0291.240-0374.820 | Y=0698.830-0710.070 | ẩm thực Bến Tre 2
P=2088 | X=0206.470-0268.420 | Y=0072.740-0083.980 | Hưng Phước)
P=2088 | X=0206.470-0274.500 | Y=0090.740-0101.980 | Đường bê tông
P=2088 | X=0291.240-0380.860 | Y=0090.740-0101.980 | Đường bê tông phải
P=2088 | X=0291.240-0377.590 | Y=0102.260-0113.500 | tuyến (Hết thửa đất
P=2088 | X=0206.470-0271.860 | Y=0104.140-0113.460 | phải tuyến vào
P=2088 | X=0092.900-0174.610 | Y=0108.020-0119.260 | 90 Đường ĐT 760
P=2088 | X=0382.940-0407.990 | Y=0109.900-0119.220 | 1.500
P=2088 | X=0428.570-0453.620 | Y=0109.900-0119.220 | 1.100
P=2088 | X=0505.390-0522.030 | Y=0109.900-0119.220 | 920
P=2088 | X=0206.470-0366.950 | Y=0113.780-0125.020 | Nhà hàng ẩm thực số 304 tờ bản đồ
P=2088 | X=0206.470-0250.690 | Y=0127.210-0136.530 | Bến Tre 2
P=2088 | X=0291.240-0311.160 | Y=0127.210-0136.530 | 116)
P=2088 | X=0206.470-0274.500 | Y=0143.330-0154.570 | Đường bê tông
P=2088 | X=0206.470-0274.590 | Y=0156.730-0166.050 | phải tuyến (Hết
P=2088 | X=0291.240-0380.360 | Y=0156.730-0166.050 | Cầu Sông Lấp (giáp
P=2088 | X=0092.900-0174.610 | Y=0160.610-0171.850 | 91 Đường ĐT 760
P=2088 | X=0382.940-0407.990 | Y=0162.490-0171.810 | 1.100
P=2088 | X=0436.730-0453.370 | Y=0162.490-0171.810 | 760
P=2088 | X=0505.390-0522.030 | Y=0162.490-0171.810 | 650
P=2088 | X=0206.470-0363.700 | Y=0166.370-0177.610 | thửa đất số 304 tờ ranh xã BomBo)
P=2088 | X=0206.470-0259.780 | Y=0177.650-0188.890 | bản đồ 116)
P=2088 | X=0291.240-0356.360 | Y=0197.530-0206.850 | Hành lang bên
P=2088 | X=0107.330-0194.600 | Y=0201.430-0212.670 | Đường hai bên chợ
P=2088 | X=0206.470-0271.590 | Y=0203.310-0212.630 | Hành lang nhà
P=2088 | X=0092.900-0104.020 | Y=0209.070-0218.390 | 92
P=2088 | X=0291.240-0407.990 | Y=0209.070-0218.390 | hông nhà lồng chợ 5.400
P=2088 | X=0428.570-0453.620 | Y=0209.070-0218.390 | 3.800
P=2088 | X=0497.230-0522.280 | Y=0209.070-0218.390 | 3.200
P=2088 | X=0107.330-0157.080 | Y=0212.950-0224.190 | Minh Hưng
P=2088 | X=0206.470-0272.820 | Y=0214.830-0224.150 | lồng chợ chính
P=2088 | X=0291.240-0315.800 | Y=0220.590-0229.910 | chính
P=2088 | X=0107.330-0185.670 | Y=0236.710-0247.950 | Đường xâm nhập
P=2088 | X=0291.240-0370.440 | Y=0238.590-0247.910 | Khu bảo tồn Thác
P=2088 | X=0206.470-0289.380 | Y=0242.470-0253.710 | Đường Quốc lộ 14
P=2088 | X=0092.900-0104.020 | Y=0244.350-0253.670 | 93
P=2088 | X=0391.100-0407.740 | Y=0244.350-0253.670 | 900
P=2088 | X=0436.730-0453.370 | Y=0244.350-0253.670 | 630
P=2088 | X=0505.390-0522.030 | Y=0244.350-0253.670 | 540
P=2088 | X=0291.240-0358.040 | Y=0248.230-0259.470 | Đứng Bù Đăng
P=2088 | X=0107.330-0130.690 | Y=0250.110-0259.430 | nhựa
P=2088 | X=0206.470-0285.020 | Y=0268.110-0277.430 | Hết ranh Khu dân
P=2088 | X=0107.330-0204.870 | Y=0271.990-0283.230 | Đường xâm nhập vào
P=2088 | X=0291.240-0367.140 | Y=0271.990-0283.230 | Nhà ông Bùi Văn
P=2088 | X=0206.470-0268.450 | Y=0277.750-0288.990 | cư thôn Hưng
P=2088 | X=0092.900-0203.630 | Y=0283.540-0294.780 | 94 thôn Hưng Phát (thôn
P=2088 | X=0291.240-0380.380 | Y=0285.420-0294.740 | Tuy (thửa 89 tờ bản
