TABLE=047 | AREA=Xã Thanh Sơn | SECTION=non-agricultural | SEGMENTS=1
P=1579 | X=0108.050-0339.130 | Y=0594.890-0606.130 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1579 | X=0108.050-0385.220 | Y=0612.410-0623.650 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1579 | X=0108.050-0393.310 | Y=0630.190-0641.430 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1579 | X=0108.050-0378.890 | Y=0641.710-0652.950 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1579 | X=0108.050-0376.790 | Y=0653.230-0664.470 | Ngã ba Bến phà đến Ngã ba Lô Năm có hiện trạng là đường
P=1579 | X=0096.050-0211.160 | Y=0664.510-0675.950 | 6 nhựa, bê tông xi măng:
P=1579 | X=0414.860-0431.500 | Y=0666.630-0675.950 | 240
P=1579 | X=0462.170-0478.810 | Y=0666.630-0675.950 | 170
P=1579 | X=0505.390-0522.030 | Y=0666.630-0675.950 | 140
P=1579 | X=0108.050-0339.600 | Y=0682.030-0693.270 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1579 | X=0108.050-0361.360 | Y=0699.550-0710.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1580 | X=0108.050-0203.000 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1580 | X=0108.050-0331.220 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1580 | X=0108.050-0393.310 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1580 | X=0108.050-0378.890 | Y=0119.330-0130.570 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1580 | X=0108.050-0376.790 | Y=0130.850-0142.090 | Ngã ba Bến phà đến Ngã ba Lô Năm có hiện trạng là đường
P=1580 | X=0096.050-0211.160 | Y=0142.370-0153.810 | 7 nhựa, bê tông xi măng:
P=1580 | X=0414.860-0431.500 | Y=0144.490-0153.810 | 180
P=1580 | X=0462.170-0478.810 | Y=0144.490-0153.810 | 130
P=1580 | X=0505.390-0522.030 | Y=0144.490-0153.810 | 110
P=1580 | X=0108.050-0393.840 | Y=0159.650-0170.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1580 | X=0108.050-0331.690 | Y=0177.170-0188.410 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1580 | X=0108.050-0192.610 | Y=0194.930-0206.170 | Đường Thanh Sơn
P=1580 | X=0292.200-0377.020 | Y=0194.930-0206.170 | Ngã ba đường mới
P=1580 | X=0096.050-0393.570 | Y=0206.470-0217.710 | 8 (Phía rẽ phải từ ngã ba Ngã ba Lô Năm (đến Trường Mầm non
P=1580 | X=0414.860-0431.500 | Y=0208.350-0217.670 | 630
P=1580 | X=0462.170-0478.810 | Y=0208.350-0217.670 | 440
P=1580 | X=0505.390-0522.030 | Y=0208.350-0217.670 | 380
P=1580 | X=0292.200-0386.970 | Y=0217.990-0229.230 | Hướng Dương+60m)
P=1580 | X=0108.050-0148.620 | Y=0219.870-0229.190 | Bến phà)
P=1580 | X=0108.050-0387.570 | Y=0235.750-0246.990 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1580 | X=0108.050-0386.050 | Y=0247.270-0258.510 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba Lô Năm
P=1580 | X=0108.050-0350.850 | Y=0258.790-0270.030 | đến Ngã ba đường mới (đến Trường Mầm non Hướng
P=1580 | X=0096.050-0378.030 | Y=0270.310-0281.750 | 9 Dương+60m) có hiện trạng là đường nhựa, bê tông xi măng:
P=1580 | X=0414.860-0431.500 | Y=0272.430-0281.750 | 315
P=1580 | X=0462.170-0478.810 | Y=0272.430-0281.750 | 220
P=1580 | X=0505.390-0522.030 | Y=0272.430-0281.750 | 190
P=1580 | X=0108.050-0339.130 | Y=0287.860-0299.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1580 | X=0108.050-0385.220 | Y=0305.380-0316.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1580 | X=0108.050-0387.570 | Y=0323.140-0334.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1580 | X=0108.050-0386.050 | Y=0334.660-0345.900 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba Lô Năm
P=1580 | X=0108.050-0350.850 | Y=0345.940-0357.180 | đến Ngã ba đường mới (đến Trường Mầm non Hướng
P=1580 | X=0108.050-0378.030 | Y=0357.460-0368.700 | Dương+60m) có hiện trạng là đường nhựa, bê tông xi măng:
P=1580 | X=0093.380-0339.600 | Y=0374.240-0386.240 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1580 | X=0414.860-0431.500 | Y=0374.240-0383.560 | 240
P=1580 | X=0462.170-0478.810 | Y=0374.240-0383.560 | 170
P=1580 | X=0505.390-0522.030 | Y=0374.240-0383.560 | 140
P=1580 | X=0108.050-0361.360 | Y=0392.520-0403.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1580 | X=0108.050-0203.000 | Y=0404.040-0415.280 | >500m đến ≤1.000m.
P=1580 | X=0108.050-0331.220 | Y=0421.560-0432.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1580 | X=0108.050-0387.570 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1580 | X=0108.050-0386.050 | Y=0450.860-0462.100 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba Lô Năm
P=1580 | X=0108.050-0350.850 | Y=0462.380-0473.620 | đến Ngã ba đường mới (đến Trường Mầm non Hướng
P=1580 | X=0093.380-0378.030 | Y=0473.900-0485.340 | 11 Dương+60m) có hiện trạng là đường nhựa, bê tông xi măng:
P=1580 | X=0414.860-0431.500 | Y=0476.020-0485.340 | 195
P=1580 | X=0462.170-0478.810 | Y=0476.020-0485.340 | 140
P=1580 | X=0505.390-0522.030 | Y=0476.020-0485.340 | 120
P=1580 | X=0108.050-0393.840 | Y=0491.420-0502.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1580 | X=0108.050-0331.690 | Y=0508.940-0520.180 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1580 | X=0108.050-0393.310 | Y=0526.460-0537.700 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1580 | X=0108.050-0378.890 | Y=0538.010-0549.250 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1580 | X=0108.050-0389.260 | Y=0549.530-0560.770 | Ngã ba Lô Năm đến Ngã ba đường mới (đến Trường Mầm non
P=1580 | X=0108.050-0381.790 | Y=0561.050-0572.290 | Hướng Dương+60m) có hiện trạng là đường nhựa, bê tông xi
P=1580 | X=0093.380-0104.500 | Y=0568.930-0578.250 | 12
P=1580 | X=0414.860-0431.500 | Y=0568.930-0578.250 | 290
P=1580 | X=0462.170-0478.810 | Y=0568.930-0578.250 | 200
P=1580 | X=0505.390-0522.030 | Y=0568.930-0578.250 | 170
P=1580 | X=0108.050-0136.050 | Y=0572.570-0583.810 | măng:
P=1580 | X=0108.050-0339.130 | Y=0590.090-0601.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1580 | X=0108.050-0385.220 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1580 | X=0108.050-0393.310 | Y=0625.390-0636.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1580 | X=0108.050-0378.890 | Y=0636.910-0648.150 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1580 | X=0108.050-0389.260 | Y=0648.430-0659.670 | Ngã ba Lô Năm đến Ngã ba đường mới (đến Trường Mầm non
P=1580 | X=0108.050-0381.790 | Y=0659.950-0671.190 | Hướng Dương+60m) có hiện trạng là đường nhựa, bê tông xi
P=1580 | X=0093.380-0104.500 | Y=0667.830-0677.150 | 13
P=1580 | X=0414.860-0431.500 | Y=0667.830-0677.150 | 220
P=1580 | X=0462.170-0478.810 | Y=0667.830-0677.150 | 150
P=1580 | X=0505.390-0522.030 | Y=0667.830-0677.150 | 130
P=1580 | X=0108.050-0136.050 | Y=0671.470-0682.710 | măng:
P=1580 | X=0108.050-0339.600 | Y=0688.750-0699.990 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1580 | X=0108.050-0361.360 | Y=0706.290-0717.530 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1581 | X=0108.050-0203.000 | Y=0072.500-0083.740 | >500m đến ≤1.000m.
P=1581 | X=0108.050-0331.220 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1581 | X=0108.050-0393.310 | Y=0107.780-0119.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1581 | X=0108.050-0378.890 | Y=0119.330-0130.570 | Đường Thanh Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ
P=1581 | X=0108.050-0389.260 | Y=0130.850-0142.090 | Ngã ba Lô Năm đến Ngã ba đường mới (đến Trường Mầm non
P=1581 | X=0108.050-0381.790 | Y=0142.370-0153.610 | Hướng Dương+60m) có hiện trạng là đường nhựa, bê tông xi
P=1581 | X=0093.380-0104.500 | Y=0150.250-0159.570 | 14
P=1581 | X=0414.860-0431.500 | Y=0150.250-0159.570 | 180
P=1581 | X=0462.170-0478.810 | Y=0150.250-0159.570 | 130
P=1581 | X=0505.390-0522.030 | Y=0150.250-0159.570 | 110
P=1581 | X=0108.050-0136.050 | Y=0153.650-0164.890 | măng:
P=1581 | X=0108.050-0393.840 | Y=0171.170-0182.410 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1581 | X=0108.050-0331.690 | Y=0188.690-0199.930 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1581 | X=0292.200-0388.540 | Y=0206.470-0217.710 | Bên trái, đến hết ranh
P=1581 | X=0292.200-0366.270 | Y=0217.990-0229.230 | thửa đất số 1, tờ
P=1581 | X=0108.050-0192.610 | Y=0229.510-0240.750 | Đường Thanh Sơn
P=1581 | X=0292.200-0364.270 | Y=0229.510-0240.750 | BĐĐC số 52, xã
P=1581 | X=0214.630-0279.790 | Y=0235.270-0246.510 | Ngã ba đường
P=1581 | X=0292.200-0390.060 | Y=0241.030-0252.270 | Thanh Sơn; Bên phải,
P=1581 | X=0093.380-0211.120 | Y=0242.910-0252.230 | 15 (Phía rẽ phải từ ngã ba
P=1581 | X=0414.860-0431.500 | Y=0242.910-0252.230 | 330
P=1581 | X=0462.170-0478.810 | Y=0242.910-0252.230 | 230
P=1581 | X=0505.390-0522.030 | Y=0242.910-0252.230 | 200
P=1581 | X=0214.630-0231.780 | Y=0248.670-0257.990 | mới
P=1581 | X=0292.200-0388.630 | Y=0252.550-0263.790 | đến hết ranh thửa đất
P=1581 | X=0108.050-0148.620 | Y=0254.430-0263.750 | Bến phà)
P=1581 | X=0292.200-0376.070 | Y=0264.070-0275.310 | số 56, tờ BĐĐC số
P=1581 | X=0292.200-0377.950 | Y=0275.590-0286.830 | 124, xã Thanh Sơn
P=1581 | X=0108.050-0387.590 | Y=0293.380-0304.620 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1581 | X=0108.050-0381.110 | Y=0304.900-0316.140 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba đường
P=1581 | X=0108.050-0381.190 | Y=0316.420-0327.660 | mới đến Bên trái, đến hết ranh thửa đất số 1, tờ BĐĐC số 52,
P=1581 | X=0108.050-0391.660 | Y=0327.700-0338.940 | xã Thanh Sơn; Bên phải, đến hết ranh thửa đất số 56, tờ BĐĐC
P=1581 | X=0093.380-0385.870 | Y=0339.220-0350.660 | 16 số 124, xã Thanh Sơn có hiện trạng là đường nhựa, bê tông xi
P=1581 | X=0414.860-0431.500 | Y=0341.340-0350.660 | 165
P=1581 | X=0462.170-0478.810 | Y=0341.340-0350.660 | 120
P=1581 | X=0505.390-0522.030 | Y=0341.340-0350.660 | 100
P=1581 | X=0108.050-0136.050 | Y=0350.740-0361.980 | măng:
P=1581 | X=0108.050-0339.130 | Y=0368.280-0379.520 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1581 | X=0108.050-0385.220 | Y=0385.800-0397.040 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1581 | X=0108.050-0387.570 | Y=0403.560-0414.800 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1581 | X=0108.050-0381.110 | Y=0415.080-0426.320 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba đường
P=1581 | X=0108.050-0381.190 | Y=0426.600-0437.840 | mới đến Bên trái, đến hết ranh thửa đất số 1, tờ BĐĐC số 52,
P=1581 | X=0108.050-0391.660 | Y=0438.120-0449.360 | xã Thanh Sơn; Bên phải, đến hết ranh thửa đất số 56, tờ BĐĐC
P=1581 | X=0108.050-0385.870 | Y=0449.660-0460.900 | số 124, xã Thanh Sơn có hiện trạng là đường nhựa, bê tông xi
P=1581 | X=0093.380-0136.050 | Y=0461.180-0475.500 | 17 măng:
P=1581 | X=0414.860-0431.500 | Y=0466.180-0475.500 | 150
P=1581 | X=0462.170-0478.810 | Y=0466.180-0475.500 | 110
P=1581 | X=0511.150-0522.270 | Y=0466.180-0475.500 | 90
P=1581 | X=0108.050-0339.600 | Y=0478.460-0489.700 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1581 | X=0108.050-0361.360 | Y=0495.980-0507.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1581 | X=0108.050-0203.000 | Y=0507.500-0518.740 | >500m đến ≤1.000m.
P=1581 | X=0108.050-0331.220 | Y=0525.020-0536.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1581 | X=0108.050-0387.570 | Y=0542.810-0554.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Thanh
P=1581 | X=0108.050-0381.110 | Y=0554.330-0565.570 | Sơn (Phía rẽ phải từ ngã ba Bến phà) đoạn từ Ngã ba đường
P=1581 | X=0108.050-0381.190 | Y=0565.850-0577.090 | mới đến Bên trái, đến hết ranh thửa đất số 1, tờ BĐĐC số 52,
P=1581 | X=0108.050-0391.660 | Y=0577.370-0588.610 | xã Thanh Sơn; Bên phải, đến hết ranh thửa đất số 56, tờ BĐĐC
P=1581 | X=0093.380-0385.870 | Y=0588.890-0600.330 | 18 số 124, xã Thanh Sơn có hiện trạng là đường nhựa, bê tông xi
P=1581 | X=0414.860-0431.500 | Y=0591.010-0600.330 | 135
P=1581 | X=0467.930-0479.050 | Y=0591.010-0600.330 | 90
P=1581 | X=0511.150-0522.270 | Y=0591.010-0600.330 | 80
