TABLE=047 | AREA=Xã Thanh Sơn | SECTION=non-agricultural | SEGMENTS=1
P=1587 | X=0106.850-0392.110 | Y=0352.660-0363.900 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1587 | X=0106.850-0397.430 | Y=0363.940-0375.180 | Đường Tà Lài đoạn từ Quốc lộ 20 đến Đường Nguyễn Hữu Cảnh
P=1587 | X=0106.850-0313.700 | Y=0375.480-0386.720 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1587 | X=0095.570-0330.020 | Y=0393.000-0407.320 | 6 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1587 | X=0424.490-0441.130 | Y=0398.000-0407.320 | 900
P=1587 | X=0464.810-0481.450 | Y=0398.000-0407.320 | 630
P=1587 | X=0505.390-0522.030 | Y=0398.000-0407.320 | 540
P=1587 | X=0106.850-0393.740 | Y=0410.520-0421.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1587 | X=0106.850-0159.810 | Y=0422.040-0433.280 | đến ≤600m.
P=1587 | X=0106.850-0330.020 | Y=0439.560-0450.800 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1587 | X=0106.850-0392.110 | Y=0457.340-0468.580 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1587 | X=0106.850-0397.430 | Y=0468.860-0480.100 | Đường Tà Lài đoạn từ Quốc lộ 20 đến Đường Nguyễn Hữu Cảnh
P=1587 | X=0106.850-0313.700 | Y=0480.380-0491.620 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1587 | X=0095.570-0101.170 | Y=0488.260-0497.580 | 7
P=1587 | X=0424.490-0441.130 | Y=0488.260-0497.580 | 730
P=1587 | X=0464.810-0481.450 | Y=0488.260-0497.580 | 510
P=1587 | X=0505.390-0522.030 | Y=0488.260-0497.580 | 440
P=1587 | X=0106.850-0384.260 | Y=0497.900-0509.140 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1587 | X=0106.850-0330.490 | Y=0515.420-0526.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1587 | X=0312.840-0384.200 | Y=0533.210-0544.450 | Đường vào Khu
P=1587 | X=0224.470-0293.460 | Y=0538.970-0550.210 | Đường Nguyễn
P=1587 | X=0095.570-0169.080 | Y=0544.490-0555.730 | 8 Đường Tà Lài
P=1587 | X=0312.840-0387.580 | Y=0546.370-0555.690 | công nghiệp Tân
P=1587 | X=0416.300-0441.350 | Y=0546.370-0555.690 | 3.300
P=1587 | X=0456.650-0481.700 | Y=0546.370-0555.690 | 2.300
P=1587 | X=0497.230-0522.280 | Y=0546.370-0555.690 | 2.000
P=1587 | X=0224.470-0270.670 | Y=0552.130-0561.450 | Hữu Cảnh
P=1587 | X=0312.840-0330.680 | Y=0557.890-0567.210 | Phú
P=1587 | X=0106.850-0385.870 | Y=0573.770-0585.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1587 | X=0106.850-0379.890 | Y=0585.290-0596.530 | đoạn từ Đường Nguyễn Hữu Cảnh đến Đường vào Khu công
P=1587 | X=0106.850-0387.150 | Y=0596.810-0608.050 | nghiệp Tân Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1587 | X=0095.570-0101.170 | Y=0604.690-0614.010 | 9
P=1587 | X=0416.300-0441.350 | Y=0604.690-0614.010 | 1.000
P=1587 | X=0464.810-0481.450 | Y=0604.690-0614.010 | 700
P=1587 | X=0505.390-0522.030 | Y=0604.690-0614.010 | 600
P=1587 | X=0106.850-0329.760 | Y=0614.330-0625.570 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1587 | X=0106.850-0384.050 | Y=0631.870-0643.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1587 | X=0106.850-0385.870 | Y=0649.630-0660.870 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1587 | X=0106.850-0379.890 | Y=0661.150-0672.390 | đoạn từ Đường Nguyễn Hữu Cảnh đến Đường vào Khu công
P=1587 | X=0106.850-0387.150 | Y=0672.670-0683.910 | nghiệp Tân Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1587 | X=0092.900-0104.020 | Y=0680.550-0689.870 | 10
P=1587 | X=0424.490-0441.130 | Y=0680.550-0689.870 | 650
P=1587 | X=0464.810-0481.450 | Y=0680.550-0689.870 | 460
P=1587 | X=0505.390-0522.030 | Y=0680.550-0689.870 | 390
P=1587 | X=0106.850-0330.020 | Y=0690.190-0701.430 | - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1587 | X=0106.850-0393.740 | Y=0707.730-0718.970 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1588 | X=0106.850-0159.810 | Y=0072.500-0083.740 | đến ≤600m.
P=1588 | X=0106.850-0330.020 | Y=0090.020-0101.260 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1588 | X=0106.850-0385.870 | Y=0107.780-0119.020 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1588 | X=0106.850-0379.890 | Y=0119.330-0130.570 | đoạn từ Đường Nguyễn Hữu Cảnh đến Đường vào Khu công
P=1588 | X=0106.850-0387.150 | Y=0130.850-0142.090 | nghiệp Tân Phú có hiện trạng là đường nhựa, bê tông xi măng:
P=1588 | X=0092.900-0104.020 | Y=0138.730-0148.050 | 11
P=1588 | X=0424.490-0441.130 | Y=0138.730-0148.050 | 460
P=1588 | X=0464.810-0481.450 | Y=0138.730-0148.050 | 320
P=1588 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 280
P=1588 | X=0106.850-0384.260 | Y=0148.370-0159.610 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1588 | X=0106.850-0330.490 | Y=0165.650-0176.890 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1588 | X=0106.850-0392.110 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1588 | X=0106.850-0399.830 | Y=0194.930-0206.170 | Đường Tà Lài đoạn từ Đường Nguyễn Hữu Cảnh đến Đường vào
P=1588 | X=0106.850-0391.630 | Y=0206.470-0217.710 | Khu công nghiệp Tân Phú có hiện trạng là đường nhựa, bê tông
P=1588 | X=0092.900-0144.680 | Y=0217.990-0229.430 | 12 xi măng:
P=1588 | X=0424.490-0441.130 | Y=0220.110-0229.430 | 900
P=1588 | X=0464.810-0481.450 | Y=0220.110-0229.430 | 630
P=1588 | X=0505.390-0522.030 | Y=0220.110-0229.430 | 540
P=1588 | X=0106.850-0329.760 | Y=0235.510-0246.750 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1588 | X=0106.850-0384.020 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1588 | X=0106.850-0392.110 | Y=0270.790-0282.030 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1588 | X=0106.850-0399.830 | Y=0282.340-0293.580 | Đường Tà Lài đoạn từ Đường Nguyễn Hữu Cảnh đến Đường vào
P=1588 | X=0106.850-0391.630 | Y=0293.860-0305.100 | Khu công nghiệp Tân Phú có hiện trạng là đường nhựa, bê tông
P=1588 | X=0106.850-0144.680 | Y=0305.380-0316.620 | xi măng:
P=1588 | X=0092.900-0330.020 | Y=0321.900-0334.140 | 13 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1588 | X=0424.490-0441.130 | Y=0321.900-0331.220 | 590
P=1588 | X=0464.810-0481.450 | Y=0321.900-0331.220 | 410
P=1588 | X=0505.390-0522.030 | Y=0321.900-0331.220 | 350
P=1588 | X=0106.850-0393.740 | Y=0340.420-0351.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1588 | X=0106.850-0159.810 | Y=0351.700-0362.940 | đến ≤600m.
P=1588 | X=0106.850-0330.020 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1588 | X=0106.850-0392.110 | Y=0387.000-0398.240 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1588 | X=0106.850-0399.830 | Y=0398.520-0409.760 | Đường Tà Lài đoạn từ Đường Nguyễn Hữu Cảnh đến Đường vào
P=1588 | X=0106.850-0391.630 | Y=0410.040-0421.280 | Khu công nghiệp Tân Phú có hiện trạng là đường nhựa, bê tông
P=1588 | X=0092.900-0144.680 | Y=0421.560-0433.000 | 14 xi măng:
P=1588 | X=0424.490-0441.130 | Y=0423.680-0433.000 | 410
P=1588 | X=0464.810-0481.450 | Y=0423.680-0433.000 | 290
P=1588 | X=0505.390-0522.030 | Y=0423.680-0433.000 | 250
P=1588 | X=0106.850-0384.260 | Y=0439.080-0450.320 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1588 | X=0106.850-0330.490 | Y=0456.620-0467.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1588 | X=0224.470-0295.860 | Y=0474.380-0485.620 | Đường vào Khu
P=1588 | X=0312.840-0399.740 | Y=0480.140-0491.380 | Hết trường tiểu học
P=1588 | X=0092.900-0169.080 | Y=0485.900-0497.140 | 15 Đường Tà Lài
P=1588 | X=0224.470-0299.220 | Y=0487.780-0497.100 | công nghiệp Tân
P=1588 | X=0416.300-0441.350 | Y=0487.780-0497.100 | 2.200
P=1588 | X=0456.650-0481.700 | Y=0487.780-0497.100 | 1.500
P=1588 | X=0497.230-0522.280 | Y=0487.780-0497.100 | 1.300
P=1588 | X=0312.840-0386.380 | Y=0491.660-0502.900 | Phạm Văn Đồng
P=1588 | X=0224.470-0242.310 | Y=0499.300-0508.620 | Phú
P=1588 | X=0106.850-0385.870 | Y=0515.180-0526.420 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1588 | X=0106.850-0384.460 | Y=0526.460-0537.700 | đoạn từ Đường vào Khu công nghiệp Tân Phú đến Hết trường
P=1588 | X=0106.850-0396.920 | Y=0538.010-0549.250 | tiểu học Phạm Văn Đồng có hiện trạng là đường nhựa, bê tông xi
P=1588 | X=0092.900-0134.850 | Y=0549.530-0560.970 | 16 măng:
P=1588 | X=0424.490-0441.130 | Y=0551.650-0560.970 | 650
P=1588 | X=0464.810-0481.450 | Y=0551.650-0560.970 | 460
P=1588 | X=0505.390-0522.030 | Y=0551.650-0560.970 | 390
P=1588 | X=0106.850-0329.760 | Y=0567.050-0578.290 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1588 | X=0106.850-0384.020 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1588 | X=0106.850-0385.870 | Y=0602.330-0613.570 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1588 | X=0106.850-0384.460 | Y=0613.850-0625.090 | đoạn từ Đường vào Khu công nghiệp Tân Phú đến Hết trường
P=1588 | X=0106.850-0396.920 | Y=0625.390-0636.630 | tiểu học Phạm Văn Đồng có hiện trạng là đường nhựa, bê tông xi
P=1588 | X=0106.850-0134.850 | Y=0636.910-0648.150 | măng:
P=1588 | X=0092.900-0330.020 | Y=0653.430-0665.670 | 17 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1588 | X=0424.490-0441.130 | Y=0653.430-0662.750 | 520
P=1588 | X=0464.810-0481.450 | Y=0653.430-0662.750 | 360
P=1588 | X=0505.390-0522.030 | Y=0653.430-0662.750 | 310
P=1588 | X=0106.850-0393.740 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1588 | X=0106.850-0159.810 | Y=0683.470-0694.710 | đến ≤600m.
P=1588 | X=0106.850-0330.020 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1589 | X=0106.850-0385.870 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1589 | X=0106.850-0384.460 | Y=0090.020-0101.260 | đoạn từ Đường vào Khu công nghiệp Tân Phú đến Hết trường
P=1589 | X=0106.850-0396.920 | Y=0101.540-0112.780 | tiểu học Phạm Văn Đồng có hiện trạng là đường nhựa, bê tông xi
P=1589 | X=0092.900-0134.850 | Y=0113.060-0124.500 | 18 măng:
P=1589 | X=0424.490-0441.130 | Y=0115.180-0124.500 | 330
P=1589 | X=0464.810-0481.450 | Y=0115.180-0124.500 | 230
P=1589 | X=0505.390-0522.030 | Y=0115.180-0124.500 | 200
P=1589 | X=0106.850-0384.260 | Y=0130.610-0141.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1589 | X=0106.850-0330.490 | Y=0148.130-0159.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1589 | X=0106.850-0392.110 | Y=0165.650-0176.890 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1589 | X=0106.850-0397.670 | Y=0177.170-0188.410 | Đường Tà Lài đoạn từ Đường vào Khu công nghiệp Tân Phú đến
P=1589 | X=0106.850-0373.660 | Y=0188.690-0199.930 | Hết trường tiểu học Phạm Văn Đồng có hiện trạng là đường
P=1589 | X=0092.900-0209.960 | Y=0200.230-0211.670 | 19 nhựa, bê tông xi măng:
P=1589 | X=0424.490-0441.130 | Y=0202.350-0211.670 | 590
P=1589 | X=0464.810-0481.450 | Y=0202.350-0211.670 | 410
P=1589 | X=0505.390-0522.030 | Y=0202.350-0211.670 | 350
P=1589 | X=0106.850-0329.760 | Y=0217.750-0228.990 | - Có bề rộng ≥5m, cách đường giao thông ≤600m.
P=1589 | X=0106.850-0384.020 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤400m.
P=1589 | X=0106.850-0392.110 | Y=0253.030-0264.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1589 | X=0106.850-0397.670 | Y=0264.550-0275.790 | Đường Tà Lài đoạn từ Đường vào Khu công nghiệp Tân Phú đến
P=1589 | X=0106.850-0373.660 | Y=0276.070-0287.310 | Hết trường tiểu học Phạm Văn Đồng có hiện trạng là đường
P=1589 | X=0106.850-0209.960 | Y=0287.620-0298.860 | nhựa, bê tông xi măng:
P=1589 | X=0092.900-0330.030 | Y=0304.140-0316.380 | 20 - Có bề rộng ≥5m, cách đường giao thông >600m.
P=1589 | X=0424.490-0441.130 | Y=0304.140-0313.460 | 470
P=1589 | X=0464.810-0481.450 | Y=0304.140-0313.460 | 330
P=1589 | X=0505.390-0522.030 | Y=0304.140-0313.460 | 280
P=1589 | X=0106.850-0393.740 | Y=0322.660-0333.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >400m
P=1589 | X=0106.850-0159.810 | Y=0333.940-0345.180 | đến ≤600m.
P=1589 | X=0106.850-0330.020 | Y=0351.460-0362.700 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1589 | X=0106.850-0392.110 | Y=0369.240-0380.480 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1589 | X=0106.850-0397.660 | Y=0380.760-0392.000 | Đường Tà Lài đoạn từ Đường vào Khu công nghiệp Tân Phú đến
P=1589 | X=0106.850-0373.660 | Y=0392.280-0403.520 | Hết trường tiểu học Phạm Văn Đồng có hiện trạng là đường
P=1589 | X=0092.900-0209.960 | Y=0403.800-0415.240 | 21 nhựa, bê tông xi măng:
P=1589 | X=0424.490-0441.130 | Y=0405.920-0415.240 | 300
P=1589 | X=0464.810-0481.450 | Y=0405.920-0415.240 | 210
P=1589 | X=0505.390-0522.030 | Y=0405.920-0415.240 | 180
P=1589 | X=0106.850-0384.260 | Y=0421.320-0432.560 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >600m.
P=1589 | X=0106.850-0330.490 | Y=0438.840-0450.080 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1589 | X=0224.470-0311.400 | Y=0456.620-0467.860 | Hết trường tiểu học
P=1589 | X=0092.900-0169.080 | Y=0462.380-0473.620 | 22 Đường Tà Lài
P=1589 | X=0312.840-0400.740 | Y=0464.260-0473.580 | Giáp ranh xã Tà Lài
P=1589 | X=0424.490-0441.130 | Y=0464.260-0473.580 | 780
P=1589 | X=0464.810-0481.450 | Y=0464.260-0473.580 | 550
P=1589 | X=0505.390-0522.030 | Y=0464.260-0473.580 | 470
P=1589 | X=0224.470-0298.040 | Y=0468.140-0479.380 | Phạm Văn Đồng
P=1589 | X=0106.850-0385.870 | Y=0485.900-0497.140 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1589 | X=0106.850-0386.590 | Y=0497.420-0508.660 | đoạn từ Hết trường tiểu học Phạm Văn Đồng đến Giáp ranh xã
P=1589 | X=0106.850-0344.410 | Y=0508.940-0520.180 | Tà Lài có hiện trạng là đường nhựa, bê tông xi măng:
P=1589 | X=0092.900-0104.020 | Y=0516.820-0526.140 | 23
P=1589 | X=0424.490-0441.130 | Y=0516.820-0526.140 | 390
P=1589 | X=0464.810-0481.450 | Y=0516.820-0526.140 | 270
P=1589 | X=0505.390-0522.030 | Y=0516.820-0526.140 | 230
P=1589 | X=0106.850-0337.960 | Y=0526.220-0537.460 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1589 | X=0106.850-0384.020 | Y=0543.770-0555.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1589 | X=0106.850-0385.870 | Y=0561.530-0572.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1589 | X=0106.850-0386.590 | Y=0573.050-0584.290 | đoạn từ Hết trường tiểu học Phạm Văn Đồng đến Giáp ranh xã
P=1589 | X=0106.850-0344.410 | Y=0584.570-0595.810 | Tà Lài có hiện trạng là đường nhựa, bê tông xi măng:
P=1589 | X=0092.900-0338.400 | Y=0602.090-0616.410 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1589 | X=0424.490-0441.130 | Y=0607.090-0616.410 | 330
P=1589 | X=0464.810-0481.450 | Y=0607.090-0616.410 | 230
P=1589 | X=0505.390-0522.030 | Y=0607.090-0616.410 | 200
P=1589 | X=0106.850-0393.740 | Y=0619.630-0630.870 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1589 | X=0106.850-0167.970 | Y=0631.150-0642.390 | đến ≤1.000m.
P=1589 | X=0106.850-0330.020 | Y=0648.670-0659.910 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1589 | X=0106.850-0385.870 | Y=0666.430-0677.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Tà Lài
P=1589 | X=0106.850-0386.590 | Y=0677.950-0689.190 | đoạn từ Hết trường tiểu học Phạm Văn Đồng đến Giáp ranh xã
P=1589 | X=0092.900-0344.410 | Y=0688.470-0700.710 | 25 Tà Lài có hiện trạng là đường nhựa, bê tông xi măng:
P=1589 | X=0424.490-0441.130 | Y=0688.470-0697.790 | 210
P=1589 | X=0464.810-0481.450 | Y=0688.470-0697.790 | 150
P=1589 | X=0505.390-0522.030 | Y=0688.470-0697.790 | 130
P=1589 | X=0106.850-0392.640 | Y=0706.770-0718.010 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1590 | X=0106.850-0330.490 | Y=0078.500-0089.740 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1590 | X=0106.850-0392.110 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1590 | X=0106.850-0391.180 | Y=0107.780-0119.020 | Đường Tà Lài đoạn từ Hết trường tiểu học Phạm Văn Đồng đến
P=1590 | X=0106.850-0373.630 | Y=0119.330-0130.570 | Giáp ranh xã Tà Lài có hiện trạng là đường nhựa, bê tông xi
P=1590 | X=0092.900-0134.850 | Y=0130.850-0142.290 | 26 măng:
P=1590 | X=0424.490-0441.130 | Y=0132.970-0142.290 | 350
P=1590 | X=0464.810-0481.450 | Y=0132.970-0142.290 | 250
P=1590 | X=0505.390-0522.030 | Y=0132.970-0142.290 | 210
P=1590 | X=0106.850-0337.930 | Y=0148.370-0159.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1590 | X=0106.850-0384.060 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1590 | X=0106.850-0392.110 | Y=0183.410-0194.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1590 | X=0106.850-0391.180 | Y=0194.930-0206.170 | Đường Tà Lài đoạn từ Hết trường tiểu học Phạm Văn Đồng đến
P=1590 | X=0106.850-0373.630 | Y=0206.470-0217.710 | Giáp ranh xã Tà Lài có hiện trạng là đường nhựa, bê tông xi
P=1590 | X=0106.850-0134.850 | Y=0217.990-0229.230 | măng:
P=1590 | X=0092.900-0338.400 | Y=0234.750-0246.750 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1590 | X=0424.490-0441.130 | Y=0234.750-0244.070 | 300
P=1590 | X=0464.810-0481.450 | Y=0234.750-0244.070 | 210
P=1590 | X=0505.390-0522.030 | Y=0234.750-0244.070 | 180
P=1590 | X=0106.850-0393.740 | Y=0253.030-0264.270 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1590 | X=0106.850-0167.970 | Y=0264.550-0275.790 | đến ≤1.000m.
P=1590 | X=0106.850-0330.020 | Y=0282.100-0293.340 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1590 | X=0106.850-0392.110 | Y=0299.860-0311.100 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1590 | X=0106.850-0391.180 | Y=0311.380-0322.620 | Đường Tà Lài đoạn từ Hết trường tiểu học Phạm Văn Đồng đến
P=1590 | X=0106.850-0373.630 | Y=0322.900-0334.140 | Giáp ranh xã Tà Lài có hiện trạng là đường nhựa, bê tông xi
P=1590 | X=0092.900-0134.850 | Y=0334.420-0345.860 | 28 măng:
P=1590 | X=0424.490-0441.130 | Y=0336.540-0345.860 | 190
P=1590 | X=0464.810-0481.450 | Y=0336.540-0345.860 | 130
P=1590 | X=0505.390-0522.030 | Y=0336.540-0345.860 | 110
P=1590 | X=0106.850-0392.640 | Y=0351.700-0362.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1590 | X=0106.850-0330.490 | Y=0369.240-0380.480 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1590 | X=0106.850-0395.690 | Y=0387.000-0398.240 | Đường từ Ngã ba đi bến đò Phú Tân đến ngã ba giáp ranh xã Tà
P=1590 | X=0092.900-0104.020 | Y=0394.640-0403.960 | 29
P=1590 | X=0424.490-0441.130 | Y=0394.640-0403.960 | 590
P=1590 | X=0464.810-0481.450 | Y=0394.640-0403.960 | 410
P=1590 | X=0505.390-0522.030 | Y=0394.640-0403.960 | 350
P=1590 | X=0106.850-0120.130 | Y=0400.400-0409.720 | Lài
P=1590 | X=0106.850-0388.790 | Y=0416.280-0427.520 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ Ngã
P=1590 | X=0106.850-0378.950 | Y=0427.800-0439.040 | ba đi bến đò Phú Tân đến ngã ba giáp ranh xã Tà Lài có hiện
P=1590 | X=0106.850-0278.630 | Y=0439.320-0450.560 | trạng là đường nhựa, bê tông xi măng:
P=1590 | X=0092.900-0104.020 | Y=0447.200-0456.520 | 30
P=1590 | X=0424.490-0441.130 | Y=0447.200-0456.520 | 300
P=1590 | X=0464.810-0481.450 | Y=0447.200-0456.520 | 210
P=1590 | X=0505.390-0522.030 | Y=0447.200-0456.520 | 180
P=1590 | X=0106.850-0337.930 | Y=0456.860-0468.100 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1590 | X=0106.850-0384.020 | Y=0474.380-0485.620 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1590 | X=0106.850-0388.790 | Y=0492.140-0503.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ Ngã
P=1590 | X=0106.850-0378.950 | Y=0503.660-0514.900 | ba đi bến đò Phú Tân đến ngã ba giáp ranh xã Tà Lài có hiện
P=1590 | X=0106.850-0278.630 | Y=0515.180-0526.420 | trạng là đường nhựa, bê tông xi măng:
P=1590 | X=0092.900-0338.400 | Y=0532.490-0546.810 | 31 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1590 | X=0424.490-0441.130 | Y=0537.490-0546.810 | 250
P=1590 | X=0464.810-0481.450 | Y=0537.490-0546.810 | 180
P=1590 | X=0505.390-0522.030 | Y=0537.490-0546.810 | 150
P=1590 | X=0106.850-0393.740 | Y=0550.010-0561.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1590 | X=0106.850-0167.970 | Y=0561.530-0572.770 | đến ≤1.000m.
P=1590 | X=0106.850-0330.020 | Y=0579.050-0590.290 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1590 | X=0106.850-0388.790 | Y=0596.810-0608.050 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường từ Ngã
P=1590 | X=0106.850-0378.950 | Y=0608.330-0619.570 | ba đi bến đò Phú Tân đến ngã ba giáp ranh xã Tà Lài có hiện
P=1590 | X=0106.850-0278.630 | Y=0619.870-0631.110 | trạng là đường nhựa, bê tông xi măng:
P=1590 | X=0092.900-0104.020 | Y=0627.750-0637.070 | 32
P=1590 | X=0424.490-0441.130 | Y=0627.750-0637.070 | 220
P=1590 | X=0464.810-0481.450 | Y=0627.750-0637.070 | 150
P=1590 | X=0505.390-0522.030 | Y=0627.750-0637.070 | 130
P=1590 | X=0106.850-0392.640 | Y=0637.390-0648.630 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1590 | X=0106.850-0330.490 | Y=0654.910-0666.150 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1590 | X=0106.850-0392.110 | Y=0672.670-0683.910 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1590 | X=0092.900-0395.710 | Y=0684.190-0695.430 | 33 Đường từ Ngã ba đi bến đò Phú Tân đến ngã ba giáp ranh xã Tà
P=1590 | X=0424.490-0441.130 | Y=0686.070-0695.390 | 270
P=1590 | X=0464.810-0481.450 | Y=0686.070-0695.390 | 190
P=1590 | X=0505.390-0522.030 | Y=0686.070-0695.390 | 160
P=1590 | X=0106.850-0329.770 | Y=0695.710-0706.950 | Lài có hiện trạng là đường nhựa, bê tông xi măng:
P=1591 | X=0106.850-0337.930 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1591 | X=0106.850-0384.020 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1591 | X=0106.850-0392.140 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1591 | X=0106.850-0395.690 | Y=0125.330-0136.570 | Đường từ Ngã ba đi bến đò Phú Tân đến ngã ba giáp ranh xã Tà
P=1591 | X=0106.850-0329.770 | Y=0136.850-0148.090 | Lài có hiện trạng là đường nhựa, bê tông xi măng:
P=1591 | X=0092.900-0338.400 | Y=0154.370-0168.450 | 34 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1591 | X=0424.490-0441.130 | Y=0159.130-0168.450 | 230
P=1591 | X=0464.810-0481.450 | Y=0159.130-0168.450 | 160
P=1591 | X=0505.390-0522.030 | Y=0159.130-0168.450 | 140
P=1591 | X=0106.850-0393.740 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1591 | X=0106.850-0167.970 | Y=0183.170-0194.410 | đến ≤1.000m.
