TABLE=058 | AREA=Phường Minh Hưng | SECTION=non-agricultural | SEGMENTS=1
P=1948 | X=0173.590-0224.780 | Y=0571.850-0583.090 | huyện cũ đi
P=1948 | X=0262.660-0279.300 | Y=0573.730-0583.050 | 107
P=1948 | X=0173.590-0261.500 | Y=0583.370-0594.610 | phường Minh Hưng
P=1948 | X=0173.590-0245.430 | Y=0603.250-0612.570 | Ngã ba hết ranh
P=1948 | X=0090.980-0250.310 | Y=0612.890-0624.130 | 138 Đường số 21 thửa đất số 21 tờ
P=1948 | X=0262.660-0305.730 | Y=0614.770-0624.090 | Hết tuyến
P=1948 | X=0382.700-0407.750 | Y=0614.770-0624.090 | 1.700
P=1948 | X=0427.610-0452.660 | Y=0614.770-0624.090 | 1.200
P=1948 | X=0497.230-0522.280 | Y=0614.770-0624.090 | 1.000
P=1948 | X=0173.590-0236.790 | Y=0624.430-0635.670 | bản đồ số 107
P=1948 | X=0173.590-0331.640 | Y=0642.430-0653.670 | HLLG Đường Quốc Ngã tư giáp với
P=1948 | X=0090.980-0168.370 | Y=0648.190-0659.430 | 139 Đường số 22
P=1948 | X=0382.700-0407.750 | Y=0650.070-0659.390 | 2.300
P=1948 | X=0427.610-0452.660 | Y=0650.070-0659.390 | 1.600
P=1948 | X=0497.230-0522.280 | Y=0650.070-0659.390 | 1.400
P=1948 | X=0262.660-0319.880 | Y=0653.950-0665.190 | đường số 21
P=1948 | X=0173.590-0195.510 | Y=0655.830-0665.150 | lộ 13
P=1948 | X=0173.590-0242.580 | Y=0671.950-0683.190 | Ngã tư giáp với
P=1948 | X=0090.980-0168.370 | Y=0677.710-0688.950 | 140 Đường số 22
P=1948 | X=0262.660-0305.730 | Y=0679.590-0688.910 | Hết tuyến
P=1948 | X=0382.700-0407.750 | Y=0679.590-0688.910 | 2 300
P=1948 | X=0427.610-0452.660 | Y=0679.590-0688.910 | 1.600
P=1948 | X=0497.230-0522.280 | Y=0679.590-0688.910 | 1.400
P=1948 | X=0173.590-0230.790 | Y=0683.470-0694.710 | đường số 21
P=1948 | X=0090.980-0236.550 | Y=0701.490-0712.730 | 141 Đường số 23 Đường ĐH 12
P=1948 | X=0262.660-0344.360 | Y=0701.490-0712.730 | Ranh giới phường
P=1948 | X=0382.700-0407.750 | Y=0703.380-0712.700 | 1.200
P=1948 | X=0435.770-0452.410 | Y=0703.380-0712.700 | 870
P=1948 | X=0505.390-0522.030 | Y=0703.380-0712.700 | 740
P=1949 | X=0262.660-0318.920 | Y=0072.740-0083.980 | Chơn Thành
P=1949 | X=0090.980-0236.550 | Y=0090.740-0101.980 | 142 Đường số 24 Đường ĐH 12
P=1949 | X=0262.660-0305.730 | Y=0092.620-0101.940 | Hết tuyến
P=1949 | X=0382.700-0407.750 | Y=0092.620-0101.940 | 1.100
P=1949 | X=0435.770-0452.410 | Y=0092.620-0101.940 | 790
P=1949 | X=0505.390-0522.030 | Y=0092.620-0101.940 | 680
P=1949 | X=0262.660-0354.920 | Y=0108.740-0119.980 | Ngã ba đường số 26
P=1949 | X=0090.980-0352.760 | Y=0120.290-0131.530 | 143 Đường số 25 Đường Quốc lộ 13 hết ranh thửa đất số
P=1949 | X=0382.700-0407.750 | Y=0122.170-0131.490 | 1.400
P=1949 | X=0435.770-0452.410 | Y=0122.170-0131.490 | 980
P=1949 | X=0505.390-0522.030 | Y=0122.170-0131.490 | 840
P=1949 | X=0262.660-0352.280 | Y=0131.810-0143.050 | 3122 tờ bản đồ số 2
P=1949 | X=0173.590-0251.940 | Y=0149.810-0161.050 | Ngã ba đường số
P=1949 | X=0173.590-0247.870 | Y=0163.210-0172.530 | 26 hết ranh thửa
P=1949 | X=0090.980-0168.370 | Y=0167.090-0178.330 | 144 Đường số 25
P=1949 | X=0262.660-0305.730 | Y=0168.970-0178.290 | Hết tuyến
P=1949 | X=0382.700-0407.750 | Y=0168.970-0178.290 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0168.970-0178.290 | 870
P=1949 | X=0505.390-0522.030 | Y=0168.970-0178.290 | 740
P=1949 | X=0173.590-0257.700 | Y=0172.850-0184.090 | đất số 3122 tờ bản
P=1949 | X=0173.590-0206.310 | Y=0184.370-0195.610 | đồ số 2
P=1949 | X=0090.980-0232.470 | Y=0202.390-0213.630 | 145 Đường số 26 Đường số 25
P=1949 | X=0262.660-0362.090 | Y=0204.270-0213.590 | Ranh giới xã Tân Khai
P=1949 | X=0382.700-0407.750 | Y=0204.270-0213.590 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0204.270-0213.590 | 870
P=1949 | X=0505.390-0522.030 | Y=0204.270-0213.590 | 740
P=1949 | X=0262.660-0354.440 | Y=0220.390-0231.630 | Hết ranh thửa đất số
P=1949 | X=0090.980-0232.470 | Y=0225.910-0237.150 | 146 Đường số 27 Đường số 25
P=1949 | X=0382.700-0407.750 | Y=0227.790-0237.110 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0227.790-0237.110 | 870
P=1949 | X=0505.390-0522.030 | Y=0227.790-0237.110 | 740
P=1949 | X=0262.660-0349.400 | Y=0231.670-0242.910 | 123, tờ bản đồ số 2
P=1949 | X=0090.980-0236.550 | Y=0249.670-0260.910 | 147 Đường số 28 Đường ĐH 04
P=1949 | X=0262.660-0316.040 | Y=0249.670-0260.910 | Đường số 4
P=1949 | X=0382.700-0407.750 | Y=0251.550-0260.870 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0251.550-0260.870 | 870
P=1949 | X=0505.390-0522.030 | Y=0251.550-0260.870 | 740
P=1949 | X=0262.660-0346.850 | Y=0267.670-0278.910 | Giáp ranh thửa đất
P=1949 | X=0090.980-0236.550 | Y=0273.430-0284.670 | 148 Đường số 29 Đường ĐH 04
P=1949 | X=0382.700-0407.750 | Y=0275.310-0284.630 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0275.310-0284.630 | 870
P=1949 | X=0505.390-0522.030 | Y=0275.310-0284.630 | 740
P=1949 | X=0262.660-0354.920 | Y=0279.190-0290.430 | 2567, tờ bản đồ số 5
P=1949 | X=0090.980-0236.550 | Y=0297.220-0308.460 | 149 Đường số 30 Đường ĐH 04
P=1949 | X=0262.660-0316.040 | Y=0297.220-0308.460 | Đường số 4
P=1949 | X=0382.700-0407.750 | Y=0299.100-0308.420 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0299.100-0308.420 | 870
P=1949 | X=0505.390-0522.030 | Y=0299.100-0308.420 | 740
P=1949 | X=0090.980-0223.830 | Y=0315.220-0326.460 | 150 Đường số 31 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0317.100-0326.420 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0317.100-0326.420 | 870
P=1949 | X=0505.390-0522.030 | Y=0317.100-0326.420 | 740
P=1949 | X=0090.980-0226.950 | Y=0333.220-0344.460 | 151 Đường số 32 Đường số 6
P=1949 | X=0262.660-0321.560 | Y=0333.220-0344.460 | Đường số 15
P=1949 | X=0382.700-0407.750 | Y=0335.100-0344.420 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0335.100-0344.420 | 870
P=1949 | X=0505.390-0522.030 | Y=0335.100-0344.420 | 740
P=1949 | X=0173.590-0335.720 | Y=0351.220-0362.460 | HLLG Đường Quốc Ngã ba tiếp giáp
P=1949 | X=0090.980-0168.370 | Y=0356.980-0368.220 | 152 Đường số 33
P=1949 | X=0382.700-0407.750 | Y=0358.860-0368.180 | 2.500
P=1949 | X=0427.610-0452.660 | Y=0358.860-0368.180 | 1.800
P=1949 | X=0497.230-0522.280 | Y=0358.860-0368.180 | 1.500
P=1949 | X=0262.660-0323.940 | Y=0362.740-0373.980 | đường ĐH 03
P=1949 | X=0173.590-0195.510 | Y=0364.620-0373.940 | lộ 13
P=1949 | X=0090.980-0236.550 | Y=0380.760-0392.000 | 153 Đường số 34 Đường ĐH 05
P=1949 | X=0262.660-0321.560 | Y=0380.760-0392.000 | Đường số 38
P=1949 | X=0382.700-0407.750 | Y=0382.640-0391.960 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0382.640-0391.960 | 870
P=1949 | X=0505.390-0522.030 | Y=0382.640-0391.960 | 740
P=1949 | X=0090.980-0223.830 | Y=0398.760-0410.000 | 154 Đường số 35 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0400.640-0409.960 | 2.800
P=1949 | X=0427.610-0452.660 | Y=0400.640-0409.960 | 2.000
P=1949 | X=0497.230-0522.280 | Y=0400.640-0409.960 | 1.700
P=1949 | X=0090.980-0223.830 | Y=0416.760-0428.000 | 155 Đường số 36 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0418.640-0427.960 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0418.640-0427.960 | 870
P=1949 | X=0505.390-0522.030 | Y=0418.640-0427.960 | 740
P=1949 | X=0109.490-0154.450 | Y=0434.760-0446.000 | Đường số
P=1949 | X=0090.980-0107.620 | Y=0442.400-0451.720 | 156
P=1949 | X=0173.590-0223.830 | Y=0442.400-0451.720 | Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0442.400-0451.720 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0442.400-0451.720 | 870
P=1949 | X=0505.390-0522.030 | Y=0442.400-0451.720 | 740
P=1949 | X=0109.490-0127.250 | Y=0448.160-0457.480 | 36A
P=1949 | X=0090.980-0223.830 | Y=0464.300-0475.540 | 157 Đường số 3 7 Toàn tuyến
P=1949 | X=0382.700-0407.740 | Y=0466.180-0475.500 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0466.180-0475.500 | 870
P=1949 | X=0505.390-0522.030 | Y=0466.180-0475.500 | 740
P=1949 | X=0090.980-0223.830 | Y=0482.300-0493.540 | 158 Đường số 38 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0484.180-0493.500 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0484.180-0493.500 | 870
P=1949 | X=0505.390-0522.030 | Y=0484.180-0493.500 | 740
P=1949 | X=0090.980-0223.830 | Y=0500.300-0511.540 | 159 Đường số 39 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0502.180-0511.500 | 1.500
P=1949 | X=0427.610-0452.660 | Y=0502.180-0511.500 | 1.100
P=1949 | X=0505.390-0522.030 | Y=0502.180-0511.500 | 930
P=1949 | X=0090.980-0223.830 | Y=0518.300-0529.540 | 160 Đường số 40 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0520.180-0529.500 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0520.180-0529.500 | 870
P=1949 | X=0505.390-0522.030 | Y=0520.180-0529.500 | 740
P=1949 | X=0090.980-0223.830 | Y=0536.330-0547.570 | 161 Đường số 41 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0538.210-0547.530 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0538.210-0547.530 | 870
P=1949 | X=0505.390-0522.030 | Y=0538.210-0547.530 | 740
P=1949 | X=0090.980-0223.830 | Y=0554.330-0565.570 | 162 Đường số 42 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0556.210-0565.530 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0556.210-0565.530 | 870
P=1949 | X=0505.390-0522.030 | Y=0556.210-0565.530 | 740
P=1949 | X=0090.980-0223.830 | Y=0572.330-0583.570 | 163 Đường số 43 Toàn tuyến
P=1949 | X=0390.860-0407.500 | Y=0574.210-0583.530 | 980
P=1949 | X=0435.770-0452.410 | Y=0574.210-0583.530 | 680
P=1949 | X=0505.390-0522.030 | Y=0574.210-0583.530 | 590
P=1949 | X=0090.980-0223.830 | Y=0590.330-0601.570 | 164 Đường số 44 Toàn tuyến
P=1949 | X=0390.860-0407.500 | Y=0592.210-0601.530 | 980
P=1949 | X=0435.770-0452.410 | Y=0592.210-0601.530 | 680
P=1949 | X=0505.390-0522.030 | Y=0592.210-0601.530 | 590
P=1949 | X=0090.980-0223.830 | Y=0608.330-0619.570 | 165 Đường số 45 Toàn tuyến
P=1949 | X=0390.860-0407.500 | Y=0610.210-0619.530 | 980
P=1949 | X=0435.770-0452.410 | Y=0610.210-0619.530 | 680
P=1949 | X=0505.390-0522.030 | Y=0610.210-0619.530 | 590
P=1949 | X=0090.980-0223.830 | Y=0626.350-0637.590 | 166 Đường số 46 Toàn tuyến
P=1949 | X=0390.860-0407.500 | Y=0628.230-0637.550 | 980
P=1949 | X=0435.770-0452.410 | Y=0628.230-0637.550 | 680
P=1949 | X=0505.390-0522.030 | Y=0628.230-0637.550 | 590
P=1949 | X=0090.980-0223.830 | Y=0644.350-0655.590 | 167 Đường số 47 Toàn tuyến
P=1949 | X=0390.860-0407.500 | Y=0646.230-0655.550 | 980
P=1949 | X=0435.770-0452.410 | Y=0646.230-0655.550 | 680
P=1949 | X=0505.390-0522.030 | Y=0646.230-0655.550 | 590
P=1949 | X=0090.980-0223.830 | Y=0662.350-0673.590 | 168 Đường số 48 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0664.230-0673.550 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0664.230-0673.550 | 870
P=1949 | X=0505.390-0522.030 | Y=0664.230-0673.550 | 740
P=1949 | X=0090.980-0223.830 | Y=0680.350-0691.590 | 169 Đường số 49 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0682.230-0691.550 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0682.230-0691.550 | 870
P=1949 | X=0505.390-0522.030 | Y=0682.230-0691.550 | 740
P=1949 | X=0090.980-0223.830 | Y=0698.350-0709.590 | 170 Đường số 50 Toàn tuyến
P=1949 | X=0382.700-0407.750 | Y=0700.230-0709.550 | 1.200
P=1949 | X=0435.770-0452.410 | Y=0700.230-0709.550 | 870
P=1949 | X=0505.390-0522.030 | Y=0700.230-0709.550 | 740
P=1950 | X=0090.980-0223.830 | Y=0078.740-0089.980 | 171 Đường số 51 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0080.620-0089.940 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0080.620-0089.940 | 870
P=1950 | X=0505.390-0522.030 | Y=0080.620-0089.940 | 740
P=1950 | X=0090.980-0223.830 | Y=0096.740-0107.980 | 172 Đường số 52 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0098.620-0107.940 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0098.620-0107.940 | 870
P=1950 | X=0505.390-0522.030 | Y=0098.620-0107.940 | 740
P=1950 | X=0090.980-0223.830 | Y=0114.770-0126.010 | 173 Đường số 53 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0116.650-0125.970 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0116.650-0125.970 | 870
P=1950 | X=0505.390-0522.030 | Y=0116.650-0125.970 | 740
P=1950 | X=0090.980-0223.830 | Y=0132.770-0144.010 | 174 Đường số 54 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0134.650-0143.970 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0134.650-0143.970 | 870
P=1950 | X=0505.390-0522.030 | Y=0134.650-0143.970 | 740
P=1950 | X=0090.980-0223.830 | Y=0150.770-0162.010 | 175 Đường số 55 Toàn tuyến
P=1950 | X=0382.700-0407.740 | Y=0152.650-0161.970 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0152.650-0161.970 | 870
P=1950 | X=0505.390-0522.030 | Y=0152.650-0161.970 | 740
P=1950 | X=0090.980-0223.830 | Y=0168.770-0180.010 | 176 Đường số 56 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0170.650-0179.970 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0170.650-0179.970 | 870
P=1950 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 740
P=1950 | X=0090.980-0223.830 | Y=0186.770-0198.010 | 177 Đường số 57 Toàn tuyến
P=1950 | X=0390.860-0407.500 | Y=0188.650-0197.970 | 980
P=1950 | X=0435.770-0452.410 | Y=0188.650-0197.970 | 680
P=1950 | X=0505.390-0522.030 | Y=0188.650-0197.970 | 590
P=1950 | X=0090.980-0223.830 | Y=0204.790-0216.030 | 178 Đường số 58 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0206.670-0215.990 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0206.670-0215.990 | 870
P=1950 | X=0505.390-0522.030 | Y=0206.670-0215.990 | 740
P=1950 | X=0090.980-0223.830 | Y=0222.790-0234.030 | 179 Đường số 59 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0224.670-0233.990 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0224.670-0233.990 | 870
P=1950 | X=0505.390-0522.030 | Y=0224.670-0233.990 | 740
P=1950 | X=0090.980-0223.830 | Y=0240.790-0252.030 | 180 Đường số 60 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0242.670-0251.990 | 2.800
P=1950 | X=0427.610-0452.660 | Y=0242.670-0251.990 | 2.000
P=1950 | X=0497.230-0522.280 | Y=0242.670-0251.990 | 1.700
P=1950 | X=0090.980-0223.830 | Y=0258.790-0270.030 | 181 Đường số 61 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0260.670-0269.990 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0260.670-0269.990 | 870
P=1950 | X=0505.390-0522.030 | Y=0260.670-0269.990 | 740
P=1950 | X=0090.980-0223.830 | Y=0276.790-0288.030 | 182 Đường số 62 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0278.670-0287.990 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0278.670-0287.990 | 870
P=1950 | X=0505.390-0522.030 | Y=0278.670-0287.990 | 740
P=1950 | X=0090.980-0223.830 | Y=0294.820-0306.060 | 183 Đường số 63 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0296.700-0306.020 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0296.700-0306.020 | 870
P=1950 | X=0505.390-0522.030 | Y=0296.700-0306.020 | 740
P=1950 | X=0090.980-0223.830 | Y=0312.820-0324.060 | 184 Đường số 64 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0314.700-0324.020 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0314.700-0324.020 | 870
P=1950 | X=0505.390-0522.030 | Y=0314.700-0324.020 | 740
P=1950 | X=0090.980-0223.830 | Y=0330.820-0342.060 | 185 Đường số 65 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0332.700-0342.020 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0332.700-0342.020 | 870
P=1950 | X=0505.390-0522.030 | Y=0332.700-0342.020 | 740
P=1950 | X=0090.980-0223.830 | Y=0348.820-0360.060 | 186 Đường số 66 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0350.700-0360.020 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0350.700-0360.020 | 870
P=1950 | X=0505.390-0522.030 | Y=0350.700-0360.020 | 740
P=1950 | X=0090.980-0223.830 | Y=0366.840-0378.080 | 187 Đường số 67 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0368.720-0378.040 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0368.720-0378.040 | 870
P=1950 | X=0505.390-0522.030 | Y=0368.720-0378.040 | 740
P=1950 | X=0090.980-0223.830 | Y=0384.840-0396.080 | 188 Đường số 68 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0386.720-0396.040 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0386.720-0396.040 | 870
P=1950 | X=0505.390-0522.030 | Y=0386.720-0396.040 | 740
P=1950 | X=0090.980-0223.830 | Y=0402.840-0414.080 | 189 Đường số 69 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0404.720-0414.040 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0404.720-0414.040 | 870
P=1950 | X=0505.390-0522.030 | Y=0404.720-0414.040 | 740
P=1950 | X=0090.980-0223.830 | Y=0420.840-0432.080 | 190 Đường số 70 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0422.720-0432.040 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0422.720-0432.040 | 870
P=1950 | X=0505.390-0522.030 | Y=0422.720-0432.040 | 740
P=1950 | X=0090.980-0223.830 | Y=0438.840-0450.080 | 191 Đường số 71 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0440.720-0450.040 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0440.720-0450.040 | 870
P=1950 | X=0505.390-0522.030 | Y=0440.720-0450.040 | 740
P=1950 | X=0090.980-0223.830 | Y=0456.860-0468.100 | 192 Đường số 72 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0458.740-0468.060 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0458.740-0468.060 | 870
P=1950 | X=0505.390-0522.030 | Y=0458.740-0468.060 | 740
P=1950 | X=0090.980-0223.830 | Y=0474.860-0486.100 | 193 Đường số 73 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0476.740-0486.060 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0476.740-0486.060 | 870
P=1950 | X=0505.390-0522.030 | Y=0476.740-0486.060 | 740
P=1950 | X=0090.980-0223.830 | Y=0492.860-0504.100 | 194 Đường số 74 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0494.740-0504.060 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0494.740-0504.060 | 870
P=1950 | X=0505.390-0522.030 | Y=0494.740-0504.060 | 740
P=1950 | X=0090.980-0223.830 | Y=0510.860-0522.100 | 195 Đường số 75 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0512.740-0522.060 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0512.740-0522.060 | 870
P=1950 | X=0505.390-0522.030 | Y=0512.740-0522.060 | 740
P=1950 | X=0090.980-0223.830 | Y=0528.860-0540.100 | 196 Đường số 76 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0530.740-0540.060 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0530.740-0540.060 | 870
P=1950 | X=0505.390-0522.030 | Y=0530.740-0540.060 | 740
P=1950 | X=0090.980-0223.830 | Y=0546.890-0558.130 | 197 Đường số 77 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0548.770-0558.090 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0548.770-0558.090 | 870
P=1950 | X=0505.390-0522.030 | Y=0548.770-0558.090 | 740
P=1950 | X=0090.980-0223.830 | Y=0564.890-0576.130 | 198 Đường số 79 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0566.770-0576.090 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0566.770-0576.090 | 870
P=1950 | X=0505.390-0522.030 | Y=0566.770-0576.090 | 740
P=1950 | X=0090.980-0223.830 | Y=0582.890-0594.130 | 199 Đường số 80 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0584.770-0594.090 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0584.770-0594.090 | 870
P=1950 | X=0505.390-0522.030 | Y=0584.770-0594.090 | 740
P=1950 | X=0090.980-0223.830 | Y=0600.890-0612.130 | 200 Đường số 81 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0602.770-0612.090 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0602.770-0612.090 | 870
P=1950 | X=0505.390-0522.030 | Y=0602.770-0612.090 | 740
P=1950 | X=0090.980-0223.830 | Y=0618.910-0630.150 | 201 Đường số 82 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0620.790-0630.110 | 2.500
P=1950 | X=0427.610-0452.660 | Y=0620.790-0630.110 | 1.800
P=1950 | X=0497.230-0522.280 | Y=0620.790-0630.110 | 1.500
P=1950 | X=0090.980-0223.830 | Y=0636.910-0648.150 | 202 Đường số 83 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0638.790-0648.110 | 2.500
P=1950 | X=0427.610-0452.660 | Y=0638.790-0648.110 | 1.800
P=1950 | X=0497.230-0522.280 | Y=0638.790-0648.110 | 1.500
P=1950 | X=0090.980-0223.830 | Y=0654.910-0666.150 | 203 Đường số 84 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0656.790-0666.110 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0656.790-0666.110 | 870
P=1950 | X=0505.390-0522.030 | Y=0656.790-0666.110 | 740
P=1950 | X=0090.980-0223.830 | Y=0672.910-0684.150 | 204 Đường số 85 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0674.790-0684.110 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0674.790-0684.110 | 870
P=1950 | X=0505.390-0522.030 | Y=0674.790-0684.110 | 740
P=1950 | X=0090.980-0223.830 | Y=0690.910-0702.150 | 205 Đường số 86 Toàn tuyến
P=1950 | X=0382.700-0407.750 | Y=0692.790-0702.110 | 1.200
P=1950 | X=0435.770-0452.410 | Y=0692.790-0702.110 | 870
P=1950 | X=0505.390-0522.030 | Y=0692.790-0702.110 | 740
P=1951 | X=0090.980-0223.830 | Y=0078.740-0089.980 | 206 Đường số 87 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0080.620-0089.940 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0080.620-0089.940 | 870
P=1951 | X=0505.390-0522.030 | Y=0080.620-0089.940 | 740
P=1951 | X=0090.980-0223.830 | Y=0096.740-0107.980 | 207 Đường số 88 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0098.620-0107.940 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0098.620-0107.940 | 870
P=1951 | X=0505.390-0522.030 | Y=0098.620-0107.940 | 740
P=1951 | X=0090.980-0223.830 | Y=0114.770-0126.010 | 208 Đường số 89 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0116.650-0125.970 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0116.650-0125.970 | 870
P=1951 | X=0505.390-0522.030 | Y=0116.650-0125.970 | 740
P=1951 | X=0090.980-0223.830 | Y=0132.770-0144.010 | 209 Đường số 90 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0134.650-0143.970 | 2.300
P=1951 | X=0427.610-0452.660 | Y=0134.650-0143.970 | 1.600
P=1951 | X=0497.230-0522.280 | Y=0134.650-0143.970 | 1.400
P=1951 | X=0090.980-0223.830 | Y=0150.770-0162.010 | 210 Đường số 91 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0152.650-0161.970 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0152.650-0161.970 | 870
P=1951 | X=0505.390-0522.030 | Y=0152.650-0161.970 | 740
P=1951 | X=0090.980-0223.830 | Y=0168.770-0180.010 | 211 Đường số 92 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0170.650-0179.970 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0170.650-0179.970 | 870
P=1951 | X=0505.390-0522.030 | Y=0170.650-0179.970 | 740
P=1951 | X=0090.980-0223.830 | Y=0186.770-0198.010 | 212 Đường số 93 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0188.650-0197.970 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0188.650-0197.970 | 870
P=1951 | X=0505.390-0522.030 | Y=0188.650-0197.970 | 740
P=1951 | X=0090.980-0223.830 | Y=0204.790-0216.030 | 213 Đường số 94 Toàn tuyến
P=1951 | X=0382.700-0407.750 | Y=0206.670-0215.990 | 1.200
P=1951 | X=0435.770-0452.410 | Y=0206.670-0215.990 | 870
P=1951 | X=0505.390-0522.030 | Y=0206.670-0215.990 | 740
P=1951 | X=0090.980-0223.830 | Y=0222.790-0234.030 | 214 Đường số 95 Toàn tuyến
