TABLE=078 | AREA=Xã Minh Đức | SECTION=non-agricultural | SEGMENTS=1
P=2073 | X=0090.500-0175.750 | Y=0136.850-0148.090 | 42 sóc 5 (ĐT 752B-
P=2073 | X=0377.420-0394.060 | Y=0138.730-0148.050 | 450
P=2073 | X=0425.930-0442.570 | Y=0138.730-0148.050 | 320
P=2073 | X=0505.390-0522.030 | Y=0138.730-0148.050 | 270
P=2073 | X=0178.150-0194.790 | Y=0144.490-0153.810 | 752
P=2073 | X=0272.740-0344.020 | Y=0144.490-0153.810 | Tống Chân (K4)
P=2073 | X=0102.770-0169.000 | Y=0148.370-0159.610 | QH QL14C cũ)
P=2073 | X=0102.770-0259.460 | Y=0166.370-0177.610 | Đường Nhựa ấp Ngã tư Đường ĐT
P=2073 | X=0090.500-0101.620 | Y=0174.010-0183.330 | 43
P=2073 | X=0272.740-0315.080 | Y=0174.010-0183.330 | Giáp suối
P=2073 | X=0377.420-0394.060 | Y=0174.010-0183.330 | 450
P=2073 | X=0425.930-0442.570 | Y=0174.010-0183.330 | 320
P=2073 | X=0505.390-0522.030 | Y=0174.010-0183.330 | 270
P=2073 | X=0102.770-0108.370 | Y=0179.530-0188.850 | 4
P=2073 | X=0178.150-0194.790 | Y=0179.530-0188.850 | 752
P=2073 | X=0102.770-0167.900 | Y=0195.650-0206.890 | Đường từ Ngã
P=2073 | X=0102.770-0167.910 | Y=0207.190-0218.430 | ba Phố Lố đến
P=2073 | X=0178.150-0261.150 | Y=0207.190-0218.430 | Từ thửa đất số 31,
P=2073 | X=0272.740-0344.600 | Y=0207.190-0218.430 | Đến thửa đất số
P=2073 | X=0090.500-0101.620 | Y=0214.830-0224.150 | 44
P=2073 | X=0377.420-0394.060 | Y=0214.830-0224.150 | 450
P=2073 | X=0425.930-0442.570 | Y=0214.830-0224.150 | 320
P=2073 | X=0505.390-0522.030 | Y=0214.830-0224.150 | 270
P=2073 | X=0178.150-0248.100 | Y=0218.710-0229.950 | tờ bản đồ số 84
P=2073 | X=0272.740-0365.000 | Y=0218.710-0229.950 | 126, tờ bản đồ số 50
P=2073 | X=0102.770-0164.060 | Y=0220.590-0229.910 | cổng chào An
P=2073 | X=0102.770-0120.130 | Y=0232.110-0241.430 | Tân
P=2073 | X=0178.150-0260.580 | Y=0248.230-0259.470 | Giáp ranh phường
P=2073 | X=0102.770-0162.370 | Y=0253.990-0265.230 | Đường Nhựa
P=2073 | X=0178.150-0358.370 | Y=0259.750-0270.990 | Bình Long (thửa đất Hết thửa đất số 53,
P=2073 | X=0090.500-0170.210 | Y=0267.390-0276.710 | 45 Bình Phú - Sóc
P=2073 | X=0377.420-0394.060 | Y=0267.390-0276.710 | 540
P=2073 | X=0425.930-0442.570 | Y=0267.390-0276.710 | 380
P=2073 | X=0505.390-0522.030 | Y=0267.390-0276.710 | 320
P=2073 | X=0178.150-0342.680 | Y=0271.270-0282.510 | số 45, tờ bản đồ số tờ bản đồ số 94
P=2073 | X=0102.770-0117.730 | Y=0278.910-0288.230 | Rul
P=2073 | X=0178.150-0192.550 | Y=0284.700-0294.020 | 93)
P=2073 | X=0102.770-0158.040 | Y=0300.820-0312.060 | Đường Bình
P=2073 | X=0178.150-0261.150 | Y=0300.820-0312.060 | Từ thửa đất số 54,
P=2073 | X=0272.740-0354.650 | Y=0302.700-0312.020 | Giáp ranh xã Minh
P=2073 | X=0090.500-0101.620 | Y=0308.460-0317.780 | 46
P=2073 | X=0377.420-0394.060 | Y=0308.460-0317.780 | 450
P=2073 | X=0425.930-0442.570 | Y=0308.460-0317.780 | 320
P=2073 | X=0505.390-0522.030 | Y=0308.460-0317.780 | 270
P=2073 | X=0178.150-0248.100 | Y=0312.340-0323.580 | tờ bản đồ số 93
P=2073 | X=0272.740-0306.390 | Y=0312.340-0323.580 | Tâm cũ
P=2073 | X=0102.770-0164.520 | Y=0314.220-0323.540 | Phú - Sóc Rul
P=2073 | X=0102.770-0265.140 | Y=0330.340-0341.580 | Đường nhựa đi Ngã ba giao đường
P=2073 | X=0102.770-0364.540 | Y=0341.860-0353.100 | phường An Lộc liên xã An Phú (cũ) Hết ranh thửa đất số
P=2073 | X=0090.500-0101.620 | Y=0349.500-0358.820 | 47
P=2073 | X=0377.420-0394.060 | Y=0349.500-0358.820 | 540
P=2073 | X=0425.930-0442.570 | Y=0349.500-0358.820 | 380
P=2073 | X=0505.390-0522.030 | Y=0349.500-0358.820 | 320
P=2073 | X=0178.150-0359.480 | Y=0353.380-0364.620 | (Từ thửa đất số 40, 21, tờ bản đồ số 83
P=2073 | X=0102.770-0147.960 | Y=0355.260-0364.580 | (xã Thanh
P=2073 | X=0102.770-0149.560 | Y=0364.900-0376.140 | Lương cũ)
P=2073 | X=0178.150-0251.380 | Y=0364.900-0376.140 | tờ bản đồ số 86)
P=2073 | X=0102.770-0156.370 | Y=0382.920-0394.160 | Đường giao
P=2073 | X=0102.770-0175.100 | Y=0396.080-0405.400 | thông nông thôn
P=2073 | X=0090.500-0101.620 | Y=0401.840-0411.160 | 48
P=2073 | X=0178.150-0228.390 | Y=0401.840-0411.160 | Toàn tuyến
P=2073 | X=0377.420-0394.060 | Y=0401.840-0411.160 | 360
P=2073 | X=0425.930-0442.570 | Y=0401.840-0411.160 | 250
P=2073 | X=0505.390-0522.030 | Y=0401.840-0411.160 | 220
P=2073 | X=0102.770-0162.550 | Y=0405.720-0416.960 | có độ rộng từ
P=2073 | X=0102.770-0148.450 | Y=0419.120-0428.440 | 3m trở lên
P=2073 | X=0102.770-0147.970 | Y=0437.120-0446.440 | Các tuyến
P=2073 | X=0090.500-0101.620 | Y=0442.880-0452.200 | 49
P=2073 | X=0178.150-0228.390 | Y=0442.880-0452.200 | Toàn tuyến
P=2073 | X=0377.420-0394.060 | Y=0442.880-0452.200 | 270
P=2073 | X=0425.930-0442.570 | Y=0442.880-0452.200 | 190
P=2073 | X=0505.390-0522.030 | Y=0442.880-0452.200 | 160
P=2073 | X=0102.770-0164.550 | Y=0446.760-0458.000 | đường còn lại
