TABLE=076 | AREA=Xã Tân Hưng | SECTION=non-agricultural | SEGMENTS=1
P=2065 | X=0385.580-0402.220 | Y=0349.020-0358.340 | 500
P=2065 | X=0431.930-0448.570 | Y=0349.020-0358.340 | 350
P=2065 | X=0505.390-0522.030 | Y=0349.020-0358.340 | 300
P=2065 | X=0102.770-0171.480 | Y=0352.900-0364.140 | 756, ĐT 757 và
P=2065 | X=0102.770-0194.070 | Y=0364.180-0375.420 | đường ĐT 758 trong
P=2065 | X=0102.770-0178.170 | Y=0377.600-0386.920 | phạm vi 300m từ
P=2065 | X=0102.770-0128.870 | Y=0389.120-0398.440 | HLLG
P=2065 | X=0102.770-0182.320 | Y=0405.240-0416.480 | Các tuyến Đường
P=2065 | X=0090.500-0101.620 | Y=0412.880-0422.200 | 32
P=2065 | X=0200.470-0250.740 | Y=0412.880-0422.200 | Toàn tuyến
P=2065 | X=0385.580-0402.220 | Y=0412.880-0422.200 | 450
P=2065 | X=0431.930-0448.570 | Y=0412.880-0422.200 | 320
P=2065 | X=0505.390-0522.030 | Y=0412.880-0422.200 | 270
P=2065 | X=0102.770-0157.810 | Y=0418.640-0427.960 | nhựa còn lại
P=2065 | X=0102.770-0197.910 | Y=0434.760-0446.000 | Đường bê tông có độ
P=2065 | X=0090.500-0101.620 | Y=0442.400-0451.720 | 33
P=2065 | X=0200.470-0250.740 | Y=0442.400-0451.720 | Toàn tuyến
P=2065 | X=0385.580-0402.220 | Y=0442.400-0451.720 | 410
P=2065 | X=0431.930-0448.570 | Y=0442.400-0451.720 | 280
P=2065 | X=0505.390-0522.030 | Y=0442.400-0451.720 | 240
P=2065 | X=0102.770-0183.510 | Y=0448.160-0457.480 | rộng từ 3m trở lên
P=2065 | X=0102.770-0199.600 | Y=0464.300-0475.540 | Các tuyến đường còn
P=2065 | X=0102.770-0182.060 | Y=0475.820-0487.060 | lại trên địa bàn xã
P=2065 | X=0090.500-0101.620 | Y=0483.460-0492.780 | 34
P=2065 | X=0200.470-0250.740 | Y=0483.460-0492.780 | Toàn tuyến
P=2065 | X=0385.580-0402.220 | Y=0483.460-0492.780 | 360
P=2065 | X=0431.930-0448.570 | Y=0483.460-0492.780 | 250
P=2065 | X=0505.390-0522.030 | Y=0483.460-0492.780 | 220
P=2065 | X=0102.770-0194.740 | Y=0487.340-0498.580 | Tân Hưng (cũ) và xã
P=2065 | X=0102.770-0166.360 | Y=0498.860-0510.100 | Thanh An (cũ)
P=2065 | X=0102.770-0199.600 | Y=0516.860-0528.100 | Các tuyến đường còn
P=2065 | X=0090.500-0250.740 | Y=0528.380-0539.620 | 35 lại trên địa bàn xã An Toàn tuyến
P=2065 | X=0385.580-0402.220 | Y=0530.260-0539.580 | 360
P=2065 | X=0431.930-0448.570 | Y=0530.260-0539.580 | 250
P=2065 | X=0505.390-0522.030 | Y=0530.260-0539.580 | 220
P=2065 | X=0102.770-0159.630 | Y=0539.930-0551.170 | Khương (cũ)
