TABLE=066 | AREA=Xã Tân Lợi | SECTION=non-agricultural | SEGMENTS=1
P=2021 | X=0447.050-0463.690 | Y=0491.380-0500.700 | 320
P=2021 | X=0505.390-0522.030 | Y=0491.380-0500.700 | 270
P=2021 | X=0104.210-0241.620 | Y=0495.260-0506.500 | phạm vi 200m, chưa được đầu
P=2021 | X=0104.210-0216.830 | Y=0506.780-0518.020 | tư nhựa, bê tông xi măng
P=2021 | X=0091.220-0186.290 | Y=0524.780-0536.020 | 10 Đường Xuyên tâm
P=2021 | X=0243.220-0293.460 | Y=0526.660-0535.980 | Toàn tuyến
P=2021 | X=0392.540-0409.180 | Y=0526.660-0535.980 | 630
P=2021 | X=0447.050-0463.690 | Y=0526.660-0535.980 | 440
P=2021 | X=0505.390-0522.030 | Y=0526.660-0535.980 | 380
P=2021 | X=0104.210-0212.780 | Y=0542.810-0554.050 | Đường Đồng Phú - Bình
P=2021 | X=0243.220-0300.660 | Y=0544.690-0554.010 | Giáp ranh xã
P=2021 | X=0312.120-0376.060 | Y=0544.690-0554.010 | Tiếp giáp Suối
P=2021 | X=0091.220-0102.340 | Y=0550.450-0559.770 | 11
P=2021 | X=0392.540-0409.180 | Y=0550.450-0559.770 | 630
P=2021 | X=0447.050-0463.690 | Y=0550.450-0559.770 | 440
P=2021 | X=0505.390-0522.030 | Y=0550.450-0559.770 | 380
P=2021 | X=0104.210-0156.030 | Y=0554.330-0565.570 | Dương (cũ)
P=2021 | X=0243.220-0287.700 | Y=0554.330-0565.570 | Đồng Phú
P=2021 | X=0312.120-0350.610 | Y=0556.210-0565.530 | Rạch Bé
P=2021 | X=0312.120-0371.350 | Y=0572.330-0583.570 | Hết Thửa đất
P=2021 | X=0243.220-0297.320 | Y=0578.090-0589.330 | Thửa đất số
P=2021 | X=0104.210-0212.780 | Y=0583.850-0595.090 | Đường Đồng Phú - Bình
P=2021 | X=0312.120-0372.290 | Y=0585.730-0595.050 | số 19 và 538,
P=2021 | X=0091.220-0102.340 | Y=0591.490-0600.810 | 12
P=2021 | X=0243.220-0307.690 | Y=0591.490-0600.810 | 394 và 395, tờ
P=2021 | X=0392.540-0409.180 | Y=0591.490-0600.810 | 630
P=2021 | X=0447.050-0463.690 | Y=0591.490-0600.810 | 440
P=2021 | X=0505.390-0522.030 | Y=0591.490-0600.810 | 380
P=2021 | X=0104.210-0156.030 | Y=0595.370-0606.610 | Dương (cũ)
P=2021 | X=0312.120-0368.140 | Y=0595.370-0606.610 | tờ bản đồ số
P=2021 | X=0243.220-0300.920 | Y=0601.130-0612.370 | bản đồ số 25
P=2021 | X=0312.120-0323.240 | Y=0608.770-0618.090 | 23
P=2021 | X=0243.220-0297.320 | Y=0624.910-0636.150 | Thửa đất số
P=2021 | X=0104.210-0232.240 | Y=0636.430-0647.670 | Đất đấu giá 07 thửa trong 11
P=2021 | X=0243.220-0301.470 | Y=0636.430-0647.670 | 387 đến 393,
P=2021 | X=0091.220-0102.340 | Y=0644.070-0653.390 | 13
P=2021 | X=0384.380-0409.430 | Y=0644.070-0653.390 | 1.000
P=2021 | X=0447.050-0463.690 | Y=0644.070-0653.390 | 700
P=2021 | X=0505.390-0522.030 | Y=0644.070-0653.390 | 600
P=2021 | X=0104.210-0207.280 | Y=0647.950-0659.190 | ngã ba ấp Thạch Màng
P=2021 | X=0243.220-0299.240 | Y=0647.950-0659.190 | tờ bản đồ số
P=2021 | X=0243.220-0254.340 | Y=0661.350-0670.670 | 26
P=2021 | X=0091.220-0303.780 | Y=0677.470-0688.710 | 14 Đất đấu giá thửa đất số 54, tờ bản đồ số 103
P=2021 | X=0392.540-0409.180 | Y=0679.350-0688.670 | 800
P=2021 | X=0447.050-0463.690 | Y=0679.350-0688.670 | 560
