TABLE=071 | AREA=Xã Lộc Hưng | SECTION=non-agricultural | SEGMENTS=1
P=2045 | X=0102.770-0145.020 | Y=0200.710-0211.950 | Long (cũ)
P=2045 | X=0219.190-0237.030 | Y=0202.590-0211.910 | Ven
P=2045 | X=0102.770-0209.160 | Y=0218.710-0229.950 | Đường Lộc Khánh đi xã
P=2045 | X=0284.020-0356.580 | Y=0220.590-0229.910 | Giáp ranh xã An
P=2045 | X=0093.380-0273.290 | Y=0230.230-0241.470 | 7 An Khương, thị xã Bình Cầu Ba Ven
P=2045 | X=0284.020-0350.360 | Y=0230.230-0241.470 | Khương, thị xã
P=2045 | X=0370.700-0387.340 | Y=0232.110-0241.430 | 490
P=2045 | X=0420.410-0437.050 | Y=0232.110-0241.430 | 340
P=2045 | X=0505.390-0522.030 | Y=0232.110-0241.430 | 290
P=2045 | X=0102.770-0145.020 | Y=0241.750-0252.990 | Long (cũ)
P=2045 | X=0284.020-0349.770 | Y=0241.750-0252.990 | Bình Long (cũ)
P=2045 | X=0219.190-0276.630 | Y=0261.630-0270.950 | Giáp ranh xã
P=2045 | X=0102.770-0213.430 | Y=0265.510-0276.750 | Đường liên xã Lộc Thái -
P=2045 | X=0219.190-0339.790 | Y=0271.270-0282.510 | Lộc Thái - xã Cầu Ông Đô
P=2045 | X=0093.380-0098.980 | Y=0273.150-0282.470 | 8
P=2045 | X=0362.540-0387.590 | Y=0273.150-0282.470 | 1.100
P=2045 | X=0420.410-0437.050 | Y=0273.150-0282.470 | 750
P=2045 | X=0505.390-0522.030 | Y=0273.150-0282.470 | 640
P=2045 | X=0102.770-0162.530 | Y=0277.030-0288.270 | Lộc Điền (cũ)
P=2045 | X=0219.190-0258.900 | Y=0282.820-0294.060 | Lộc Điền
P=2045 | X=0284.020-0353.010 | Y=0300.820-0312.060 | Ngã ba Trường
P=2045 | X=0102.770-0213.430 | Y=0306.580-0317.820 | Đường liên xã Lộc Thái -
P=2045 | X=0219.190-0272.580 | Y=0312.340-0323.580 | Cầu ông Đô
P=2045 | X=0284.020-0387.590 | Y=0312.340-0323.580 | tiểu học A (Đi ấp 1.400
P=2045 | X=0093.380-0098.980 | Y=0314.220-0323.540 | 9
P=2045 | X=0420.410-0437.050 | Y=0314.220-0323.540 | 960
P=2045 | X=0505.390-0522.030 | Y=0314.220-0323.540 | 830
P=2045 | X=0102.770-0162.530 | Y=0318.100-0329.340 | Lộc Điền (cũ)
P=2045 | X=0284.020-0292.900 | Y=0325.740-0335.060 | 8)
P=2045 | X=0102.770-0339.240 | Y=0341.860-0353.100 | Đường liên xã Lộc Thái - Nhà máy hạt Nhà thờ Lộc
P=2045 | X=0090.500-0101.620 | Y=0349.500-0358.820 | 10
P=2045 | X=0370.700-0387.340 | Y=0349.500-0358.820 | 570
P=2045 | X=0420.410-0437.050 | Y=0349.500-0358.820 | 400
P=2045 | X=0505.390-0522.030 | Y=0349.500-0358.820 | 340
P=2045 | X=0102.770-0162.530 | Y=0353.380-0364.620 | Lộc Điền (cũ)
P=2045 | X=0219.190-0304.760 | Y=0353.380-0364.620 | điều Lộc Thái Điền
P=2045 | X=0219.190-0279.280 | Y=0371.400-0382.640 | Ngã ba nghĩa
P=2045 | X=0102.770-0214.630 | Y=0377.160-0388.400 | Đường liên xã Lộc Điền -
P=2045 | X=0284.020-0341.460 | Y=0379.040-0388.360 | Giáp ranh xã
P=2045 | X=0219.190-0273.940 | Y=0382.920-0394.160 | địa ấp 2 Lộc
P=2045 | X=0090.500-0101.620 | Y=0384.800-0394.120 | 11
P=2045 | X=0370.700-0387.340 | Y=0384.800-0394.120 | 690
P=2045 | X=0420.410-0437.050 | Y=0384.800-0394.120 | 480
P=2045 | X=0505.390-0522.030 | Y=0384.800-0394.120 | 410
P=2045 | X=0102.770-0170.210 | Y=0388.680-0399.920 | Lộc Thuận (cũ)
P=2045 | X=0284.020-0351.480 | Y=0388.680-0399.920 | Lộc Thuận (cũ)
P=2045 | X=0219.190-0239.940 | Y=0394.200-0405.440 | Điền
P=2045 | X=0102.770-0357.540 | Y=0412.200-0423.440 | Đường liên xã Lộc Điền - Giáp Trường Giáp ranh lô cao
P=2045 | X=0090.500-0101.620 | Y=0419.840-0429.160 | 12
P=2045 | X=0370.700-0387.340 | Y=0419.840-0429.160 | 770
P=2045 | X=0420.410-0437.050 | Y=0419.840-0429.160 | 540
P=2045 | X=0505.390-0522.030 | Y=0419.840-0429.160 | 460
P=2045 | X=0102.770-0171.880 | Y=0423.720-0434.960 | Lộc Quang (cũ)
P=2045 | X=0219.190-0263.850 | Y=0425.600-0434.920 | tiểu học A
P=2045 | X=0284.020-0294.420 | Y=0425.600-0434.920 | su
P=2045 | X=0102.770-0337.560 | Y=0441.720-0452.960 | Đường liên xã Lộc Điền - Giáp ranh lô Giáp xã Lộc
P=2045 | X=0090.500-0101.620 | Y=0449.360-0458.680 | 13
P=2045 | X=0370.700-0387.340 | Y=0449.360-0458.680 | 490
P=2045 | X=0420.410-0437.050 | Y=0449.360-0458.680 | 340
P=2045 | X=0505.390-0522.030 | Y=0449.360-0458.680 | 290
P=2045 | X=0102.770-0171.880 | Y=0453.260-0464.500 | Lộc Quang (cũ)
P=2045 | X=0284.020-0334.180 | Y=0453.260-0464.500 | Quang (cũ)
P=2045 | X=0219.190-0248.550 | Y=0455.140-0464.460 | cao su
P=2045 | X=0219.190-0251.440 | Y=0473.140-0482.460 | Ngã ba
P=2045 | X=0284.020-0341.460 | Y=0478.900-0488.220 | Giáp ranh xã
P=2045 | X=0102.770-0272.110 | Y=0482.780-0494.020 | Đường liên xã Lộc Điền - Trường tiểu
P=2045 | X=0284.020-0343.160 | Y=0488.540-0499.780 | Lộc Điền - xã
P=2045 | X=0090.500-0101.620 | Y=0490.420-0499.740 | 14
P=2045 | X=0370.700-0387.340 | Y=0490.420-0499.740 | 920
P=2045 | X=0420.410-0437.050 | Y=0490.420-0499.740 | 640
P=2045 | X=0505.390-0522.030 | Y=0490.420-0499.740 | 550
P=2045 | X=0102.770-0170.680 | Y=0494.300-0505.540 | Lộc Khánh (cũ)
P=2045 | X=0219.190-0277.860 | Y=0494.300-0505.540 | học Lộc Điền
P=2045 | X=0284.020-0351.950 | Y=0500.060-0511.300 | Lộc Khánh (cũ)
P=2045 | X=0219.190-0225.910 | Y=0507.700-0517.020 | A
P=2045 | X=0284.020-0344.680 | Y=0523.820-0535.060 | Giáp ranh đất
P=2045 | X=0284.020-0343.080 | Y=0535.370-0546.610 | cây xăng Lộc
P=2045 | X=0219.190-0276.670 | Y=0541.130-0552.370 | Ngã tư Đồng
P=2045 | X=0090.500-0185.670 | Y=0546.890-0558.130 | 15 Đường Quốc lộ 13
P=2045 | X=0284.020-0351.400 | Y=0546.890-0558.130 | Phát (Thửa đất
P=2045 | X=0362.540-0387.590 | Y=0548.770-0558.090 | 1.800
P=2045 | X=0412.220-0437.270 | Y=0548.770-0558.090 | 1.300
P=2045 | X=0497.230-0522.280 | Y=0548.770-0558.090 | 1.100
P=2045 | X=0219.190-0239.100 | Y=0554.530-0563.850 | Tâm
P=2045 | X=0284.020-0348.680 | Y=0560.290-0569.610 | số 388, tờ bản
P=2045 | X=0284.020-0325.560 | Y=0569.930-0581.170 | đồ số 20)
P=2045 | X=0219.190-0341.460 | Y=0587.930-0599.170 | Cây xăng Lộc Giáp ranh xã
P=2045 | X=0090.500-0185.670 | Y=0593.690-0604.930 | 16 Đường Quốc lộ 13
P=2045 | X=0362.540-0387.590 | Y=0595.570-0604.890 | 2.900
P=2045 | X=0412.220-0437.270 | Y=0595.570-0604.890 | 2.000
P=2045 | X=0497.230-0522.280 | Y=0595.570-0604.890 | 1.700
P=2045 | X=0284.020-0342.580 | Y=0599.450-0610.690 | Lộc Thái (cũ)
P=2045 | X=0219.190-0239.750 | Y=0601.330-0610.650 | Phát
P=2045 | X=0219.190-0276.670 | Y=0617.470-0628.710 | Ngã tư Đồng
P=2045 | X=0090.500-0170.050 | Y=0623.230-0634.470 | 17 Đường ĐT 754
P=2045 | X=0284.020-0323.960 | Y=0625.110-0634.430 | Cầu số 1
P=2045 | X=0362.540-0387.590 | Y=0625.110-0634.430 | 1.300
P=2045 | X=0420.410-0437.050 | Y=0625.110-0634.430 | 910
P=2045 | X=0505.390-0522.030 | Y=0625.110-0634.430 | 780
P=2045 | X=0219.190-0239.100 | Y=0630.630-0639.950 | Tâm
P=2045 | X=0284.020-0341.460 | Y=0648.630-0657.950 | Giáp ranh xã
P=2045 | X=0090.500-0170.040 | Y=0652.510-0663.750 | 18 Đường ĐT 754
P=2045 | X=0219.190-0259.140 | Y=0654.390-0663.710 | Cầu số 1
P=2045 | X=0362.540-0387.590 | Y=0654.390-0663.710 | 1.100
P=2045 | X=0420.410-0437.050 | Y=0654.390-0663.710 | 750
P=2045 | X=0505.390-0522.030 | Y=0654.390-0663.710 | 640
P=2045 | X=0284.020-0348.130 | Y=0658.270-0669.510 | Lộc Thịnh (cũ)
P=2045 | X=0102.770-0327.960 | Y=0676.270-0687.510 | Đường liên xã Lộc Hưng Ngã ba Giáng Cổng Bảy
P=2045 | X=0090.500-0101.620 | Y=0683.910-0693.230 | 19
P=2045 | X=0362.540-0387.590 | Y=0683.910-0693.230 | 1.200
P=2045 | X=0420.410-0437.050 | Y=0683.910-0693.230 | 860
P=2045 | X=0505.390-0522.030 | Y=0683.910-0693.230 | 730
P=2045 | X=0219.190-0250.940 | Y=0687.790-0699.030 | Hương
P=2045 | X=0102.770-0156.370 | Y=0689.670-0698.990 | - Lộc Thành
P=2045 | X=0284.020-0312.920 | Y=0689.670-0698.990 | Phụng
P=2045 | X=0090.500-0263.140 | Y=0705.810-0717.050 | 20 Đường liên xã Lộc Hưng Cổng Bảy
P=2045 | X=0284.020-0341.460 | Y=0707.700-0717.020 | Giáp ranh xã
P=2045 | X=0370.700-0387.340 | Y=0707.700-0717.020 | 770
P=2045 | X=0420.410-0437.050 | Y=0707.700-0717.020 | 540
P=2045 | X=0505.390-0522.030 | Y=0707.700-0717.020 | 460
P=2046 | X=0102.770-0156.370 | Y=0074.620-0083.940 | - Lộc Thành
P=2046 | X=0219.190-0248.100 | Y=0074.620-0083.940 | Phụng
P=2046 | X=0284.020-0331.400 | Y=0074.620-0083.940 | Lộc Thành
P=2046 | X=0284.020-0349.170 | Y=0090.740-0101.980 | Ngã ba đường
P=2046 | X=0102.770-0342.520 | Y=0102.260-0113.500 | Đường liên xã Lộc Hưng Đường Quốc vào ấp 7 (hết
P=2046 | X=0090.500-0101.620 | Y=0109.900-0119.220 | 21
P=2046 | X=0370.700-0387.340 | Y=0109.900-0119.220 | 920
P=2046 | X=0420.410-0437.050 | Y=0109.900-0119.220 | 640
P=2046 | X=0505.390-0522.030 | Y=0109.900-0119.220 | 550
P=2046 | X=0102.770-0167.540 | Y=0113.780-0125.020 | - Lộc Thái (cũ)
P=2046 | X=0284.020-0353.010 | Y=0113.780-0125.020 | ranh nhà bà Đỗ
P=2046 | X=0219.190-0241.140 | Y=0115.660-0124.980 | lộ 13
P=2046 | X=0284.020-0327.980 | Y=0127.210-0136.530 | Thị Dung)
P=2046 | X=0219.190-0251.440 | Y=0145.210-0154.530 | Ngã ba
