TABLE=028 | AREA=Xã Xuân Phú | SECTION=non-agricultural | SEGMENTS=1
P=1028 | X=0106.850-0381.580 | Y=0334.420-0345.660 | ra Đường nội ấp Bình Xuân 1 đoạn từ Quốc lộ 1 đến Hết ranh
P=1028 | X=0106.850-0381.100 | Y=0345.700-0356.940 | thửa đất số 232, tờ BĐĐC số 26 về bên phải và hết ranh thửa
P=1028 | X=0106.850-0368.870 | Y=0357.220-0368.460 | đất số 41, tờ BĐĐC số 34 về bên trái, xã Xuân Phú có hiện
P=1028 | X=0092.900-0278.660 | Y=0368.760-0380.200 | 63 trạng là đường nhựa, bê tông xi măng:
P=1028 | X=0402.140-0418.780 | Y=0370.880-0380.200 | 480
P=1028 | X=0438.410-0455.050 | Y=0370.880-0380.200 | 340
P=1028 | X=0505.630-0522.270 | Y=0370.880-0380.200 | 290
P=1028 | X=0106.850-0347.940 | Y=0386.280-0397.520 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1028 | X=0106.850-0148.990 | Y=0399.680-0409.000 | >1.000m.
P=1028 | X=0106.850-0330.490 | Y=0415.320-0426.560 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1028 | X=0092.900-0199.100 | Y=0433.080-0444.320 | 64 Đường Xuân Phú 29
P=1028 | X=0235.300-0278.340 | Y=0434.960-0444.280 | Quốc lộ 1
P=1028 | X=0309.720-0352.500 | Y=0434.960-0444.280 | Suối Soài
P=1028 | X=0393.980-0419.030 | Y=0434.960-0444.280 | 1.300
P=1028 | X=0438.410-0455.050 | Y=0434.960-0444.280 | 910
P=1028 | X=0505.630-0522.270 | Y=0434.960-0444.280 | 780
P=1028 | X=0106.850-0381.090 | Y=0450.860-0462.100 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1028 | X=0106.850-0357.570 | Y=0462.380-0473.620 | Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện trạng là
P=1028 | X=0106.850-0242.600 | Y=0473.900-0485.140 | đường nhựa, bê tông xi măng:
P=1028 | X=0092.900-0104.020 | Y=0481.780-0491.100 | 65
P=1028 | X=0402.140-0418.780 | Y=0481.780-0491.100 | 670
P=1028 | X=0438.410-0455.050 | Y=0481.780-0491.100 | 470
P=1028 | X=0505.630-0522.270 | Y=0481.780-0491.100 | 400
P=1028 | X=0106.850-0337.930 | Y=0491.420-0502.660 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1028 | X=0106.850-0384.020 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1028 | X=0106.850-0381.110 | Y=0526.460-0537.700 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1028 | X=0106.850-0357.570 | Y=0538.010-0549.250 | Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện trạng là
P=1028 | X=0106.850-0242.600 | Y=0549.530-0560.770 | đường nhựa, bê tông xi măng:
P=1028 | X=0092.900-0338.400 | Y=0567.050-0581.370 | 66 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1028 | X=0402.140-0418.780 | Y=0572.050-0581.370 | 600
P=1028 | X=0438.410-0455.050 | Y=0572.050-0581.370 | 420
P=1028 | X=0505.630-0522.270 | Y=0572.050-0581.370 | 360
P=1028 | X=0106.850-0360.140 | Y=0584.570-0595.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1028 | X=0106.850-0201.800 | Y=0596.090-0607.330 | >500m đến ≤1.000m.
P=1028 | X=0106.850-0330.020 | Y=0613.610-0624.850 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1028 | X=0106.850-0381.090 | Y=0631.390-0642.630 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1028 | X=0106.850-0357.570 | Y=0642.910-0654.150 | Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có hiện trạng là
P=1028 | X=0106.850-0242.600 | Y=0654.430-0665.670 | đường nhựa, bê tông xi măng:
P=1028 | X=0092.900-0104.020 | Y=0668.070-0677.390 | 67
P=1028 | X=0402.140-0418.780 | Y=0668.070-0677.390 | 450
P=1028 | X=0438.410-0455.050 | Y=0668.070-0677.390 | 320
P=1028 | X=0505.630-0522.270 | Y=0668.070-0677.390 | 270
P=1028 | X=0106.850-0347.940 | Y=0671.950-0683.190 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1028 | X=0106.850-0148.990 | Y=0685.350-0694.670 | >1.000m.
P=1028 | X=0106.850-0330.500 | Y=0700.770-0712.010 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1029 | X=0106.850-0380.360 | Y=0078.500-0089.740 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1029 | X=0106.850-0372.170 | Y=0090.020-0101.260 | ra Đường Xuân Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có
P=1029 | X=0106.850-0300.460 | Y=0101.540-0112.780 | hiện trạng là đường nhựa, bê tông xi măng:
P=1029 | X=0092.900-0104.020 | Y=0109.420-0118.740 | 68
P=1029 | X=0402.140-0418.780 | Y=0109.420-0118.740 | 600
P=1029 | X=0438.410-0455.050 | Y=0109.420-0118.740 | 420
P=1029 | X=0505.630-0522.270 | Y=0109.420-0118.740 | 360
P=1029 | X=0106.850-0337.930 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1029 | X=0106.850-0384.020 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1029 | X=0106.850-0380.360 | Y=0154.370-0165.610 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1029 | X=0106.850-0372.170 | Y=0165.650-0176.890 | ra Đường Xuân Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có
P=1029 | X=0106.850-0300.460 | Y=0177.170-0188.410 | hiện trạng là đường nhựa, bê tông xi măng:
P=1029 | X=0092.900-0338.440 | Y=0194.690-0209.030 | 69 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1029 | X=0402.140-0418.780 | Y=0199.710-0209.030 | 540
P=1029 | X=0438.410-0455.050 | Y=0199.710-0209.030 | 380
P=1029 | X=0505.630-0522.270 | Y=0199.710-0209.030 | 320
P=1029 | X=0106.850-0360.140 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1029 | X=0106.850-0201.800 | Y=0223.750-0234.990 | >500m đến ≤1.000m.
P=1029 | X=0106.850-0330.020 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1029 | X=0106.850-0380.360 | Y=0259.030-0270.270 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1029 | X=0106.850-0372.220 | Y=0270.550-0281.790 | ra Đường Xuân Phú 29 đoạn từ Quốc lộ 1 đến Suối Soài có
P=1029 | X=0106.850-0300.460 | Y=0282.100-0293.340 | hiện trạng là đường nhựa, bê tông xi măng:
P=1029 | X=0092.900-0104.020 | Y=0295.740-0305.060 | 70
P=1029 | X=0402.140-0418.780 | Y=0295.740-0305.060 | 410
P=1029 | X=0438.410-0455.050 | Y=0295.740-0305.060 | 290
P=1029 | X=0505.630-0522.270 | Y=0295.740-0305.060 | 250
P=1029 | X=0106.850-0347.940 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1029 | X=0106.850-0148.990 | Y=0313.020-0322.340 | >1.000m.
P=1029 | X=0106.850-0330.490 | Y=0328.660-0339.900 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1029 | X=0106.850-0217.360 | Y=0346.420-0357.660 | Đường Xuân Phú - Xuân
P=1029 | X=0309.720-0383.260 | Y=0346.420-0357.660 | Hết nghĩa địa ấp
P=1029 | X=0092.900-0104.020 | Y=0353.820-0363.140 | 71
P=1029 | X=0235.300-0278.340 | Y=0353.820-0363.140 | Quốc lộ 1
P=1029 | X=0393.980-0419.030 | Y=0353.820-0363.140 | 2.000
P=1029 | X=0430.250-0455.300 | Y=0353.820-0363.140 | 1.400
P=1029 | X=0497.470-0522.520 | Y=0353.820-0363.140 | 1.200
P=1029 | X=0106.850-0123.640 | Y=0359.580-0368.900 | Tây
P=1029 | X=0309.720-0350.590 | Y=0359.580-0368.900 | Bình Tân
P=1029 | X=0106.850-0381.090 | Y=0375.480-0386.720 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1029 | X=0106.850-0378.430 | Y=0387.000-0398.240 | Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa ấp Bình
P=1029 | X=0106.850-0333.850 | Y=0398.520-0409.760 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1029 | X=0092.900-0104.020 | Y=0406.400-0415.720 | 72
P=1029 | X=0402.140-0418.780 | Y=0406.400-0415.720 | 980
P=1029 | X=0438.410-0455.050 | Y=0406.400-0415.720 | 690
P=1029 | X=0505.630-0522.270 | Y=0406.400-0415.720 | 590
P=1029 | X=0106.850-0337.930 | Y=0416.040-0427.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1029 | X=0106.850-0384.050 | Y=0433.560-0444.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1029 | X=0106.850-0381.090 | Y=0451.340-0462.580 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1029 | X=0106.850-0378.430 | Y=0462.860-0474.100 | Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa ấp Bình
P=1029 | X=0106.850-0333.850 | Y=0474.380-0485.620 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1029 | X=0092.900-0338.400 | Y=0491.900-0505.980 | 73 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1029 | X=0402.140-0418.780 | Y=0496.660-0505.980 | 770
P=1029 | X=0438.410-0455.050 | Y=0496.660-0505.980 | 540
P=1029 | X=0505.630-0522.270 | Y=0496.660-0505.980 | 460
P=1029 | X=0106.850-0360.140 | Y=0509.420-0520.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1029 | X=0106.850-0201.800 | Y=0520.940-0532.180 | >500m đến ≤1.000m.
P=1029 | X=0106.850-0330.020 | Y=0538.250-0549.490 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1029 | X=0106.850-0381.090 | Y=0556.010-0567.250 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1029 | X=0106.850-0378.430 | Y=0567.530-0578.770 | Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết nghĩa địa ấp Bình
P=1029 | X=0106.850-0333.850 | Y=0579.050-0590.290 | Tân có hiện trạng là đường nhựa, bê tông xi măng:
P=1029 | X=0092.900-0104.020 | Y=0592.690-0602.010 | 74
P=1029 | X=0402.140-0418.780 | Y=0592.690-0602.010 | 560
P=1029 | X=0438.410-0455.050 | Y=0592.690-0602.010 | 390
P=1029 | X=0505.630-0522.270 | Y=0592.690-0602.010 | 340
P=1029 | X=0106.850-0347.940 | Y=0596.570-0607.810 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1029 | X=0106.850-0148.990 | Y=0609.970-0619.290 | >1.000m.
P=1029 | X=0106.850-0330.490 | Y=0625.630-0636.870 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1029 | X=0106.850-0380.360 | Y=0643.390-0654.630 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1029 | X=0106.850-0369.180 | Y=0654.910-0666.150 | ra Đường Xuân Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết
P=1029 | X=0092.900-0384.190 | Y=0666.430-0680.510 | 75 nghĩa địa ấp Bình Tân có hiện trạng là đường nhựa, bê tông xi
P=1029 | X=0402.140-0418.780 | Y=0671.190-0680.510 | 880
P=1029 | X=0438.410-0455.050 | Y=0671.190-0680.510 | 620
P=1029 | X=0505.630-0522.270 | Y=0671.190-0680.510 | 530
P=1029 | X=0106.850-0134.850 | Y=0677.950-0689.190 | măng:
P=1029 | X=0106.850-0337.930 | Y=0695.470-0706.710 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1030 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1030 | X=0106.850-0380.360 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1030 | X=0106.850-0369.180 | Y=0107.780-0119.020 | ra Đường Xuân Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết
P=1030 | X=0106.850-0384.190 | Y=0119.330-0130.570 | nghĩa địa ấp Bình Tân có hiện trạng là đường nhựa, bê tông xi
P=1030 | X=0106.850-0134.850 | Y=0130.850-0142.090 | măng:
P=1030 | X=0092.900-0338.400 | Y=0147.370-0159.610 | 76 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1030 | X=0402.140-0418.780 | Y=0147.370-0156.690 | 690
P=1030 | X=0438.410-0455.050 | Y=0147.370-0156.690 | 480
P=1030 | X=0505.630-0522.270 | Y=0147.370-0156.690 | 410
P=1030 | X=0106.850-0360.140 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1030 | X=0106.850-0201.830 | Y=0177.170-0188.410 | >500m đến ≤1.000m.
P=1030 | X=0106.850-0330.020 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1030 | X=0106.850-0380.360 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1030 | X=0106.850-0369.180 | Y=0223.990-0235.230 | ra Đường Xuân Phú - Xuân Tây đoạn từ Quốc lộ 1 đến Hết
P=1030 | X=0106.850-0384.190 | Y=0235.510-0246.750 | nghĩa địa ấp Bình Tân có hiện trạng là đường nhựa, bê tông xi
P=1030 | X=0106.850-0134.850 | Y=0247.030-0258.270 | măng:
P=1030 | X=0092.900-0104.020 | Y=0254.910-0264.230 | 77
P=1030 | X=0402.140-0418.780 | Y=0254.910-0264.230 | 500
P=1030 | X=0438.410-0455.050 | Y=0254.910-0264.230 | 350
P=1030 | X=0505.630-0522.270 | Y=0254.910-0264.230 | 300
P=1030 | X=0106.850-0347.940 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1030 | X=0106.850-0148.990 | Y=0277.950-0287.270 | >1.000m.
P=1030 | X=0106.850-0330.490 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1030 | X=0309.720-0371.000 | Y=0313.260-0322.580 | Ngã ba Trung
P=1030 | X=0106.850-0217.360 | Y=0317.140-0328.380 | Đường Xuân Phú - Xuân
P=1030 | X=0235.300-0308.840 | Y=0317.140-0328.380 | Hết nghĩa địa ấp
P=1030 | X=0092.900-0104.020 | Y=0324.780-0334.100 | 78
P=1030 | X=0309.720-0375.100 | Y=0324.780-0334.100 | tâm cai nghiện
P=1030 | X=0393.980-0419.030 | Y=0324.780-0334.100 | 1.400
P=1030 | X=0438.410-0455.050 | Y=0324.780-0334.100 | 980
P=1030 | X=0505.630-0522.270 | Y=0324.780-0334.100 | 840
P=1030 | X=0106.850-0123.640 | Y=0330.540-0339.860 | Tây
P=1030 | X=0235.300-0276.170 | Y=0330.540-0339.860 | Bình Tân
P=1030 | X=0309.720-0353.490 | Y=0336.300-0345.620 | Xuân Phú
P=1030 | X=0106.850-0381.090 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1030 | X=0106.850-0373.890 | Y=0363.460-0374.700 | Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân đến Ngã
P=1030 | X=0106.850-0365.500 | Y=0375.000-0386.240 | ba Trung tâm cai nghiện Xuân Phú có hiện trạng là đường
P=1030 | X=0092.900-0209.960 | Y=0386.520-0397.960 | 79 nhựa, bê tông xi măng:
P=1030 | X=0402.140-0418.780 | Y=0388.640-0397.960 | 700
P=1030 | X=0438.410-0455.050 | Y=0388.640-0397.960 | 490
P=1030 | X=0505.630-0522.270 | Y=0388.640-0397.960 | 420
P=1030 | X=0106.850-0337.930 | Y=0404.040-0415.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1030 | X=0106.850-0384.050 | Y=0421.560-0432.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1030 | X=0106.850-0381.090 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1030 | X=0106.850-0373.890 | Y=0450.860-0462.100 | Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân đến Ngã
P=1030 | X=0106.850-0365.500 | Y=0462.380-0473.620 | ba Trung tâm cai nghiện Xuân Phú có hiện trạng là đường
P=1030 | X=0106.850-0209.960 | Y=0473.900-0485.140 | nhựa, bê tông xi măng:
P=1030 | X=0092.900-0338.400 | Y=0490.420-0502.660 | 80 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1030 | X=0402.140-0418.780 | Y=0490.420-0499.740 | 560
P=1030 | X=0438.410-0455.050 | Y=0490.420-0499.740 | 390
P=1030 | X=0505.630-0522.270 | Y=0490.420-0499.740 | 340
P=1030 | X=0106.850-0360.140 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1030 | X=0106.850-0201.800 | Y=0520.220-0531.460 | >500m đến ≤1.000m.
P=1030 | X=0106.850-0330.020 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1030 | X=0106.850-0381.090 | Y=0555.530-0566.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1030 | X=0106.850-0373.890 | Y=0567.050-0578.290 | Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp Bình Tân đến Ngã
P=1030 | X=0106.850-0365.500 | Y=0578.570-0589.810 | ba Trung tâm cai nghiện Xuân Phú có hiện trạng là đường
P=1030 | X=0106.850-0209.960 | Y=0590.090-0601.330 | nhựa, bê tông xi măng:
P=1030 | X=0092.900-0104.020 | Y=0597.970-0607.290 | 81
P=1030 | X=0402.140-0418.780 | Y=0597.970-0607.290 | 420
P=1030 | X=0438.410-0455.050 | Y=0597.970-0607.290 | 290
P=1030 | X=0505.630-0522.270 | Y=0597.970-0607.290 | 250
P=1030 | X=0106.850-0347.940 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1030 | X=0106.850-0148.990 | Y=0621.030-0630.350 | >1.000m.
P=1030 | X=0106.850-0330.490 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1030 | X=0106.850-0380.360 | Y=0654.430-0665.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1030 | X=0106.850-0361.900 | Y=0665.950-0677.190 | ra Đường Xuân Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp
P=1030 | X=0092.900-0380.620 | Y=0677.470-0691.550 | 82 Bình Tân đến Ngã ba Trung tâm cai nghiện Xuân Phú có hiện
P=1030 | X=0402.140-0418.780 | Y=0682.230-0691.550 | 630
P=1030 | X=0438.410-0455.050 | Y=0682.230-0691.550 | 440
P=1030 | X=0505.630-0522.270 | Y=0682.230-0691.550 | 380
P=1030 | X=0106.850-0278.630 | Y=0688.750-0699.990 | trạng là đường nhựa, bê tông xi măng:
P=1030 | X=0106.850-0337.930 | Y=0706.290-0717.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1031 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1031 | X=0106.850-0380.360 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1031 | X=0106.850-0361.900 | Y=0107.780-0119.020 | ra Đường Xuân Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp
P=1031 | X=0106.850-0380.620 | Y=0119.330-0130.570 | Bình Tân đến Ngã ba Trung tâm cai nghiện Xuân Phú có hiện
P=1031 | X=0106.850-0278.630 | Y=0130.850-0142.090 | trạng là đường nhựa, bê tông xi măng:
P=1031 | X=0092.900-0338.400 | Y=0147.370-0159.610 | 83 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1031 | X=0402.140-0418.780 | Y=0147.370-0156.690 | 500
P=1031 | X=0438.410-0455.050 | Y=0147.370-0156.690 | 350
P=1031 | X=0505.630-0522.270 | Y=0147.370-0156.690 | 300
P=1031 | X=0106.850-0360.140 | Y=0165.650-0176.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1031 | X=0106.850-0201.800 | Y=0177.170-0188.410 | >500m đến ≤1.000m.
P=1031 | X=0106.850-0330.020 | Y=0194.690-0205.930 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1031 | X=0106.850-0380.360 | Y=0212.470-0223.710 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1031 | X=0106.850-0361.900 | Y=0223.990-0235.230 | ra Đường Xuân Phú - Xuân Tây đoạn từ Hết nghĩa địa ấp
P=1031 | X=0106.850-0380.620 | Y=0235.510-0246.750 | Bình Tân đến Ngã ba Trung tâm cai nghiện Xuân Phú có hiện
P=1031 | X=0106.850-0278.630 | Y=0247.030-0258.270 | trạng là đường nhựa, bê tông xi măng:
P=1031 | X=0092.900-0104.020 | Y=0254.910-0264.230 | 84
P=1031 | X=0402.140-0418.780 | Y=0254.910-0264.230 | 380
P=1031 | X=0438.410-0455.050 | Y=0254.910-0264.230 | 270
P=1031 | X=0505.630-0522.270 | Y=0254.910-0264.230 | 230
P=1031 | X=0106.850-0347.940 | Y=0264.550-0275.790 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1031 | X=0106.850-0148.990 | Y=0277.950-0287.270 | >1.000m.
P=1031 | X=0106.850-0330.490 | Y=0293.620-0304.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1031 | X=0235.300-0296.580 | Y=0313.260-0322.580 | Ngã ba Trung
P=1031 | X=0106.850-0217.360 | Y=0317.140-0328.380 | Đường Xuân Phú - Xuân
P=1031 | X=0309.720-0366.670 | Y=0319.020-0328.340 | Ranh giới xã
P=1031 | X=0092.900-0104.020 | Y=0324.780-0334.100 | 85
P=1031 | X=0235.300-0300.680 | Y=0324.780-0334.100 | tâm cai nghiện
P=1031 | X=0393.980-0419.030 | Y=0324.780-0334.100 | 1.700
P=1031 | X=0430.250-0455.300 | Y=0324.780-0334.100 | 1.200
P=1031 | X=0497.470-0522.520 | Y=0324.780-0334.100 | 1.000
P=1031 | X=0309.720-0359.500 | Y=0328.660-0339.900 | Xuân Đông
P=1031 | X=0106.850-0123.640 | Y=0330.540-0339.860 | Tây
P=1031 | X=0235.300-0279.070 | Y=0336.300-0345.620 | Xuân Phú
P=1031 | X=0106.850-0381.090 | Y=0351.940-0363.180 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1031 | X=0106.850-0371.250 | Y=0363.460-0374.700 | Phú - Xuân Tây đoạn từ Ngã ba Trung tâm cai nghiện Xuân
P=1031 | X=0106.850-0360.210 | Y=0375.000-0386.240 | Phú đến Ranh giới xã Xuân Đông có hiện trạng là đường
P=1031 | X=0092.900-0209.960 | Y=0386.520-0397.960 | 86 nhựa, bê tông xi măng:
P=1031 | X=0402.140-0418.780 | Y=0388.640-0397.960 | 840
P=1031 | X=0438.410-0455.050 | Y=0388.640-0397.960 | 590
P=1031 | X=0505.630-0522.270 | Y=0388.640-0397.960 | 500
P=1031 | X=0106.850-0337.930 | Y=0404.040-0415.280 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1031 | X=0106.850-0384.020 | Y=0421.560-0432.800 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1031 | X=0106.850-0381.090 | Y=0439.320-0450.560 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1031 | X=0106.850-0371.250 | Y=0450.860-0462.100 | Phú - Xuân Tây đoạn từ Ngã ba Trung tâm cai nghiện Xuân
P=1031 | X=0106.850-0360.210 | Y=0462.380-0473.620 | Phú đến Ranh giới xã Xuân Đông có hiện trạng là đường
P=1031 | X=0106.850-0209.960 | Y=0473.900-0485.140 | nhựa, bê tông xi măng:
P=1031 | X=0092.900-0338.400 | Y=0490.420-0502.660 | 87 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1031 | X=0402.140-0418.780 | Y=0490.420-0499.740 | 700
P=1031 | X=0438.410-0455.050 | Y=0490.420-0499.740 | 490
P=1031 | X=0505.630-0522.270 | Y=0490.420-0499.740 | 420
P=1031 | X=0106.850-0360.140 | Y=0508.940-0520.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1031 | X=0106.850-0201.800 | Y=0520.220-0531.460 | >500m đến ≤1.000m.
P=1031 | X=0106.850-0330.030 | Y=0537.770-0549.010 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1031 | X=0106.850-0381.090 | Y=0555.530-0566.770 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân
P=1031 | X=0106.850-0371.250 | Y=0567.050-0578.290 | Phú - Xuân Tây đoạn từ Ngã ba Trung tâm cai nghiện Xuân
P=1031 | X=0106.850-0360.210 | Y=0578.570-0589.810 | Phú đến Ranh giới xã Xuân Đông có hiện trạng là đường
P=1031 | X=0106.850-0209.960 | Y=0590.090-0601.330 | nhựa, bê tông xi măng:
P=1031 | X=0092.900-0104.020 | Y=0597.970-0607.290 | 88
P=1031 | X=0402.140-0418.780 | Y=0597.970-0607.290 | 560
P=1031 | X=0438.410-0455.050 | Y=0597.970-0607.290 | 390
P=1031 | X=0505.630-0522.270 | Y=0597.970-0607.290 | 340
P=1031 | X=0106.850-0347.940 | Y=0607.610-0618.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1031 | X=0106.850-0148.990 | Y=0621.030-0630.350 | >1.000m.
P=1031 | X=0106.850-0330.490 | Y=0636.670-0647.910 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1031 | X=0106.850-0380.360 | Y=0654.430-0665.670 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1031 | X=0106.850-0368.970 | Y=0665.950-0677.190 | ra Đường Xuân Phú - Xuân Tây đoạn từ Ngã ba Trung tâm
P=1031 | X=0092.900-0365.980 | Y=0677.470-0691.550 | 89 cai nghiện Xuân Phú đến Ranh giới xã Xuân Đông có hiện
P=1031 | X=0402.140-0418.780 | Y=0682.230-0691.550 | 760
P=1031 | X=0438.410-0455.050 | Y=0682.230-0691.550 | 530
P=1031 | X=0505.630-0522.270 | Y=0682.230-0691.550 | 460
P=1031 | X=0106.850-0278.630 | Y=0688.750-0699.990 | trạng là đường nhựa, bê tông xi măng:
P=1031 | X=0106.850-0337.930 | Y=0706.290-0717.530 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1032 | X=0106.850-0384.020 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1032 | X=0106.850-0380.360 | Y=0096.260-0107.500 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1032 | X=0106.850-0368.970 | Y=0107.780-0119.020 | ra Đường Xuân Phú - Xuân Tây đoạn từ Ngã ba Trung tâm
P=1032 | X=0106.850-0365.980 | Y=0119.330-0130.570 | cai nghiện Xuân Phú đến Ranh giới xã Xuân Đông có hiện
P=1032 | X=0106.850-0278.630 | Y=0130.850-0142.090 | trạng là đường nhựa, bê tông xi măng:
