TABLE=079 | AREA=Xã Phước Sơn | SECTION=non-agricultural | SEGMENTS=1
P=2078 | X=0230.740-0356.370 | Y=0149.330-0160.570 | Đường ĐT 755 Hoàng Văn
P=2078 | X=0093.140-0104.260 | Y=0151.210-0160.530 | 66
P=2078 | X=0375.980-0392.620 | Y=0151.210-0160.530 | 410
P=2078 | X=0435.530-0452.170 | Y=0151.210-0160.530 | 280
P=2078 | X=0505.390-0522.030 | Y=0151.210-0160.530 | 240
P=2078 | X=0107.810-0145.480 | Y=0156.970-0166.290 | Cá Mắm
P=2078 | X=0306.360-0324.200 | Y=0162.730-0172.050 | Bàn
P=2078 | X=0107.810-0216.880 | Y=0178.850-0190.090 | Đường vào nông trường
P=2078 | X=0230.740-0348.680 | Y=0184.610-0195.850 | Đường ĐT 755 Giáp suối
P=2078 | X=0093.140-0104.260 | Y=0186.490-0195.810 | 67
P=2078 | X=0375.980-0392.620 | Y=0186.490-0195.810 | 410
P=2078 | X=0435.530-0452.170 | Y=0186.490-0195.810 | 280
P=2078 | X=0505.390-0522.030 | Y=0186.490-0195.810 | 240
P=2078 | X=0107.810-0192.230 | Y=0192.250-0201.570 | cao su Thống Nhất
P=2078 | X=0107.810-0228.780 | Y=0208.390-0219.630 | Đường vào trạm Kiểm Lâm
P=2078 | X=0306.360-0362.980 | Y=0208.390-0219.630 | Giáp đất lâm
P=2078 | X=0230.740-0298.020 | Y=0213.910-0225.150 | Đường ĐT 755
P=2078 | X=0093.140-0104.260 | Y=0215.790-0225.110 | 68
P=2078 | X=0375.980-0392.620 | Y=0215.790-0225.110 | 410
P=2078 | X=0435.530-0452.170 | Y=0215.790-0225.110 | 280
P=2078 | X=0505.390-0522.030 | Y=0215.790-0225.110 | 240
P=2078 | X=0107.810-0147.250 | Y=0219.670-0230.910 | Đăng Hà
P=2078 | X=0306.360-0328.520 | Y=0221.550-0230.870 | phần
P=2078 | X=0107.810-0221.920 | Y=0237.670-0248.910 | Đường cạnh điểm trường
P=2078 | X=0306.360-0344.200 | Y=0237.670-0248.910 | Giáp đất
P=2078 | X=0230.740-0349.170 | Y=0249.190-0260.430 | Đường ĐT 755 ông Phan
P=2078 | X=0093.140-0210.400 | Y=0251.070-0260.390 | 69 tiểu học thôn 10 Thống
P=2078 | X=0375.980-0392.620 | Y=0251.070-0260.390 | 410
P=2078 | X=0435.530-0452.170 | Y=0251.070-0260.390 | 280
P=2078 | X=0505.390-0522.030 | Y=0251.070-0260.390 | 240
P=2078 | X=0306.360-0349.880 | Y=0260.710-0271.950 | Văn Tuấn
P=2078 | X=0107.810-0128.850 | Y=0262.590-0271.910 | Nhất
P=2078 | X=0107.810-0212.950 | Y=0278.710-0289.950 | Các tuyến đường thuộc
P=2078 | X=0230.740-0298.020 | Y=0278.710-0289.950 | Đường ĐT 755
P=2078 | X=0306.360-0362.600 | Y=0284.500-0295.740 | Đường cổng
P=2078 | X=0107.810-0208.190 | Y=0290.260-0301.500 | khu dân cư Thôn 3, xã
P=2078 | X=0230.740-0284.260 | Y=0292.140-0301.460 | (Sao Bọng -
P=2078 | X=0093.140-0104.260 | Y=0297.900-0307.220 | 70
P=2078 | X=0306.360-0342.250 | Y=0297.900-0307.220 | sau chợ
P=2078 | X=0367.820-0392.870 | Y=0297.900-0307.220 | 1.400
P=2078 | X=0435.530-0452.170 | Y=0297.900-0307.220 | 950
P=2078 | X=0505.390-0522.030 | Y=0297.900-0307.220 | 810
P=2078 | X=0107.810-0221.430 | Y=0301.780-0313.020 | Thống Nhất (cũ) (đối diện
P=2078 | X=0230.740-0292.500 | Y=0301.780-0313.020 | Đăng Hà) khu
P=2078 | X=0306.360-0358.620 | Y=0309.420-0318.740 | Thống Nhất
P=2078 | X=0107.810-0152.920 | Y=0315.180-0324.500 | UBND xã)
P=2078 | X=0230.740-0286.990 | Y=0315.180-0324.500 | nhà ông Tân
P=2078 | X=0230.740-0298.020 | Y=0331.300-0342.540 | Đường ĐT 755
P=2078 | X=0107.810-0212.950 | Y=0337.060-0348.300 | Các tuyến đường thuộc
P=2078 | X=0306.360-0338.120 | Y=0337.060-0348.300 | Đường
P=2078 | X=0230.740-0284.260 | Y=0344.700-0354.020 | (Sao Bọng -
P=2078 | X=0107.810-0208.230 | Y=0348.580-0359.820 | khu dân cư Thôn 3, xã
P=2078 | X=0306.360-0337.160 | Y=0348.580-0359.820 | trường
P=2078 | X=0230.740-0292.500 | Y=0354.340-0365.580 | Đăng Hà) khu
P=2078 | X=0093.140-0104.260 | Y=0356.220-0365.540 | 71
P=2078 | X=0367.820-0392.870 | Y=0356.220-0365.540 | 1.400
P=2078 | X=0435.530-0452.170 | Y=0356.220-0365.540 | 950
P=2078 | X=0505.390-0522.030 | Y=0356.220-0365.540 | 810
P=2078 | X=0107.810-0202.200 | Y=0360.100-0371.340 | Thống Nhất (cũ) (sau
P=2078 | X=0306.360-0333.710 | Y=0361.980-0371.300 | THCS
P=2078 | X=0230.740-0301.410 | Y=0365.880-0377.120 | nhà bà Ban đến
P=2078 | X=0107.810-0152.920 | Y=0373.520-0382.840 | UBND xã)
P=2078 | X=0306.360-0358.620 | Y=0373.520-0382.840 | Thống Nhất
P=2078 | X=0230.740-0299.880 | Y=0377.400-0388.640 | khu vực Ngã tư
P=2078 | X=0107.810-0225.760 | Y=0395.400-0406.640 | Đường nội ô thôn 3 Thống
P=2078 | X=0093.140-0104.260 | Y=0403.040-0412.360 | 72
P=2078 | X=0230.740-0280.980 | Y=0403.040-0412.360 | Toàn tuyến
P=2078 | X=0375.980-0392.620 | Y=0403.040-0412.360 | 900
P=2078 | X=0435.530-0452.170 | Y=0403.040-0412.360 | 630
P=2078 | X=0505.390-0522.030 | Y=0403.040-0412.360 | 540
P=2078 | X=0107.810-0200.060 | Y=0406.920-0418.160 | Nhất, xã Phước Sơn
P=2078 | X=0093.140-0217.350 | Y=0424.920-0436.160 | 73 Các tuyến đường còn lại
P=2078 | X=0230.740-0280.980 | Y=0426.800-0436.120 | Toàn tuyến
P=2078 | X=0375.980-0392.620 | Y=0426.800-0436.120 | 270
P=2078 | X=0435.530-0452.170 | Y=0426.800-0436.120 | 190
P=2078 | X=0505.390-0522.030 | Y=0426.800-0436.120 | 160
