TABLE=067 | AREA=Xã Đồng Tâm | SECTION=non-agricultural | SEGMENTS=1
P=2027 | X=0092.900-0207.970 | Y=0672.910-0684.150 | 16 Đường Mai Thúc Loan
P=2027 | X=0252.340-0302.600 | Y=0674.790-0684.110 | Toàn tuyến
P=2027 | X=0412.460-0437.510 | Y=0674.790-0684.110 | 4.300
P=2027 | X=0459.050-0484.100 | Y=0674.790-0684.110 | 3.000
P=2027 | X=0497.230-0522.280 | Y=0674.790-0684.110 | 2.600
P=2027 | X=0092.900-0216.390 | Y=0690.910-0702.150 | 17 Đường Nguyễn Thị Định
P=2027 | X=0252.340-0302.600 | Y=0692.790-0702.110 | Toàn tuyến
P=2027 | X=0412.460-0437.510 | Y=0692.790-0702.110 | 4.300
P=2027 | X=0459.050-0484.100 | Y=0692.790-0702.110 | 3.000
P=2027 | X=0497.230-0522.280 | Y=0692.790-0702.110 | 2.600
P=2028 | X=0092.900-0224.790 | Y=0078.740-0089.980 | 18 Đường Nguyễn Tất Thành
P=2028 | X=0252.340-0302.600 | Y=0080.620-0089.940 | Toàn tuyến
P=2028 | X=0412.460-0437.510 | Y=0080.620-0089.940 | 5.400
P=2028 | X=0459.050-0484.100 | Y=0080.620-0089.940 | 3.700
P=2028 | X=0497.230-0522.280 | Y=0080.620-0089.940 | 3.200
P=2028 | X=0252.340-0339.780 | Y=0098.620-0107.940 | Giáp ranh khu công
P=2028 | X=0342.360-0402.460 | Y=0102.500-0113.740 | Đường Tổ 29
P=2028 | X=0092.900-0204.150 | Y=0108.260-0119.500 | 19 Đường Phú Riềng Đỏ
P=2028 | X=0252.340-0329.240 | Y=0108.260-0119.500 | nghiệp Bắc Đồng
P=2028 | X=0412.460-0437.510 | Y=0110.140-0119.460 | 2.100
P=2028 | X=0459.050-0484.100 | Y=0110.140-0119.460 | 1.500
P=2028 | X=0497.230-0522.280 | Y=0110.140-0119.460 | 1.300
P=2028 | X=0342.360-0400.420 | Y=0114.050-0125.290 | (Tân Phú cũ)
P=2028 | X=0252.340-0270.180 | Y=0121.690-0131.010 | Phú
P=2028 | X=0342.360-0374.140 | Y=0137.810-0149.050 | Đường
P=2028 | X=0252.340-0332.590 | Y=0143.570-0154.810 | Đường tổ 29 (Tân
P=2028 | X=0092.900-0204.150 | Y=0149.330-0160.570 | 20 Đường Phú Riềng Đỏ
P=2028 | X=0342.360-0397.420 | Y=0149.330-0160.570 | Nguyễn Văn
P=2028 | X=0412.460-0437.510 | Y=0151.210-0160.530 | 3.000
P=2028 | X=0459.050-0484.100 | Y=0151.210-0160.530 | 2.100
P=2028 | X=0497.230-0522.280 | Y=0151.210-0160.530 | 1.800
P=2028 | X=0252.340-0286.890 | Y=0155.090-0166.330 | Phú cũ)
P=2028 | X=0342.360-0361.400 | Y=0162.730-0172.050 | Linh
P=2028 | X=0252.340-0321.320 | Y=0178.850-0190.090 | Đường Nguyễn
P=2028 | X=0092.900-0204.150 | Y=0184.610-0195.850 | 21 Đường Phú Riềng Đỏ
P=2028 | X=0342.360-0437.510 | Y=0184.610-0195.850 | Đường Âu Cơ 3.300
P=2028 | X=0459.050-0484.100 | Y=0186.490-0195.810 | 2.300
P=2028 | X=0497.230-0522.280 | Y=0186.490-0195.810 | 2.000
P=2028 | X=0252.340-0292.010 | Y=0190.370-0201.610 | Văn Linh
P=2028 | X=0342.360-0402.860 | Y=0208.390-0219.630 | Đường Phạm
P=2028 | X=0092.900-0204.150 | Y=0213.910-0225.150 | 22 Đường Phú Riềng Đỏ
P=2028 | X=0252.340-0315.580 | Y=0213.910-0225.150 | Đường Âu Cơ
P=2028 | X=0412.460-0437.510 | Y=0215.790-0225.110 | 2.700
P=2028 | X=0459.050-0484.100 | Y=0215.790-0225.110 | 1.900
P=2028 | X=0497.230-0522.280 | Y=0215.790-0225.110 | 1.600
P=2028 | X=0342.360-0396.460 | Y=0221.550-0230.870 | Ngọc Thạch
P=2028 | X=0252.340-0399.800 | Y=0237.670-0248.910 | Đường Phạm Ngọc Giáp ranh xã
P=2028 | X=0092.900-0204.150 | Y=0243.430-0254.670 | 23 Đường Phú Riềng Đỏ
P=2028 | X=0412.460-0437.510 | Y=0245.310-0254.630 | 1.800
P=2028 | X=0459.050-0484.100 | Y=0245.310-0254.630 | 1.200
P=2028 | X=0497.230-0522.280 | Y=0245.310-0254.630 | 1.100
P=2028 | X=0342.360-0395.500 | Y=0249.190-0260.430 | Tân Tiến cũ
P=2028 | X=0252.340-0280.260 | Y=0251.070-0260.390 | Thạch
P=2028 | X=0092.900-0191.920 | Y=0267.190-0278.430 | 24 Đường Lý Nam Đế
P=2028 | X=0252.340-0302.600 | Y=0269.070-0278.390 | Toàn tuyến
P=2028 | X=0412.460-0437.510 | Y=0269.070-0278.390 | 3.400
P=2028 | X=0459.050-0484.100 | Y=0269.070-0278.390 | 2.400
P=2028 | X=0497.230-0522.270 | Y=0269.070-0278.390 | 2.000
P=2028 | X=0252.340-0325.800 | Y=0285.220-0296.460 | Đường Tôn Đức
P=2028 | X=0342.360-0394.780 | Y=0285.220-0296.460 | Đường Phú
P=2028 | X=0092.900-0218.800 | Y=0290.980-0302.220 | 25 Đường Nguyễn Hữu Thọ
P=2028 | X=0412.460-0437.510 | Y=0292.860-0302.180 | 2.700
P=2028 | X=0459.050-0484.100 | Y=0292.860-0302.180 | 1.900
P=2028 | X=0497.230-0522.280 | Y=0292.860-0302.180 | 1.600
P=2028 | X=0342.360-0384.220 | Y=0296.740-0307.980 | Riềng Đỏ
P=2028 | X=0252.340-0280.740 | Y=0298.620-0307.940 | Thắng
P=2028 | X=0342.360-0400.310 | Y=0314.740-0325.980 | Đường Cách
P=2028 | X=0252.340-0398.630 | Y=0326.260-0337.500 | Đường Phú Riềng Mạng Tháng
P=2028 | X=0092.900-0218.800 | Y=0332.020-0343.260 | 26 Đường Nguyễn Hữu Thọ
P=2028 | X=0412.460-0437.510 | Y=0333.900-0343.220 | 3.300
P=2028 | X=0459.050-0484.100 | Y=0333.900-0343.220 | 2.300
P=2028 | X=0497.230-0522.280 | Y=0333.900-0343.220 | 2.000
P=2028 | X=0252.340-0265.140 | Y=0337.780-0349.020 | Đỏ
P=2028 | X=0342.360-0400.300 | Y=0337.780-0349.020 | Tám (Đường
P=2028 | X=0342.360-0378.590 | Y=0349.300-0360.540 | ĐT 741)
P=2028 | X=0252.340-0338.130 | Y=0367.320-0378.560 | Đường Cách Mạng
P=2028 | X=0342.360-0400.790 | Y=0373.080-0384.320 | Đường Hùng
P=2028 | X=0092.900-0218.800 | Y=0378.840-0390.080 | 27 Đường Nguyễn Hữu Thọ
P=2028 | X=0252.340-0341.490 | Y=0378.840-0390.080 | Tháng Tám (Đường
P=2028 | X=0412.460-0437.510 | Y=0380.720-0390.040 | 3.900
P=2028 | X=0459.050-0484.100 | Y=0380.720-0390.040 | 2.700
P=2028 | X=0497.230-0522.280 | Y=0380.720-0390.040 | 2.300
P=2028 | X=0342.360-0373.640 | Y=0384.600-0395.840 | Vương
P=2028 | X=0252.340-0288.570 | Y=0390.360-0401.600 | ĐT 741)
P=2028 | X=0252.340-0325.800 | Y=0408.360-0419.600 | Đường Tôn Đức
P=2028 | X=0342.360-0394.780 | Y=0408.360-0419.600 | Đường Phú
P=2028 | X=0092.900-0218.540 | Y=0414.120-0425.360 | 28 Đường Nguyễn Văn Linh
P=2028 | X=0412.460-0437.510 | Y=0416.000-0425.320 | 3.000
P=2028 | X=0459.050-0484.100 | Y=0416.000-0425.320 | 2.100
P=2028 | X=0497.230-0522.280 | Y=0416.000-0425.320 | 1.800
P=2028 | X=0342.360-0384.220 | Y=0419.880-0431.120 | Riềng Đỏ
P=2028 | X=0252.340-0280.740 | Y=0421.760-0431.080 | Thắng
P=2028 | X=0342.360-0400.310 | Y=0437.880-0449.120 | Đường Cách
P=2028 | X=0252.340-0398.630 | Y=0449.420-0460.660 | Đường Phú Riềng Mạng Tháng
P=2028 | X=0092.900-0218.540 | Y=0455.180-0466.420 | 29 Đường Nguyễn Văn Linh
P=2028 | X=0412.460-0437.510 | Y=0457.060-0466.380 | 3.500
P=2028 | X=0459.050-0484.100 | Y=0457.060-0466.380 | 2.400
P=2028 | X=0497.230-0522.280 | Y=0457.060-0466.380 | 2.100
P=2028 | X=0252.340-0265.140 | Y=0460.940-0472.180 | Đỏ
P=2028 | X=0342.360-0400.300 | Y=0460.940-0472.180 | Tám (Đường
P=2028 | X=0342.360-0378.590 | Y=0472.220-0483.460 | ĐT 741)
P=2028 | X=0252.340-0338.120 | Y=0490.220-0501.460 | Đường Cách Mạng
P=2028 | X=0342.360-0400.790 | Y=0495.980-0507.220 | Đường Hùng
P=2028 | X=0092.900-0218.540 | Y=0501.740-0512.980 | 30 Đường Nguyễn Văn Linh
P=2028 | X=0252.340-0341.490 | Y=0501.740-0512.980 | Tháng Tám (Đường
P=2028 | X=0412.460-0437.510 | Y=0503.620-0512.940 | 2.700
P=2028 | X=0459.050-0484.100 | Y=0503.620-0512.940 | 1.900
P=2028 | X=0497.230-0522.280 | Y=0503.620-0512.940 | 1.600
P=2028 | X=0342.360-0373.640 | Y=0507.500-0518.740 | Vương
P=2028 | X=0252.340-0288.570 | Y=0513.260-0524.500 | ĐT 741)
P=2028 | X=0252.340-0325.800 | Y=0531.260-0542.500 | Đường Tôn Đức
P=2028 | X=0092.900-0218.540 | Y=0537.050-0548.290 | 31 Đường Nguyễn Văn Linh
P=2028 | X=0342.360-0385.430 | Y=0538.930-0548.250 | Hết tuyến
P=2028 | X=0412.460-0437.510 | Y=0538.930-0548.250 | 1.500
P=2028 | X=0459.050-0484.100 | Y=0538.930-0548.250 | 1.100
P=2028 | X=0505.390-0522.030 | Y=0538.930-0548.250 | 920
P=2028 | X=0252.340-0280.740 | Y=0544.690-0554.010 | Thắng
P=2028 | X=0252.340-0338.130 | Y=0560.810-0572.050 | Đường Cách Mạng
P=2028 | X=0342.360-0397.660 | Y=0566.570-0577.810 | Đường Trần
P=2028 | X=0092.900-0204.630 | Y=0572.330-0583.570 | 32 Đường Trường Chinh
P=2028 | X=0252.340-0341.490 | Y=0572.330-0583.570 | Tháng Tám (Đường
P=2028 | X=0412.460-0437.510 | Y=0574.210-0583.530 | 3.100
P=2028 | X=0459.050-0484.100 | Y=0574.210-0583.530 | 2.100
P=2028 | X=0497.230-0522.280 | Y=0574.210-0583.530 | 1.800
P=2028 | X=0342.360-0360.200 | Y=0579.970-0589.290 | Phú
P=2028 | X=0252.340-0288.570 | Y=0583.850-0595.090 | ĐT 741)
P=2028 | X=0252.340-0338.120 | Y=0601.850-0613.090 | Đường Cách Mạng
P=2028 | X=0342.360-0397.660 | Y=0607.610-0618.850 | Đường Trần
P=2028 | X=0092.900-0179.670 | Y=0613.370-0624.610 | 33 Đường Lê Duẩn
P=2028 | X=0252.340-0341.490 | Y=0613.370-0624.610 | Tháng Tám (Đường
P=2028 | X=0412.460-0437.510 | Y=0615.250-0624.570 | 3.100
P=2028 | X=0459.050-0484.100 | Y=0615.250-0624.570 | 2.100
P=2028 | X=0497.230-0522.280 | Y=0615.250-0624.570 | 1.800
P=2028 | X=0342.360-0360.200 | Y=0621.030-0630.350 | Phú
P=2028 | X=0252.340-0288.570 | Y=0624.910-0636.150 | ĐT 741)
P=2028 | X=0342.360-0374.140 | Y=0642.910-0654.150 | Đường
P=2028 | X=0252.340-0321.320 | Y=0648.670-0659.910 | Đường Nguyễn
P=2028 | X=0092.900-0213.690 | Y=0654.430-0665.670 | 34 Đường Nguyễn Văn Cừ
P=2028 | X=0342.360-0399.110 | Y=0656.310-0665.630 | Nguyễn Hữu
P=2028 | X=0412.460-0437.510 | Y=0656.310-0665.630 | 3.300
P=2028 | X=0459.050-0484.100 | Y=0656.310-0665.630 | 2.300
P=2028 | X=0497.230-0522.280 | Y=0656.310-0665.630 | 2.000
P=2028 | X=0252.340-0292.020 | Y=0662.070-0671.390 | Vẫn Linh
P=2028 | X=0342.360-0359.720 | Y=0667.830-0677.150 | Thọ
P=2028 | X=0092.900-0225.750 | Y=0683.950-0695.190 | 35 Đường Nguyễn Chí Thanh
P=2028 | X=0252.340-0302.600 | Y=0685.830-0695.150 | Toàn tuyến
P=2028 | X=0412.460-0437.510 | Y=0685.830-0695.150 | 4.300
P=2028 | X=0459.050-0484.100 | Y=0685.830-0695.150 | 3.000
P=2028 | X=0497.230-0522.280 | Y=0685.830-0695.150 | 2.600
P=2028 | X=0092.900-0216.870 | Y=0701.970-0713.210 | 36 Đường khu dân cư 17ha
P=2028 | X=0252.340-0299.700 | Y=0701.970-0713.210 | Đường D1
P=2028 | X=0412.460-0437.510 | Y=0703.860-0713.180 | 5.700
P=2028 | X=0459.050-0484.090 | Y=0703.860-0713.180 | 4.000
P=2028 | X=0497.230-0522.280 | Y=0703.860-0713.180 | 3.400
P=2029 | X=0252.340-0334.520 | Y=0078.740-0089.980 | Các đường còn lại
P=2029 | X=0092.900-0216.870 | Y=0090.260-0101.500 | 37 Đường khu dân cư 17ha
P=2029 | X=0252.340-0339.640 | Y=0090.260-0101.500 | (trừ Đường D6, N8,
P=2029 | X=0412.460-0437.510 | Y=0092.140-0101.460 | 3.800
P=2029 | X=0459.050-0484.100 | Y=0092.140-0101.460 | 2.700
P=2029 | X=0497.230-0522.280 | Y=0092.140-0101.460 | 2.300
P=2029 | X=0252.340-0268.420 | Y=0103.660-0112.980 | N9)
P=2029 | X=0092.900-0216.870 | Y=0119.810-0131.050 | 38 Đường khu dân cư 17ha
P=2029 | X=0252.340-0299.700 | Y=0119.810-0131.050 | Đường D6
P=2029 | X=0412.460-0437.510 | Y=0121.690-0131.010 | 2.400
P=2029 | X=0459.050-0484.100 | Y=0121.690-0131.010 | 1.700
P=2029 | X=0497.230-0522.280 | Y=0121.690-0131.010 | 1.400
P=2029 | X=0092.900-0216.870 | Y=0137.810-0149.050 | 39 Đường khu dân cư 17ha
P=2029 | X=0252.340-0318.170 | Y=0137.810-0149.050 | Đường N8, N9
P=2029 | X=0412.460-0437.510 | Y=0139.690-0149.010 | 2.100
P=2029 | X=0459.050-0484.100 | Y=0139.690-0149.010 | 1.500
P=2029 | X=0497.230-0522.280 | Y=0139.690-0149.010 | 1.300
P=2029 | X=0107.330-0245.430 | Y=0155.810-0167.050 | Đường khu dân cư thị trấn Tân
P=2029 | X=0252.340-0309.220 | Y=0161.570-0172.810 | Đường D1.A
P=2029 | X=0092.900-0104.020 | Y=0163.450-0172.770 | 40
P=2029 | X=0412.460-0437.510 | Y=0163.450-0172.770 | 6.000
P=2029 | X=0459.050-0484.100 | Y=0163.450-0172.770 | 4.200
P=2029 | X=0497.230-0522.280 | Y=0163.450-0172.770 | 3,600
P=2029 | X=0107.330-0211.510 | Y=0169.210-0178.530 | Phú (Quang Minh Tiến)
P=2029 | X=0107.330-0334.520 | Y=0185.330-0196.570 | Đường khu dân cư thị trấn Tân Các đường còn lại
P=2029 | X=0092.900-0104.020 | Y=0192.970-0202.290 | 41
P=2029 | X=0412.460-0437.510 | Y=0192.970-0202.290 | 3.700
P=2029 | X=0459.050-0484.100 | Y=0192.970-0202.290 | 2.600
P=2029 | X=0497.230-0522.280 | Y=0192.970-0202.290 | 2.200
P=2029 | X=0252.340-0328.200 | Y=0196.850-0208.090 | trong khu dân cư
P=2029 | X=0107.330-0211.510 | Y=0198.730-0208.050 | Phú (Quang Minh Tiến)
P=2029 | X=0252.340-0330.450 | Y=0214.870-0226.110 | Các tuyến đường
P=2029 | X=0092.900-0221.590 | Y=0220.630-0231.870 | 42 Khu dân cư Mỹ Khánh Vy
P=2029 | X=0412.460-0437.510 | Y=0222.510-0231.830 | 2.800
P=2029 | X=0459.050-0484.100 | Y=0222.510-0231.830 | 2.000
P=2029 | X=0497.230-0522.280 | Y=0222.510-0231.830 | 1.700
P=2029 | X=0252.340-0328.200 | Y=0226.390-0237.630 | trong khu dân cư
P=2029 | X=0252.340-0330.450 | Y=0244.390-0255.630 | Các tuyến đường
P=2029 | X=0092.900-0219.750 | Y=0249.910-0261.150 | 43 Khu dân cư Xuân Hưởng
P=2029 | X=0412.460-0437.510 | Y=0251.790-0261.110 | 2.500
P=2029 | X=0459.050-0484.100 | Y=0251.790-0261.110 | 1.800
P=2029 | X=0497.230-0522.280 | Y=0251.790-0261.110 | 1.500
P=2029 | X=0252.340-0328.200 | Y=0255.670-0266.910 | trong khu dân cư
P=2029 | X=0252.340-0330.450 | Y=0273.670-0284.910 | Các tuyến đường
P=2029 | X=0092.900-0205.380 | Y=0279.430-0290.670 | 44 Khu dân cư Tân Phú I
P=2029 | X=0412.460-0437.510 | Y=0281.310-0290.630 | 2.200
P=2029 | X=0459.050-0484.100 | Y=0281.310-0290.630 | 1.500
P=2029 | X=0497.230-0522.280 | Y=0281.310-0290.630 | 1.300
P=2029 | X=0252.340-0328.200 | Y=0285.220-0296.460 | trong khu dân cư
P=2029 | X=0252.340-0330.450 | Y=0303.220-0314.460 | Các tuyến đường
P=2029 | X=0092.900-0208.020 | Y=0308.980-0320.220 | 45 Khu dân cư Tân Phú II
P=2029 | X=0412.460-0437.510 | Y=0310.860-0320.180 | 2.100
P=2029 | X=0459.050-0484.100 | Y=0310.860-0320.180 | 1.500
P=2029 | X=0499.870-0522.030 | Y=0310.860-0320.180 | 1300
P=2029 | X=0252.340-0328.200 | Y=0314.740-0325.980 | trong khu dân cư
P=2029 | X=0252.340-0330.910 | Y=0332.740-0343.980 | Đường trục chính
P=2029 | X=0092.900-0230.260 | Y=0344.260-0355.500 | 46 Khu dân cư Nhà Máy Nước
P=2029 | X=0252.340-0340.680 | Y=0344.260-0355.500 | nối ra Đường Phạm
P=2029 | X=0412.460-0437.510 | Y=0346.140-0355.460 | 1.700
P=2029 | X=0459.050-0484.100 | Y=0346.140-0355.460 | 1.200
P=2029 | X=0497.230-0522.280 | Y=0346.140-0355.460 | 1.000
P=2029 | X=0252.340-0306.440 | Y=0357.660-0366.980 | Ngọc Thạch
P=2029 | X=0252.340-0330.450 | Y=0373.800-0385.040 | Các tuyến đường
P=2029 | X=0092.900-0230.260 | Y=0385.320-0396.560 | 47 Khu dân cư Nhà Máy Nước
P=2029 | X=0252.340-0325.850 | Y=0387.200-0396.520 | còn lại trong khu
P=2029 | X=0412.460-0437.510 | Y=0387.200-0396.520 | 1.500
P=2029 | X=0459.050-0484.100 | Y=0387.200-0396.520 | 1.100
P=2029 | X=0505.390-0522.030 | Y=0387.200-0396.520 | 900
P=2029 | X=0252.340-0283.560 | Y=0396.840-0408.080 | dân cư
P=2029 | X=0252.340-0330.450 | Y=0414.840-0426.080 | Các tuyến đường
P=2029 | X=0092.900-0217.090 | Y=0420.600-0431.840 | 48 Khu dân cư Hoàn Thành
P=2029 | X=0412.460-0437.510 | Y=0422.480-0431.800 | 1.900
P=2029 | X=0459.050-0484.100 | Y=0422.480-0431.800 | 1.300
P=2029 | X=0497.230-0522.280 | Y=0422.480-0431.800 | 1.100
P=2029 | X=0252.340-0328.200 | Y=0426.360-0437.600 | trong khu dân cư
P=2029 | X=0107.330-0241.540 | Y=0444.360-0455.600 | Khu dân cư Tân Phú (khu dân
P=2029 | X=0252.340-0330.450 | Y=0444.360-0455.600 | Các tuyến đường
P=2029 | X=0092.900-0104.020 | Y=0452.020-0461.340 | 49
P=2029 | X=0412.460-0437.510 | Y=0452.020-0461.340 | 2.100
P=2029 | X=0459.050-0484.100 | Y=0452.020-0461.340 | 1.500
P=2029 | X=0497.230-0522.280 | Y=0452.020-0461.340 | 1.300
P=2029 | X=0107.330-0165.390 | Y=0455.900-0467.140 | cư Thịnh Trí)
P=2029 | X=0252.340-0328.200 | Y=0455.900-0467.140 | trong khu dân cư
P=2029 | X=0252.340-0330.450 | Y=0473.900-0485.140 | Các tuyến đường
P=2029 | X=0252.340-0341.710 | Y=0485.420-0496.660 | trọng khu dân cư và
P=2029 | X=0092.900-0210.870 | Y=0496.940-0508.180 | 50 Khu dân cư Ngọc Thảo
P=2029 | X=0252.340-0339.560 | Y=0496.940-0508.180 | tiếp giáp với đường
P=2029 | X=0412.460-0437.510 | Y=0498.820-0508.140 | 3.000
P=2029 | X=0459.050-0484.100 | Y=0498.820-0508.140 | 2.100
P=2029 | X=0497.230-0522.280 | Y=0498.820-0508.140 | 1.800
P=2029 | X=0252.340-0324.190 | Y=0510.100-0519.420 | giao thông nông
P=2029 | X=0252.340-0271.860 | Y=0521.620-0530.940 | thôn
P=2029 | X=0342.360-0374.140 | Y=0537.770-0549.010 | Đường
P=2029 | X=0092.900-0199.580 | Y=0549.290-0560.530 | 51 Đường Hùng Vương
P=2029 | X=0252.340-0399.110 | Y=0549.290-0560.530 | Đường Lý Nam Đế Nguyễn Hữu
P=2029 | X=0412.460-0437.510 | Y=0551.170-0560.490 | 2.600
P=2029 | X=0459.050-0484.100 | Y=0551.170-0560.490 | 1.800
P=2029 | X=0497.230-0522.280 | Y=0551.170-0560.490 | 1.500
P=2029 | X=0342.360-0359.720 | Y=0562.690-0572.010 | Thọ
P=2029 | X=0342.360-0374.140 | Y=0578.810-0590.050 | Đường
P=2029 | X=0252.340-0321.320 | Y=0584.570-0595.810 | Đường Nguyễn
P=2029 | X=0092.900-0199.600 | Y=0590.330-0601.570 | 52 Đường Hùng Vương
P=2029 | X=0342.360-0397.420 | Y=0590.330-0601.570 | Nguyễn Văn
P=2029 | X=0412.460-0437.510 | Y=0592.210-0601.530 | 2.100
P=2029 | X=0459.050-0484.100 | Y=0592.210-0601.530 | 1.500
P=2029 | X=0497.230-0522.280 | Y=0592.210-0601.530 | 1,300
P=2029 | X=0252.340-0292.030 | Y=0597.970-0607.290 | Hữu Thọ
P=2029 | X=0342.360-0361.400 | Y=0603.730-0613.050 | Linh
P=2029 | X=0252.340-0394.780 | Y=0619.870-0631.110 | Cách Mạng Tháng Đường Phủ
P=2029 | X=0092.900-0224.790 | Y=0625.630-0636.870 | 53 Đường Phạm Ngọc Thạch
P=2029 | X=0412.460-0437.510 | Y=0627.510-0636.830 | 3.300
P=2029 | X=0459.050-0484.100 | Y=0627.510-0636.830 | 2.300
P=2029 | X=0497.230-0522.280 | Y=0627.510-0636.830 | 2.000
P=2029 | X=0342.360-0384.220 | Y=0631.390-0642.630 | Riềng Đỏ
P=2029 | X=0252.340-0272.250 | Y=0633.270-0642.590 | Tám
P=2029 | X=0342.360-0399.820 | Y=0651.270-0660.590 | Hết ranh khu
P=2029 | X=0252.340-0333.560 | Y=0655.150-0666.390 | Đường Phú Riềng
P=2029 | X=0092.900-0224.790 | Y=0660.910-0672.150 | 54 Đường Phạm Ngọc Thạch
P=2029 | X=0342.360-0400.280 | Y=0660.910-0672.150 | dân cư Hoàn
P=2029 | X=0412.460-0437.510 | Y=0662.790-0672.110 | 2.300
P=2029 | X=0459.050-0484.100 | Y=0662.790-0672.110 | 1.600
P=2029 | X=0497.230-0522.280 | Y=0662.790-0672.110 | 1.400
P=2029 | X=0252.340-0265.140 | Y=0666.670-0677.910 | Đỏ
P=2029 | X=0342.360-0370.770 | Y=0674.310-0683.630 | Thành
P=2029 | X=0252.340-0334.740 | Y=0692.310-0701.630 | Giáp ranh khu dân
P=2029 | X=0092.900-0224.790 | Y=0696.190-0707.430 | 55 Đường Phạm Ngọc Thạch
P=2029 | X=0342.360-0392.630 | Y=0698.070-0707.390 | Cầu Bà Mụ
P=2029 | X=0412.460-0437.510 | Y=0698.070-0707.390 | 1.800
P=2029 | X=0459.050-0484.100 | Y=0698.070-0707.390 | 1.200
P=2029 | X=0497.230-0522.280 | Y=0698.070-0707.390 | 1.100
P=2029 | X=0252.340-0322.020 | Y=0701.970-0713.210 | cư Hoàn Thành
P=2030 | X=0252.340-0321.320 | Y=0078.740-0089.980 | Đường Nguyễn
P=2030 | X=0342.360-0402.860 | Y=0078.740-0089.980 | Đường Phạm
P=2030 | X=0092.900-0211.830 | Y=0084.500-0095.740 | 56 Đường Tôn Đức Thắng
P=2030 | X=0412.460-0437.510 | Y=0086.380-0095.700 | 2.000
P=2030 | X=0459.050-0484.100 | Y=0086.380-0095.700 | 1.400
P=2030 | X=0497.230-0522.280 | Y=0086.380-0095.700 | 1.200
P=2030 | X=0252.340-0292.010 | Y=0090.260-0101.500 | Văn Linh
P=2030 | X=0342.360-0396.460 | Y=0092.140-0101.460 | Ngọc Thạch
P=2030 | X=0342.360-0404.390 | Y=0110.140-0119.460 | Hết ranh thửa
P=2030 | X=0252.340-0321.320 | Y=0114.050-0125.290 | Đường Nguyễn
P=2030 | X=0092.900-0250.870 | Y=0119.810-0131.050 | 57 Đường Tôn Đức Thắng (nối dài)
P=2030 | X=0342.360-0437.510 | Y=0119.810-0131.050 | đất số 1159, tờ 1.500
P=2030 | X=0459.050-0484.100 | Y=0121.690-0131.010 | 1.100
P=2030 | X=0505.390-0522.030 | Y=0121.690-0131.010 | 920
P=2030 | X=0252.340-0292.010 | Y=0125.570-0136.810 | Văn Linh
P=2030 | X=0342.360-0400.060 | Y=0131.330-0142.570 | bản đồ số 19
P=2030 | X=0342.360-0408.710 | Y=0151.210-0160.530 | Cổng chính Bộ
P=2030 | X=0252.340-0338.130 | Y=0155.090-0166.330 | Đường Cách Mạng
P=2030 | X=0107.330-0243.260 | Y=0160.850-0172.090 | Các đường trong khu hoa viên
P=2030 | X=0342.360-0399.360 | Y=0162.730-0172.050 | chỉ huy quân
P=2030 | X=0252.340-0341.490 | Y=0166.610-0177.850 | Tháng Tám (Đường
P=2030 | X=0092.900-0104.020 | Y=0168.490-0177.810 | 58
P=2030 | X=0412.460-0437.510 | Y=0168.490-0177.810 | 3.200
P=2030 | X=0459.050-0484.100 | Y=0168.490-0177.810 | 2.200
P=2030 | X=0497.230-0522.280 | Y=0168.490-0177.810 | 1.900
P=2030 | X=0107.330-0196.850 | Y=0174.250-0183.570 | Quân sự - Kiểm lâm
P=2030 | X=0342.360-0383.980 | Y=0174.250-0183.570 | sự huyện
P=2030 | X=0252.340-0288.570 | Y=0178.130-0189.370 | ĐT 741)
P=2030 | X=0342.360-0386.860 | Y=0183.650-0194.890 | Đồng Phú
P=2030 | X=0342.360-0407.510 | Y=0201.670-0212.910 | Ngã ba đường
P=2030 | X=0252.340-0385.750 | Y=0213.190-0224.430 | Đường Cách Mạng nhựa (hết
P=2030 | X=0107.330-0243.260 | Y=0218.950-0230.190 | Các đường trong khu hoa viên
P=2030 | X=0252.340-0396.460 | Y=0224.710-0235.950 | Tháng Tám (Đường Thửa đất số
P=2030 | X=0092.900-0104.020 | Y=0226.590-0235.910 | 59
P=2030 | X=0412.460-0437.510 | Y=0226.590-0235.910 | 2.700
P=2030 | X=0459.050-0484.100 | Y=0226.590-0235.910 | 1.900
P=2030 | X=0497.230-0522.280 | Y=0226.590-0235.910 | 1.600
P=2030 | X=0107.330-0196.850 | Y=0232.350-0241.670 | Quân sự - Kiểm lâm
P=2030 | X=0252.340-0288.570 | Y=0236.230-0247.470 | ĐT 741)
P=2030 | X=0342.360-0399.630 | Y=0238.110-0247.430 | 214, 228, Tờ
P=2030 | X=0342.360-0403.340 | Y=0247.750-0258.990 | bản đồ số 42)
P=2030 | X=0252.340-0330.840 | Y=0265.750-0276.990 | Đường Tân Phú -
P=2030 | X=0252.340-0340.760 | Y=0277.270-0288.510 | Tân Phước (Đường
P=2030 | X=0107.330-0243.260 | Y=0283.060-0294.300 | Các đường trong khu hoa viên
P=2030 | X=0342.360-0399.350 | Y=0283.060-0294.300 | Đường tổ 44
P=2030 | X=0092.900-0104.020 | Y=0290.700-0300.020 | 60
P=2030 | X=0252.340-0322.050 | Y=0290.700-0300.020 | vào khu B - khu
P=2030 | X=0412.460-0437.510 | Y=0290.700-0300.020 | 2.200
P=2030 | X=0459.050-0484.090 | Y=0290.700-0300.020 | 1.500
