TABLE=060 | AREA=Xã Nha Bích | SECTION=non-agricultural | SEGMENTS=1
P=1976 | X=0458.090-0474.730 | Y=0098.380-0107.700 | 420
P=1976 | X=0505.390-0522.030 | Y=0098.380-0107.700 | 360
P=1976 | X=0102.770-0186.870 | Y=0104.140-0113.460 | số 01 Quốc lộ 14
P=1976 | X=0102.770-0411.820 | Y=0120.290-0131.530 | Đường HLLG Đường Thửa đất số 223, tờ bản đồ số 96 - đấu nối với
P=1976 | X=0090.500-0101.620 | Y=0127.930-0137.250 | 36
P=1976 | X=0421.370-0438.010 | Y=0127.930-0137.250 | 600
P=1976 | X=0458.090-0474.730 | Y=0127.930-0137.250 | 420
P=1976 | X=0505.390-0522.030 | Y=0127.930-0137.250 | 360
P=1976 | X=0204.550-0306.420 | Y=0131.810-0143.050 | đường huyện lộ ĐH 13
P=1976 | X=0102.770-0186.870 | Y=0133.690-0143.010 | số 15 Quốc lộ 14
P=1976 | X=0102.770-0403.180 | Y=0149.810-0161.050 | Đường HLLG Đường Ngã ba đường bê tông Đầu ranh thửa đất số
P=1976 | X=0090.500-0101.620 | Y=0157.450-0166.770 | 37
P=1976 | X=0421.370-0438.010 | Y=0157.450-0166.770 | 600
P=1976 | X=0458.090-0474.730 | Y=0157.450-0166.770 | 420
P=1976 | X=0505.390-0522.030 | Y=0157.450-0166.770 | 360
P=1976 | X=0102.770-0177.880 | Y=0161.330-0172.570 | số 27 ĐT 786B
P=1976 | X=0204.550-0296.820 | Y=0161.330-0172.570 | 76, tờ bản đồ số 115
P=1976 | X=0138.290-0191.280 | Y=0179.330-0190.570 | Từ thửa đất
P=1976 | X=0102.770-0134.530 | Y=0185.090-0196.330 | Đường
P=1976 | X=0138.290-0388.060 | Y=0190.850-0202.090 | số 922, tờ bản Đến hết thửa đất số 858, tờ bản đồ số 62
P=1976 | X=0090.500-0101.620 | Y=0192.730-0202.050 | 38
P=1976 | X=0421.370-0438.010 | Y=0192.730-0202.050 | 770
P=1976 | X=0458.090-0474.730 | Y=0192.730-0202.050 | 540
P=1976 | X=0505.390-0522.030 | Y=0192.730-0202.050 | 460
P=1976 | X=0102.770-0131.170 | Y=0196.610-0207.850 | ĐH 01
P=1976 | X=0138.290-0176.550 | Y=0202.390-0213.630 | đồ số 62
P=1976 | X=0138.290-0191.280 | Y=0220.390-0231.630 | Từ thửa đất
P=1976 | X=0102.770-0134.530 | Y=0225.910-0237.150 | Đường
P=1976 | X=0138.290-0388.060 | Y=0231.670-0242.910 | số 483, tờ bản Đến hết thửa đất số 251, tờ bản đồ số 62
P=1976 | X=0090.500-0101.620 | Y=0233.550-0242.870 | 39
P=1976 | X=0421.370-0438.010 | Y=0233.550-0242.870 | 770
P=1976 | X=0458.090-0474.730 | Y=0233.550-0242.870 | 540
P=1976 | X=0505.390-0522.030 | Y=0233.550-0242.870 | 460
P=1976 | X=0102.770-0127.090 | Y=0239.310-0248.630 | số 40
P=1976 | X=0138.290-0176.550 | Y=0243.190-0254.430 | đồ số 62
P=1976 | X=0102.770-0134.530 | Y=0261.190-0272.430 | Đường
P=1976 | X=0102.770-0128.860 | Y=0274.590-0283.910 | nhựa,
P=1976 | X=0102.770-0132.850 | Y=0284.260-0295.500 | đường
P=1976 | X=0102.770-0136.210 | Y=0297.660-0306.980 | bê tông
P=1976 | X=0102.770-0124.930 | Y=0309.180-0318.500 | nông
P=1976 | X=0102.770-0122.290 | Y=0320.700-0330.020 | thôn
P=1976 | X=0090.500-0101.620 | Y=0326.460-0335.780 | 40
P=1976 | X=0138.290-0188.550 | Y=0326.460-0335.780 | Toàn tuyến
P=1976 | X=0421.370-0438.010 | Y=0326.460-0335.780 | 510
P=1976 | X=0458.090-0474.730 | Y=0326.460-0335.780 | 360
P=1976 | X=0505.390-0522.030 | Y=0326.460-0335.780 | 310
P=1976 | X=0102.770-0131.650 | Y=0332.220-0341.540 | còn lại
P=1976 | X=0102.770-0125.680 | Y=0341.860-0353.100 | chưa
P=1976 | X=0102.770-0118.860 | Y=0355.260-0364.580 | quy
P=1976 | X=0102.770-0135.250 | Y=0364.900-0376.140 | định cụ
P=1976 | X=0102.770-0126.180 | Y=0376.200-0387.440 | thể ở
P=1976 | X=0102.770-0120.130 | Y=0389.600-0398.920 | trên
P=1976 | X=0102.770-0120.530 | Y=0407.600-0416.920 | Các
P=1976 | X=0090.500-0132.850 | Y=0417.240-0428.480 | 41 đường
P=1976 | X=0421.370-0438.010 | Y=0419.120-0428.440 | 470
P=1976 | X=0458.090-0474.730 | Y=0419.120-0428.440 | 330
P=1976 | X=0505.390-0522.030 | Y=0419.120-0428.440 | 280
P=1976 | X=0102.770-0131.650 | Y=0430.640-0439.960 | còn lại
