TABLE=090 | AREA=Xã Đa Kia | RECORDS=57 | GROUPS=56 | REVIEW=57
ID=NQ28-090-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=260,220 | ROAD=Đường quy hoạch vào trung Giáp Đường tâm hành chính xã cũ | START=Khu trung ĐT 759 chính xã Minh cũ | END=tâm hành Phước 370 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=250,220 | ROAD=Đường thôn Bình Giáp Đường Tân | START=Ngã ba vào trung ĐT 759 chính xã ranh thửa tờ bản | END=đường rẽ tâm hành cũ (hết 360 đất số 8, đồ 106) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=220,190 | ROAD=Ngã ba đường trung tâm Đường thôn Bình xã cũ (hết Tân đất số 8, 106) | START=rẽ vào Trung tâm hành chính chính xã ranh thửa đất thửa tờ bản đồ tờ bản | END=hành (đầu ranh 320 đất số 86, đồ số 102) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=220,190 | ROAD=Ngã ba đường trung tâm Đường thôn Bình xã (hết ranh số 8, tờ bản Tân 106 của bà Thúy Hà) | START=rẽ vào Ngã ba hành chính (hết ranh thửa đất Hà Sỹ đồ số số 17, Phạm Thị 95) | END=Suối Muông đất ông Quý thửa đất 320 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=330,280 | ROAD=Ngã ba Suối Đường thôn Bình (hết ranh Sỹ Quý thửa Tân + Bù Tam 17, tờ bản | START=Ngã ba Muồng (giáp ranh đất ông Hà Hoàng đất số thửa đất đồ số 95) bản đồ | END=Suối đia đất ông Văn Thắng) 470 số 263, tờ số 92 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=420,360 | ROAD=Ngã ba Suối ranh đất Đường thôn Bù Văn Thắng) Tam số 263, tờ 92 | START=đĩa (giáp ông Hoàng Trụ sở thửa đất Phước bản đồ số | END=UBND xã 600 Minh (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=420,360 | ROAD=Đường nhựa ranh giới giữa xã Đường ĐT Phước Minh - xã Đa Kia (cũ) | START=Hết thửa 759 tờ bản | END=đất số 15 600 đồ số 129 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=980,840 | ROAD=Đường liên xã Ngã tư đường | START=Ngã ba xanh), N7 Nguyễn thửa đất bản đồ | END=(Bách hóa ranh đất ông Tấn Ba, 1.400 số 37, tờ số 170 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=910,780 | ROAD=Đi thôn 6B+300m Đường liên xã ranh đất Phương | START=(hết Dịch vụ Cổng chào Kiều, thửa | END=thôn 3 1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-090-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=630,540 | ROAD=đất số 307, số 149) Đi thôn 6B+300m ranh đất Đường liên xã Phương đất số 307, số 149) | START=tờ bản đồ (hết Dịch vụ Ngã ba Kiều, thửa (Trường tờ bản đồ Bình Thắng | END=thôn 6B Tiểu học 900 B) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
