TABLE=071 | AREA=Xã Lộc Hưng | RECORDS=32 | GROUPS=30 | REVIEW=32
ID=NQ28-071-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=860,730 | ROAD=Đường liên xã Lộc Hưng Ngã Hương - Lộc Thành | START=ba Giáng Cổng Bảy Phụng | END=1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=540,460 | ROAD=Đường liên xã Lộc Hưng Cổng | START=Bảy Giáp ranh | END=xã 770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=640,550 | ROAD=- Lộc Thành Phụng Đường liên xã Lộc Hưng Đường - Lộc Thái (cũ) lộ | START=Lộc Thành Ngã ba Quốc vào ấp ranh nhà 13 Thị Dung) | END=đường 7 (hết 920 bà Đỗ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=430,370 | ROAD=Ngã đường Đường liên xã Lộc Hưng 7 - Lộc Thái (cũ) nhà Dung) | START=ba vào ấp Giáp ranh (giáp ranh Lộc Thái bà Đỗ Thị | END=xã 610 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=700,600 | ROAD=Đường liên xã Lộc Hưng Ngã - Lộc Khánh (cũ) Tâm | START=tư Đồng Cầu Suối | END=1 990 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=800,690 | ROAD=Đường liên xã Lộc Hưng Cầu - Lộc Khánh (cũ) | START=Giáp ranh Suối 1 Lộc Khánh | END=xã 1.100 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=540,460 | ROAD=Đường Đường tránh Quốc lộ 13 lộ Các tuyến đường đấu nối | START=Quốc Giáp ranh Lộc Thái 13 | END=xã 770 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=540,460 | ROAD=trực tiếp ra đường Quốc lộ 13 trong phạm vi 200m Ngã (tính từ HLLG) - trừ các Tâm tuyến đường đã có trong bảng giá | START=tư Đồng Giáp ranh Lộc Thái | END=xã 770 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0754-01 | SEC=non-agricultural | TT=754 | REL=direct | PRICES= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-071-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=430,370 | ROAD=(tính từ HLLG) - trừ các Tâm tuyến đường đã có trong bảng giá | START=Cầu số | END=1 610 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0754-02 | SEC=non-agricultural | TT=754 | REL=direct | PRICES= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-071-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=400,340 | ROAD=Cầu (tính từ HLLG) - Trừ các tuyến đường đã có trong | START=số 1 Lộc Thịnh | END=570 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=250,220 | ROAD=bảng giá Các tuyến đường giao thông 3,5m trở lên | START=nông thôn có mặt | END=đường từ 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-071-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=190,160 | ROAD=Các tuyến đường còn lại | START= | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
