TABLE=061 | AREA=Phường Bình Long | RECORDS=205 | GROUPS=205 | REVIEW=29
ID=NQ28-061-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=5700,4000,3400 | ROAD=Đường Đường Phan Bội Châu Điểm | START=Khải đường Đoàn Thị Tịnh (hết 205, | END=và Ngã ba bê tông vào xá Ngọc Long 5.700 thửa đất số tờ bản đồ số | FLAGS=
ID=NQ28-061-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=4900,3400,2900 | ROAD=Đường Quang Đường ĐT 752 Ngã tông | START=118) Trần Đường Đến Khải và ba đường bê số vào Tịnh xá 129 | END=HCT 1 và hết thửa đất 4.900 30, tờ bản đồ số (giáp ranh khu | FLAGS=
ID=NQ28-061-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=4100,2800,2400 | ROAD=Ngọc thửa bản Đường Đến số Đường ĐT 752 số khu | START=dân Long (hết đất số 205, tờ đồ số 118) HCT 1 và hết thửa đất 30, tờ bản đồ Ngã 129 (giáp ranh dân cư Cát | END=cư Cát Tường) Ba Xe Tăng 4.100 | FLAGS=
ID=NQ28-061-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=3400,2400,2000 | ROAD=Tường) Đường ĐT 752 Ngã | START=Ba Xe Tăng Đường | END=HCT 3 3.400 | FLAGS=
ID=NQ28-061-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=810,570,490 | ROAD=Ngã Đường ĐT 752C (Giáp Quốc | START=ba Xa Cát Giáp Đường Đức lộ 13) | END=ranh xã Minh | FLAGS=
ID=NQ28-061-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=3200,2300,1900 | ROAD=Đường Đường Ngô Quyền Huệ | START=Nguyễn Ngã 1 | END=ba đường ALT 3.200 | FLAGS=
ID=NQ28-061-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=5700,4000,3400 | ROAD=Ngã Đường Ngô Quyền ALT | START=ba đường Đường 1 Thố | END=Trừ Văn 5.700 | FLAGS=
ID=NQ28-061-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=9700,6800,5800 | ROAD=Đường Đường Ngô Quyền Thố | START=Trừ Văn Đường | END=Hàm Nghi 9.700 | FLAGS=
ID=NQ28-061-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=7000,4900,4200 | ROAD=Đường Ngô Quyền Đường | START=Đường Hàm Nghi Châu | END=Phan Bội 7.000 | FLAGS=
ID=NQ28-061-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=5000,3500,3000 | ROAD=Đường Đường Ngô Quyền Châu | START=Phan Bội Hết tờ | END=thửa đất số 47, 5.000 bản đồ số 45 | FLAGS=
ID=NQ28-061-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=4500,3100,2700 | ROAD=Thửa Đường Ngô Quyền bản | START=đất số 69, tờ Đường đồ số 45 Thạch | END=Phạm Ngọc 4.500 | FLAGS=
ID=NQ28-061-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=9700,6800,5800 | ROAD=Đường Đường Trừ Văn Thố Huệ | START=Nguyễn Đường | END=Ngô Quyền 9.700 | FLAGS=
ID=NQ28-061-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=7000,4900,4200 | ROAD=Đường Trừ Văn Thố Đường | START=Ngô Quyền Đường | END=Trần Phú 7.000 | FLAGS=
ID=NQ28-061-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=6700,4700,4000 | ROAD=Đường Đường Trần Phú Châu | START=Phan Bội Đường Xuân | END=Bùi Thị 6.700 | FLAGS=
ID=NQ28-061-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=3900,2700,2300 | ROAD=Đường Đường Trần Phú Xuân | START=Bùi Thị Đường | END=Ngô Quyền 3.900 | FLAGS=
ID=NQ28-061-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=5800,4000,3500 | ROAD=Đường Đường Hàm Nghi Điểm | START=Đoàn Thị Đường | END=Trần Phú 5.800 | FLAGS=
ID=NQ28-061-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=6600,4600,3900 | ROAD=Đường Hàm Nghi Đường | START=Trần Phú Đường | END=Lê Quý Đôn 6.600 | FLAGS=
ID=NQ28-061-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=7300,5100,4400 | ROAD=Đường Đường Đinh Tiên Hoàng Huân | START=Thủ Khoa Đường Thố | END=Trừ Văn 7.300 | FLAGS=
ID=NQ28-061-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=9700,6800,5800 | ROAD=Đường Đường Đinh Tiên Hoàng Thố | START=Trừ Văn Đường Đạo | END=Trần Hưng 9.700 | FLAGS=
ID=NQ28-061-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=8900,6200,5300 | ROAD=Đường Đường Đinh Tiên Hoàng Đạo | START=Trần Hưng Đường | END=Hàm Nghi 8.900 | FLAGS=
ID=NQ28-061-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=6500,4500,3900 | ROAD=Đường Đường Bùi Thị Xuân Huệ | START=Nguyễn Đường | END=Ngô Quyền 6.500 | FLAGS=
ID=NQ28-061-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=4900,3400,2900 | ROAD=Đường Bùi Thị Xuân Đường | START=Ngô Quyền Cuối | END=đường (giáp 4.900 | FLAGS=
ID=NQ28-061-S01-TT0045-01 | SEC=non-agricultural | TT=45 | REL=main | PRICES=6700,4700,4000 | ROAD=Đường Đường Thủ Khoa Huân Huệ | START=suối) Nguyễn Đường | END=Ngô Quyền 6.700 | FLAGS=
ID=NQ28-061-S01-TT0046-01 | SEC=non-agricultural | TT=46 | REL=main | PRICES=5300,3700,3200 | ROAD=Đường Thủ Khoa Huân Đường | START=Đường Ngô Quyền Điểm | END=Đoàn Thị 5.300 | FLAGS=
ID=NQ28-061-S01-TT0047-01 | SEC=non-agricultural | TT=47 | REL=main | PRICES=5700,4000,3400 | ROAD=Đường Đường Đoàn Thị Điểm Châu | START=Phan Bội Đường Vương | END=Hùng 5.700 | FLAGS=
ID=NQ28-061-S01-TT0048-01 | SEC=non-agricultural | TT=48 | REL=main | PRICES=4900,3400,2900 | ROAD=Đường Đường Đoàn Thị Điểm Vương | START=Hùng Đường Thái | END=Nguyễn 4.900 Học | FLAGS=
ID=NQ28-061-S01-TT0049-01 | SEC=non-agricultural | TT=49 | REL=main | PRICES=6200,4400,3700 | ROAD=Đường Đường Đoàn Thị Điểm Châu | START=Phan Bội Đường Văn | END=Nguyễn 6.200 Trỗi | FLAGS=
ID=NQ28-061-S01-TT0050-01 | SEC=non-agricultural | TT=50 | REL=main | PRICES=4500,3100,2700 | ROAD=Đường Sư Vạn Hạnh Đường (KDC Hồ Sa Cát) Vinh | START=Lương Thế Cuối | END=đường 4.500 | FLAGS=
ID=NQ28-061-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=4500,3100,2700 | ROAD=Đường Cao Bá Quát Đường (KDC Hồ Sa Cát) Vinh | START=Lương Thế Cuối | END=đường 4.500 | FLAGS=
ID=NQ28-061-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=4100,2800,2400 | ROAD=Đường Nguyễn Thái Đường Học Huệ | START=Nguyễn Đường Điểm | END=Đoàn Thị 4.100 | FLAGS=
ID=NQ28-061-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=5700,4000,3400 | ROAD=Đường Tú Xương Đường | START=Đường Trần Phú Điểm | END=Đoàn Thị 5.700 | FLAGS=
ID=NQ28-061-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=1600,1100,970 | ROAD=Đường ALT 1 Đường | START=Ngô Quyền Đường | END=ALT 3 1.600 | FLAGS=
ID=NQ28-061-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=1500,1000,870 | ROAD=Đường ALT 1 Đường | START=Đầu 281, ALT 3 số số | END=thửa đất số cuối thửa đất 1.500 279; tờ bản đồ 111 | FLAGS=
