TABLE=070 | AREA=Xã Lộc Thành | RECORDS=33 | GROUPS=31 | REVIEW=33
ID=NQ28-070-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=430,370 | ROAD=Đường liên xã Lộc Ngã xăng Thành - Lộc Thiện (cũ) Thành | START=ba cây Giáp ranh Lộc Thiện (cũ) | END=xã Lộc 610 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=340,290 | ROAD=Đường liên xã Lộc Ngã Thành - Lộc Thái (cũ) Bình | START=ba Lộc Giáp ranh Thái (cũ) | END=xã Lộc 490 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=430,370 | ROAD=Đường qua trung tâm Nhà | START=văn hóa Nhà văn hóa | END=ấp 610 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=280,240 | ROAD=ấp Tà xã Lộc Thành Nhà Đường liên ấp ấp KLiêu | START=Tê 1 Kliêu văn hóa Ngã ba nhà Lâm Kh Lao | END=ông 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=250,220 | ROAD=Ngã Đường liên ấp ông Lâm Lao | START=ba nhà Trại heo Huy Kh Anh (Lộc Ninh | END=360 5) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=280,240 | ROAD=Nhà Đường liên ấp ấp Tà | START=văn hóa Đập nước Tê 1 | END=Tà Tê 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=250,220 | ROAD=Ngã Đường liên ấp ông Mã Kỳ | START=ba nhà Thửa đất số Hữu 65 tờ bản đồ 37 | END=63, số 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=250,220 | ROAD=Xưởng Đường liên ấp Lộc Hà | START=Giáp Đường đũa ấp Tà Tê 1 Tê 2 | END=liên - Tà 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=250,220 | ROAD=Đường liên ấp Tà Tê Đập | START=Đường Quốc nước Tà 14C (đường | END=lộ 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0002-02 | SEC=non-agricultural | TT=2 | REL=main | PRICES= | ROAD=Tê 2 | START=Xuyên Á) | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-070-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=250,220 | ROAD=Đường liên ấp Cổng (đường cổng chào ấp Tân Bình Tân Bình 1) | START=Đội 4 nông chào ấp trường cao 1 Lộc Ninh | END=su 360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=400,340 | ROAD=Thửa Đường nhựa Tân tờ bản Bình 1 10 | START=số 05, Thửa số 24, đồ số bản đồ số | END=tờ 570 10 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=250,220 | ROAD=Các tuyến đường giao thông đường theo bản đồ địa chính | START=nông thôn có bề rộng lừ 3,5m trở lên | END=360 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-070-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=190,160 | ROAD=Các tuyến đường còn lại | START= | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
