TABLE=081 | AREA=Xã Bù Đăng | RECORDS=121 | GROUPS=121 | REVIEW=121
ID=NQ28-081-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=1700,1500 | ROAD=tờ bản Ranh Đường Quốc lộ 14 Phong Hưng | START=đồ số 10 giới Đức Ngã - Minh Thác (cũ) | END=ba đường vào 2.400 Đứng thôn 01 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=3200,2700 | ROAD=Ngã Đường Quốc lộ 14 Thác 01 | START=Ranh ba đường vào Cao Đứng thôn đất số số 179 | END=xưởng điều Nguyên thửa 4.500 37, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=5000,4300 | ROAD=Ranh Cao Đường Quốc lộ 14 đất đồ số | START=xưởng điều Nguyên thửa Ngã số 37, tờ bản 179 | END=ba Minh Hưng 7.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=3800,3200 | ROAD=Đường Quốc lộ 14 Ngã | START=Ranh ba Minh | END=đất nhà ông 5.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=2800,2400 | ROAD=Hưng Ranh Chuẩn Đường Quốc lộ 14 20, 177 | START=Chuẩn 20, tờ 177 Đất nhà ông Đường thửa đất số Ngã tờ bản đồ số thôn | END=thửa đất số bản đồ số Quốc lộ 14 ba đường vào 4.100 7 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=1900,1600 | ROAD=Đường Đường Quốc lộ 14 Ngã thôn | START=Quốc lộ 14 Ngã ba đường vào trường 7 | END=ba Nông 2.700 Minh Hưng | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=1300,1100 | ROAD=Ngã Đường Quốc lộ 14 trường | START=Hết ranh số 98 ba Nông Minh Hưng 166 (cách dài 370m) | END=thửa đất tờ bản đồ số 1.800 cầu 38 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=1000,860 | ROAD=Hết số 98 Đường Quốc lộ 14 166 dài | START=ranh thửa đất tờ bản đồ số Cầu (cách cầu 38 370m) | END=38 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=1600,1400 | ROAD=Ngã Đường Quốc lộ 14 cũ trường | START=Hết ranh ba Nông trường Minh Hưng Hưng | END=đất nông bộ Minh 2.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-081-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=4400,3800 | ROAD=Đường 14/12 Toàn | START=tuyến Phía | END=6.300 Tây: đường | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
