TABLE=084 | AREA=Xã Bom Bo | RECORDS=47 | GROUPS=47 | REVIEW=47
ID=NQ28-084-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=220,190 | ROAD=Đường từ nhà bà Sâm Mai và Trần Thửa đất số 122, 101 Văn đồ số 80 Tửu đến nhà bà | START=tờ bản Thửa đất số bản đồ số | END=88, 7 tờ 320 66 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES= | ROAD=Lê Thị Đồi Đường | START=Thửa đất số | END=185, tờ bản | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-084-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=280,240 | ROAD=Đường ĐT 760 (đường liên xã) | START=đồ số 55 | END=410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES= | ROAD=Đường | START=Thửa đất số | END=10 & 22, tờ | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0
ID=NQ28-084-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=280,240 | ROAD=Đường ĐT 760 (đường liên xã) | START=bản đồ số | END=410 55 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=220,190 | ROAD=Đường Đường ĐT 760 Ba Trà | START=Đất ông Dương Hùng (lối vào | END=Văn 320 đường | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0023-02 | SEC=non-agricultural | TT=23 | REL=main | PRICES=280,240 | ROAD=đi thôn 678 Tuyến nghĩa tình đến khu đất Đường ĐT 760 nhỏ Nguyễn Thanh | START=vành đai xã) 65, tờ bản Thửa đất số tờ bản đồ | END=thửa đất số đồ số 64 47 và 54, 410 số 52 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-084-S01-TT0024-02 | SEC=non-agricultural | TT=24 | REL=main | PRICES=220,190 | ROAD=Tâm Ranh đất ông Nguyễn Tuyến Chấp (thửa đất số 37, đường bản đồ số 80) - Đất vành Văn Lâm (thửa đất đai xã bản đồ số 66) | START=Văn Hết ranh đất tờ Dương Văn ông Lữ đất số 65, số 6, tờ 64); Thửa bản đồ số | END=ông Hùng (thửa tờ bản đồ số 320 đất số 92, tờ 64 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-084-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=820,700 | ROAD=Đường liên xã Bom Ngã tư Bom Bo Bo - Đak Nhau | START=Ngã ba đường Bóng | END=Sân 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=690,590 | ROAD=Đường liên xã Bom Ngã ba đường Sân Bo - Đak Nhau | START=Hết ranh Trường Bóng Thế Vinh | END=Lương 990 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=470,400 | ROAD=Đường liên xã Bom Giáp ranh Trường Lương Bo - Thế Vinh Đak | START=Giáp ranh | END=xã Đắk Nhau 670 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=580,500 | ROAD=Nhau Đường đi Đắk Ngã tư Bom Bo Liên | START=Ngã tư nhà Đình Hùng | END=ông Đỗ 830 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=470,400 | ROAD=Đường Ngã tư nhà ông Đỗ đi Đắk Hùng Liên | START=Đình Ngã ba nhà | END=ông Ngộ 670 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=470,400 | ROAD=Đường đi Đắk Ngã ba nhà ông Ngộ Liên | START=Ngã ba nhà Anh | END=ông Tuấn 670 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=270,230 | ROAD=Đường đi Đắk Ngã ba nhà ông Ngộ Liên | START=Ngã ba vào 1, 2 Trần Văn | END=Trường cấp 390 Ơn | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=270,230 | ROAD=Đường Ngã ba vào trường đi Đắk Trần Văn Ơn Liên | START=cấp 1, 2 Hết ranh đất | END=lâm phần 390 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=690,590 | ROAD=Đường Hết ranh nhà ông Ba | START=Thành Ngã ba Cây | END=xăng Tân 980 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=600,520 | ROAD=Nội Ô Đường Hết ranh nhà ông Cao Nội Ô Yên Đường | START=Mỹ Hoa Đường Nhau Văn Ngã ba đường Trúc Lam | END=đi Đắk nhà ông 860 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=670,570 | ROAD=hai bên Hành lang nhà làng chợ chính Bom Bo | START=chợ Hành lang chính vào | END=nhà lồng chợ 960 sâu 15m | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=540,460 | ROAD=Đường ô trường Ngã ba nhà ông Tiền Tiểu học | START=Ngã ba nhà Quý | END=ông Long 770 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=270,230 | ROAD=Đường Thôn 7 Ngã ba vào Trường - Thôn Trần Văn Ơn | START=Cấp 1,2 Ngã ba nhà Tướng | END=ông Tô Văn 390 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0009-02 | SEC=non-agricultural | TT=9 | REL=main | PRICES= | ROAD=Đường | START= | END= | FLAGS=PRICE_MISSING,NON_AGRICULTURAL_PRICE_COLUMN_COUNT_0,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-084-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=380,320 | ROAD=bên hông hết ranh nhà ông Đỗ Trung Hà tâm thương mại | START=Đình Suối Đắk Liên | END=540 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=430,370 | ROAD=Đường vào Khu Ngã ba nhà ông Toàn dân cư Thái Thành | START=Khu dân cư | END=Thái Thành 610 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=280,240 | ROAD=Đường vành đai Bom Ngã ba ông Xây Bo giáp với đường 10 cũ Khu | START=Ngã ba nhà | END=ông Thái 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0041-01 | SEC=non-agricultural | TT=41 | REL=main | PRICES=760,650 | ROAD=dân cư Thái Thành - Bom Các tuyến đường trong Bo dân cư (không bao (Công Đường ĐT 760) ty Cổ phần đầu tư kinh doanh | START=Khu gồm | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0042-01 | SEC=non-agricultural | TT=42 | REL=main | PRICES=280,240 | ROAD=Bất động sản Thái Thành) Đường bên hông Đường ĐT 760 Thái Thành | START=UBND xã | END=Bom Bo 410 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0043-01 | SEC=non-agricultural | TT=43 | REL=main | PRICES=220,190 | ROAD=Các tuyến đường bê Toàn tuyến tông, nhựa còn lại | START= | END=320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-084-S01-TT0044-01 | SEC=non-agricultural | TT=44 | REL=main | PRICES=190,160 | ROAD=Các tuyến đường Toàn tuyến đất còn lại | START= | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
