TABLE=072 | AREA=Xã Lộc Tấn | RECORDS=36 | GROUPS=34 | REVIEW=36
ID=NQ28-072-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=280,240 | ROAD=ranh (cũ) Thửa Đường nhựa tờ bản | START=xã Lộc Thái ấp 11A Thửa đất đất số 114, 49, tờ đồ số 103 đồ số 102 | END=số bản 410 280 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=280,240 | ROAD=Thửa Đường nhựa tờ bản | START=Thửa đất đất số 665, 428, tờ đồ số 84 đồ số 84 | END=số bản 410 280 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=280,240 | ROAD=Thửa Đường nhựa tờ bản | START=Thửa đất đất số 49, 7, tờ bản đồ số 98 số 98 - Thửa | END=số đồ 410 280 đất | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=2900,2500 | ROAD=Giáp Đường Quốc lộ 13 Lộc | START=số 10, bản đồ ranh thị trấn 22 Ninh (cũ) - Thửa số 49, bản đồ | END=tờ số 4.200 2.900 đất tờ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=1600,1400 | ROAD=- Thửa tờ bản Đường Quốc lộ 13 - Thửa tờ bản | START=51 đất số 10, đồ số 22 Ngã ba đất số 49, ngành đồ số 51 | END=liên 2.300 1.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=1100,920 | ROAD=Ngã Đường Quốc lộ 13 ngành | START=Giáp ranh ba liên xã Lộc (cũ) | END=Hòa 1.500 1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=800,690 | ROAD=Giáp Đường Quốc lộ 13 Hòa | START=Giáp ranh ranh xã Lộc xã Lộc (cũ) Thạnh | END=1.100 800 (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=640,550 | ROAD=Đường ĐT 759B (đường Quốc lộ 13 - Ngã đường Hoàng Diệu ngành cũ) | START=Giáp ranh ba liên Lộc Hiệp (cũ) | END=920 640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=1200,1000 | ROAD=Đường liên xã Lộc Nhà Tấn - Thị trấn Lộc Hà Ninh (cũ) | START=Ngã ba hàng Sơn bom làng 10 | END=hố 1.700 1.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=750,640 | ROAD=Đường liên xã Lộc Ngã cũ Tấn - Lộc Thạnh | START=ba nhà hát Cổng làng Lộc Thạnh | END=9 1.100 750 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=340,290 | ROAD=Đường 13 Cầu | START=Đường suối 2 tra biên - Thửa | END=tuần 490 340 giới đất | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=1200,1000 | ROAD=Các tuyến đường đấu nối trực tiếp ra đường Giáp Quốc lộ 13 trong Lộc phạm vi 200m (tính từ HLLG) | START=số 10, bản đồ ranh thị trấn 22 Ninh (cũ) - Thửa số 49, bản đồ | END=tờ số 1.700 1.200 đất tờ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=640,550 | ROAD=Các tuyến đường đấu - Thửa nối trực tiếp ra đường tờ bản Quốc lộ 13 trong Thửa phạm vi 200m (tính từ tờ bản HLLG) | START=51 đất số 10, đồ số 22 - Ngã ba đất số 49, ngành đồ số 51 | END=liên 920 640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=direct | PRICES=450,390 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=direct | PRICES=340,290 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=250,220 | ROAD=Các tuyến đường giao thông đường theo bản đồ địa chính | START=nông thôn có bề rộng từ 3,5m trở lên | END=360 250 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-072-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=190,160 | ROAD=Các tuyến đường còn lại | START= | END=270 190 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
