TABLE=082 | AREA=Xã Thọ Sơn | RECORDS=49 | GROUPS=49 | REVIEW=49
ID=NQ28-082-S01-TT0013-01 | SEC=non-agricultural | TT=13 | REL=main | PRICES=340,290 | ROAD=Ngã ba đường Đường liên thôn cổng Nông | START=Giáp ranh Nông vào trường cao trường (thửa đất số bản đồ số 90) | END=su 490 340, từ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0014-10 | SEC=non-agricultural | TT=14 | REL=main | PRICES=630,540 | ROAD=Các tuyến đường còn lại Khu dân cư Toàn tuyến Trung tâm hành chính xã Phú Sơn cũ | START= | END=900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2,DUPLICATE_TT_IN_SEGMENT
ID=NQ28-082-S01-TT0015-01 | SEC=non-agricultural | TT=15 | REL=main | PRICES=420,360 | ROAD=Ngã ba Vườn Đường Đoàn chuối (Thửa Kết - Đồng Nai 7, tờ bản đồ | START=Ngã ba đường vào thôn 6 đất số cũ) (Thửa đất số 72) 29, tờ bản 72) | END=rẽ (thôn 5 số 600 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0016-01 | SEC=non-agricultural | TT=16 | REL=main | PRICES=550,480 | ROAD=Ngã ba đường vào thôn 6 Đường Đoàn cũ) (Thửa Kết - Đồng Nai 29, tờ bản 72) | START=rẽ Hết ranh đất (thôn 5 ông Tụy (Thửa đất số số 10, tờ bản đồ số 106) | END=nhà đất 790 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0017-01 | SEC=non-agricultural | TT=17 | REL=main | PRICES=490,420 | ROAD=Đường Đoàn Hết ranh đất Kết - Đồng Nai ông Tụy (Thửa | START=nhà Hết ranh đất đất ông Hùng (Thửa | END=nhà 690 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0018-01 | SEC=non-agricultural | TT=18 | REL=main | PRICES=760,650 | ROAD=số 10, tờ bản 106) Hết ranh đất Đường Đoàn ông Hùng Kết - Đồng Nai đất số 298, đồ số 111) | START=đồ số đất số 298, đồ số 111) nhà Ngã ba cổng (Thửa Công ty An tờ bản (Thửa đất số bản đồ số 112) | END=tờ bản chào Phước 1.100 86, tờ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0019-01 | SEC=non-agricultural | TT=19 | REL=main | PRICES=370,310 | ROAD=Ngã ba cổng Đường Đoàn Công ty An Kết - Đồng Nai (Thửa đất bản đồ số | START=chào Hết ranh đất Phước Điều Quang số 86, tờ đất số 32, tờ 112) đồ số 113) | END=ông (Thửa 520 bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0020-01 | SEC=non-agricultural | TT=20 | REL=main | PRICES=300,260 | ROAD=Hết ranh đất Đường Đoàn Điều Quang Kết - Đồng Nai đất số 32, đồ số 113) | START=ông (Thửa Hết tuyến tờ bản | END=430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0021-01 | SEC=non-agricultural | TT=21 | REL=main | PRICES=760,650 | ROAD=Hết ranh đất Đường Đoàn ông Hùng Kết - Đồng Nai đất số 298, đồ số 111) | START=nhà Hết ranh đất (Thửa ông Ngọt (Thửa tờ bản số 71, tờ bản 115) | END=nhà đất 1.100 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0022-01 | SEC=non-agricultural | TT=22 | REL=main | PRICES=410,350 | ROAD=Hết ranh đất Đường Đoàn ông Ngọt (Thửa Kết - Đồng Nai đất số 71, đồ số 115) | START=nhà Ngã ba Bù (Thửa đất số tờ bản bản đồ số 121) | END=Chóp 59, tờ 590 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0023-01 | SEC=non-agricultural | TT=23 | REL=main | PRICES=320,270 | ROAD=Ngã ba Bù Đường Đoàn (Thửa đất Kết - Đồng Nai bản đồ số | START=Chóp số 59, tờ Cuối tuyến 121) | END=450 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0024-01 | SEC=non-agricultural | TT=24 | REL=main | PRICES=300,260 | ROAD=Đường Đoàn Giáp ranh Kết - Đồng Nai Kết - Thọ Sơn | START=Ngã ba ông xã Đoàn Công Thành cũ đất số 28&266, bản đồ số 38) | END=Đinh (Thửa 430 tờ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0025-01 | SEC=non-agricultural | TT=25 | REL=main | PRICES=380,320 | ROAD=Ngã ba ông Đường Đoàn Công Thành Kết - Đồng Nai đất số 28&266, bản đồ số | START=Đinh (Thửa Giáp ranh xã tờ Nai - Thọ Sơn 38) | END=Đồng 540 cũ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0026-01 | SEC=non-agricultural | TT=26 | REL=main | PRICES=380,320 | ROAD=Nhà ông Trần Đường liên thôn Trọng Thống Sơn Lập - Sơn đất số 164&238, Thọ bản đồ số | START=Nhà ông Đoàn thửa Công Thức tờ đất số 24&3, 48 đồ số 43 | END=thửa 540 tờ bản | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0027-01 | SEC=non-agricultural | TT=27 | REL=main | PRICES=340,290 | ROAD=Nhà ông Đoàn Đường liên thôn Công Thức Sơn Lập - Sơn đất số 24 &3, Thọ bản đồ số | START=Ngã ba chùa Tổng thửa thửa tờ 276 &23, tờ 43 số 35 | END=ông đất số 490 bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0028-01 | SEC=non-agricultural | TT=28 | REL=main | PRICES=320,270 | ROAD=Ngã ba chùa Đường liên thôn Tổng thửa Sơn Lập - Sơn 276 &23, tờ Thọ số 35 | START=Cuối nhà ông ông Nguyễn Văn đất số thửa đất số bản đồ 335, tờ bản 32 | END=Nhân 294 & 450 đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0029-01 | SEC=non-agricultural | TT=29 | REL=main | PRICES=250,220 | ROAD=Đường liên thôn Cuối nhà ông Sơn Lập - Sơn Nguyễn Văn thửa đất số Thọ | START=Cầu Sông R Nhân nhà ông Đặng 294 & Lộc giáp cầu | END=Lấp Minh 360 Sông | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=730,620 | ROAD=335, tờ bản 32 Đường liên thôn Ngã ba Sơn Sơn Lợi - Sơn (giáp đường Hòa lộ 14) | START=đồ số R Lấp tờ bản 33 Lợi Ngã ba vào Quốc THCS (Cấp | END=đồ số trường 1.000 1, 2) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=420,360 | ROAD=Dường liên thôn Ngã ba vào Sơn Lợi - Sơn THCS (Cấp Hòa | START=trường Suối Sơn Hòa 1,2) | END=600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=560,480 | ROAD=Đường vào trường Tiểu học Toàn tuyến Thọ Sơn Các tuyến | START= | END=800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=220,190 | ROAD=đường bê tông xi măng theo Quyết định số Đường thôn 2541/QĐ-UBND ngày 29/12/2023 của | START=Rẫy ông Đạo, Sơn Thọ | END=thôn 320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=220,190 | ROAD=huyện Bù Đăng Đường bê tông Đoạn vào xi măng hóa thôn Sơn | START=nhà văn Thọ | END=320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=220,190 | ROAD=Đường bê tông Nhà ông Quỳnh xi măng | START=Rẫy ông Phong, thôn Sơn Lập | END=320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=220,190 | ROAD=Đường bê tông Nhà ông Năm xi măng | START=Rẫy ông Mạnh, thôn Sơn Lập | END=320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=220,190 | ROAD=Đoạn nhà Đường nối tiếp Toán, thôn bê tông xi măng Lập | START=ông Sơn | END=320 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=300,260 | ROAD=Các tuyến Đường nhựa, Toàn tuyến bê tông còn lại | START= | END=430 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=190,160 | ROAD=Các tuyến đường đất còn Toàn tuyến lại | START= | END=270 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-082-S01-TT0040-01 | SEC=non-agricultural | TT=40 | REL=main | PRICES=910,780 | ROAD=Các tuyến đường trong khu quy hoạch Toàn tuyến 5ha của xã Thọ Sơn | START= | END=1.300 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
