TABLE=072 | AREA=Xã Lộc Tấn | RECORDS=36 | GROUPS=34 | REVIEW=0
ID=NQ28-072-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=134,108,44 | ROAD=- Thửa 10, số 22 Đường Quốc lộ 13 - Thửa 49, | START=đất số tờ bản đồ Ngã ba liên đất số tờ bản đồ | END=ngành 168 | FLAGS=
ID=NQ28-072-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=134,108,44 | ROAD=số 51 Ngã Đường Quốc lộ 13 ngành | START=ba liên Giáp ranh Hòa (cũ) | END=xã Lộc 168 | FLAGS=
ID=NQ28-072-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=134,108,44 | ROAD=Giáp Đường Quốc lộ 13 Lộc | START=ranh xã Giáp ranh Hòa (cũ) Thạnh (cũ) | END=xã Lộc 168 | FLAGS=
ID=NQ28-072-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=134,108,44 | ROAD=Đường ĐT 759B Ngã (đường Quốc lộ 13 - ngành đường Hoàng Diệu cũ) | START=ba liên Giáp ranh Hiệp (cũ) | END=Lộc 168 | FLAGS=
ID=NQ28-072-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Tấn Nhà - Thị trấn Lộc Ninh (cũ) Sơn | START=hàng Ngã ba hố Hà làng 10 | END=bom 112 | FLAGS=
ID=NQ28-072-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=90,72,44 | ROAD=Đường liên xã Lộc Tấn Ngã hát - Lộc Thạnh | START=ba nhà Cổng làng cũ Thạnh | END=9 Lộc 112 | FLAGS=
ID=NQ28-072-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=90,72,44 | ROAD=Đường 13 Cầu | START=Đường tuần suối 2 biên giới | END=tra 112 | FLAGS=
ID=NQ28-072-S01-TT0031-01 | SEC=agricultural | TT=31 | REL=main | PRICES=90,72,44 | ROAD=Các tuyến đường đấu Giáp nối trực tiếp ra đường trấn Quốc lộ 13 trong phạm (cũ) vi 200m (tính từ HLLG) | START=- Thửa đất ranh thị tờ bản đồ Lộc Ninh - Thửa đất tờ bản đồ | END=số 10, số 22 112 số 49, số 51 | FLAGS=
ID=NQ28-072-S01-TT0032-01 | SEC=agricultural | TT=32 | REL=main | PRICES=90,72,44 | ROAD=- Thửa Các tuyến đường đấu 10, nối trực tiếp ra đường số 22 Quốc lộ 13 trong phạm - Thửa vi 200m (tính từ HLLG) 49, số 51 | START=đất số tờ bản đồ Ngã ba liên đất số tờ bản đồ | END=ngành 112 | FLAGS=
ID=NQ28-072-S01-TT0033-01 | SEC=agricultural | TT=33 | REL=direct | PRICES=90,72,44 | FLAGS=
ID=NQ28-072-S01-TT0034-01 | SEC=agricultural | TT=34 | REL=direct | PRICES=90,72,44 | FLAGS=
ID=NQ28-072-S01-TT0035-01 | SEC=agricultural | TT=35 | REL=main | PRICES=56,45,44 | ROAD=Các tuyến đường giao thông đường theo bản đồ địa chính | START=nông thôn có bề rộng từ 3,5m trở lên | END=70 | FLAGS=
ID=NQ28-072-S01-TT0036-01 | SEC=agricultural | TT=36 | REL=main | PRICES=56,45,44 | ROAD=Các tuyến đường còn lại | START= | END=70 | FLAGS=
