TABLE=077 | AREA=Xã Tân Quan | RECORDS=43 | GROUPS=42 | REVIEW=0
ID=NQ28-077-S01-TT0021-01 | SEC=agricultural | TT=21 | REL=main | PRICES=132,106,84 | ROAD=Văn Hiên 1 đi ấp Sóc Lớn Đường nhựa liên xã Tân Quan - Tân Hưng | START=tờ bản đồ số 10 Ngã ba thác số 4 (Giáp đường ĐT 758) | END=tờ bản đồ số 17 Giáp ranh xã Tân Hưng (Hết thửa đất số 7, tờ bản đồ số 126) | FLAGS=
ID=NQ28-077-S01-TT0022-01 | SEC=agricultural | TT=22 | REL=main | PRICES=132,106,84 | ROAD=Đường nhựa liên xã Tân Quan - Tân Hưng | START=Ngã ba giáp đường ĐT 758 (Từ thửa đất số 19, tờ bản đồ số 161) | END=Giáp ranh xã Tân Hưng (Hết thửa đất số 56, tờ bản đồ số 124) | FLAGS=
ID=NQ28-077-S01-TT0023-01 | SEC=agricultural | TT=23 | REL=main | PRICES=132,106,84 | ROAD=Đường nhựa từ Ngã ba Sóc Trào đi ấp sóc Trào B | START=Từ thửa đất số 46, tờ bản đồ số 61 | END=Hết thửa đất số 411, tờ bản đồ số 146 | FLAGS=
ID=NQ28-077-S01-TT0024-01 | SEC=agricultural | TT=24 | REL=main | PRICES=96,77,61 | ROAD=Đường liên xã | START=Ngã ba Sóc Ruộng 1 (Từ thửa đất số 73, tờ bản đồ số 100) | END=Ngã ba Xa Lách (Hết thửa đất số 30, tờ bản đồ số 106) | FLAGS=
ID=NQ28-077-S01-TT0025-01 | SEC=agricultural | TT=25 | REL=main | PRICES=96,77,61 | ROAD=Đường nhựa liên xã Tân Quan - Nha Bích | START=Từ thửa đất số 30, tờ bản đồ số 106 | END=Hết thửa đất số 20, tờ bản đồ số 108 | FLAGS=
ID=NQ28-077-S01-TT0026-01 | SEC=agricultural | TT=26 | REL=main | PRICES=96,77,61 | ROAD=Đường nhựa liên xã Tân Quan - Minh Hưng | START=Từ thửa đất số 33, tờ bản đồ số 105 | END=Hết thửa đất số 134, tờ bản đồ số 65 | FLAGS=
ID=NQ28-077-S01-TT0027-01 | SEC=agricultural | TT=27 | REL=main | PRICES=96,77,61 | ROAD=Đường nhựa từ ấp Long Bình đi ấp Văn Hiên 2 | START=Đường ĐT 756C (Thửa đất số 225, tờ bản đồ số 95) | END=Hết thửa đất số 139, tờ bản đồ số 87 | FLAGS=
ID=NQ28-077-S01-TT0028-01 | SEC=agricultural | TT=28 | REL=main | PRICES=96,77,61 | ROAD=Đường nhựa từ ấp Xạc Lây đi ấp Sóc Tranh | START=Đường ĐT 756C (đường đối diện trường mầm non Tân Quan) | END=Hết thửa đất số 256, tờ bản đồ số 89 | FLAGS=
ID=NQ28-077-S01-TT0029-01 | SEC=agricultural | TT=29 | REL=main | PRICES=156,125,100 | ROAD=Đường ĐH 11 | START=Ngã ba Quang Minh (Từ thửa đất số 4, tờ bản đồ số 157) | END=Hết thửa đất số 35, tờ bản đồ số 157 | FLAGS=
ID=NQ28-077-S01-TT0030-01 | SEC=agricultural | TT=30 | REL=main | PRICES=156,125,100 | ROAD=Đường ĐH 11 | START=Từ hết thửa đất số 35, tờ bản đồ số 157 | END=Giáp ranh cao su Nông trường cao su Xa Trạch | FLAGS=
