TABLE=092 | AREA=Xã Phú Riềng | SECTION=agricultural | SEGMENTS=1
P=2132 | X=0321.960-0333.720 | Y=0491.380-0500.700 | Vỵ
P=2132 | X=0243.460-0312.920 | Y=0497.140-0506.460 | ngã ba nhà ông
P=2132 | X=0243.460-0255.220 | Y=0508.660-0517.980 | Vỵ
P=2132 | X=0102.770-0379.400 | Y=0524.780-0536.020 | Đường Phú Riềng - Phú Trung Đường 312 cũ Giáp ranh xã
P=2132 | X=0090.500-0101.620 | Y=0532.420-0541.740 | 79
P=2132 | X=0422.570-0439.210 | Y=0532.420-0541.740 | 140
P=2132 | X=0464.090-0480.730 | Y=0532.420-0541.740 | 112
P=2132 | X=0511.150-0522.270 | Y=0532.420-0541.740 | 90
P=2132 | X=0102.770-0185.770 | Y=0536.330-0547.570 | (ĐT 795 đi ĐT741)
P=2132 | X=0243.460-0368.830 | Y=0538.210-0547.530 | (thôn Phú Bình) Phú Trung
P=2132 | X=0321.960-0396.220 | Y=0554.330-0565.570 | Ngã tư (hết thửa
P=2132 | X=0243.460-0317.380 | Y=0560.090-0571.330 | Đường ĐT 753B
P=2132 | X=0090.500-0200.290 | Y=0565.850-0577.090 | 80 Đường thôn Phú Vinh
P=2132 | X=0321.960-0389.260 | Y=0565.850-0577.090 | đất số 1 tờ bản
P=2132 | X=0422.570-0439.210 | Y=0567.730-0577.050 | 140
P=2132 | X=0464.090-0480.730 | Y=0567.730-0577.050 | 112
P=2132 | X=0511.150-0522.270 | Y=0567.730-0577.050 | 90
P=2132 | X=0243.460-0297.460 | Y=0571.610-0582.850 | (ĐH 312 cũ)
P=2132 | X=0321.960-0363.480 | Y=0577.370-0588.610 | đồ số 43)
P=2132 | X=0102.770-0234.620 | Y=0595.370-0606.610 | Đường Bù Nho đi Phước Tân
P=2132 | X=0102.770-0228.630 | Y=0608.770-0618.090 | qua TTHC huyện Phú Riềng
P=2132 | X=0102.770-0236.260 | Y=0618.430-0629.670 | (cũ) hưởng về cầu Long Tân -
P=2132 | X=0321.960-0394.280 | Y=0618.430-0629.670 | Đường Tân Phú
P=2132 | X=0243.460-0290.820 | Y=0624.190-0635.430 | Đường N9
P=2132 | X=0090.500-0101.620 | Y=0626.070-0635.390 | 81
P=2132 | X=0422.570-0439.210 | Y=0626.070-0635.390 | 140
P=2132 | X=0464.090-0480.730 | Y=0626.070-0635.390 | 112
P=2132 | X=0511.150-0522.270 | Y=0626.070-0635.390 | 90
P=2132 | X=0102.770-0220.150 | Y=0629.950-0641.190 | Tân Hưng, Hớn Quản (cũ)
P=2132 | X=0321.960-0327.560 | Y=0631.830-0641.150 | 1
P=2132 | X=0102.770-0228.630 | Y=0641.470-0652.710 | (Đường Tân Bình - Tân Hòa
P=2132 | X=0102.770-0123.400 | Y=0652.750-0663.990 | (cũ))
P=2132 | X=0102.770-0234.620 | Y=0670.750-0681.990 | Đường Bù Nho đi Phước Tân
P=2132 | X=0102.770-0315.810 | Y=0682.270-0693.510 | qua TTHC huyện Phú Riềng Đường Tân Phú
P=2132 | X=0321.960-0374.850 | Y=0688.030-0699.270 | Đường N3a
P=2132 | X=0090.500-0101.620 | Y=0689.910-0699.230 | 82
P=2132 | X=0422.570-0439.210 | Y=0689.910-0699.230 | 140
P=2132 | X=0464.090-0480.730 | Y=0689.910-0699.230 | 112
P=2132 | X=0511.150-0522.270 | Y=0689.910-0699.230 | 90
P=2132 | X=0102.770-0249.060 | Y=0693.790-0705.030 | (cũ) hướng về cầu Long Tân - 1
P=2132 | X=0102.770-0220.150 | Y=0705.330-0716.570 | Tân Hưng, Hớn Quản (cũ)
P=2133 | X=0102.770-0228.640 | Y=0072.740-0083.980 | (Đường Tân Bình - Tân Hòa
P=2133 | X=0102.770-0123.400 | Y=0084.260-0095.500 | (cũ))
P=2133 | X=0090.500-0215.890 | Y=0102.260-0113.500 | 83 Đường giao thông liên xã
P=2133 | X=0243.460-0293.700 | Y=0104.140-0113.460 | Toàn tuyến
P=2133 | X=0422.570-0439.210 | Y=0104.140-0113.460 | 140
P=2133 | X=0464.090-0480.730 | Y=0104.140-0113.460 | 112
P=2133 | X=0511.150-0522.270 | Y=0104.140-0113.460 | 90
P=2133 | X=0102.770-0230.080 | Y=0120.290-0131.530 | Các tuyến đường giao thông
P=2133 | X=0090.500-0101.620 | Y=0127.930-0137.250 | 84
P=2133 | X=0243.460-0293.700 | Y=0127.930-0137.250 | Toàn tuyến
P=2133 | X=0428.330-0439.450 | Y=0127.930-0137.250 | 81
P=2133 | X=0469.850-0480.970 | Y=0127.930-0137.250 | 65
P=2133 | X=0511.150-0522.270 | Y=0127.930-0137.250 | 52
P=2133 | X=0102.770-0201.040 | Y=0131.810-0143.050 | còn lại trên địa bàn xã
