TABLE=054 | AREA=Xã Tân An | SECTION=agricultural | SEGMENTS=1
P=1809 | X=0455.690-0472.330 | Y=0560.530-0569.850 | 400
P=1809 | X=0505.390-0522.030 | Y=0560.530-0569.850 | 260
P=1809 | X=0119.090-0405.980 | Y=0573.050-0584.290 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1809 | X=0119.090-0180.210 | Y=0584.570-0595.810 | đến ≤1.000m.
P=1809 | X=0119.090-0342.260 | Y=0602.090-0613.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1809 | X=0119.090-0404.350 | Y=0619.870-0631.110 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1809 | X=0119.090-0418.790 | Y=0631.390-0642.630 | Đường tỉnh 768 đoạn từ Giáp ranh phường Trảng Dài đến Cầu Thủ
P=1809 | X=0119.090-0348.740 | Y=0642.910-0654.150 | Biên có hiện trạng là đường nhựa, bê tông xi măng:
P=1809 | X=0101.570-0107.170 | Y=0650.790-0660.110 | 7
P=1809 | X=0455.690-0472.330 | Y=0650.790-0660.110 | 290
P=1809 | X=0505.390-0522.030 | Y=0650.790-0660.110 | 180
P=1809 | X=0119.090-0404.900 | Y=0660.430-0671.670 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1809 | X=0119.090-0342.730 | Y=0677.950-0689.190 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1809 | X=0309.960-0411.580 | Y=0695.710-0706.950 | Đường vào bến đò Đại
P=1809 | X=0119.090-0259.380 | Y=0701.490-0712.730 | Đường tỉnh 768 Cầu Thủ Biên
P=1809 | X=0101.570-0107.170 | Y=0703.380-0712.700 | 8
P=1809 | X=0455.690-0472.330 | Y=0703.380-0712.700 | 730
P=1809 | X=0505.390-0522.030 | Y=0703.380-0712.700 | 530
P=1809 | X=0309.960-0322.280 | Y=0709.140-0718.460 | An
P=1810 | X=0119.090-0405.830 | Y=0078.500-0089.740 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1810 | X=0119.090-0417.350 | Y=0090.020-0101.260 | đoạn từ Cầu Thủ Biên đến Đường vào bến đò Đại An có hiện trạng
P=1810 | X=0119.090-0265.420 | Y=0101.540-0112.780 | là đường nhựa, bê tông xi măng:
P=1810 | X=0101.570-0107.170 | Y=0109.420-0118.740 | 9
P=1810 | X=0455.690-0472.330 | Y=0109.420-0118.740 | 500
P=1810 | X=0505.390-0522.030 | Y=0109.420-0118.740 | 330
P=1810 | X=0119.090-0350.170 | Y=0119.090-0130.330 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1810 | X=0119.090-0396.280 | Y=0136.610-0147.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1810 | X=0119.090-0405.830 | Y=0154.370-0165.610 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1810 | X=0119.090-0417.350 | Y=0165.650-0176.890 | đoạn từ Cầu Thủ Biên đến Đường vào bến đò Đại An có hiện trạng
P=1810 | X=0119.090-0265.420 | Y=0177.170-0188.410 | là đường nhựa, bê tông xi măng:
P=1810 | X=0098.930-0350.640 | Y=0194.690-0209.030 | 10 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1810 | X=0455.690-0472.330 | Y=0199.710-0209.030 | 400
P=1810 | X=0505.390-0522.030 | Y=0199.710-0209.030 | 260
P=1810 | X=0119.090-0405.980 | Y=0212.230-0223.470 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1810 | X=0119.090-0180.210 | Y=0223.750-0234.990 | đến ≤1.000m.
P=1810 | X=0119.090-0342.260 | Y=0241.270-0252.510 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1810 | X=0119.090-0405.830 | Y=0259.030-0270.270 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1810 | X=0119.090-0417.350 | Y=0270.550-0281.790 | đoạn từ Cầu Thủ Biên đến Đường vào bến đò Đại An có hiện trạng
P=1810 | X=0119.090-0265.420 | Y=0282.100-0293.340 | là đường nhựa, bê tông xi măng:
P=1810 | X=0098.930-0110.050 | Y=0289.980-0299.300 | 11
P=1810 | X=0455.690-0472.330 | Y=0289.980-0299.300 | 290
P=1810 | X=0505.390-0522.030 | Y=0289.980-0299.300 | 180
P=1810 | X=0119.090-0404.910 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1810 | X=0119.090-0342.730 | Y=0317.140-0328.380 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1810 | X=0119.090-0404.350 | Y=0334.900-0346.140 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1810 | X=0119.090-0414.220 | Y=0346.420-0357.660 | Đường tỉnh 768 đoạn từ Cầu Thủ Biên đến Đường vào bến đò Đại
P=1810 | X=0119.090-0341.050 | Y=0357.700-0368.940 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=1810 | X=0098.930-0110.050 | Y=0365.580-0374.900 | 12
P=1810 | X=0455.690-0472.330 | Y=0365.580-0374.900 | 500
P=1810 | X=0505.390-0522.030 | Y=0365.580-0374.900 | 330
P=1810 | X=0119.090-0350.170 | Y=0375.240-0386.480 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1810 | X=0119.090-0396.280 | Y=0392.760-0404.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1810 | X=0119.090-0404.350 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1810 | X=0119.090-0414.220 | Y=0422.040-0433.280 | Đường tỉnh 768 đoạn từ Cầu Thủ Biên đến Đường vào bến đò Đại
P=1810 | X=0119.090-0341.050 | Y=0433.560-0444.800 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=1810 | X=0098.930-0350.640 | Y=0451.100-0465.180 | 13 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1810 | X=0455.690-0472.330 | Y=0455.860-0465.180 | 400
P=1810 | X=0505.390-0522.030 | Y=0455.860-0465.180 | 260
P=1810 | X=0119.090-0405.980 | Y=0468.620-0479.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1810 | X=0119.090-0180.210 | Y=0480.140-0491.380 | đến ≤1.000m.
P=1810 | X=0119.090-0342.260 | Y=0497.660-0508.900 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1810 | X=0119.090-0404.350 | Y=0515.420-0526.660 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1810 | X=0119.090-0414.220 | Y=0526.940-0538.180 | Đường tỉnh 768 đoạn từ Cầu Thủ Biên đến Đường vào bến đò Đại
P=1810 | X=0119.090-0341.050 | Y=0538.250-0549.490 | An có hiện trạng là đường nhựa, bê tông xi măng:
P=1810 | X=0098.930-0110.050 | Y=0546.130-0555.450 | 14
P=1810 | X=0455.690-0472.330 | Y=0546.130-0555.450 | 290
