TABLE=060 | AREA=Xã Nha Bích | SECTION=agricultural | SEGMENTS=1
P=1985 | X=0187.750-0268.980 | Y=0259.990-0271.230 | đất số 157, tờ bản
P=1985 | X=0090.500-0101.620 | Y=0261.870-0271.190 | 32
P=1985 | X=0421.850-0438.490 | Y=0261.870-0271.190 | 242
P=1985 | X=0461.930-0478.570 | Y=0261.870-0271.190 | 194
P=1985 | X=0505.390-0522.030 | Y=0261.870-0271.190 | 116
P=1985 | X=0102.770-0169.030 | Y=0265.750-0276.990 | thủy lợi Phước
P=1985 | X=0280.180-0350.120 | Y=0265.750-0276.990 | tờ bản đồ số 55
P=1985 | X=0187.750-0229.270 | Y=0271.510-0282.750 | đồ số 55)
P=1985 | X=0102.770-0121.100 | Y=0279.150-0288.470 | Hòa
P=1985 | X=0280.180-0387.280 | Y=0295.300-0306.540 | Hết ranh khu tái định cư
P=1985 | X=0090.500-0165.730 | Y=0301.060-0312.300 | 33 Đường DH 08
P=1985 | X=0187.750-0270.660 | Y=0301.060-0312.300 | Đường Quốc lộ 14
P=1985 | X=0421.850-0438.490 | Y=0302.940-0312.260 | 242
P=1985 | X=0461.930-0478.570 | Y=0302.940-0312.260 | 194
P=1985 | X=0505.390-0522.030 | Y=0302.940-0312.260 | 116
P=1985 | X=0280.180-0305.230 | Y=0308.700-0318.020 | 10 ha
P=1985 | X=0280.180-0387.080 | Y=0324.820-0336.060 | Giáp ranh phường Minh
P=1985 | X=0187.750-0258.370 | Y=0326.700-0336.020 | Hết ranh khu tái
P=1985 | X=0090.500-0165.730 | Y=0330.580-0341.820 | 34 Đường DH 08
P=1985 | X=0421.850-0438.490 | Y=0332.460-0341.780 | 242
P=1985 | X=0461.930-0478.570 | Y=0332.460-0341.780 | 194
P=1985 | X=0505.390-0522.030 | Y=0332.460-0341.780 | 116
P=1985 | X=0187.750-0249.270 | Y=0336.340-0347.580 | định cư 10 ha
P=1985 | X=0280.180-0308.590 | Y=0338.220-0347.540 | Thành
P=1985 | X=0187.750-0388.060 | Y=0354.340-0365.580 | HLLG đường Quốc Thửa đất số 746, tờ bản
P=1985 | X=0090.500-0161.650 | Y=0360.100-0371.340 | 35 Đường số 01
P=1985 | X=0421.850-0438.490 | Y=0361.980-0371.300 | 242
P=1985 | X=0461.930-0478.570 | Y=0361.980-0371.300 | 194
P=1985 | X=0505.390-0522.030 | Y=0361.980-0371.300 | 116
P=1985 | X=0280.180-0323.960 | Y=0365.880-0377.120 | đồ số 107
P=1985 | X=0187.750-0209.670 | Y=0367.760-0377.080 | lộ 14
P=1985 | X=0280.180-0388.060 | Y=0383.880-0395.120 | Thửa đất số 223, tờ bản
P=1985 | X=0187.750-0273.460 | Y=0389.640-0400.880 | HLLG đường Quốc
P=1985 | X=0090.500-0161.650 | Y=0395.400-0406.640 | 36 Đường số 15
P=1985 | X=0280.180-0377.020 | Y=0395.400-0406.640 | đồ số 96 - đấu nối với
P=1985 | X=0421.850-0438.490 | Y=0397.280-0406.600 | 242
P=1985 | X=0461.930-0478.570 | Y=0397.280-0406.600 | 194
P=1985 | X=0505.390-0522.030 | Y=0397.280-0406.600 | 116
P=1985 | X=0187.750-0209.670 | Y=0403.040-0412.360 | lộ 14
P=1985 | X=0280.180-0382.040 | Y=0406.920-0418.160 | đường huyện lộ ĐH 13
P=1985 | X=0280.180-0381.560 | Y=0424.920-0436.160 | Ngã ba đường bê tông
P=1985 | X=0187.750-0276.890 | Y=0430.680-0441.920 | HLLG đường ĐT 75
P=1985 | X=0090.500-0161.650 | Y=0436.200-0447.440 | 37 Đường số 27
P=1985 | X=0280.180-0389.830 | Y=0436.200-0447.440 | đầu ranh thửa đất số 76,
P=1985 | X=0421.850-0438.490 | Y=0438.080-0447.400 | 242
P=1985 | X=0461.930-0478.570 | Y=0438.080-0447.400 | 194
P=1985 | X=0505.390-0522.030 | Y=0438.080-0447.400 | 116
P=1985 | X=0187.750-0199.990 | Y=0443.840-0453.160 | 6B
P=1985 | X=0280.180-0355.640 | Y=0447.720-0458.960 | tờ bản đồ số 115
P=1985 | X=0187.750-0390.790 | Y=0465.740-0476.980 | Từ thửa đất số 922, Đến hết thửa đất số 858,
P=1985 | X=0090.500-0165.730 | Y=0471.500-0482.740 | 38 Đường ĐH 01
P=1985 | X=0421.850-0438.490 | Y=0473.380-0482.700 | 242
P=1985 | X=0461.930-0478.570 | Y=0473.380-0482.700 | 194
P=1985 | X=0505.390-0522.030 | Y=0473.380-0482.700 | 116
P=1985 | X=0187.750-0257.700 | Y=0477.260-0488.500 | tờ bản đồ số 62
P=1985 | X=0280.180-0350.120 | Y=0477.260-0488.500 | tờ bản đồ số 62
P=1985 | X=0187.750-0390.790 | Y=0495.260-0506.500 | Từ thửa đất số 483, Đến hết thửa đất số 251,
P=1985 | X=0090.500-0161.650 | Y=0501.020-0512.260 | 39 Đường số 40
P=1985 | X=0421.850-0438.490 | Y=0502.900-0512.220 | 242
P=1985 | X=0461.930-0478.570 | Y=0502.900-0512.220 | 194
P=1985 | X=0505.390-0522.030 | Y=0502.900-0512.220 | 116
P=1985 | X=0187.750-0257.700 | Y=0506.780-0518.020 | tờ bản đồ số 62
P=1985 | X=0280.180-0350.120 | Y=0506.780-0518.020 | tờ bản đồ số 62
P=1985 | X=0102.770-0163.420 | Y=0524.780-0536.020 | Đường nhựa,
P=1985 | X=0102.770-0169.090 | Y=0536.330-0547.570 | đường bê tông
P=1985 | X=0090.500-0238.020 | Y=0549.730-0559.050 | 40 nông thôn còn lại Toàn tuyến
P=1985 | X=0421.850-0438.490 | Y=0549.730-0559.050 | 151
P=1985 | X=0461.930-0478.570 | Y=0549.730-0559.050 | 121
P=1985 | X=0511.150-0522.270 | Y=0549.730-0559.050 | 72
P=1985 | X=0102.770-0179.910 | Y=0559.370-0570.610 | chưa quy định cụ
P=1985 | X=0102.770-0146.290 | Y=0570.890-0582.130 | thể ở trên
P=1985 | X=0090.500-0184.950 | Y=0588.890-0600.130 | 41 Các đường còn lại
P=1985 | X=0421.850-0438.490 | Y=0590.770-0600.090 | 151
P=1985 | X=0461.930-0478.570 | Y=0590.770-0600.090 | 121
P=1985 | X=0511.150-0522.270 | Y=0590.770-0600.090 | 72
