TABLE=079 | AREA=Xã Phước Sơn | SECTION=agricultural | SEGMENTS=1
P=2077 | X=0102.770-0134.040 | Y=0450.080-0459.400 | Thôn 4
P=2077 | X=0102.770-0178.920 | Y=0466.220-0477.460 | Đường Thôn 5 đi
P=2077 | X=0273.940-0340.770 | Y=0466.220-0477.460 | Ngã ba Đường
P=2077 | X=0090.500-0101.620 | Y=0473.860-0483.180 | 50
P=2077 | X=0191.830-0235.860 | Y=0473.860-0483.180 | Giáp Suối
P=2077 | X=0381.980-0398.620 | Y=0473.860-0483.180 | 111
P=2077 | X=0431.210-0442.330 | Y=0473.860-0483.180 | 88
P=2077 | X=0474.650-0485.770 | Y=0473.860-0483.180 | 71
P=2077 | X=0511.150-0522.270 | Y=0473.860-0483.180 | 32
P=2077 | X=0273.940-0349.880 | Y=0477.740-0488.980 | Thôn 4 đi Thôn 7
P=2077 | X=0102.770-0134.040 | Y=0479.620-0488.940 | Thôn 4
P=2077 | X=0102.770-0259.110 | Y=0495.740-0506.980 | Các tuyến đường Đường ĐT 755
P=2077 | X=0090.500-0327.560 | Y=0507.260-0518.500 | 51 thuộc khu QHTTHC Đường Ngã ba Xe Cuối đường
P=2077 | X=0381.980-0398.620 | Y=0509.140-0518.460 | 111
P=2077 | X=0431.210-0442.330 | Y=0509.140-0518.460 | 88
P=2077 | X=0474.650-0485.770 | Y=0509.140-0518.460 | 71
P=2077 | X=0511.150-0522.270 | Y=0509.140-0518.460 | 32
P=2077 | X=0102.770-0215.200 | Y=0518.780-0530.020 | xã Phước Sơn (cũ) Vàng
P=2077 | X=0102.770-0169.570 | Y=0536.810-0548.050 | Đường đi chùa
P=2077 | X=0191.830-0259.110 | Y=0542.570-0553.810 | Đường ĐT 755
P=2077 | X=0273.940-0344.790 | Y=0542.570-0553.810 | Ngã tư Bù N'hai
P=2077 | X=0090.500-0101.620 | Y=0544.450-0553.770 | 52
P=2077 | X=0381.980-0398.620 | Y=0544.450-0553.770 | 111
P=2077 | X=0431.210-0442.330 | Y=0544.450-0553.770 | 88
P=2077 | X=0474.650-0485.770 | Y=0544.450-0553.770 | 71
P=2077 | X=0511.150-0522.270 | Y=0544.450-0553.770 | 32
P=2077 | X=0102.770-0163.490 | Y=0548.330-0559.570 | Thanh phước
P=2077 | X=0102.770-0169.570 | Y=0566.330-0577.570 | Đường đi chùa
P=2077 | X=0273.940-0325.640 | Y=0568.210-0577.530 | Ngã ba ông
P=2077 | X=0191.830-0262.680 | Y=0572.090-0583.330 | Ngã tư Bù N'hai
P=2077 | X=0090.500-0101.620 | Y=0573.970-0583.290 | 53
P=2077 | X=0381.980-0398.620 | Y=0573.970-0583.290 | 111
P=2077 | X=0431.210-0442.330 | Y=0573.970-0583.290 | 88
P=2077 | X=0474.650-0485.770 | Y=0573.970-0583.290 | 71
P=2077 | X=0511.150-0522.270 | Y=0573.970-0583.290 | 32
P=2077 | X=0102.770-0164.690 | Y=0577.850-0589.090 | Thanh Phước
P=2077 | X=0273.940-0305.690 | Y=0577.850-0589.090 | Dương
P=2077 | X=0273.940-0353.080 | Y=0595.850-0607.090 | Giáp suối (hết đất
P=2077 | X=0090.500-0259.110 | Y=0607.370-0618.610 | 54 Đường đi Bàu Đĩa Đường ĐT 755
P=2077 | X=0273.940-0343.390 | Y=0607.370-0618.610 | ông Hoàng Văn
P=2077 | X=0381.980-0398.620 | Y=0609.250-0618.570 | 111
P=2077 | X=0431.210-0442.330 | Y=0609.250-0618.570 | 88
P=2077 | X=0474.650-0485.770 | Y=0609.250-0618.570 | 71
P=2077 | X=0511.150-0522.270 | Y=0609.250-0618.570 | 32
P=2077 | X=0273.940-0300.580 | Y=0620.790-0630.110 | Sùng)
P=2077 | X=0191.830-0270.980 | Y=0636.910-0648.150 | Giáp suối (hết đất
P=2077 | X=0090.500-0352.290 | Y=0648.430-0659.670 | 55 Đường đi Bàu Đĩa ông Hoàng Văn Ngã ba Láng Dầu
P=2077 | X=0381.980-0398.620 | Y=0650.310-0659.630 | 111
P=2077 | X=0431.210-0442.330 | Y=0650.310-0659.630 | 88
P=2077 | X=0474.650-0485.770 | Y=0650.310-0659.630 | 71
P=2077 | X=0511.150-0522.270 | Y=0650.310-0659.630 | 32
P=2077 | X=0191.830-0218.470 | Y=0661.830-0671.150 | Sùng)
P=2077 | X=0102.770-0189.990 | Y=0677.950-0689.190 | Đường BTXM đoạn
P=2077 | X=0273.940-0331.400 | Y=0683.710-0694.950 | Giáp đất ông
P=2077 | X=0090.500-0171.740 | Y=0689.470-0700.710 | 56 nhà ông Lương
P=2077 | X=0191.830-0259.110 | Y=0689.470-0700.710 | Đường ĐT 755
P=2077 | X=0381.980-0398.620 | Y=0691.350-0700.670 | 111
P=2077 | X=0431.210-0442.330 | Y=0691.350-0700.670 | 88
P=2077 | X=0474.650-0485.770 | Y=0691.350-0700.670 | 71
P=2077 | X=0511.150-0522.270 | Y=0691.350-0700.670 | 32
P=2077 | X=0273.940-0341.700 | Y=0695.230-0706.470 | Hoàng Văn Cài
P=2077 | X=0102.770-0148.450 | Y=0700.770-0712.010 | Văn Dựng
P=2078 | X=0102.770-0178.920 | Y=0078.740-0089.980 | Đường Thôn 3 di
P=2078 | X=0191.830-0259.110 | Y=0084.500-0095.740 | Đường ĐT 755
P=2078 | X=0273.940-0338.120 | Y=0084.500-0095.740 | Đất Lâm Phần
P=2078 | X=0090.500-0101.620 | Y=0086.380-0095.700 | 57
P=2078 | X=0381.980-0398.620 | Y=0086.380-0095.700 | 111
P=2078 | X=0431.210-0442.330 | Y=0086.380-0095.700 | 88
P=2078 | X=0474.650-0485.770 | Y=0086.380-0095.700 | 71
P=2078 | X=0511.150-0522.270 | Y=0086.380-0095.700 | 32
P=2078 | X=0102.770-0151.800 | Y=0092.140-0101.460 | Bàu Cá Rô
P=2078 | X=0102.770-0181.820 | Y=0108.260-0119.500 | Đường từ Ngã ba
P=2078 | X=0102.770-0183.980 | Y=0119.810-0131.050 | Tàu đi đường Bàu
P=2078 | X=0273.940-0342.410 | Y=0121.690-0131.010 | Ngã ba Bàu Cá
P=2078 | X=0191.830-0259.110 | Y=0125.570-0136.810 | Đường ĐT 755
P=2078 | X=0090.500-0101.620 | Y=0127.450-0136.770 | 58
P=2078 | X=0381.980-0398.620 | Y=0127.450-0136.770 | 111
P=2078 | X=0431.210-0442.330 | Y=0127.450-0136.770 | 88
P=2078 | X=0474.650-0485.770 | Y=0127.450-0136.770 | 71
P=2078 | X=0511.150-0522.270 | Y=0127.450-0136.770 | 32
P=2078 | X=0102.770-0165.230 | Y=0133.210-0142.530 | Cá Rô Thôn 2
P=2078 | X=0273.940-0286.740 | Y=0133.210-0142.530 | Rô
P=2078 | X=0102.770-0155.010 | Y=0144.730-0154.050 | Thống Nhất
P=2078 | X=0191.830-0259.140 | Y=0160.850-0172.090 | Đường ĐT 755
P=2078 | X=0102.770-0177.410 | Y=0166.610-0177.850 | Đường cạnh cây
P=2078 | X=0273.940-0345.320 | Y=0166.610-0177.850 | Giáp đất ông Lê
P=2078 | X=0191.830-0272.120 | Y=0172.370-0183.610 | (Sao Bọng - Đăng
P=2078 | X=0090.500-0101.620 | Y=0174.250-0183.570 | 59
P=2078 | X=0381.980-0398.620 | Y=0174.250-0183.570 | 111
P=2078 | X=0431.210-0442.330 | Y=0174.250-0183.570 | 88
P=2078 | X=0474.650-0485.770 | Y=0174.250-0183.570 | 71
P=2078 | X=0511.150-0522.270 | Y=0174.250-0183.570 | 32
P=2078 | X=0102.770-0180.210 | Y=0178.130-0189.370 | xăng Hoàng Phát
P=2078 | X=0273.940-0310.260 | Y=0178.130-0189.370 | Đình Bé
P=2078 | X=0191.830-0207.910 | Y=0185.530-0194.850 | Hà)
P=2078 | X=0191.830-0259.110 | Y=0201.670-0212.910 | Đường ĐT 755
P=2078 | X=0102.770-0183.010 | Y=0207.430-0218.670 | Đường cạnh NVH
P=2078 | X=0191.830-0316.280 | Y=0213.190-0224.430 | (Sao Bọng - Đăng Giáp suối
P=2078 | X=0090.500-0101.620 | Y=0215.070-0224.390 | 60
P=2078 | X=0381.980-0398.620 | Y=0215.070-0224.390 | 111
P=2078 | X=0431.210-0442.330 | Y=0215.070-0224.390 | 88
P=2078 | X=0474.650-0485.770 | Y=0215.070-0224.390 | 71
P=2078 | X=0511.150-0522.270 | Y=0215.070-0224.390 | 32
P=2078 | X=0102.770-0185.750 | Y=0220.830-0230.150 | thôn 8 Thống Nhất
P=2078 | X=0191.830-0207.910 | Y=0226.590-0235.910 | Hà)
P=2078 | X=0102.770-0185.180 | Y=0242.710-0253.950 | Đường Làng Thôn
P=2078 | X=0273.940-0345.070 | Y=0244.590-0253.910 | Ngã ba nhà ông
P=2078 | X=0191.830-0259.110 | Y=0248.470-0259.710 | Đường ĐT 755
P=2078 | X=0090.500-0101.620 | Y=0250.350-0259.670 | 61
P=2078 | X=0381.980-0398.620 | Y=0250.350-0259.670 | 111
P=2078 | X=0431.210-0442.330 | Y=0250.350-0259.670 | 88
P=2078 | X=0474.650-0485.770 | Y=0250.350-0259.670 | 71
P=2078 | X=0511.150-0522.270 | Y=0250.350-0259.670 | 32
P=2078 | X=0273.940-0352.520 | Y=0254.230-0265.470 | Nguyễn Văn Hiếu
P=2078 | X=0102.770-0163.430 | Y=0256.110-0265.430 | 1 Thống Nhất
P=2078 | X=0102.770-0185.660 | Y=0272.230-0283.470 | Đường từ nhà ông
P=2078 | X=0102.770-0185.160 | Y=0283.780-0295.020 | Linh Văn Hoàng đi
P=2078 | X=0273.940-0354.590 | Y=0285.660-0294.980 | Ngã ba ông Phạm
P=2078 | X=0191.830-0259.110 | Y=0289.540-0300.780 | Đường ĐT 755
P=2078 | X=0090.500-0101.620 | Y=0291.420-0300.740 | 62
P=2078 | X=0381.980-0398.620 | Y=0291.420-0300.740 | 111
P=2078 | X=0431.210-0442.330 | Y=0291.420-0300.740 | 88
P=2078 | X=0474.650-0485.770 | Y=0291.420-0300.740 | 71
P=2078 | X=0511.150-0522.270 | Y=0291.420-0300.740 | 32
P=2078 | X=0102.770-0183.420 | Y=0297.180-0306.500 | Ngã ba ông Phạm
P=2078 | X=0273.940-0328.730 | Y=0297.180-0306.500 | Quang Minh
P=2078 | X=0102.770-0157.560 | Y=0308.700-0318.020 | Quang Minh
P=2078 | X=0273.940-0348.610 | Y=0324.820-0336.060 | Đường ĐT-755B
P=2078 | X=0102.770-0189.010 | Y=0330.580-0341.820 | Đường NVH thôn 3
P=2078 | X=0191.830-0259.110 | Y=0336.340-0347.580 | Đường ĐT 755
P=2078 | X=0273.940-0354.220 | Y=0336.340-0347.580 | (Sao Bọng - Đăng
P=2078 | X=0090.500-0101.620 | Y=0338.220-0347.540 | 63
P=2078 | X=0381.980-0398.620 | Y=0338.220-0347.540 | 111
P=2078 | X=0431.210-0442.330 | Y=0338.220-0347.540 | 88
P=2078 | X=0474.650-0485.770 | Y=0338.220-0347.540 | 71
P=2078 | X=0511.150-0522.270 | Y=0338.220-0347.540 | 32
P=2078 | X=0102.770-0155.010 | Y=0343.980-0353.300 | Thống Nhất
P=2078 | X=0273.940-0290.020 | Y=0349.740-0359.060 | Hà)
P=2078 | X=0102.770-0190.130 | Y=0365.880-0377.120 | Đường Ngã ba Cây
P=2078 | X=0273.940-0325.640 | Y=0367.760-0377.080 | Ngã ba ông
P=2078 | X=0191.830-0256.470 | Y=0371.640-0382.880 | Đường ĐT755
P=2078 | X=0090.500-0101.620 | Y=0373.520-0382.840 | 64
P=2078 | X=0381.980-0398.620 | Y=0373.520-0382.840 | 111
P=2078 | X=0431.210-0442.330 | Y=0373.520-0382.840 | 88
P=2078 | X=0474.650-0485.770 | Y=0373.520-0382.840 | 71
P=2078 | X=0511.150-0522.270 | Y=0373.520-0382.840 | 32
P=2078 | X=0102.770-0172.960 | Y=0377.400-0388.640 | xăng Thiên Bảo
P=2078 | X=0273.940-0301.880 | Y=0379.280-0388.600 | Tuyến
P=2078 | X=0102.770-0159.010 | Y=0395.400-0406.640 | Đường cạnh
P=2078 | X=0273.940-0330.580 | Y=0401.160-0412.400 | Giáp đất lâm
P=2078 | X=0090.500-0259.110 | Y=0406.920-0418.160 | 65 trường Nguyễn Văn Đường ĐT 755
P=2078 | X=0381.980-0398.620 | Y=0408.800-0418.120 | 111
P=2078 | X=0431.210-0442.330 | Y=0408.800-0418.120 | 88
P=2078 | X=0474.650-0485.770 | Y=0408.800-0418.120 | 71
P=2078 | X=0511.150-0522.270 | Y=0408.800-0418.120 | 32
P=2078 | X=0273.940-0296.120 | Y=0414.560-0423.880 | phần
P=2078 | X=0102.770-0140.200 | Y=0418.200-0429.440 | Trỗi (cũ)
P=2078 | X=0102.770-0189.020 | Y=0436.200-0447.440 | Đường Ngã ba ông
P=2078 | X=0273.940-0325.630 | Y=0438.080-0447.400 | Ngã ba ông
P=2078 | X=0191.830-0259.110 | Y=0441.960-0453.200 | Đường ĐT 755
P=2078 | X=0090.500-0101.620 | Y=0443.840-0453.160 | 66
P=2078 | X=0381.980-0398.620 | Y=0443.840-0453.160 | 111
P=2078 | X=0431.210-0442.330 | Y=0443.840-0453.160 | 88
P=2078 | X=0474.650-0485.770 | Y=0443.840-0453.160 | 71
P=2078 | X=0511.150-0522.270 | Y=0443.840-0453.160 | 32
P=2078 | X=0273.940-0344.610 | Y=0447.720-0458.960 | Hoàng Văn Bản
P=2078 | X=0102.770-0172.870 | Y=0449.600-0458.920 | Hoàng Cá Mắm
P=2078 | X=0102.770-0178.470 | Y=0465.740-0476.980 | Đường vào nông
P=2078 | X=0090.500-0165.500 | Y=0477.260-0488.500 | 67 trường cao su
P=2078 | X=0191.830-0259.110 | Y=0477.260-0488.500 | Đường ĐT 755
P=2078 | X=0273.940-0316.280 | Y=0479.140-0488.460 | Giáp suối
P=2078 | X=0381.980-0398.620 | Y=0479.140-0488.460 | 170
P=2078 | X=0425.450-0442.090 | Y=0479.140-0488.460 | 136
P=2078 | X=0468.890-0485.530 | Y=0479.140-0488.460 | 109
P=2078 | X=0511.150-0522.270 | Y=0479.140-0488.460 | 25
P=2078 | X=0102.770-0155.010 | Y=0490.660-0499.980 | Thống Nhất
P=2078 | X=0102.770-0175.990 | Y=0506.780-0518.020 | Đường vào trạm
P=2078 | X=0273.940-0330.580 | Y=0506.780-0518.020 | Giáp đất lâm
P=2078 | X=0191.830-0259.110 | Y=0512.540-0523.780 | Đường ĐT 755
P=2078 | X=0090.500-0101.620 | Y=0514.420-0523.740 | 68
P=2078 | X=0381.980-0398.620 | Y=0514.420-0523.740 | 111
P=2078 | X=0431.210-0442.330 | Y=0514.420-0523.740 | 88
P=2078 | X=0474.650-0485.770 | Y=0514.420-0523.740 | 71
P=2078 | X=0511.150-0522.270 | Y=0514.420-0523.740 | 32
P=2078 | X=0102.770-0190.200 | Y=0518.300-0529.540 | Kiểm Lâm Đăng Hà
P=2078 | X=0273.940-0296.120 | Y=0520.180-0529.500 | phần
P=2078 | X=0102.770-0183.430 | Y=0536.330-0547.570 | Đường cạnh điểm
P=2078 | X=0273.940-0331.400 | Y=0542.090-0553.330 | Giáp đất ông
P=2078 | X=0090.500-0171.190 | Y=0547.850-0559.090 | 69 trường tiểu học
P=2078 | X=0191.830-0259.110 | Y=0547.850-0559.090 | Đường ĐT 755
P=2078 | X=0381.980-0398.620 | Y=0549.730-0559.050 | 111
P=2078 | X=0431.210-0442.330 | Y=0549.730-0559.050 | 88
P=2078 | X=0474.650-0485.770 | Y=0549.730-0559.050 | 71
P=2078 | X=0511.150-0522.270 | Y=0549.730-0559.050 | 32
P=2078 | X=0273.940-0343.640 | Y=0553.610-0564.850 | Phan Văn Tuấn
P=2078 | X=0102.770-0191.270 | Y=0561.250-0570.570 | thôn 10 Thống Nhất
P=2078 | X=0102.770-0189.710 | Y=0577.370-0588.610 | Đường nội ô thôn 3
P=2078 | X=0090.500-0171.480 | Y=0590.770-0600.090 | 70 Thống Nhất, xã
P=2078 | X=0191.830-0242.100 | Y=0590.770-0600.090 | Toàn tuyến
P=2078 | X=0381.980-0398.620 | Y=0590.770-0600.090 | 111
P=2078 | X=0431.210-0442.330 | Y=0590.770-0600.090 | 88
P=2078 | X=0474.650-0485.770 | Y=0590.770-0600.090 | 71
P=2078 | X=0511.150-0522.270 | Y=0590.770-0600.090 | 32
P=2078 | X=0102.770-0155.170 | Y=0600.410-0611.650 | Phước Sơn
P=2078 | X=0102.770-0180.880 | Y=0618.430-0629.670 | Các tuyến đường
P=2078 | X=0090.500-0101.620 | Y=0626.070-0635.390 | 71
P=2078 | X=0191.830-0242.100 | Y=0626.070-0635.390 | Toàn tuyến
P=2078 | X=0387.740-0398.860 | Y=0626.070-0635.390 | 75
P=2078 | X=0431.210-0442.330 | Y=0626.070-0635.390 | 60
P=2078 | X=0474.650-0485.770 | Y=0626.070-0635.390 | 48
P=2078 | X=0511.150-0522.270 | Y=0626.070-0635.390 | 32
P=2078 | X=0102.770-0131.650 | Y=0631.830-0641.150 | còn lại
