TABLE=084 | AREA=Xã Bom Bo | SECTION=agricultural | SEGMENTS=1
P=2097 | X=0276.580-0364.050 | Y=0249.190-0260.430 | Tân Mỹ Hoa đường
P=2097 | X=0390.140-0406.780 | Y=0251.070-0260.390 | 104
P=2097 | X=0436.250-0447.370 | Y=0251.070-0260.390 | 83
P=2097 | X=0476.330-0487.450 | Y=0251.070-0260.390 | 67
P=2097 | X=0511.150-0522.270 | Y=0251.070-0260.390 | 32
P=2097 | X=0173.350-0201.760 | Y=0256.830-0266.150 | Thành
P=2097 | X=0276.580-0331.880 | Y=0260.710-0271.950 | đi Đắk Nhau
P=2097 | X=0173.350-0361.170 | Y=0278.710-0289.950 | Hết ranh nhà ông Cao Ngã ba đường nhà
P=2097 | X=0090.500-0162.920 | Y=0284.500-0295.740 | 34 Đường Nội Ô
P=2097 | X=0390.140-0406.780 | Y=0286.380-0295.700 | 104
P=2097 | X=0436.250-0447.370 | Y=0286.380-0295.700 | 83
P=2097 | X=0476.330-0487.450 | Y=0286.380-0295.700 | 67
P=2097 | X=0511.150-0522.270 | Y=0286.380-0295.700 | 32
P=2097 | X=0173.350-0211.820 | Y=0290.260-0301.500 | Văn Yên
P=2097 | X=0276.580-0340.390 | Y=0292.140-0301.460 | Ông Trúc Lam
P=2097 | X=0276.580-0363.570 | Y=0310.140-0319.460 | Hành lang nhà lồng
P=2097 | X=0102.770-0260.310 | Y=0314.020-0325.260 | Đường hai bên Hành lang nhà làng
P=2097 | X=0090.500-0101.620 | Y=0321.660-0330.980 | 35
P=2097 | X=0276.580-0358.770 | Y=0321.660-0330.980 | chợ chính vào sâu
P=2097 | X=0390.140-0406.780 | Y=0321.660-0330.980 | 104
P=2097 | X=0436.250-0447.370 | Y=0321.660-0330.980 | 83
P=2097 | X=0476.330-0487.450 | Y=0321.660-0330.980 | 67
P=2097 | X=0511.150-0522.270 | Y=0321.660-0330.980 | 32
P=2097 | X=0102.770-0217.830 | Y=0327.420-0336.740 | chợ Bom Bo chợ chính
P=2097 | X=0276.580-0296.020 | Y=0333.180-0342.500 | 15m
P=2097 | X=0102.770-0142.930 | Y=0349.300-0360.540 | Đường ô
P=2097 | X=0276.580-0347.710 | Y=0356.940-0366.260 | Ngã ba nhà ông
P=2097 | X=0090.500-0155.660 | Y=0360.820-0372.060 | 36 trường Tiểu
P=2097 | X=0173.350-0267.070 | Y=0362.700-0372.020 | Ngã ba nhà ông Tiền
P=2097 | X=0390.140-0406.780 | Y=0362.700-0372.020 | 104
P=2097 | X=0436.250-0447.370 | Y=0362.700-0372.020 | 83
P=2097 | X=0476.330-0487.450 | Y=0362.700-0372.020 | 67
P=2097 | X=0511.150-0522.270 | Y=0362.700-0372.020 | 32
P=2097 | X=0276.580-0320.030 | Y=0368.480-0377.800 | Long Quý
P=2097 | X=0102.770-0118.850 | Y=0374.240-0383.560 | học
P=2097 | X=0102.770-0261.310 | Y=0390.360-0401.600 | Đường Thôn 7 Ngã ba vào Trường
P=2097 | X=0276.580-0362.340 | Y=0392.240-0401.560 | Ngã ba nhà ông Tô
P=2097 | X=0090.500-0101.620 | Y=0398.000-0407.320 | 37
P=2097 | X=0395.900-0407.020 | Y=0398.000-0407.320 | 70
P=2097 | X=0436.250-0447.370 | Y=0398.000-0407.320 | 56
P=2097 | X=0476.330-0487.450 | Y=0398.000-0407.320 | 45
P=2097 | X=0511.150-0522.270 | Y=0398.000-0407.320 | 32
P=2097 | X=0173.350-0327.800 | Y=0401.880-0413.120 | cấp 1,2 Trần Văn Ơn Văn Tướng
P=2097 | X=0102.770-0140.280 | Y=0403.760-0413.080 | - Thôn 9
P=2097 | X=0102.770-0153.980 | Y=0419.880-0431.120 | Đường bên
P=2097 | X=0173.350-0266.350 | Y=0431.400-0442.640 | Hết ranh nhà ông Đỗ
P=2097 | X=0102.770-0153.980 | Y=0433.280-0442.600 | hông Trung
P=2097 | X=0276.580-0339.070 | Y=0437.160-0448.400 | Suối Đắk Liên
P=2097 | X=0090.500-0101.620 | Y=0439.040-0448.360 | 38
P=2097 | X=0390.140-0406.780 | Y=0439.040-0448.360 | 104
P=2097 | X=0436.250-0447.370 | Y=0439.040-0448.360 | 83
P=2097 | X=0476.330-0487.450 | Y=0439.040-0448.360 | 67
P=2097 | X=0511.150-0522.270 | Y=0439.040-0448.360 | 32
P=2097 | X=0102.770-0155.150 | Y=0442.920-0454.160 | tâm thương
P=2097 | X=0173.350-0209.660 | Y=0442.920-0454.160 | Đinh Hà
P=2097 | X=0102.770-0118.930 | Y=0456.100-0465.420 | mại
P=2097 | X=0102.770-0153.500 | Y=0472.220-0483.460 | Đường vào
P=2097 | X=0276.580-0350.560 | Y=0477.980-0489.220 | Khu dân cư Thái
P=2097 | X=0090.500-0154.630 | Y=0483.740-0494.980 | 39 Khu dân cư
P=2097 | X=0173.350-0270.160 | Y=0485.620-0494.940 | Ngã ba nhà ông Toàn
P=2097 | X=0390.140-0406.780 | Y=0485.620-0494.940 | 104
P=2097 | X=0436.250-0447.370 | Y=0485.620-0494.940 | 83
P=2097 | X=0476.330-0487.450 | Y=0485.620-0494.940 | 67
P=2097 | X=0511.150-0522.270 | Y=0485.620-0494.940 | 32
P=2097 | X=0276.580-0304.990 | Y=0491.380-0500.700 | Thành
P=2097 | X=0102.770-0153.490 | Y=0497.140-0506.460 | Thái Thành
P=2097 | X=0102.770-0159.020 | Y=0513.260-0524.500 | Đường vành
P=2097 | X=0102.770-0154.670 | Y=0524.780-0536.020 | đai Bom Bo
P=2097 | X=0276.580-0347.710 | Y=0526.660-0535.980 | Ngã ba nhà ông
P=2097 | X=0090.500-0101.620 | Y=0532.420-0541.740 | 40
P=2097 | X=0173.350-0244.880 | Y=0532.420-0541.740 | Ngã ba ông Xây
P=2097 | X=0395.900-0407.020 | Y=0532.420-0541.740 | 70
P=2097 | X=0436.250-0447.370 | Y=0532.420-0541.740 | 56
P=2097 | X=0476.330-0487.450 | Y=0532.420-0541.740 | 45
P=2097 | X=0511.150-0522.270 | Y=0532.420-0541.740 | 32
P=2097 | X=0102.770-0171.270 | Y=0536.330-0547.570 | giáp với đường
P=2097 | X=0276.580-0296.090 | Y=0538.210-0547.530 | Thái
P=2097 | X=0102.770-0127.330 | Y=0547.850-0559.090 | 10 cũ
P=2097 | X=0102.770-0153.980 | Y=0565.850-0577.090 | Đường bên
P=2097 | X=0173.350-0240.630 | Y=0577.370-0588.610 | Đường ĐT 760
P=2097 | X=0090.500-0147.250 | Y=0579.250-0588.570 | 41 hông Thái
P=2097 | X=0276.580-0356.800 | Y=0579.250-0588.570 | UBND xã Bom Bo
P=2097 | X=0395.900-0407.020 | Y=0579.250-0588.570 | 70
P=2097 | X=0436.250-0447.370 | Y=0579.250-0588.570 | 56
P=2097 | X=0476.330-0487.450 | Y=0579.250-0588.570 | 45
P=2097 | X=0511.150-0522.270 | Y=0579.250-0588.570 | 32
P=2097 | X=0102.770-0131.180 | Y=0590.770-0600.090 | Thành
P=2097 | X=0102.770-0147.970 | Y=0608.770-0618.090 | Các tuyến
P=2097 | X=0090.500-0223.590 | Y=0618.430-0629.670 | 42 đường bê tông, Toàn tuyến
P=2097 | X=0395.900-0407.020 | Y=0620.310-0629.630 | 70
P=2097 | X=0436.250-0447.370 | Y=0620.310-0629.630 | 56
P=2097 | X=0476.330-0487.450 | Y=0620.310-0629.630 | 45
P=2097 | X=0511.150-0522.270 | Y=0620.310-0629.630 | 32
P=2097 | X=0102.770-0157.810 | Y=0631.830-0641.150 | nhựa còn lại
P=2097 | X=0102.770-0147.970 | Y=0649.830-0659.150 | Các tuyến
P=2097 | X=0090.500-0223.590 | Y=0659.470-0670.710 | 43 đường đất còn Toàn tuyến
P=2097 | X=0395.900-0407.020 | Y=0661.350-0670.670 | 70
P=2097 | X=0436.250-0447.370 | Y=0661.350-0670.670 | 56
P=2097 | X=0476.330-0487.450 | Y=0661.350-0670.670 | 45
P=2097 | X=0511.150-0522.270 | Y=0661.350-0670.670 | 32
P=2097 | X=0102.770-0112.930 | Y=0672.630-0681.950 | lại
