TABLE=080 | AREA=Xã Nghĩa Trung | SECTION=agricultural | SEGMENTS=1
P=2081 | X=0168.070-0234.420 | Y=0154.850-0166.090 | Từ thửa đất số
P=2081 | X=0091.220-0102.340 | Y=0162.490-0171.810 | 34
P=2081 | X=0250.660-0293.710 | Y=0162.490-0171.810 | Hết tuyến
P=2081 | X=0363.980-0380.620 | Y=0162.490-0171.810 | 195
P=2081 | X=0414.140-0430.780 | Y=0162.490-0171.810 | 156
P=2081 | X=0463.850-0480.490 | Y=0162.490-0171.810 | 125
P=2081 | X=0511.150-0522.270 | Y=0162.490-0171.810 | 32
P=2081 | X=0168.070-0247.140 | Y=0166.370-0177.610 | 11, tờ bản đồ 131
P=2081 | X=0102.770-0126.050 | Y=0168.250-0177.570 | 753B
P=2081 | X=0102.770-0156.850 | Y=0184.370-0195.610 | Trực đường
P=2081 | X=0168.070-0237.300 | Y=0190.130-0201.370 | Đường Quốc lộ
P=2081 | X=0250.660-0324.580 | Y=0195.650-0206.890 | Đường ĐT 753B
P=2081 | X=0091.220-0161.400 | Y=0197.530-0206.850 | 35 chính Thôn 3
P=2081 | X=0363.980-0380.620 | Y=0197.530-0206.850 | 111
P=2081 | X=0419.930-0431.050 | Y=0197.530-0206.850 | 88
P=2081 | X=0469.610-0480.730 | Y=0197.530-0206.850 | 71
P=2081 | X=0511.150-0522.270 | Y=0197.530-0206.850 | 32
P=2081 | X=0168.070-0179.190 | Y=0203.310-0212.630 | 14
P=2081 | X=0102.770-0144.600 | Y=0207.190-0218.430 | đi Thôn 2
P=2081 | X=0102.770-0308.100 | Y=0225.190-0236.430 | Đường đi thôn Ngã ba cổng chào Giáp ranh xã
P=2081 | X=0091.220-0102.340 | Y=0232.830-0242.150 | 36
P=2081 | X=0363.980-0380.620 | Y=0232.830-0242.150 | 111
P=2081 | X=0419.930-0431.050 | Y=0232.830-0242.150 | 88
P=2081 | X=0469.610-0480.730 | Y=0232.830-0242.150 | 71
P=2081 | X=0511.150-0522.270 | Y=0232.830-0242.150 | 32
P=2081 | X=0250.660-0320.960 | Y=0236.710-0247.950 | Nghĩa Bình (cũ)
P=2081 | X=0102.770-0108.370 | Y=0238.590-0247.910 | 2
P=2081 | X=0168.070-0195.990 | Y=0238.590-0247.910 | thôn 2
P=2081 | X=0102.770-0159.000 | Y=0254.710-0265.950 | Đường nội ô
P=2081 | X=0091.220-0218.310 | Y=0268.110-0277.430 | 37 khu Trung tâm Toàn tuyến
P=2081 | X=0363.980-0380.620 | Y=0268.110-0277.430 | 111
P=2081 | X=0419.930-0431.050 | Y=0268.110-0277.430 | 88
P=2081 | X=0469.610-0480.730 | Y=0268.110-0277.430 | 71
P=2081 | X=0511.150-0522.270 | Y=0268.110-0277.430 | 32
P=2081 | X=0102.770-0152.300 | Y=0279.630-0288.950 | hành chính
P=2081 | X=0102.770-0147.970 | Y=0297.660-0306.980 | Các tuyến
P=2081 | X=0091.220-0102.340 | Y=0303.420-0312.740 | 38
P=2081 | X=0168.070-0218.310 | Y=0303.420-0312.740 | Toàn tuyến
P=2081 | X=0369.740-0380.860 | Y=0303.420-0312.740 | 75
P=2081 | X=0419.930-0431.050 | Y=0303.420-0312.740 | 60
P=2081 | X=0469.610-0480.730 | Y=0303.420-0312.740 | 48
P=2081 | X=0511.150-0522.270 | Y=0303.420-0312.740 | 32
P=2081 | X=0102.770-0164.550 | Y=0307.300-0318.540 | đường còn lại
