TABLE=072 | AREA=Xã Lộc Tấn | SECTION=agricultural | SEGMENTS=1
P=2052 | X=0511.150-0522.270 | Y=0419.840-0429.160 | 44
P=2052 | X=0102.770-0294.900 | Y=0423.720-0434.960 | Quốc lộ 13 trong phạm Lộc Hòa (cũ) Thạnh
P=2052 | X=0102.770-0205.260 | Y=0437.120-0446.440 | vi 200m (tính từ HLLG)
P=2052 | X=0102.770-0327.560 | Y=0453.260-0464.500 | Các tuyến đường giao thông nông thôn có bề rộng
P=2052 | X=0090.500-0101.620 | Y=0460.900-0470.220 | 35
P=2052 | X=0381.020-0392.140 | Y=0460.900-0470.220 | 70
P=2052 | X=0426.650-0437.770 | Y=0460.900-0470.220 | 56
P=2052 | X=0472.250-0483.370 | Y=0460.900-0470.220 | 45
P=2052 | X=0511.150-0522.270 | Y=0460.900-0470.220 | 44
P=2052 | X=0102.770-0300.660 | Y=0464.780-0476.020 | đường theo bản đồ địa chính từ 3,5m trở lên
P=2052 | X=0090.500-0212.310 | Y=0482.780-0494.020 | 36 Các tuyến đường còn lại
P=2052 | X=0381.020-0392.140 | Y=0484.660-0493.980 | 70
P=2052 | X=0426.650-0437.770 | Y=0484.660-0493.980 | 56
P=2052 | X=0472.250-0483.370 | Y=0484.660-0493.980 | 45
P=2052 | X=0511.150-0522.270 | Y=0484.660-0493.980 | 44
