TABLE=026 | AREA=Xã Xuân Thành | SECTION=agricultural | SEGMENTS=1
P=0917 | X=0460.490-0477.130 | Y=0557.170-0566.490 | 470
P=0917 | X=0505.390-0522.030 | Y=0557.170-0566.490 | 330
P=0917 | X=0107.570-0124.930 | Y=0562.930-0572.250 | Táo
P=0917 | X=0330.360-0397.710 | Y=0566.810-0578.050 | đất số 1759, tờ
P=0917 | X=0330.360-0419.020 | Y=0578.330-0589.570 | BĐĐC số 50 về bên
P=0917 | X=0330.360-0421.540 | Y=0591.730-0601.050 | trái (xã Xuân Thành)
P=0917 | X=0107.570-0423.560 | Y=0607.610-0618.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Thành đi
P=0917 | X=0107.570-0412.360 | Y=0619.150-0630.390 | Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 199, tờ
P=0917 | X=0107.570-0422.240 | Y=0630.670-0641.910 | BĐĐC số 177 (xã Xuân Lộc) về bên phải và hết ranh thửa đất số 1759,
P=0917 | X=0107.570-0406.070 | Y=0642.190-0653.430 | tờ BĐĐC số 50 về bên trái (xã Xuân Thành) có hiện trạng là đường
P=0917 | X=0093.140-0104.260 | Y=0650.070-0659.390 | 30
P=0917 | X=0460.490-0477.130 | Y=0650.070-0659.390 | 330
P=0917 | X=0505.390-0522.030 | Y=0650.070-0659.390 | 200
P=0917 | X=0107.570-0210.680 | Y=0653.710-0664.950 | nhựa, bê tông xi măng:
P=0917 | X=0107.570-0338.650 | Y=0671.230-0682.470 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0917 | X=0107.570-0384.740 | Y=0688.510-0699.750 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0917 | X=0093.140-0423.570 | Y=0706.290-0717.530 | 31 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Thành đi
P=0917 | X=0460.490-0477.130 | Y=0708.180-0717.500 | 260
P=0917 | X=0505.390-0522.030 | Y=0708.180-0717.500 | 150
P=0918 | X=0107.570-0412.360 | Y=0072.500-0083.740 | Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 199, tờ
P=0918 | X=0107.570-0422.240 | Y=0084.020-0095.260 | BĐĐC số 177 (xã Xuân Lộc) về bên phải và hết ranh thửa đất số 1759,
P=0918 | X=0107.570-0406.070 | Y=0095.540-0106.780 | tờ BĐĐC số 50 về bên trái (xã Xuân Thành) có hiện trạng là đường
P=0918 | X=0107.570-0210.680 | Y=0107.060-0118.300 | nhựa, bê tông xi măng:
P=0918 | X=0107.570-0339.120 | Y=0124.610-0135.850 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0918 | X=0107.570-0413.990 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0918 | X=0107.570-0149.250 | Y=0153.410-0164.650 | ≤1.000m.
P=0918 | X=0107.570-0330.740 | Y=0170.930-0182.170 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0918 | X=0107.570-0423.560 | Y=0188.690-0199.930 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Xuân Thành đi
P=0918 | X=0107.570-0412.360 | Y=0200.230-0211.470 | Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 199, tờ
P=0918 | X=0107.570-0422.240 | Y=0211.750-0222.990 | BĐĐC số 177 (xã Xuân Lộc) về bên phải và hết ranh thửa đất số 1759,
P=0918 | X=0107.570-0406.070 | Y=0223.270-0234.510 | tờ BĐĐC số 50 về bên trái (xã Xuân Thành) có hiện trạng là đường
P=0918 | X=0093.140-0104.260 | Y=0231.150-0240.470 | 32
P=0918 | X=0460.490-0477.130 | Y=0231.150-0240.470 | 180
P=0918 | X=0505.390-0522.030 | Y=0231.150-0240.470 | 110
P=0918 | X=0107.570-0210.680 | Y=0234.790-0246.030 | nhựa, bê tông xi măng:
P=0918 | X=0107.570-0393.360 | Y=0252.310-0263.550 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0918 | X=0107.570-0331.210 | Y=0269.830-0281.070 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0918 | X=0107.570-0427.180 | Y=0287.620-0298.860 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0918 | X=0107.570-0415.910 | Y=0299.140-0310.380 | Xuân Thành đi Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa
P=0918 | X=0107.570-0405.820 | Y=0310.660-0321.900 | đất số 199, tờ BĐĐC số 177 (xã Xuân Lộc) về bên phải và hết ranh
P=0918 | X=0107.570-0418.550 | Y=0321.940-0333.180 | thửa đất số 1759, tờ BĐĐC số 50 về bên trái (xã Xuân Thành) có hiện
P=0918 | X=0093.140-0104.260 | Y=0329.820-0339.140 | 33
P=0918 | X=0460.490-0477.130 | Y=0329.820-0339.140 | 330
P=0918 | X=0505.390-0522.030 | Y=0329.820-0339.140 | 200
P=0918 | X=0107.570-0279.350 | Y=0333.460-0344.700 | trạng là đường nhựa, bê tông xi măng:
P=0918 | X=0107.570-0338.650 | Y=0350.980-0362.220 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0918 | X=0107.570-0384.740 | Y=0368.520-0379.760 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0918 | X=0107.570-0427.180 | Y=0386.280-0397.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0918 | X=0107.570-0415.910 | Y=0397.800-0409.040 | Xuân Thành đi Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa
P=0918 | X=0107.570-0405.820 | Y=0409.320-0420.560 | đất số 199, tờ BĐĐC số 177 (xã Xuân Lộc) về bên phải và hết ranh
P=0918 | X=0107.570-0418.550 | Y=0420.840-0432.080 | thửa đất số 1759, tờ BĐĐC số 50 về bên trái (xã Xuân Thành) có hiện
P=0918 | X=0107.570-0279.350 | Y=0432.360-0443.600 | trạng là đường nhựa, bê tông xi măng:
P=0918 | X=0093.140-0104.260 | Y=0443.120-0452.440 | 34
P=0918 | X=0460.490-0477.130 | Y=0443.120-0452.440 | 260
P=0918 | X=0505.390-0522.030 | Y=0443.120-0452.440 | 150
P=0918 | X=0107.570-0339.120 | Y=0449.900-0461.140 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0918 | X=0107.570-0413.990 | Y=0467.420-0478.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0918 | X=0107.570-0149.250 | Y=0478.940-0490.180 | ≤1.000m.
P=0918 | X=0107.570-0330.740 | Y=0496.220-0507.460 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0918 | X=0107.570-0427.180 | Y=0513.980-0525.220 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0918 | X=0107.570-0415.910 | Y=0525.500-0536.740 | Xuân Thành đi Trảng Táo đoạn từ Đường tỉnh 766 đến Hết ranh thửa
P=0918 | X=0107.570-0405.820 | Y=0537.050-0548.290 | đất số 199, tờ BĐĐC số 177 (xã Xuân Lộc) về bên phải và hết ranh
P=0918 | X=0107.570-0418.550 | Y=0548.570-0559.810 | thửa đất số 1759, tờ BĐĐC số 50 về bên trái (xã Xuân Thành) có hiện
P=0918 | X=0093.140-0104.260 | Y=0556.450-0565.770 | 35
P=0918 | X=0460.490-0477.130 | Y=0556.450-0565.770 | 180
P=0918 | X=0505.390-0522.030 | Y=0556.450-0565.770 | 110
P=0918 | X=0107.570-0279.350 | Y=0560.090-0571.330 | trạng là đường nhựa, bê tông xi măng:
P=0918 | X=0107.570-0393.360 | Y=0577.610-0588.850 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0918 | X=0107.570-0331.210 | Y=0595.130-0606.370 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0918 | X=0330.360-0422.140 | Y=0612.890-0624.130 | Hết ranh thửa đất số
P=0918 | X=0330.360-0420.460 | Y=0624.430-0635.670 | 209, tờ BĐĐC số 49
P=0918 | X=0330.360-0424.760 | Y=0637.830-0647.150 | về bên phải (xã Xuân
P=0918 | X=0093.140-0310.750 | Y=0647.470-0658.710 | 36 Đường Kinh tế - ấp Gia Hòa Đường tỉnh 766
P=0918 | X=0330.360-0415.180 | Y=0649.350-0658.670 | Thành) và hết ranh
P=0918 | X=0460.490-0477.130 | Y=0649.350-0658.670 | 470
P=0918 | X=0505.390-0522.030 | Y=0649.350-0658.670 | 330
P=0918 | X=0330.360-0409.950 | Y=0658.750-0669.990 | thửa đất số 37, tờ
P=0918 | X=0330.360-0424.540 | Y=0670.270-0681.510 | BĐĐC số 173 về bên
P=0918 | X=0330.360-0409.330 | Y=0683.670-0692.990 | trái (xã Xuân Lộc)
P=0918 | X=0093.140-0409.900 | Y=0699.550-0710.790 | 37 Các tuyến đường giao thông đấu nối trực tiếp ra Đường Kinh tế - ấp
P=0918 | X=0460.490-0477.130 | Y=0701.430-0710.750 | 330
P=0918 | X=0505.390-0522.030 | Y=0701.430-0710.750 | 200
P=0919 | X=0107.570-0402.760 | Y=0072.500-0083.740 | Gia Hòa đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 209, tờ
P=0919 | X=0107.570-0417.910 | Y=0084.020-0095.260 | BĐĐC số 49 về bên phải (xã Xuân Thành) và hết ranh thửa đất số 37,
P=0919 | X=0107.570-0399.340 | Y=0095.540-0106.780 | tờ BĐĐC số 173 về bên trái (xã Xuân Lộc) có hiện trạng là đường
P=0919 | X=0107.570-0210.680 | Y=0107.060-0118.300 | nhựa, bê tông xi măng:
P=0919 | X=0107.570-0338.650 | Y=0124.610-0135.850 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0919 | X=0107.570-0384.740 | Y=0142.130-0153.370 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0919 | X=0107.570-0409.900 | Y=0159.650-0170.890 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Kinh tế - ấp
P=0919 | X=0107.570-0402.760 | Y=0171.170-0182.410 | Gia Hòa đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 209, tờ
P=0919 | X=0107.570-0417.910 | Y=0182.690-0193.930 | BĐĐC số 49 về bên phải (xã Xuân Thành) và hết ranh thửa đất số 37,
P=0919 | X=0107.570-0399.340 | Y=0194.210-0205.450 | tờ BĐĐC số 173 về bên trái (xã Xuân Lộc) có hiện trạng là đường
P=0919 | X=0107.570-0210.680 | Y=0205.750-0216.990 | nhựa, bê tông xi măng:
P=0919 | X=0093.140-0104.260 | Y=0216.750-0226.070 | 38
P=0919 | X=0460.490-0477.130 | Y=0216.750-0226.070 | 260
P=0919 | X=0505.390-0522.030 | Y=0216.750-0226.070 | 150
P=0919 | X=0107.570-0339.140 | Y=0223.270-0234.510 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0919 | X=0107.570-0413.990 | Y=0240.790-0252.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0919 | X=0107.570-0149.250 | Y=0252.310-0263.550 | ≤1.000m.
P=0919 | X=0107.570-0330.740 | Y=0269.830-0281.070 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0919 | X=0107.570-0409.900 | Y=0287.620-0298.860 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường Kinh tế - ấp
P=0919 | X=0107.570-0402.760 | Y=0299.140-0310.380 | Gia Hòa đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 209, tờ
P=0919 | X=0107.570-0417.910 | Y=0310.660-0321.900 | BĐĐC số 49 về bên phải (xã Xuân Thành) và hết ranh thửa đất số 37,
P=0919 | X=0107.570-0399.340 | Y=0321.940-0333.180 | tờ BĐĐC số 173 về bên trái (xã Xuân Lộc) có hiện trạng là đường
P=0919 | X=0093.140-0104.260 | Y=0329.820-0339.140 | 39
P=0919 | X=0460.490-0477.130 | Y=0329.820-0339.140 | 180
P=0919 | X=0505.390-0522.030 | Y=0329.820-0339.140 | 110
P=0919 | X=0107.570-0210.680 | Y=0333.460-0344.700 | nhựa, bê tông xi măng:
P=0919 | X=0107.570-0393.360 | Y=0350.980-0362.220 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0919 | X=0107.570-0331.210 | Y=0368.520-0379.760 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0919 | X=0107.570-0427.180 | Y=0386.280-0397.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0919 | X=0107.570-0422.380 | Y=0397.800-0409.040 | Kinh tế - ấp Gia Hòa đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số
P=0919 | X=0107.570-0422.500 | Y=0409.320-0420.560 | 209, tờ BĐĐC số 49 về bên phải (xã Xuân Thành) và hết ranh thửa đất
P=0919 | X=0107.570-0396.930 | Y=0420.840-0432.080 | số 37, tờ BĐĐC số 173 về bên trái (xã Xuân Lộc) có hiện trạng là
P=0919 | X=0093.140-0104.260 | Y=0428.720-0438.040 | 40
P=0919 | X=0460.490-0477.130 | Y=0428.720-0438.040 | 330
P=0919 | X=0505.390-0522.030 | Y=0428.720-0438.040 | 200
P=0919 | X=0107.570-0243.320 | Y=0432.360-0443.600 | đường nhựa, bê tông xi măng:
P=0919 | X=0107.570-0338.650 | Y=0449.900-0461.140 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0919 | X=0107.570-0384.740 | Y=0467.420-0478.660 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0919 | X=0107.570-0427.180 | Y=0485.180-0496.420 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0919 | X=0107.570-0422.380 | Y=0496.460-0507.700 | Kinh tế - ấp Gia Hòa đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số
P=0919 | X=0107.570-0422.500 | Y=0507.980-0519.220 | 209, tờ BĐĐC số 49 về bên phải (xã Xuân Thành) và hết ranh thửa đất
P=0919 | X=0107.570-0396.930 | Y=0519.500-0530.740 | số 37, tờ BĐĐC số 173 về bên trái (xã Xuân Lộc) có hiện trạng là
P=0919 | X=0107.570-0243.320 | Y=0531.020-0542.260 | đường nhựa, bê tông xi măng:
P=0919 | X=0093.140-0104.260 | Y=0542.050-0551.370 | 41
P=0919 | X=0460.490-0477.130 | Y=0542.050-0551.370 | 260
P=0919 | X=0505.390-0522.030 | Y=0542.050-0551.370 | 150
P=0919 | X=0107.570-0339.120 | Y=0548.570-0559.810 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0919 | X=0107.570-0413.990 | Y=0566.090-0577.330 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0919 | X=0107.570-0149.250 | Y=0577.610-0588.850 | ≤1.000m.
P=0919 | X=0107.570-0330.740 | Y=0595.130-0606.370 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0919 | X=0107.570-0427.180 | Y=0612.890-0624.130 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0919 | X=0107.570-0422.380 | Y=0624.430-0635.670 | Kinh tế - ấp Gia Hòa đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số
P=0919 | X=0107.570-0422.500 | Y=0635.950-0647.190 | 209, tờ BĐĐC số 49 về bên phải (xã Xuân Thành) và hết ranh thửa đất
P=0919 | X=0107.570-0396.930 | Y=0647.470-0658.710 | số 37, tờ BĐĐC số 173 về bên trái (xã Xuân Lộc) có hiện trạng là
P=0919 | X=0093.140-0104.260 | Y=0655.350-0664.670 | 42
P=0919 | X=0460.490-0477.130 | Y=0655.350-0664.670 | 180
P=0919 | X=0505.390-0522.030 | Y=0655.350-0664.670 | 110
P=0919 | X=0107.570-0243.320 | Y=0658.750-0669.990 | đường nhựa, bê tông xi măng:
P=0919 | X=0107.570-0393.390 | Y=0676.270-0687.510 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0919 | X=0107.570-0331.210 | Y=0693.790-0705.030 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0920 | X=0330.360-0406.150 | Y=0078.500-0089.740 | Bên phải đến hết
P=0920 | X=0330.360-0426.070 | Y=0090.020-0101.260 | ranh thửa đất số 525,
P=0920 | X=0330.360-0421.650 | Y=0101.540-0112.780 | tờ BĐĐC số 37, Bên
P=0920 | X=0093.140-0156.130 | Y=0113.060-0124.300 | 43 Đường 8/3
P=0920 | X=0240.580-0310.750 | Y=0113.060-0124.300 | Đường tỉnh 766
P=0920 | X=0330.360-0421.180 | Y=0113.060-0124.300 | trái đến hết ran thửa
P=0920 | X=0460.490-0477.130 | Y=0114.940-0124.260 | 470
P=0920 | X=0505.390-0522.030 | Y=0114.940-0124.260 | 330
P=0920 | X=0330.360-0423.340 | Y=0124.610-0135.850 | đất số 567, tờ BĐĐC
P=0920 | X=0330.360-0397.640 | Y=0138.010-0147.330 | số 37 (xã Xuân
P=0920 | X=0330.360-0362.040 | Y=0149.290-0158.610 | Thành)
P=0920 | X=0107.570-0410.090 | Y=0165.170-0176.410 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 8/3 đoạn từ
P=0920 | X=0107.570-0417.340 | Y=0176.690-0187.930 | Đường tỉnh 766 đến Bên phải đến hết ranh thửa đất số 525, tờ BĐĐC
P=0920 | X=0107.570-0414.460 | Y=0188.210-0199.450 | số 37, Bên trái đến hết ran thửa đất số 567, tờ BĐĐC số 37 (xã Xuân
P=0920 | X=0093.140-0348.970 | Y=0199.750-0211.190 | 44 Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0920 | X=0460.490-0477.130 | Y=0201.870-0211.190 | 330
P=0920 | X=0505.390-0522.030 | Y=0201.870-0211.190 | 200
P=0920 | X=0107.570-0338.650 | Y=0217.270-0228.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0920 | X=0107.570-0384.740 | Y=0234.790-0246.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0920 | X=0107.570-0410.090 | Y=0252.550-0263.790 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 8/3 đoạn từ
P=0920 | X=0107.570-0417.340 | Y=0264.070-0275.310 | Đường tỉnh 766 đến Bên phải đến hết ranh thửa đất số 525, tờ BĐĐC
P=0920 | X=0107.570-0414.460 | Y=0275.590-0286.830 | số 37, Bên trái đến hết ran thửa đất số 567, tờ BĐĐC số 37 (xã Xuân
P=0920 | X=0107.570-0348.970 | Y=0287.140-0298.380 | Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0920 | X=0093.140-0339.120 | Y=0303.660-0315.900 | 45 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0920 | X=0460.490-0477.130 | Y=0303.660-0312.980 | 260
P=0920 | X=0505.390-0522.030 | Y=0303.660-0312.980 | 150
P=0920 | X=0107.570-0413.990 | Y=0321.940-0333.180 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0920 | X=0107.570-0149.250 | Y=0333.460-0344.700 | ≤1.000m.
P=0920 | X=0107.570-0330.770 | Y=0350.980-0362.220 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0920 | X=0107.570-0410.090 | Y=0368.760-0380.000 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường 8/3 đoạn từ
P=0920 | X=0107.570-0417.340 | Y=0380.280-0391.520 | Đường tỉnh 766 đến Bên phải đến hết ranh thửa đất số 525, tờ BĐĐC
P=0920 | X=0107.570-0414.460 | Y=0391.800-0403.040 | số 37, Bên trái đến hết ran thửa đất số 567, tờ BĐĐC số 37 (xã Xuân
P=0920 | X=0093.140-0348.980 | Y=0403.320-0414.760 | 46 Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0920 | X=0460.490-0477.130 | Y=0405.440-0414.760 | 180
P=0920 | X=0505.390-0522.030 | Y=0405.440-0414.760 | 110
P=0920 | X=0107.570-0393.360 | Y=0420.840-0432.080 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0920 | X=0107.570-0331.210 | Y=0438.360-0449.600 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0920 | X=0107.570-0427.180 | Y=0456.140-0467.380 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0920 | X=0107.570-0405.580 | Y=0467.660-0478.900 | 8/3 đoạn từ Đường tỉnh 766 đến Bên phải đến hết ranh thửa đất số
P=0920 | X=0107.570-0423.350 | Y=0479.180-0490.420 | 525, tờ BĐĐC số 37, Bên trái đến hết ran thửa đất số 567, tờ BĐĐC số
P=0920 | X=0093.140-0405.870 | Y=0490.460-0502.140 | 47 37 (xã Xuân Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0920 | X=0460.490-0477.130 | Y=0492.820-0502.140 | 330
P=0920 | X=0505.390-0522.030 | Y=0492.820-0502.140 | 200
P=0920 | X=0107.570-0338.650 | Y=0507.980-0519.220 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0920 | X=0107.570-0384.740 | Y=0525.500-0536.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0920 | X=0107.570-0427.180 | Y=0543.290-0554.530 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0920 | X=0107.570-0405.580 | Y=0554.810-0566.050 | 8/3 đoạn từ Đường tỉnh 766 đến Bên phải đến hết ranh thửa đất số
P=0920 | X=0107.570-0423.350 | Y=0566.330-0577.570 | 525, tờ BĐĐC số 37, Bên trái đến hết ran thửa đất số 567, tờ BĐĐC số
P=0920 | X=0107.570-0405.870 | Y=0577.850-0589.090 | 37 (xã Xuân Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0920 | X=0093.140-0339.120 | Y=0594.370-0606.610 | 48 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0920 | X=0460.490-0477.130 | Y=0594.370-0603.690 | 260
P=0920 | X=0505.390-0522.030 | Y=0594.370-0603.690 | 150
P=0920 | X=0107.570-0413.990 | Y=0612.890-0624.130 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0920 | X=0107.570-0149.250 | Y=0624.430-0635.670 | ≤1.000m.
P=0920 | X=0107.570-0330.740 | Y=0641.950-0653.190 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0920 | X=0107.570-0427.180 | Y=0659.710-0670.950 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0920 | X=0107.570-0405.580 | Y=0671.230-0682.470 | 8/3 đoạn từ Đường tỉnh 766 đến Bên phải đến hết ranh thửa đất số
P=0920 | X=0093.140-0104.260 | Y=0678.630-0687.950 | 49
P=0920 | X=0460.490-0477.130 | Y=0678.630-0687.950 | 180
P=0920 | X=0505.390-0522.030 | Y=0678.630-0687.950 | 110
P=0920 | X=0107.570-0423.350 | Y=0682.510-0693.750 | 525, tờ BĐĐC số 37, Bên trái đến hết ran thửa đất số 567, tờ BĐĐC số
P=0920 | X=0107.570-0405.870 | Y=0694.030-0705.270 | 37 (xã Xuân Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0921 | X=0107.570-0393.390 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0921 | X=0107.570-0331.210 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0921 | X=0330.360-0419.500 | Y=0113.780-0125.020 | Ngã ba (thửa đất số
P=0921 | X=0093.140-0167.910 | Y=0125.330-0136.570 | 50 Đường tổ 6-7
P=0921 | X=0240.580-0310.750 | Y=0125.330-0136.570 | Đường tỉnh 766
P=0921 | X=0330.360-0412.070 | Y=0125.330-0136.570 | 1774, tờ BĐĐC số
P=0921 | X=0460.490-0477.130 | Y=0127.210-0136.530 | 470
P=0921 | X=0505.390-0522.030 | Y=0127.210-0136.530 | 330
P=0921 | X=0330.360-0418.200 | Y=0138.730-0148.050 | 39, xã Xuân Thành)
P=0921 | X=0107.570-0421.850 | Y=0154.610-0165.850 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6-7 đoạn từ
P=0921 | X=0107.570-0403.650 | Y=0166.130-0177.370 | Đường tỉnh 766 đến Ngã ba (thửa đất số 1774, tờ BĐĐC số 39, xã
P=0921 | X=0107.570-0375.150 | Y=0177.410-0188.650 | Xuân Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0921 | X=0093.140-0104.260 | Y=0185.290-0194.610 | 51
P=0921 | X=0460.490-0477.130 | Y=0185.290-0194.610 | 330
P=0921 | X=0505.390-0522.030 | Y=0185.290-0194.610 | 200
P=0921 | X=0107.570-0338.650 | Y=0194.930-0206.170 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0921 | X=0107.570-0384.740 | Y=0212.470-0223.710 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0921 | X=0107.570-0421.850 | Y=0230.230-0241.470 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6-7 đoạn từ
P=0921 | X=0107.570-0403.650 | Y=0241.750-0252.990 | Đường tỉnh 766 đến Ngã ba (thửa đất số 1774, tờ BĐĐC số 39, xã
P=0921 | X=0107.570-0375.150 | Y=0253.270-0264.510 | Xuân Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0921 | X=0093.140-0339.120 | Y=0270.790-0284.870 | 52 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0921 | X=0460.490-0477.130 | Y=0275.550-0284.870 | 260
P=0921 | X=0505.390-0522.030 | Y=0275.550-0284.870 | 150
P=0921 | X=0107.570-0413.990 | Y=0288.340-0299.580 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0921 | X=0107.570-0149.250 | Y=0299.860-0311.100 | ≤1.000m.
P=0921 | X=0107.570-0330.740 | Y=0317.380-0328.620 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0921 | X=0107.570-0421.850 | Y=0335.140-0346.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tổ 6-7 đoạn từ
P=0921 | X=0107.570-0403.650 | Y=0346.660-0357.900 | Đường tỉnh 766 đến Ngã ba (thửa đất số 1774, tờ BĐĐC số 39, xã
P=0921 | X=0107.570-0375.150 | Y=0357.940-0369.180 | Xuân Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0921 | X=0093.140-0104.260 | Y=0365.820-0375.140 | 53
P=0921 | X=0460.490-0477.130 | Y=0365.820-0375.140 | 180
P=0921 | X=0505.390-0522.030 | Y=0365.820-0375.140 | 110
P=0921 | X=0107.570-0393.360 | Y=0375.480-0386.720 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0921 | X=0107.570-0331.210 | Y=0393.000-0404.240 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0921 | X=0107.570-0427.180 | Y=0410.760-0422.000 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0921 | X=0107.570-0425.740 | Y=0422.280-0433.520 | tổ 6-7 đoạn từ Đường tỉnh 766 đến Ngã ba (thửa đất số 1774, tờ BĐĐC
P=0921 | X=0107.570-0418.590 | Y=0433.800-0445.040 | số 39, xã Xuân Thành) có hiện trạng là đường nhựa, bê tông xi măng:
P=0921 | X=0093.140-0104.260 | Y=0441.680-0451.000 | 54
P=0921 | X=0460.490-0477.130 | Y=0441.680-0451.000 | 330
P=0921 | X=0505.390-0522.030 | Y=0441.680-0451.000 | 200
P=0921 | X=0107.570-0338.650 | Y=0451.340-0462.580 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
