TABLE=076 | AREA=Xã Tân Hưng | SECTION=agricultural | SEGMENTS=1
P=2067 | X=0472.010-0483.130 | Y=0203.310-0212.630 | 64
P=2067 | X=0511.150-0522.270 | Y=0203.310-0212.630 | 51
P=2067 | X=0102.770-0186.390 | Y=0209.070-0218.390 | rộng từ 3 m trở lên
P=2067 | X=0102.770-0199.600 | Y=0225.190-0236.430 | Các tuyến đường còn
P=2067 | X=0102.770-0201.970 | Y=0236.710-0247.950 | lại trên địa bàn xã Tân
P=2067 | X=0090.500-0101.620 | Y=0244.350-0253.670 | 34
P=2067 | X=0211.510-0261.780 | Y=0244.350-0253.670 | Toàn tuyến
P=2067 | X=0432.890-0444.010 | Y=0244.350-0253.670 | 80
P=2067 | X=0472.010-0483.130 | Y=0244.350-0253.670 | 64
P=2067 | X=0511.150-0522.270 | Y=0244.350-0253.670 | 51
P=2067 | X=0102.770-0205.790 | Y=0248.230-0259.470 | Hưng (cũ) và xã Thanh
P=2067 | X=0102.770-0135.160 | Y=0259.750-0270.990 | An (cũ)
P=2067 | X=0102.770-0199.600 | Y=0277.750-0288.990 | Các tuyến đường còn
P=2067 | X=0090.500-0196.940 | Y=0289.300-0300.540 | 35 lại trên địa bàn xã An
P=2067 | X=0211.510-0261.780 | Y=0291.180-0300.500 | Toàn tuyến
P=2067 | X=0432.890-0444.010 | Y=0291.180-0300.500 | 60
P=2067 | X=0472.010-0483.130 | Y=0291.180-0300.500 | 48
P=2067 | X=0511.150-0522.270 | Y=0291.180-0300.500 | 38
P=2067 | X=0102.770-0159.630 | Y=0300.820-0312.060 | Khương (cũ)
