TABLE=093 | AREA=Xã Phú Trung | SECTION=agricultural | SEGMENTS=1
P=2133 | X=0198.070-0287.690 | Y=0467.180-0478.420 | Giáp đường ĐT 759
P=2133 | X=0419.210-0435.850 | Y=0469.060-0478.380 | 112
P=2133 | X=0468.410-0479.530 | Y=0469.060-0478.380 | 90
P=2133 | X=0511.150-0522.270 | Y=0469.060-0478.380 | 72
P=2133 | X=0290.760-0369.330 | Y=0474.820-0484.140 | 200m về Thác Ba
P=2133 | X=0290.760-0359.960 | Y=0490.940-0502.180 | Hết ranh đất bà
P=2133 | X=0198.070-0374.380 | Y=0502.220-0513.460 | Giáp đường ĐT 759 Nguyễn Thị Quỳnh
P=2133 | X=0093.380-0174.610 | Y=0507.980-0519.220 | 9 Đường Thác Ba
P=2133 | X=0419.210-0435.850 | Y=0509.860-0519.180 | 112
P=2133 | X=0468.410-0479.530 | Y=0509.860-0519.180 | 90
P=2133 | X=0511.150-0522.270 | Y=0509.860-0519.180 | 72
P=2133 | X=0198.070-0389.110 | Y=0513.740-0524.980 | + 200m về Thác Ba Như (thửa đất số 101,
P=2133 | X=0290.760-0369.480 | Y=0525.260-0536.500 | tờ bản đồ số 101)
P=2133 | X=0198.070-0290.100 | Y=0543.290-0554.530 | Từ đầu thửa đất ông
P=2133 | X=0198.070-0280.970 | Y=0554.810-0566.050 | Nguyễn Như Vàng
P=2133 | X=0090.500-0174.610 | Y=0560.570-0571.810 | 10 Đường Thác Ba
P=2133 | X=0290.760-0370.520 | Y=0560.570-0571.810 | Đến Cầu Thác Ba
P=2133 | X=0419.210-0435.850 | Y=0562.450-0571.770 | 112
P=2133 | X=0468.410-0479.530 | Y=0562.450-0571.770 | 90
P=2133 | X=0511.150-0522.270 | Y=0562.450-0571.770 | 72
P=2133 | X=0198.070-0281.030 | Y=0566.330-0577.570 | (thửa đất số 27, tờ
P=2133 | X=0198.070-0264.580 | Y=0577.850-0589.090 | bản đồ số 102)
P=2133 | X=0290.760-0393.980 | Y=0595.850-0607.090 | Đường thôn Đồng Tâm
P=2133 | X=0090.500-0174.610 | Y=0601.610-0612.850 | 11 Đường Thác Ba
P=2133 | X=0198.070-0270.150 | Y=0603.490-0612.810 | Từ cầu Thác Ba
P=2133 | X=0419.210-0435.850 | Y=0603.490-0612.810 | 112
P=2133 | X=0468.410-0479.530 | Y=0603.490-0612.810 | 90
P=2133 | X=0511.150-0522.270 | Y=0603.490-0612.810 | 72
P=2133 | X=0290.760-0357.070 | Y=0607.370-0618.610 | đi Nghĩa Trung
P=2133 | X=0102.770-0183.520 | Y=0625.390-0636.630 | Đường thôn Đồng
P=2133 | X=0290.760-0367.160 | Y=0625.390-0636.630 | Đến giáp ranh xã
P=2133 | X=0090.500-0101.620 | Y=0633.030-0642.350 | 12
P=2133 | X=0198.070-0271.150 | Y=0633.030-0642.350 | Giáp thôn Bù Tố
P=2133 | X=0419.210-0435.850 | Y=0633.030-0642.350 | 112
P=2133 | X=0468.410-0479.530 | Y=0633.030-0642.350 | 90
P=2133 | X=0511.150-0522.270 | Y=0633.030-0642.350 | 72
P=2133 | X=0102.770-0191.850 | Y=0636.910-0648.150 | Tâm đi Nghĩa Trung
P=2133 | X=0290.760-0346.510 | Y=0636.910-0648.150 | Nghĩa Trung
P=2133 | X=0290.760-0391.580 | Y=0654.910-0666.150 | Đường xã Phú Trung -
P=2133 | X=0090.500-0172.920 | Y=0660.670-0671.910 | 13 Đường Bến Tre
P=2133 | X=0198.070-0265.350 | Y=0660.670-0671.910 | Đường ĐT 759
P=2133 | X=0419.210-0435.850 | Y=0662.550-0671.870 | 112
P=2133 | X=0468.410-0479.530 | Y=0662.550-0671.870 | 90
P=2133 | X=0511.150-0522.270 | Y=0662.550-0671.870 | 72
P=2133 | X=0290.760-0374.750 | Y=0666.430-0677.670 | xã Phước Tân (cũ)
P=2133 | X=0102.770-0176.950 | Y=0684.430-0695.670 | Đường Bù Nho -
P=2133 | X=0290.760-0394.430 | Y=0684.430-0695.670 | Đường ĐT 759 + 200m
P=2133 | X=0198.070-0265.350 | Y=0690.190-0701.430 | Đường ĐT 759
P=2133 | X=0090.500-0101.620 | Y=0692.070-0701.390 | 14
P=2133 | X=0419.210-0435.850 | Y=0692.070-0701.390 | 112
P=2133 | X=0468.410-0479.530 | Y=0692.070-0701.390 | 90
P=2133 | X=0511.150-0522.270 | Y=0692.070-0701.390 | 72
P=2133 | X=0102.770-0173.560 | Y=0695.950-0707.190 | Phước Tân (cũ)
P=2133 | X=0290.760-0364.280 | Y=0697.830-0707.150 | về xã Phú Riềng
P=2134 | X=0290.760-0366.440 | Y=0078.740-0089.980 | Ngã ba đường đi
P=2134 | X=0198.070-0274.030 | Y=0084.500-0095.740 | Đường ĐT 759 +
P=2134 | X=0102.770-0176.950 | Y=0090.260-0101.500 | Đường Bù Nho -
P=2134 | X=0290.760-0391.400 | Y=0090.260-0101.500 | Phước Tân-Phú Trung
P=2134 | X=0090.500-0101.620 | Y=0097.900-0107.220 | 15
P=2134 | X=0198.070-0270.650 | Y=0097.900-0107.220 | 200m về xã Phú
P=2134 | X=0419.210-0435.850 | Y=0097.900-0107.220 | 112
P=2134 | X=0468.410-0479.530 | Y=0097.900-0107.220 | 90
P=2134 | X=0511.150-0522.270 | Y=0097.900-0107.220 | 72
P=2134 | X=0102.770-0173.560 | Y=0101.780-0113.020 | Phước Tân (cũ)
P=2134 | X=0290.760-0390.770 | Y=0101.780-0113.020 | (cũ) Kết nối đường ĐT
P=2134 | X=0198.070-0224.310 | Y=0109.420-0118.740 | Riềng
P=2134 | X=0290.760-0370.920 | Y=0113.300-0124.540 | 753B (ĐH 312 cũ)
P=2134 | X=0198.070-0276.670 | Y=0131.330-0142.570 | Ngã ba đường xa
P=2134 | X=0198.070-0264.660 | Y=0142.850-0154.090 | Phú Trũng - xã
P=2134 | X=0102.770-0176.950 | Y=0148.610-0159.850 | Đường Bù Nho -
P=2134 | X=0290.760-0368.830 | Y=0150.490-0159.810 | Giáp ranh xã Phú
P=2134 | X=0198.070-0284.900 | Y=0154.370-0165.610 | Phước Tân (cũ) kết
P=2134 | X=0090.500-0101.620 | Y=0156.250-0165.570 | 16
P=2134 | X=0419.210-0435.850 | Y=0156.250-0165.570 | 112
P=2134 | X=0468.410-0479.530 | Y=0156.250-0165.570 | 90
P=2134 | X=0511.150-0522.270 | Y=0156.250-0165.570 | 72
P=2134 | X=0102.770-0173.560 | Y=0160.130-0171.370 | Phước Tân (cũ)
P=2134 | X=0290.760-0317.000 | Y=0162.010-0171.330 | Riềng
P=2134 | X=0198.070-0289.290 | Y=0165.650-0176.890 | nối đường ĐT 753 B
P=2134 | X=0198.070-0252.070 | Y=0177.170-0188.410 | (ĐH 312 cũ)
P=2134 | X=0290.760-0375.420 | Y=0197.050-0206.370 | Giáp lô CS NT (hết
P=2134 | X=0102.770-0271.990 | Y=0200.950-0212.190 | Đường xã Phú Trung Đường ĐT 753B
P=2134 | X=0290.760-0390.270 | Y=0206.710-0217.950 | ranh thửa đất số 21 tờ
P=2134 | X=0090.500-0101.620 | Y=0208.590-0217.910 | 17
P=2134 | X=0419.210-0435.850 | Y=0208.590-0217.910 | 112
P=2134 | X=0468.410-0479.530 | Y=0208.590-0217.910 | 90
P=2134 | X=0511.150-0522.270 | Y=0208.590-0217.910 | 72
P=2134 | X=0102.770-0252.070 | Y=0212.470-0223.710 | - xã Phước Tân (cũ) (ĐH 312 cũ)
P=2134 | X=0290.760-0305.160 | Y=0220.110-0229.430 | 24)
P=2134 | X=0198.070-0378.030 | Y=0236.230-0247.470 | Giáp lô CS NT (hết Hết thửa đất 251 tờ
P=2134 | X=0102.770-0197.400 | Y=0241.990-0253.230 | Đường xã Phú Trung
P=2134 | X=0198.070-0374.780 | Y=0247.750-0258.990 | ranh thửa đất số 21 115 của ông Phạm
P=2134 | X=0090.500-0101.620 | Y=0249.630-0258.950 | 18
P=2134 | X=0419.210-0435.850 | Y=0249.630-0258.950 | 112
P=2134 | X=0468.410-0479.530 | Y=0249.630-0258.950 | 90
P=2134 | X=0511.150-0522.270 | Y=0249.630-0258.950 | 72
P=2134 | X=0102.770-0193.000 | Y=0253.510-0264.750 | - xã Phước Tân (cũ)
P=2134 | X=0290.760-0339.800 | Y=0259.270-0270.510 | Văn Thông
P=2134 | X=0198.070-0224.710 | Y=0261.150-0270.470 | tờ 24)
P=2134 | X=0102.770-0190.150 | Y=0277.270-0288.510 | Đường Phú Trung -
P=2134 | X=0102.770-0189.590 | Y=0288.820-0300.060 | Phước Tân (cũ) kết
P=2134 | X=0290.760-0378.140 | Y=0288.820-0300.060 | Giáp đường Phước
P=2134 | X=0198.070-0263.680 | Y=0294.580-0305.820 | Đường ĐH312
P=2134 | X=0090.500-0101.620 | Y=0296.460-0305.780 | 19
P=2134 | X=0419.210-0435.850 | Y=0296.460-0305.780 | 112
P=2134 | X=0468.410-0479.530 | Y=0296.460-0305.780 | 90
P=2134 | X=0511.150-0522.270 | Y=0296.460-0305.780 | 72
P=2134 | X=0102.770-0196.300 | Y=0300.340-0311.580 | nối ĐH312 cũ với ĐT
P=2134 | X=0290.760-0370.430 | Y=0300.340-0311.580 | Tân - Bù Nho (cũ)
P=2134 | X=0102.770-0119.410 | Y=0313.740-0323.060 | 759
P=2134 | X=0090.500-0150.130 | Y=0329.860-0341.100 | 20 Đường N4
P=2134 | X=0198.070-0248.340 | Y=0331.740-0341.060 | Toàn tuyến
P=2134 | X=0419.210-0435.850 | Y=0331.740-0341.060 | 112
P=2134 | X=0468.410-0479.530 | Y=0331.740-0341.060 | 90
P=2134 | X=0511.150-0522.270 | Y=0331.740-0341.060 | 72
P=2134 | X=0090.500-0150.130 | Y=0347.860-0359.100 | 21 Đường N5
P=2134 | X=0198.070-0248.340 | Y=0349.740-0359.060 | Toàn tuyến
P=2134 | X=0419.210-0435.850 | Y=0349.740-0359.060 | 112
P=2134 | X=0468.410-0479.530 | Y=0349.740-0359.060 | 90
P=2134 | X=0511.150-0522.270 | Y=0349.740-0359.060 | 72
P=2134 | X=0090.500-0150.130 | Y=0365.880-0377.120 | 22 Đường N7
P=2134 | X=0198.070-0248.340 | Y=0367.760-0377.080 | Toàn tuyến
P=2134 | X=0419.210-0435.850 | Y=0367.760-0377.080 | 112
P=2134 | X=0468.410-0479.530 | Y=0367.760-0377.080 | 90
P=2134 | X=0511.150-0522.270 | Y=0367.760-0377.080 | 72
P=2134 | X=0090.500-0150.130 | Y=0383.880-0395.120 | 23 Đường D1
P=2134 | X=0198.070-0248.340 | Y=0385.760-0395.080 | Toàn tuyến
P=2134 | X=0419.210-0435.850 | Y=0385.760-0395.080 | 112
P=2134 | X=0468.410-0479.530 | Y=0385.760-0395.080 | 90
P=2134 | X=0511.150-0522.270 | Y=0385.760-0395.080 | 72
P=2134 | X=0102.770-0183.980 | Y=0401.880-0413.120 | Đường giao thông
P=2134 | X=0102.770-0188.070 | Y=0413.400-0424.640 | đấu nối trục đường
P=2134 | X=0090.500-0180.680 | Y=0424.920-0436.160 | 24 Quốc lộ 14 và ĐT
P=2134 | X=0198.070-0248.340 | Y=0426.800-0436.120 | Toàn tuyến
P=2134 | X=0419.210-0435.850 | Y=0426.800-0436.120 | 112
P=2134 | X=0468.410-0479.530 | Y=0426.800-0436.120 | 90
P=2134 | X=0511.150-0522.270 | Y=0426.800-0436.120 | 72
P=2134 | X=0102.770-0182.950 | Y=0436.200-0447.440 | 753B (ĐH 312 cũ)
P=2134 | X=0102.770-0165.630 | Y=0449.600-0458.920 | phạm vi 200m
P=2134 | X=0102.770-0183.980 | Y=0465.740-0476.980 | Đường giao thông
P=2134 | X=0102.770-0188.070 | Y=0477.260-0488.500 | đấu nối trục đường
P=2134 | X=0090.500-0101.620 | Y=0484.900-0494.220 | 25
P=2134 | X=0198.070-0248.340 | Y=0484.900-0494.220 | Toàn tuyến
P=2134 | X=0419.210-0435.850 | Y=0484.900-0494.220 | 112
P=2134 | X=0468.410-0479.530 | Y=0484.900-0494.220 | 90
P=2134 | X=0511.150-0522.270 | Y=0484.900-0494.220 | 72
P=2134 | X=0102.770-0173.630 | Y=0488.780-0500.020 | ĐT 759 phạm vi
P=2134 | X=0102.770-0127.730 | Y=0502.180-0511.500 | 200m
P=2134 | X=0102.770-0190.150 | Y=0518.300-0529.540 | Đường Đồng Tâm -
P=2134 | X=0290.760-0373.180 | Y=0518.300-0529.540 | Giáp ranh phường
P=2134 | X=0198.070-0269.910 | Y=0524.060-0535.300 | Đường Thác Ba
P=2134 | X=0090.500-0101.620 | Y=0525.940-0535.260 | 26
P=2134 | X=0419.210-0435.850 | Y=0525.940-0535.260 | 112
P=2134 | X=0468.410-0479.530 | Y=0525.940-0535.260 | 90
P=2134 | X=0511.150-0522.270 | Y=0525.940-0535.260 | 72
P=2134 | X=0290.760-0346.530 | Y=0529.820-0541.060 | Phước Long
P=2134 | X=0102.770-0129.730 | Y=0531.700-0541.020 | Bù Tố
P=2134 | X=0090.500-0150.130 | Y=0547.850-0559.090 | 27 Đường D2
P=2134 | X=0198.070-0248.340 | Y=0549.730-0559.050 | Toàn tuyến
P=2134 | X=0419.210-0435.850 | Y=0549.730-0559.050 | 112
P=2134 | X=0468.410-0479.530 | Y=0549.730-0559.050 | 90
P=2134 | X=0511.150-0522.270 | Y=0549.730-0559.050 | 72
P=2134 | X=0102.770-0186.870 | Y=0565.850-0577.090 | Đường Thôn Đồng
P=2134 | X=0290.760-0382.540 | Y=0565.850-0577.090 | Hết ranh thửa đất số
P=2134 | X=0198.070-0265.350 | Y=0571.610-0582.850 | Đường ĐT 759
P=2134 | X=0090.500-0101.620 | Y=0573.490-0582.810 | 28
P=2134 | X=0419.210-0435.850 | Y=0573.490-0582.810 | 112
P=2134 | X=0468.410-0479.530 | Y=0573.490-0582.810 | 90
P=2134 | X=0511.150-0522.270 | Y=0573.490-0582.810 | 72
P=2134 | X=0290.760-0374.620 | Y=0577.370-0588.610 | 18 tờ bản đồ số 76
P=2134 | X=0102.770-0122.530 | Y=0579.250-0588.570 | Tiến
P=2134 | X=0198.070-0282.850 | Y=0597.250-0606.570 | Ngã ba Bình Trung
P=2134 | X=0102.770-0197.150 | Y=0601.130-0612.370 | Đường Bình Trung đi
P=2134 | X=0198.070-0275.470 | Y=0606.890-0618.130 | (Tiếp giáp đường
P=2134 | X=0090.500-0101.620 | Y=0608.770-0618.090 | 29
P=2134 | X=0290.760-0391.620 | Y=0608.770-0618.090 | Giáp ranh xã Bình Tân
P=2134 | X=0419.210-0435.850 | Y=0608.770-0618.090 | 112
P=2134 | X=0468.410-0479.530 | Y=0608.770-0618.090 | 90
P=2134 | X=0511.150-0522.270 | Y=0608.770-0618.090 | 72
P=2134 | X=0102.770-0143.640 | Y=0614.530-0623.850 | Bình Tân
P=2134 | X=0198.070-0234.300 | Y=0618.430-0629.670 | ĐT 759)
P=2134 | X=0102.770-0188.040 | Y=0636.430-0647.670 | Đường Bình Trưng
P=2134 | X=0198.070-0373.180 | Y=0642.190-0653.430 | Đường Bình Trung Giáp ranh phường
P=2134 | X=0090.500-0183.430 | Y=0647.950-0659.190 | 30 đi Phường Phước
P=2134 | X=0419.210-0435.850 | Y=0649.830-0659.150 | 112
P=2134 | X=0468.410-0479.530 | Y=0649.830-0659.150 | 90
P=2134 | X=0511.150-0522.270 | Y=0649.830-0659.150 | 72
P=2134 | X=0198.070-0249.490 | Y=0653.710-0664.950 | đi Bình Tân
P=2134 | X=0290.760-0344.360 | Y=0653.710-0664.950 | Phước Binh
P=2134 | X=0102.770-0123.480 | Y=0661.350-0670.670 | Bình
P=2134 | X=0198.070-0363.800 | Y=0677.470-0688.710 | Ngã ba tiếp giáp ĐT Ngã ba tiếp giáp
P=2134 | X=0102.770-0197.160 | Y=0683.230-0694.470 | Đường Đồng Tháp đi
P=2134 | X=0198.070-0391.580 | Y=0688.750-0699.990 | 759 (từ đầu thửa đất Đường xã Phú Trung -
P=2134 | X=0090.500-0101.620 | Y=0690.630-0699.950 | 31
P=2134 | X=0419.210-0435.850 | Y=0690.630-0699.950 | 112
P=2134 | X=0468.410-0479.530 | Y=0690.630-0699.950 | 90
P=2134 | X=0511.150-0522.270 | Y=0690.630-0699.950 | 72
P=2134 | X=0102.770-0163.080 | Y=0696.390-0705.710 | xã Phú Trung
P=2134 | X=0198.070-0268.020 | Y=0700.290-0711.530 | 69 tờ bản đồ số
P=2134 | X=0290.760-0374.750 | Y=0700.290-0711.530 | xã Phước Tân (cũ)
P=2135 | X=0290.760-0382.540 | Y=0072.740-0083.980 | (Đến hết thửa đất số
P=2135 | X=0198.070-0217.990 | Y=0074.620-0083.940 | 115)
P=2135 | X=0290.760-0389.180 | Y=0084.260-0095.500 | 500 tờ bản đồ số 115)
