TABLE=086 | AREA=Xã Tân Tiến | SECTION=agricultural | SEGMENTS=1
P=2111 | X=0102.770-0200.310 | Y=0448.200-0459.440 | Đường liên xã Lộc An
P=2111 | X=0284.260-0355.010 | Y=0448.200-0459.440 | Thửa đất số 16,
P=2111 | X=0205.990-0271.710 | Y=0453.980-0465.220 | Nông trường II
P=2111 | X=0090.500-0101.620 | Y=0455.860-0465.180 | 71
P=2111 | X=0388.220-0404.860 | Y=0455.860-0465.180 | 105
P=2111 | X=0435.050-0446.170 | Y=0455.860-0465.180 | 84
P=2111 | X=0475.850-0486.970 | Y=0455.860-0465.180 | 67
P=2111 | X=0511.150-0522.270 | Y=0455.860-0465.180 | 44
P=2111 | X=0102.770-0158.530 | Y=0459.740-0470.980 | - Lộc Tấn cũ
P=2111 | X=0284.260-0359.720 | Y=0459.740-0470.980 | tờ bản đồ số 119
P=2111 | X=0102.770-0276.750 | Y=0477.740-0488.980 | Đường liên xã Lộc An Thửa đất số 16,
P=2111 | X=0090.500-0101.620 | Y=0485.380-0494.700 | 72
P=2111 | X=0284.260-0361.900 | Y=0485.380-0494.700 | Ngã ba Trạm y tế
P=2111 | X=0388.220-0404.860 | Y=0485.380-0494.700 | 105
P=2111 | X=0435.050-0446.170 | Y=0485.380-0494.700 | 84
P=2111 | X=0475.850-0486.970 | Y=0485.380-0494.700 | 67
P=2111 | X=0511.150-0522.270 | Y=0485.380-0494.700 | 44
P=2111 | X=0102.770-0158.530 | Y=0489.260-0500.500 | - Lộc Tấn cũ
P=2111 | X=0205.990-0281.460 | Y=0489.260-0500.500 | tờ bản đồ số 119
P=2111 | X=0102.770-0200.310 | Y=0507.260-0518.500 | Đường liên xã Lộc An
P=2111 | X=0284.260-0360.620 | Y=0509.140-0518.460 | Giáp ranh xã Lộc
P=2111 | X=0090.500-0101.620 | Y=0514.900-0524.220 | 73
P=2111 | X=0205.990-0283.620 | Y=0514.900-0524.220 | Ngã ba Trạm y tế
P=2111 | X=0388.220-0404.860 | Y=0514.900-0524.220 | 105
P=2111 | X=0435.050-0446.170 | Y=0514.900-0524.220 | 84
P=2111 | X=0475.850-0486.970 | Y=0514.900-0524.220 | 67
P=2111 | X=0511.150-0522.270 | Y=0514.900-0524.220 | 44
P=2111 | X=0102.770-0158.530 | Y=0518.780-0530.020 | - Lộc Tấn cũ
P=2111 | X=0284.260-0314.350 | Y=0520.660-0529.980 | Quáng
P=2111 | X=0090.500-0346.280 | Y=0536.810-0548.050 | 74 Các tuyến đường giao thông nông thôn từ 3,5m trở lên
P=2111 | X=0393.980-0405.100 | Y=0538.690-0548.010 | 50
P=2111 | X=0435.050-0446.170 | Y=0538.690-0548.010 | 40
P=2111 | X=0475.850-0486.970 | Y=0538.690-0548.010 | 32
P=2111 | X=0511.150-0522.270 | Y=0538.690-0548.010 | 32
P=2111 | X=0102.770-0199.600 | Y=0554.810-0566.050 | Các tuyến đường còn
P=2111 | X=0090.500-0101.620 | Y=0562.450-0571.770 | 75
P=2111 | X=0205.990-0256.260 | Y=0562.450-0571.770 | Toàn tuyến
P=2111 | X=0393.980-0405.100 | Y=0562.450-0571.770 | 50
P=2111 | X=0435.050-0446.170 | Y=0562.450-0571.770 | 40
P=2111 | X=0475.850-0486.970 | Y=0562.450-0571.770 | 32
P=2111 | X=0511.150-0522.270 | Y=0562.450-0571.770 | 32
P=2111 | X=0102.770-0112.930 | Y=0568.210-0577.530 | lại
