TABLE=078 | AREA=Xã Minh Đức | SECTION=agricultural | SEGMENTS=1
P=2073 | X=0275.860-0318.930 | Y=0261.150-0270.470 | Hết tuyến
P=2073 | X=0392.780-0409.420 | Y=0261.150-0270.470 | 108
P=2073 | X=0437.930-0449.050 | Y=0261.150-0270.470 | 86
P=2073 | X=0477.050-0488.170 | Y=0261.150-0270.470 | 69
P=2073 | X=0511.150-0522.270 | Y=0261.150-0270.470 | 42
P=2073 | X=0179.350-0243.780 | Y=0265.030-0276.270 | tờ bản đồ số 7
P=2073 | X=0102.770-0176.930 | Y=0270.790-0282.030 | Hưng Chiến (cũ)
P=2073 | X=0102.770-0160.690 | Y=0288.820-0300.060 | Đường nhựa
P=2073 | X=0179.350-0367.010 | Y=0294.580-0305.820 | Đầu thửa đất số 130, Hết thửa đất số 161,
P=2073 | X=0090.500-0174.150 | Y=0300.340-0311.580 | 33 liên ấp 1 đến ấp
P=2073 | X=0398.540-0409.660 | Y=0302.220-0311.540 | 60
P=2073 | X=0437.930-0449.050 | Y=0302.220-0311.540 | 48
P=2073 | X=0477.050-0488.170 | Y=0302.220-0311.540 | 38
P=2073 | X=0511.150-0522.270 | Y=0302.220-0311.540 | 38
P=2073 | X=0179.350-0249.300 | Y=0306.100-0317.340 | tờ bản đồ số 11
P=2073 | X=0275.860-0345.800 | Y=0306.100-0317.340 | tờ bản đồ số 22
P=2073 | X=0102.770-0108.370 | Y=0313.740-0323.060 | 3
P=2073 | X=0102.770-0174.630 | Y=0329.860-0341.100 | Đường nhựa ấp
P=2073 | X=0102.770-0168.990 | Y=0343.260-0352.580 | 3 xã Minh Tâm
P=2073 | X=0179.350-0367.010 | Y=0347.140-0358.380 | Đầu thửa đất số 444, Hết thửa đất số 249,
P=2073 | X=0090.500-0162.370 | Y=0352.900-0364.140 | 34 cũ đi phường
P=2073 | X=0398.540-0409.660 | Y=0354.780-0364.100 | 60
P=2073 | X=0437.930-0449.050 | Y=0354.780-0364.100 | 48
P=2073 | X=0477.050-0488.170 | Y=0354.780-0364.100 | 38
P=2073 | X=0511.150-0522.270 | Y=0354.780-0364.100 | 38
P=2073 | X=0179.350-0249.300 | Y=0358.660-0369.900 | tờ bản đồ số 22
P=2073 | X=0275.860-0340.280 | Y=0358.660-0369.900 | tờ bản đồ số 7
P=2073 | X=0102.770-0172.950 | Y=0364.180-0375.420 | Hưng Chiến, thị
P=2073 | X=0102.770-0161.890 | Y=0377.600-0386.920 | xã Bình Long
P=2073 | X=0102.770-0174.630 | Y=0393.720-0404.960 | Đường nhựa ấp
P=2073 | X=0102.770-0367.030 | Y=0405.240-0416.480 | 2 - Sóc Vàng, xã Đầu thửa đất số 316, Hết thửa đất số 247,
P=2073 | X=0090.500-0101.620 | Y=0412.880-0422.200 | 35
P=2073 | X=0398.540-0409.660 | Y=0412.880-0422.200 | 60
P=2073 | X=0437.930-0449.050 | Y=0412.880-0422.200 | 48
P=2073 | X=0477.050-0488.170 | Y=0412.880-0422.200 | 38
P=2073 | X=0511.150-0522.270 | Y=0412.880-0422.200 | 38
P=2073 | X=0102.770-0243.780 | Y=0416.760-0428.000 | Minh Tâm đi Sóc tờ bản đồ số 6
P=2073 | X=0275.860-0340.280 | Y=0416.760-0428.000 | tờ bản đồ số 6
P=2073 | X=0102.770-0169.770 | Y=0430.160-0439.480 | Rul, xã An Phú
P=2073 | X=0102.770-0160.690 | Y=0446.280-0457.520 | Đường nhựa
P=2073 | X=0102.770-0155.090 | Y=0459.700-0469.020 | Ngã ba Sóc
P=2073 | X=0102.770-0155.890 | Y=0469.340-0480.580 | Vàng đi cầu
P=2073 | X=0179.350-0368.190 | Y=0469.340-0480.580 | Đầu thửa đất số 57, Hết thửa đất số 4, tờ
P=2073 | X=0090.500-0101.620 | Y=0476.980-0486.300 | 36
P=2073 | X=0398.540-0409.660 | Y=0476.980-0486.300 | 60
P=2073 | X=0437.930-0449.050 | Y=0476.980-0486.300 | 48
P=2073 | X=0477.050-0488.170 | Y=0476.980-0486.300 | 38
P=2073 | X=0511.150-0522.270 | Y=0476.980-0486.300 | 38
P=2073 | X=0102.770-0249.300 | Y=0480.860-0492.100 | Thanh Niên ấp tờ bản đồ số 20
P=2073 | X=0275.860-0333.560 | Y=0480.860-0492.100 | bản đồ số 17
P=2073 | X=0102.770-0171.630 | Y=0494.260-0503.580 | 4, xã Minh Tâm
P=2073 | X=0102.770-0141.650 | Y=0503.900-0515.140 | (Đoạn 1)
P=2073 | X=0102.770-0160.690 | Y=0521.900-0533.140 | Đường nhựa
P=2073 | X=0102.770-0155.090 | Y=0535.330-0544.650 | Ngã ba Sóc
P=2073 | X=0102.770-0155.890 | Y=0544.970-0556.210 | Vàng đi cầu
P=2073 | X=0179.350-0265.140 | Y=0544.970-0556.210 | Từ đầu thửa đất số
P=2073 | X=0275.860-0364.300 | Y=0544.970-0556.210 | Đến hết thửa đất số
P=2073 | X=0090.500-0101.620 | Y=0552.370-0561.690 | 37
P=2073 | X=0398.540-0409.660 | Y=0552.370-0561.690 | 60
P=2073 | X=0437.930-0449.050 | Y=0552.370-0561.690 | 48
P=2073 | X=0477.050-0488.170 | Y=0552.370-0561.690 | 38
P=2073 | X=0511.150-0522.270 | Y=0552.370-0561.690 | 38
P=2073 | X=0102.770-0260.580 | Y=0556.250-0567.490 | Thanh Niên ấp 4, tờ bản đồ số 17
P=2073 | X=0275.860-0362.620 | Y=0556.250-0567.490 | 220, tờ bản đồ số 5
P=2073 | X=0102.770-0171.630 | Y=0569.650-0578.970 | 4, xã Minh Tâm
P=2073 | X=0102.770-0141.650 | Y=0579.290-0590.530 | (Đoạn 2)
P=2073 | X=0102.770-0174.130 | Y=0597.290-0608.530 | Đường nhựa vô
P=2073 | X=0179.350-0261.010 | Y=0603.050-0614.290 | Ngã tư nhà máy xi
P=2073 | X=0090.500-0151.090 | Y=0610.690-0620.010 | 38 nhà máy xi
P=2073 | X=0275.860-0318.930 | Y=0610.690-0620.010 | Hết tuyến
P=2073 | X=0398.540-0409.660 | Y=0610.690-0620.010 | 60
P=2073 | X=0437.930-0449.050 | Y=0610.690-0620.010 | 48
P=2073 | X=0477.050-0488.170 | Y=0610.690-0620.010 | 38
P=2073 | X=0511.150-0522.270 | Y=0610.690-0620.010 | 38
P=2073 | X=0179.350-0204.630 | Y=0614.570-0625.810 | măng
P=2073 | X=0102.770-0175.000 | Y=0620.350-0631.590 | măng Minh Tâm
P=2073 | X=0102.770-0160.690 | Y=0638.350-0649.590 | Đường nhựa
P=2073 | X=0090.500-0167.380 | Y=0651.750-0661.070 | 39 liên xã An Phú
P=2073 | X=0179.350-0229.590 | Y=0651.750-0661.070 | Toàn tuyến
P=2073 | X=0398.540-0409.660 | Y=0651.750-0661.070 | 60
P=2073 | X=0437.930-0449.050 | Y=0651.750-0661.070 | 48
P=2073 | X=0477.050-0488.170 | Y=0651.750-0661.070 | 38
P=2073 | X=0511.150-0522.270 | Y=0651.750-0661.070 | 38
P=2073 | X=0102.770-0113.410 | Y=0661.390-0672.630 | cũ
P=2073 | X=0102.770-0167.900 | Y=0679.390-0690.630 | Đường từ Ngã
P=2073 | X=0275.860-0357.090 | Y=0679.390-0690.630 | Đường giao thông
P=2073 | X=0179.350-0273.400 | Y=0685.150-0696.390 | Từ thửa đất số 1125,
P=2073 | X=0090.500-0164.060 | Y=0690.910-0702.150 | 40 tư Tằng Hách
P=2073 | X=0275.860-0366.220 | Y=0692.790-0702.110 | phía Tây Quốc lộ 13
P=2073 | X=0398.540-0409.660 | Y=0692.790-0702.110 | 60
P=2073 | X=0437.930-0449.050 | Y=0692.790-0702.110 | 48
P=2073 | X=0477.050-0488.170 | Y=0692.790-0702.110 | 38
P=2073 | X=0511.150-0522.270 | Y=0692.790-0702.110 | 38
P=2073 | X=0179.350-0249.300 | Y=0696.670-0707.910 | tờ bản đồ số 51
P=2073 | X=0102.770-0178.580 | Y=0702.450-0713.690 | đến Ngã tư Phúc
P=2073 | X=0275.860-0370.460 | Y=0702.450-0713.690 | kết nối Chơn Thành -
P=2074 | X=0102.770-0121.800 | Y=0072.740-0083.980 | Sơn
P=2074 | X=0275.860-0309.250 | Y=0072.740-0083.980 | Hoa Lư
P=2074 | X=0102.770-0167.900 | Y=0090.740-0101.980 | Đường từ Ngã
P=2074 | X=0102.770-0158.050 | Y=0102.260-0113.500 | ba nghĩa địa
P=2074 | X=0179.350-0358.280 | Y=0108.020-0119.260 | Từ thửa đất số 283, Giáp ranh phường
P=2074 | X=0090.500-0162.370 | Y=0113.780-0125.020 | 41 Tằng Hách đi
P=2074 | X=0398.540-0409.660 | Y=0115.660-0124.980 | 60
P=2074 | X=0437.930-0449.050 | Y=0115.660-0124.980 | 48
P=2074 | X=0477.050-0488.170 | Y=0115.660-0124.980 | 38
P=2074 | X=0511.150-0522.270 | Y=0115.660-0124.980 | 38
P=2074 | X=0179.350-0249.300 | Y=0119.570-0130.810 | tờ bản đồ số 51
P=2074 | X=0275.860-0307.080 | Y=0121.450-0130.770 | An Lộc
P=2074 | X=0102.770-0173.590 | Y=0125.330-0136.570 | Phường An Lộc
P=2074 | X=0102.770-0161.090 | Y=0136.850-0148.090 | (đường số 1)
P=2074 | X=0102.770-0176.310 | Y=0154.850-0166.090 | Đường Nhựa ấp
P=2074 | X=0179.350-0242.830 | Y=0160.610-0171.850 | Ngã tư đường
P=2074 | X=0275.860-0354.810 | Y=0160.610-0171.850 | Giáp đất trại giam
P=2074 | X=0090.500-0175.750 | Y=0166.370-0177.610 | 42 sóc 5 (ĐT 752B-
P=2074 | X=0398.540-0409.660 | Y=0168.250-0177.570 | 90
P=2074 | X=0437.930-0449.050 | Y=0168.250-0177.570 | 72
P=2074 | X=0477.050-0488.170 | Y=0168.250-0177.570 | 58
P=2074 | X=0511.150-0522.270 | Y=0168.250-0177.570 | 42
P=2074 | X=0179.350-0209.430 | Y=0172.130-0183.370 | ĐT752
P=2074 | X=0275.860-0347.140 | Y=0174.010-0183.330 | Tống Chân (K4)
P=2074 | X=0102.770-0169.000 | Y=0177.650-0188.890 | QH QL14C cũ)
P=2074 | X=0102.770-0242.830 | Y=0195.650-0206.890 | Đường Nhựa ấp Ngã tư đường
P=2074 | X=0090.500-0101.620 | Y=0203.310-0212.630 | 43
P=2074 | X=0275.860-0318.200 | Y=0203.310-0212.630 | Giáp suối
P=2074 | X=0398.540-0409.660 | Y=0203.310-0212.630 | 90
P=2074 | X=0437.930-0449.050 | Y=0203.310-0212.630 | 72
P=2074 | X=0477.050-0488.170 | Y=0203.310-0212.630 | 58
P=2074 | X=0511.150-0522.270 | Y=0203.310-0212.630 | 42
P=2074 | X=0179.350-0209.430 | Y=0207.190-0218.430 | ĐT752
P=2074 | X=0102.770-0108.370 | Y=0209.070-0218.390 | 4
P=2074 | X=0102.770-0167.900 | Y=0225.190-0236.430 | Đường từ Ngã
P=2074 | X=0102.770-0167.910 | Y=0236.710-0247.950 | ba Phố Lố đến
P=2074 | X=0179.350-0369.890 | Y=0236.710-0247.950 | Từ thửa đất số 31, tờ Đến thửa đất số 126,
P=2074 | X=0090.500-0101.620 | Y=0244.350-0253.670 | 44
P=2074 | X=0398.540-0409.660 | Y=0244.350-0253.670 | 60
P=2074 | X=0437.930-0449.050 | Y=0244.350-0253.670 | 48
P=2074 | X=0477.050-0488.170 | Y=0244.350-0253.670 | 38
P=2074 | X=0511.150-0522.270 | Y=0244.350-0253.670 | 38
P=2074 | X=0179.350-0237.060 | Y=0248.230-0259.470 | bản đồ số 84
P=2074 | X=0275.860-0345.800 | Y=0248.230-0259.470 | tờ bản đồ số 50
P=2074 | X=0102.770-0164.060 | Y=0250.110-0259.430 | cổng chào An
P=2074 | X=0102.770-0120.130 | Y=0261.630-0270.950 | Tân
P=2074 | X=0179.350-0261.780 | Y=0277.750-0288.990 | Giáp ranh phường
P=2074 | X=0102.770-0162.370 | Y=0283.540-0294.780 | Đường Nhựa
P=2074 | X=0179.350-0361.490 | Y=0289.300-0300.540 | Bình Long (thửa đất Hết thửa đất số 53,
P=2074 | X=0090.500-0170.210 | Y=0296.940-0306.260 | 45 Bình Phú - Sóc
P=2074 | X=0398.540-0409.660 | Y=0296.940-0306.260 | 60
P=2074 | X=0437.930-0449.050 | Y=0296.940-0306.260 | 48
P=2074 | X=0477.050-0488.170 | Y=0296.940-0306.260 | 38
P=2074 | X=0511.150-0522.270 | Y=0296.940-0306.260 | 38
P=2074 | X=0179.350-0345.800 | Y=0300.820-0312.060 | số 45, tờ bản đồ số tờ bản đồ số 94
P=2074 | X=0102.770-0117.730 | Y=0308.460-0317.780 | Rul
P=2074 | X=0179.350-0193.750 | Y=0314.220-0323.540 | 93)
P=2074 | X=0102.770-0357.770 | Y=0330.340-0341.580 | Đường Bình Phú Từ thửa đất số 54, tờ Giáp ranh xã Minh
P=2074 | X=0090.500-0101.620 | Y=0337.980-0347.300 | 46
P=2074 | X=0398.540-0409.660 | Y=0337.980-0347.300 | 60
P=2074 | X=0437.930-0449.050 | Y=0337.980-0347.300 | 48
P=2074 | X=0477.050-0488.170 | Y=0337.980-0347.300 | 38
P=2074 | X=0511.150-0522.270 | Y=0337.980-0347.300 | 38
P=2074 | X=0179.350-0237.060 | Y=0341.860-0353.100 | bản đồ số 93
P=2074 | X=0275.860-0309.510 | Y=0341.860-0353.100 | Tâm cũ
P=2074 | X=0102.770-0143.890 | Y=0343.740-0353.060 | - Sóc Rui
P=2074 | X=0102.770-0266.340 | Y=0359.860-0371.100 | Đường nhựa đi Ngã ba giao đường
P=2074 | X=0102.770-0367.660 | Y=0371.400-0382.640 | phường An Lộc liên xã An Phú (cũ) Hết ranh thửa đất số
P=2074 | X=0090.500-0101.620 | Y=0379.040-0388.360 | 47
P=2074 | X=0398.540-0409.660 | Y=0379.040-0388.360 | 60
P=2074 | X=0437.930-0449.050 | Y=0379.040-0388.360 | 48
P=2074 | X=0477.050-0488.170 | Y=0379.040-0388.360 | 38
P=2074 | X=0511.150-0522.270 | Y=0379.040-0388.360 | 38
P=2074 | X=0179.350-0362.600 | Y=0382.920-0394.160 | (Từ thửa đất số 40, 21, tờ bản đồ số 83
P=2074 | X=0102.770-0147.960 | Y=0384.800-0394.120 | (xã Thanh
P=2074 | X=0102.770-0149.560 | Y=0394.200-0405.440 | Lương cũ)
P=2074 | X=0179.350-0252.580 | Y=0394.200-0405.440 | tờ bản đồ số 86)
P=2074 | X=0102.770-0156.370 | Y=0412.200-0423.440 | Đường giao
P=2074 | X=0102.770-0175.100 | Y=0425.600-0434.920 | thông nông thôn
P=2074 | X=0090.500-0101.650 | Y=0431.360-0440.680 | 48
P=2074 | X=0179.350-0229.590 | Y=0431.360-0440.680 | Toàn tuyến
P=2074 | X=0398.540-0409.660 | Y=0431.360-0440.680 | 50
P=2074 | X=0437.930-0449.050 | Y=0431.360-0440.680 | 40
P=2074 | X=0477.050-0488.170 | Y=0431.360-0440.680 | 32
P=2074 | X=0511.150-0522.270 | Y=0431.360-0440.680 | 32
P=2074 | X=0102.770-0162.550 | Y=0435.240-0446.480 | có độ rộng từ
P=2074 | X=0102.770-0148.450 | Y=0448.640-0457.960 | 3m trở lên
P=2074 | X=0102.770-0147.970 | Y=0466.660-0475.980 | Các tuyến
P=2074 | X=0090.500-0101.620 | Y=0472.420-0481.740 | 49
P=2074 | X=0179.350-0229.590 | Y=0472.420-0481.740 | Toàn tuyến
P=2074 | X=0398.540-0409.660 | Y=0472.420-0481.740 | 50
P=2074 | X=0437.930-0449.050 | Y=0472.420-0481.740 | 40
P=2074 | X=0477.050-0488.170 | Y=0472.420-0481.740 | 32
P=2074 | X=0511.150-0522.270 | Y=0472.420-0481.740 | 32
P=2074 | X=0102.770-0164.550 | Y=0476.300-0487.540 | đường còn lại
