TABLE=062 | AREA=Phường An Lộc | SECTION=agricultural | SEGMENTS=1
P=2000 | X=0308.760-0391.660 | Y=0252.310-0263.550 | Đường Quốc lộ 13
P=2000 | X=0423.530-0440.170 | Y=0254.190-0263.510 | 252
P=2000 | X=0464.570-0481.210 | Y=0254.190-0263.510 | 202
P=2000 | X=0505.390-0522.030 | Y=0254.190-0263.510 | 141
P=2000 | X=0107.330-0134.190 | Y=0263.830-0275.070 | liệt sĩ)
P=2000 | X=0090.020-0168.100 | Y=0281.860-0293.100 | 115 Đường TLT 5
P=2000 | X=0187.030-0269.940 | Y=0281.860-0293.100 | Đường Quốc lộ 13
P=2000 | X=0308.760-0375.060 | Y=0281.860-0293.100 | Đường TLT 29
P=2000 | X=0423.530-0440.170 | Y=0283.740-0293.060 | 252
P=2000 | X=0464.570-0481.210 | Y=0283.740-0293.060 | 202
P=2000 | X=0505.390-0522.030 | Y=0283.740-0293.060 | 141
P=2000 | X=0308.760-0379.340 | Y=0299.860-0311.100 | Ranh vùng đệm
P=2000 | X=0090.020-0168.100 | Y=0311.380-0322.620 | 116 Đường TLT 5
P=2000 | X=0187.030-0253.330 | Y=0311.380-0322.620 | Đường TLT 29
P=2000 | X=0308.760-0380.610 | Y=0311.380-0322.620 | (đường vào nhà
P=2000 | X=0423.530-0440.170 | Y=0313.260-0322.580 | 252
P=2000 | X=0464.570-0481.210 | Y=0313.260-0322.580 | 202
P=2000 | X=0505.390-0522.030 | Y=0313.260-0322.580 | 141
P=2000 | X=0308.760-0368.980 | Y=0322.900-0334.140 | máy xi măng)
P=2000 | X=0090.020-0168.100 | Y=0340.900-0352.140 | 117 Đường TLT 6
P=2000 | X=0187.030-0269.940 | Y=0340.900-0352.140 | Đường Quốc lộ 13
P=2000 | X=0308.760-0376.040 | Y=0340.900-0352.140 | Đường ĐT 757
P=2000 | X=0423.530-0440.170 | Y=0342.780-0352.100 | 252
P=2000 | X=0464.570-0481.210 | Y=0342.780-0352.100 | 202
P=2000 | X=0505.390-0522.030 | Y=0342.780-0352.100 | 141
P=2000 | X=0090.020-0168.100 | Y=0358.900-0370.140 | 118 Đường TLT 7
P=2000 | X=0308.760-0369.530 | Y=0358.900-0370.140 | Đường TLT 6
P=2000 | X=0187.030-0242.320 | Y=0360.780-0370.100 | Suối Cần Lê
P=2000 | X=0423.530-0440.170 | Y=0360.780-0370.100 | 252
P=2000 | X=0464.570-0481.210 | Y=0360.780-0370.100 | 202
P=2000 | X=0505.390-0522.030 | Y=0360.780-0370.100 | 141
P=2000 | X=0187.030-0303.330 | Y=0376.920-0388.160 | Thửa đất số 18, tờ bản đồ
P=2000 | X=0090.020-0168.100 | Y=0382.680-0393.920 | 119 Đường TLT 8
P=2000 | X=0308.760-0369.530 | Y=0382.680-0393.920 | Đường TLT 6
P=2000 | X=0423.530-0440.170 | Y=0384.560-0393.880 | 252
P=2000 | X=0464.570-0481.210 | Y=0384.560-0393.880 | 202
P=2000 | X=0505.390-0522.030 | Y=0384.560-0393.880 | 141
P=2000 | X=0187.030-0211.350 | Y=0390.320-0399.640 | số 10
P=2000 | X=0090.020-0168.100 | Y=0406.200-0417.440 | 120 Đường TLT 9
P=2000 | X=0187.030-0247.800 | Y=0406.200-0417.440 | Đường TLT 6
P=2000 | X=0308.760-0375.060 | Y=0406.200-0417.440 | Đường TLT 10
P=2000 | X=0423.530-0440.170 | Y=0408.080-0417.400 | 252
P=2000 | X=0464.570-0481.210 | Y=0408.080-0417.400 | 202
P=2000 | X=0505.390-0522.030 | Y=0408.080-0417.400 | 141
P=2000 | X=0090.020-0173.630 | Y=0424.200-0435.440 | 121 Đường TLT 10
P=2000 | X=0187.030-0247.800 | Y=0424.200-0435.440 | Đường TLT 6
P=2000 | X=0308.760-0375.060 | Y=0424.200-0435.440 | Đường TLT 11
P=2000 | X=0423.530-0440.170 | Y=0426.080-0435.400 | 252
P=2000 | X=0464.570-0481.210 | Y=0426.080-0435.400 | 202
P=2000 | X=0505.390-0522.030 | Y=0426.080-0435.400 | 141
P=2000 | X=0090.020-0173.630 | Y=0442.200-0453.440 | 122 Đường TLT 11
P=2000 | X=0187.030-0247.800 | Y=0442.200-0453.440 | Đường TLT 1
P=2000 | X=0308.760-0387.830 | Y=0442.200-0453.440 | Đường ray xe lửa
P=2000 | X=0423.530-0440.170 | Y=0444.080-0453.400 | 252
P=2000 | X=0464.570-0481.210 | Y=0444.080-0453.400 | 202
P=2000 | X=0505.390-0522.030 | Y=0444.080-0453.400 | 141
P=2000 | X=0090.020-0173.630 | Y=0460.220-0471.460 | 123 Đường TLT 12
P=2000 | X=0187.030-0254.310 | Y=0460.220-0471.460 | Đường ĐT 757
P=2000 | X=0308.760-0375.060 | Y=0460.220-0471.460 | Đường TLT 13
P=2000 | X=0423.530-0440.170 | Y=0462.100-0471.420 | 252
P=2000 | X=0464.570-0481.210 | Y=0462.100-0471.420 | 202
P=2000 | X=0505.390-0522.030 | Y=0462.100-0471.420 | 141
P=2000 | X=0090.020-0173.630 | Y=0478.220-0489.460 | 124 Đường TLT 13
P=2000 | X=0187.030-0253.330 | Y=0478.220-0489.460 | Đường TLT 15
P=2000 | X=0308.760-0369.530 | Y=0478.220-0489.460 | Đường TLT 1
P=2000 | X=0423.530-0440.170 | Y=0480.100-0489.420 | 252
P=2000 | X=0464.570-0481.210 | Y=0480.100-0489.420 | 202
P=2000 | X=0505.390-0522.030 | Y=0480.100-0489.420 | 141
P=2000 | X=0090.020-0173.630 | Y=0496.220-0507.460 | 125 Đường TLT 14
P=2000 | X=0187.030-0269.940 | Y=0496.220-0507.460 | Đường Quốc lộ 13
P=2000 | X=0308.760-0375.060 | Y=0496.220-0507.460 | Đường TLT 12
P=2000 | X=0423.530-0440.170 | Y=0498.100-0507.420 | 252
P=2000 | X=0464.570-0481.210 | Y=0498.100-0507.420 | 202
P=2000 | X=0505.390-0522.030 | Y=0498.100-0507.420 | 141
P=2000 | X=0090.020-0173.630 | Y=0514.220-0525.460 | 126 Đường TLT 15
P=2000 | X=0187.030-0269.940 | Y=0514.220-0525.460 | Đường Quốc lộ 13
P=2000 | X=0308.760-0375.060 | Y=0514.220-0525.460 | Đường TLT 13
P=2000 | X=0423.530-0440.170 | Y=0516.100-0525.420 | 252
P=2000 | X=0464.570-0481.210 | Y=0516.100-0525.420 | 202
P=2000 | X=0505.390-0522.030 | Y=0516.100-0525.420 | 141
P=2000 | X=0090.020-0173.630 | Y=0532.220-0543.460 | 127 Đường TLT 15
P=2000 | X=0187.030-0253.330 | Y=0532.220-0543.460 | Đường TLT 13
P=2000 | X=0308.760-0369.530 | Y=0532.220-0543.460 | Đường TLT 2
P=2000 | X=0423.530-0440.170 | Y=0534.100-0543.420 | 252
P=2000 | X=0464.570-0481.210 | Y=0534.100-0543.420 | 202
P=2000 | X=0505.390-0522.030 | Y=0534.100-0543.420 | 141
P=2000 | X=0090.020-0173.630 | Y=0550.250-0561.490 | 128 Đường TLT 16
P=2000 | X=0187.030-0269.940 | Y=0550.250-0561.490 | Đường Quốc lộ 13
P=2000 | X=0308.760-0375.100 | Y=0550.250-0561.490 | Đường TLT 17
P=2000 | X=0423.530-0440.170 | Y=0552.130-0561.450 | 252
P=2000 | X=0464.570-0481.210 | Y=0552.130-0561.450 | 202
P=2000 | X=0505.390-0522.030 | Y=0552.130-0561.450 | 141
P=2000 | X=0090.020-0173.630 | Y=0568.250-0579.490 | 129 Đường TLT 16
P=2000 | X=0187.030-0253.330 | Y=0568.250-0579.490 | Đường TLT 17
P=2000 | X=0308.760-0375.060 | Y=0568.250-0579.490 | Đường TLT 40
P=2000 | X=0423.530-0440.170 | Y=0570.130-0579.450 | 252
P=2000 | X=0464.570-0481.210 | Y=0570.130-0579.450 | 202
P=2000 | X=0505.390-0522.030 | Y=0570.130-0579.450 | 141
P=2000 | X=0090.020-0173.630 | Y=0586.250-0597.490 | 130 Đường TLT 17
P=2000 | X=0187.030-0253.330 | Y=0586.250-0597.490 | Đường TLT 16
P=2000 | X=0308.760-0375.060 | Y=0586.250-0597.490 | Đường TLT 18
P=2000 | X=0423.530-0440.170 | Y=0588.130-0597.450 | 252
P=2000 | X=0464.570-0481.210 | Y=0588.130-0597.450 | 202
P=2000 | X=0505.390-0522.030 | Y=0588.130-0597.450 | 141
P=2000 | X=0090.020-0173.630 | Y=0604.250-0615.490 | 131 Đường TLT 18
P=2000 | X=0187.030-0269.940 | Y=0604.250-0615.490 | Đường Quốc lộ 13
P=2000 | X=0308.760-0375.060 | Y=0604.250-0615.490 | Đường TLT 17
P=2000 | X=0423.530-0440.170 | Y=0606.130-0615.450 | 252
P=2000 | X=0464.570-0481.210 | Y=0606.130-0615.450 | 202
P=2000 | X=0505.390-0522.030 | Y=0606.130-0615.450 | 141
P=2000 | X=0090.020-0173.630 | Y=0622.270-0633.510 | 132 Đường TLT 19
P=2000 | X=0187.030-0296.520 | Y=0622.270-0633.510 | Đường Quốc lộ 13 (chợ)
P=2000 | X=0308.760-0369.530 | Y=0622.270-0633.510 | Đường TLT 2
P=2000 | X=0423.530-0440.170 | Y=0624.150-0633.470 | 252
P=2000 | X=0464.570-0481.210 | Y=0624.150-0633.470 | 202
P=2000 | X=0505.390-0522.030 | Y=0624.150-0633.470 | 141
P=2000 | X=0090.020-0173.630 | Y=0640.270-0651.510 | 133 Đường TLT 20
P=2000 | X=0187.030-0247.800 | Y=0640.270-0651.510 | Đường TLT 2
P=2000 | X=0308.760-0369.530 | Y=0640.270-0651.510 | Đường TLT 3
P=2000 | X=0423.530-0440.170 | Y=0642.150-0651.470 | 252
P=2000 | X=0464.570-0481.210 | Y=0642.150-0651.470 | 202
P=2000 | X=0505.390-0522.030 | Y=0642.150-0651.470 | 141
P=2000 | X=0090.020-0173.630 | Y=0658.270-0669.510 | 134 Đường TLT 21
P=2000 | X=0187.030-0253.330 | Y=0658.270-0669.510 | Đường TLT 20
P=2000 | X=0308.760-0369.530 | Y=0658.270-0669.510 | Đường TLT 3
P=2000 | X=0423.530-0440.170 | Y=0660.150-0669.470 | 252
P=2000 | X=0464.570-0481.210 | Y=0660.150-0669.470 | 202
P=2000 | X=0505.390-0522.030 | Y=0660.150-0669.470 | 141
P=2000 | X=0090.020-0173.630 | Y=0676.270-0687.510 | 135 Đường TLT 22
P=2000 | X=0187.030-0269.940 | Y=0676.270-0687.510 | Đường Quốc lộ 13
P=2000 | X=0308.760-0375.060 | Y=0676.270-0687.510 | Đường TLT 23
P=2000 | X=0423.530-0440.170 | Y=0678.150-0687.470 | 252
P=2000 | X=0464.570-0481.210 | Y=0678.150-0687.470 | 202
P=2000 | X=0505.390-0522.030 | Y=0678.150-0687.470 | 141
P=2000 | X=0308.760-0400.150 | Y=0694.270-0705.510 | Cuối tuyến (thửa đất
P=2000 | X=0090.020-0173.630 | Y=0700.050-0711.290 | 136 Đường TLT 22
P=2000 | X=0187.030-0253.330 | Y=0700.050-0711.290 | Đường TLT 23
P=2000 | X=0423.530-0440.170 | Y=0701.940-0711.260 | 252
P=2000 | X=0464.570-0481.210 | Y=0701.940-0711.260 | 202
P=2000 | X=0505.390-0522.030 | Y=0701.940-0711.260 | 141
P=2000 | X=0308.760-0395.020 | Y=0705.810-0717.050 | số 35, tờ bản đồ số
P=2001 | X=0308.760-0323.160 | Y=0074.620-0083.940 | 47)
P=2001 | X=0090.020-0173.630 | Y=0090.740-0101.980 | 137 Đường TLT 23
P=2001 | X=0187.030-0375.060 | Y=0090.740-0101.980 | Đường Nhà máy xi măng Đường TLT 22
P=2001 | X=0423.530-0440.170 | Y=0092.620-0101.940 | 252
P=2001 | X=0464.570-0481.210 | Y=0092.620-0101.940 | 202
P=2001 | X=0505.390-0522.030 | Y=0092.620-0101.940 | 141
P=2001 | X=0090.020-0173.630 | Y=0108.740-0119.980 | 138 Đường TLT 24
P=2001 | X=0187.030-0253.330 | Y=0108.740-0119.980 | Đường TLT 23
P=2001 | X=0308.760-0375.060 | Y=0108.740-0119.980 | Đường TLT 22
P=2001 | X=0423.530-0440.170 | Y=0110.620-0119.940 | 252
P=2001 | X=0464.570-0481.210 | Y=0110.620-0119.940 | 202
P=2001 | X=0505.390-0522.030 | Y=0110.620-0119.940 | 141
P=2001 | X=0090.020-0173.630 | Y=0126.770-0138.010 | 139 Đường TLT 25
P=2001 | X=0187.030-0253.330 | Y=0126.770-0138.010 | Đường TLT 22
P=2001 | X=0308.760-0375.060 | Y=0126.770-0138.010 | Đường TLT 24
P=2001 | X=0423.530-0440.170 | Y=0128.650-0137.970 | 252
P=2001 | X=0464.570-0481.210 | Y=0128.650-0137.970 | 202
P=2001 | X=0505.390-0522.030 | Y=0128.650-0137.970 | 141
P=2001 | X=0187.030-0307.590 | Y=0144.770-0156.010 | Đường TLT 4 (Vòng quanh
P=2001 | X=0090.020-0173.630 | Y=0150.530-0161.770 | 140 Đường TLT 26
P=2001 | X=0308.760-0369.530 | Y=0150.530-0161.770 | Đường TLT 5
P=2001 | X=0423.530-0440.170 | Y=0152.410-0161.730 | 252
P=2001 | X=0464.570-0481.210 | Y=0152.410-0161.730 | 202
P=2001 | X=0505.390-0522.030 | Y=0152.410-0161.730 | 141
P=2001 | X=0187.030-0231.650 | Y=0156.290-0167.530 | Đài liệt sĩ)
P=2001 | X=0090.020-0173.630 | Y=0174.290-0185.530 | 141 Đường TLT 27
P=2001 | X=0187.030-0269.940 | Y=0174.290-0185.530 | Đường Quốc lộ 13
P=2001 | X=0308.760-0375.060 | Y=0174.290-0185.530 | Đường TLT 28
P=2001 | X=0423.530-0440.170 | Y=0176.170-0185.490 | 252
P=2001 | X=0464.570-0481.210 | Y=0176.170-0185.490 | 202
P=2001 | X=0505.390-0522.030 | Y=0176.170-0185.490 | 141
P=2001 | X=0090.020-0173.630 | Y=0192.290-0203.530 | 142 Đường TLT 27
P=2001 | X=0187.030-0253.330 | Y=0192.290-0203.530 | Đường TLT 28
P=2001 | X=0308.760-0375.060 | Y=0192.290-0203.530 | Đường TLT 43
P=2001 | X=0423.530-0440.170 | Y=0194.170-0203.490 | 252
P=2001 | X=0464.570-0481.210 | Y=0194.170-0203.490 | 202
P=2001 | X=0505.390-0522.030 | Y=0194.170-0203.490 | 141
P=2001 | X=0090.020-0173.630 | Y=0210.310-0221.550 | 143 Đường TLT 27
P=2001 | X=0187.030-0253.330 | Y=0210.310-0221.550 | Đường TLT 43
P=2001 | X=0308.760-0369.530 | Y=0210.310-0221.550 | Đường TLT 5
P=2001 | X=0423.530-0440.170 | Y=0212.190-0221.510 | 252
P=2001 | X=0464.570-0481.210 | Y=0212.190-0221.510 | 202
P=2001 | X=0505.390-0522.030 | Y=0212.190-0221.510 | 141
P=2001 | X=0090.020-0173.630 | Y=0228.310-0239.550 | 144 Đường TLT 28
P=2001 | X=0187.030-0253.330 | Y=0228.310-0239.550 | Đường TLT 27
P=2001 | X=0308.760-0369.530 | Y=0228.310-0239.550 | Đường TLT 5
P=2001 | X=0423.530-0440.170 | Y=0230.190-0239.510 | 252
P=2001 | X=0464.570-0481.210 | Y=0230.190-0239.510 | 202
P=2001 | X=0505.390-0522.030 | Y=0230.190-0239.510 | 141
P=2001 | X=0090.020-0173.630 | Y=0246.310-0257.550 | 145 Đường TLT 29
P=2001 | X=0187.030-0247.800 | Y=0246.310-0257.550 | Đường TLT 5
P=2001 | X=0308.760-0375.060 | Y=0246.310-0257.550 | Đường TLT 31
P=2001 | X=0423.530-0440.170 | Y=0248.190-0257.510 | 252
P=2001 | X=0464.570-0481.210 | Y=0248.190-0257.510 | 202
P=2001 | X=0505.390-0522.030 | Y=0248.190-0257.510 | 141
P=2001 | X=0090.020-0173.630 | Y=0264.310-0275.550 | 146 Đường TLT 30
P=2001 | X=0187.030-0247.800 | Y=0264.310-0275.550 | Đường TLT 5
P=2001 | X=0308.760-0369.530 | Y=0264.310-0275.550 | Đường TLT 5
P=2001 | X=0423.530-0440.170 | Y=0266.190-0275.510 | 252
P=2001 | X=0464.570-0481.210 | Y=0266.190-0275.510 | 202
P=2001 | X=0505.390-0522.030 | Y=0266.190-0275.510 | 141
P=2001 | X=0090.020-0173.630 | Y=0282.340-0293.580 | 147 Đường TLT 31
P=2001 | X=0187.030-0247.800 | Y=0282.340-0293.580 | Đường TLT 5
P=2001 | X=0308.760-0375.060 | Y=0282.340-0293.580 | Đường TLT 29
P=2001 | X=0423.530-0440.170 | Y=0284.220-0293.540 | 252
P=2001 | X=0464.570-0481.210 | Y=0284.220-0293.540 | 202
P=2001 | X=0505.390-0522.030 | Y=0284.220-0293.540 | 141
P=2001 | X=0090.020-0173.630 | Y=0300.340-0311.580 | 148 Đường TLT 32
P=2001 | X=0187.030-0253.330 | Y=0300.340-0311.580 | Đường TLT 31
P=2001 | X=0308.760-0375.060 | Y=0300.340-0311.580 | Đường TLT 31
P=2001 | X=0423.530-0440.170 | Y=0302.220-0311.540 | 252
P=2001 | X=0464.570-0481.210 | Y=0302.220-0311.540 | 202
P=2001 | X=0505.390-0522.030 | Y=0302.220-0311.540 | 141
P=2001 | X=0090.020-0173.630 | Y=0318.340-0329.580 | 149 Đường TLT 33
P=2001 | X=0187.030-0247.800 | Y=0318.340-0329.580 | Đường TLT 2
P=2001 | X=0308.760-0369.530 | Y=0318.340-0329.580 | Đường TLT 2
P=2001 | X=0423.530-0440.170 | Y=0320.220-0329.540 | 252
P=2001 | X=0464.570-0481.210 | Y=0320.220-0329.540 | 202
P=2001 | X=0505.390-0522.030 | Y=0320.220-0329.540 | 141
P=2001 | X=0090.020-0173.670 | Y=0336.340-0347.580 | 150 Đường TLT 34
P=2001 | X=0187.030-0247.800 | Y=0336.340-0347.580 | Đường TLT 2
P=2001 | X=0308.760-0370.510 | Y=0336.340-0347.580 | Đường TPT 5
P=2001 | X=0423.530-0440.170 | Y=0338.220-0347.540 | 252
P=2001 | X=0464.570-0481.210 | Y=0338.220-0347.540 | 202
P=2001 | X=0508.270-0522.110 | Y=0338.220-0347.540 | 14í
P=2001 | X=0090.020-0173.630 | Y=0354.340-0365.580 | 151 Đường TLT 35
P=2001 | X=0187.030-0253.330 | Y=0354.340-0365.580 | Đường TLT 34
P=2001 | X=0308.760-0375.060 | Y=0354.340-0365.580 | Đường TLT 39
P=2001 | X=0423.530-0440.170 | Y=0356.220-0365.540 | 252
P=2001 | X=0464.570-0481.210 | Y=0356.220-0365.540 | 202
P=2001 | X=0505.390-0522.030 | Y=0356.220-0365.540 | 141
P=2001 | X=0090.020-0173.630 | Y=0372.360-0383.600 | 152 Đường TLT 36
P=2001 | X=0187.030-0247.800 | Y=0372.360-0383.600 | Đường TLT 2
P=2001 | X=0308.760-0370.510 | Y=0372.360-0383.600 | Đường TPT 4
P=2001 | X=0423.530-0440.170 | Y=0374.240-0383.560 | 252
P=2001 | X=0464.570-0481.210 | Y=0374.240-0383.560 | 202
P=2001 | X=0505.390-0522.030 | Y=0374.240-0383.560 | 141
P=2001 | X=0090.020-0173.630 | Y=0390.360-0401.600 | 153 Đường TLT 37
P=2001 | X=0187.030-0247.800 | Y=0390.360-0401.600 | Đường TLT 2
P=2001 | X=0308.760-0370.510 | Y=0390.360-0401.600 | Đường TPT 5
P=2001 | X=0423.530-0440.170 | Y=0392.240-0401.560 | 252
P=2001 | X=0464.570-0481.210 | Y=0392.240-0401.560 | 202
P=2001 | X=0505.390-0522.030 | Y=0392.240-0401.560 | 141
P=2001 | X=0090.020-0173.630 | Y=0408.360-0419.600 | 154 Đường TLT 38
P=2001 | X=0187.030-0253.330 | Y=0408.360-0419.600 | Đường TLT 37
P=2001 | X=0308.760-0356.840 | Y=0410.240-0419.560 | Cuối tuyến
P=2001 | X=0423.530-0440.170 | Y=0410.240-0419.560 | 252
P=2001 | X=0464.570-0481.210 | Y=0410.240-0419.560 | 202
P=2001 | X=0505.390-0522.030 | Y=0410.240-0419.560 | 141
P=2001 | X=0090.020-0173.630 | Y=0426.360-0437.600 | 155 Đường TLT 39
P=2001 | X=0187.030-0247.800 | Y=0426.360-0437.600 | Đường TLT 2
P=2001 | X=0308.760-0375.060 | Y=0426.360-0437.600 | Đường TLT 37
P=2001 | X=0423.530-0440.170 | Y=0428.240-0437.560 | 252
P=2001 | X=0464.570-0481.210 | Y=0428.240-0437.560 | 202
P=2001 | X=0505.390-0522.030 | Y=0428.240-0437.560 | 141
P=2001 | X=0090.020-0173.630 | Y=0444.360-0455.600 | 156 Đường TLT 40
P=2001 | X=0187.030-0247.800 | Y=0444.360-0455.600 | Đường TLT 2
P=2001 | X=0308.760-0375.060 | Y=0444.360-0455.600 | Đường TLT 16
P=2001 | X=0423.530-0440.170 | Y=0446.240-0455.560 | 252
P=2001 | X=0464.570-0481.210 | Y=0446.240-0455.560 | 202
P=2001 | X=0505.390-0522.030 | Y=0446.240-0455.560 | 141
P=2001 | X=0090.020-0173.630 | Y=0462.380-0473.620 | 157 Đường TLT 41
P=2001 | X=0187.030-0254.310 | Y=0462.380-0473.620 | Đường ĐT 757
P=2001 | X=0308.760-0369.530 | Y=0462.380-0473.620 | Đường TLT 6
P=2001 | X=0423.530-0440.170 | Y=0464.260-0473.580 | 252
P=2001 | X=0464.570-0481.210 | Y=0464.260-0473.580 | 202
P=2001 | X=0505.390-0522.030 | Y=0464.260-0473.580 | 141
P=2001 | X=0090.020-0173.630 | Y=0480.380-0491.620 | 158 Đường TLT 42
P=2001 | X=0187.030-0253.330 | Y=0480.380-0491.620 | Đường TLT 22
P=2001 | X=0308.760-0375.060 | Y=0480.380-0491.620 | Đường TLT 29
P=2001 | X=0423.530-0440.170 | Y=0482.260-0491.580 | 252
P=2001 | X=0464.570-0481.210 | Y=0482.260-0491.580 | 202
P=2001 | X=0505.390-0522.030 | Y=0482.260-0491.580 | 141
P=2001 | X=0090.020-0173.630 | Y=0498.380-0509.620 | 159 Đường TLT 43
P=2001 | X=0187.030-0375.060 | Y=0498.380-0509.620 | Đường Nhà máy xi măng Đường TLT 27
P=2001 | X=0423.530-0440.170 | Y=0500.260-0509.580 | 252
P=2001 | X=0464.570-0481.210 | Y=0500.260-0509.580 | 202
P=2001 | X=0505.390-0522.030 | Y=0500.260-0509.580 | 141
P=2001 | X=0090.020-0173.630 | Y=0516.380-0527.620 | 160 Đường TLT 45
P=2001 | X=0187.030-0253.330 | Y=0516.380-0527.620 | Đường TLT 46
P=2001 | X=0308.760-0370.510 | Y=0516.380-0527.620 | Đường TPT 2
P=2001 | X=0423.530-0440.170 | Y=0518.260-0527.580 | 252
P=2001 | X=0464.570-0481.210 | Y=0518.260-0527.580 | 202
P=2001 | X=0505.390-0522.030 | Y=0518.260-0527.580 | 141
P=2001 | X=0308.760-0377.440 | Y=0536.290-0545.610 | Khu bãi rác QH
P=2001 | X=0090.020-0173.630 | Y=0540.170-0551.410 | 161 Đường TLT 46
P=2001 | X=0187.030-0253.330 | Y=0540.170-0551.410 | Đường TLT 29
P=2001 | X=0423.530-0440.170 | Y=0542.050-0551.370 | 252
P=2001 | X=0464.570-0481.210 | Y=0542.050-0551.370 | 202
P=2001 | X=0505.390-0522.030 | Y=0542.050-0551.370 | 141
P=2001 | X=0308.760-0380.010 | Y=0545.930-0557.170 | (đường TLT 64)
P=2001 | X=0090.020-0173.630 | Y=0563.930-0575.170 | 162 Đường TLT 47
P=2001 | X=0187.030-0247.800 | Y=0563.930-0575.170 | Đường TLT 5
P=2001 | X=0308.760-0375.060 | Y=0563.930-0575.170 | Đường TLT 46
P=2001 | X=0423.530-0440.170 | Y=0565.810-0575.130 | 252
P=2001 | X=0464.570-0481.210 | Y=0565.810-0575.130 | 202
P=2001 | X=0505.390-0522.030 | Y=0565.810-0575.130 | 141
P=2001 | X=0090.020-0173.630 | Y=0581.930-0593.170 | 163 Đường TLT 49
P=2001 | X=0187.030-0253.330 | Y=0581.930-0593.170 | Đường TLT 73
P=2001 | X=0308.760-0375.060 | Y=0581.930-0593.170 | Đường TLT 51
P=2001 | X=0423.530-0440.170 | Y=0583.810-0593.130 | 252
P=2001 | X=0464.570-0481.210 | Y=0583.810-0593.130 | 202
P=2001 | X=0505.390-0522.030 | Y=0583.810-0593.130 | 141
P=2001 | X=0308.760-0400.510 | Y=0599.930-0611.170 | Đường TLT 32, ranh
P=2001 | X=0090.020-0173.630 | Y=0605.690-0616.930 | 164 Đường TLT 50
P=2001 | X=0187.030-0253.330 | Y=0605.690-0616.930 | Đường TLT 46
P=2001 | X=0423.530-0440.170 | Y=0607.570-0616.890 | 252
P=2001 | X=0464.570-0481.210 | Y=0607.570-0616.890 | 202
P=2001 | X=0505.390-0522.030 | Y=0607.570-0616.890 | 141
P=2001 | X=0308.760-0371.230 | Y=0613.330-0622.650 | xã Thanh Phú
P=2001 | X=0308.760-0375.060 | Y=0629.470-0640.710 | Đường TLT 49
P=2001 | X=0090.020-0173.630 | Y=0640.990-0652.230 | 165 Đường TLT 51
P=2001 | X=0187.030-0253.330 | Y=0640.990-0652.230 | Đường TLT 31
P=2001 | X=0308.760-0386.870 | Y=0640.990-0652.230 | (nông trường cao
P=2001 | X=0423.530-0440.170 | Y=0642.870-0652.190 | 252
P=2001 | X=0464.570-0481.210 | Y=0642.870-0652.190 | 202
P=2001 | X=0505.390-0522.030 | Y=0642.870-0652.190 | 141
P=2001 | X=0308.760-0322.440 | Y=0654.150-0663.470 | su)
P=2001 | X=0090.020-0173.630 | Y=0670.270-0681.510 | 166 Đường TLT 52
P=2001 | X=0187.030-0253.330 | Y=0670.270-0681.510 | Đường TLT 36
P=2001 | X=0308.760-0370.030 | Y=0672.150-0681.470 | Suối Tà Nùng
P=2001 | X=0423.530-0440.170 | Y=0672.150-0681.470 | 252
P=2001 | X=0464.570-0481.210 | Y=0672.150-0681.470 | 202
P=2001 | X=0505.390-0522.030 | Y=0672.150-0681.470 | 141
P=2001 | X=0308.760-0397.240 | Y=0688.270-0699.510 | Thửa đất số 526, tờ
P=2001 | X=0090.020-0173.630 | Y=0694.030-0705.270 | 167 Đường TLT 53
P=2001 | X=0187.030-0247.800 | Y=0694.030-0705.270 | Đường TLT 2
P=2001 | X=0423.530-0440.170 | Y=0695.910-0705.230 | 252
P=2001 | X=0464.570-0481.210 | Y=0695.910-0705.230 | 202
P=2001 | X=0505.390-0522.030 | Y=0695.910-0705.230 | 141
P=2001 | X=0308.760-0366.460 | Y=0699.810-0711.050 | bản đồ số 04
P=2002 | X=0308.760-0391.420 | Y=0080.620-0089.940 | Suối cạn (hết thửa
P=2002 | X=0187.030-0307.160 | Y=0084.500-0095.740 | Đường sắt (tờ BĐ 60, thửa
P=2002 | X=0090.020-0173.630 | Y=0090.260-0101.500 | 168 Đường TLT 54
P=2002 | X=0308.760-0398.390 | Y=0090.260-0101.500 | đất số 57, tờ bản đồ
P=2002 | X=0423.530-0440.170 | Y=0092.140-0101.460 | 252
P=2002 | X=0464.570-0481.210 | Y=0092.140-0101.460 | 202
P=2002 | X=0505.390-0522.030 | Y=0092.140-0101.460 | 141
P=2002 | X=0187.030-0201.430 | Y=0097.900-0107.220 | 67)
P=2002 | X=0308.760-0336.360 | Y=0103.660-0112.980 | số 60)
P=2002 | X=0090.020-0173.630 | Y=0119.810-0131.050 | 169 Đường TLT 55
P=2002 | X=0187.030-0253.330 | Y=0119.810-0131.050 | Đường TLT 46
P=2002 | X=0308.760-0392.300 | Y=0119.810-0131.050 | Ranh xã Minh Đức
P=2002 | X=0423.530-0440.170 | Y=0121.690-0131.010 | 252
P=2002 | X=0464.570-0481.210 | Y=0121.690-0131.010 | 202
P=2002 | X=0505.390-0522.030 | Y=0121.690-0131.010 | 141
P=2002 | X=0090.020-0173.630 | Y=0137.810-0149.050 | 170 Đường TLT 56
P=2002 | X=0187.030-0253.330 | Y=0137.810-0149.050 | Đường TLT 55
