TABLE=089 | AREA=Xã Phú Nghĩa | SECTION=agricultural | SEGMENTS=1
P=2122 | X=0107.330-0261.390 | Y=0318.820-0330.060 | Đường nhựa vào số 157, thửa đất
P=2122 | X=0092.900-0104.020 | Y=0326.460-0335.780 | 99
P=2122 | X=0273.460-0322.050 | Y=0326.460-0335.780 | Dốc 3 tầng
P=2122 | X=0384.620-0401.260 | Y=0326.460-0335.780 | 112
P=2122 | X=0432.650-0443.770 | Y=0326.460-0335.780 | 90
P=2122 | X=0474.890-0486.010 | Y=0326.460-0335.780 | 72
P=2122 | X=0511.150-0522.270 | Y=0326.460-0335.780 | 49
P=2122 | X=0107.330-0154.220 | Y=0332.220-0341.540 | dốc 3 tầng
P=2122 | X=0188.470-0257.990 | Y=0332.220-0341.540 | số 145 thuộc tờ
P=2122 | X=0188.470-0246.180 | Y=0341.860-0353.100 | bản đồ số 11
P=2122 | X=0107.330-0182.540 | Y=0359.860-0371.100 | Đường vào đội 3
P=2122 | X=0188.470-0255.750 | Y=0365.640-0376.880 | Đường ĐT 741
P=2122 | X=0090.020-0106.660 | Y=0367.520-0376.840 | 100
P=2122 | X=0273.460-0316.530 | Y=0367.520-0376.840 | Hết tuyến
P=2122 | X=0384.620-0401.260 | Y=0367.520-0376.840 | 112
P=2122 | X=0432.650-0443.770 | Y=0367.520-0376.840 | 90
P=2122 | X=0474.890-0486.010 | Y=0367.520-0376.840 | 72
P=2122 | X=0511.150-0522.270 | Y=0367.520-0376.840 | 49
P=2122 | X=0107.330-0184.210 | Y=0373.280-0382.600 | thôn Khắc Khoan
P=2122 | X=0107.330-0356.120 | Y=0389.400-0400.640 | Đường nhựa thôn Thửa đất số 240, Hết tuyến (ranh xã
P=2122 | X=0090.020-0106.660 | Y=0397.040-0406.360 | 101
P=2122 | X=0384.620-0401.260 | Y=0397.040-0406.360 | 112
P=2122 | X=0432.650-0443.770 | Y=0397.040-0406.360 | 90
P=2122 | X=0474.890-0486.010 | Y=0397.040-0406.360 | 72
P=2122 | X=0511.150-0522.270 | Y=0397.040-0406.360 | 49
P=2122 | X=0107.330-0154.680 | Y=0400.920-0412.160 | Phú Nghĩa
P=2122 | X=0188.470-0335.360 | Y=0400.920-0412.160 | tờ bản đồ số 16 Phú Văn (cũ))
P=2122 | X=0107.330-0185.440 | Y=0418.920-0430.160 | Các tuyến đường
P=2122 | X=0090.020-0238.740 | Y=0432.080-0441.400 | 102 nội bộ khu A23, Toàn tuyến
P=2122 | X=0384.620-0401.260 | Y=0432.080-0441.400 | 112
P=2122 | X=0432.650-0443.770 | Y=0432.080-0441.400 | 90
P=2122 | X=0474.890-0486.010 | Y=0432.080-0441.400 | 72
P=2122 | X=0511.150-0522.270 | Y=0432.080-0441.400 | 49
P=2122 | X=0107.330-0125.170 | Y=0443.600-0452.920 | A24
P=2122 | X=0107.330-0165.740 | Y=0459.740-0470.980 | Đường D15a
P=2122 | X=0090.020-0174.870 | Y=0471.260-0482.500 | 103 (Sau lưng Điện
P=2122 | X=0188.470-0238.740 | Y=0473.140-0482.460 | Toàn tuyến
P=2122 | X=0384.620-0401.260 | Y=0473.140-0482.460 | 112
P=2122 | X=0432.650-0443.770 | Y=0473.140-0482.460 | 90
P=2122 | X=0474.890-0486.010 | Y=0473.140-0482.460 | 72
P=2122 | X=0511.150-0522.270 | Y=0473.140-0482.460 | 49
P=2122 | X=0107.330-0124.850 | Y=0484.660-0493.980 | lực)
P=2122 | X=0107.330-0184.220 | Y=0500.780-0512.020 | Đường N13 (Khu
P=2122 | X=0273.460-0347.490 | Y=0506.540-0517.780 | Tiếp giáp đường
P=2122 | X=0090.020-0255.750 | Y=0512.300-0523.540 | 104 Trung tâm hành Đường ĐT 741
P=2122 | X=0384.620-0401.260 | Y=0514.180-0523.500 | 112
P=2122 | X=0432.650-0443.770 | Y=0514.180-0523.500 | 90
P=2122 | X=0474.890-0486.010 | Y=0514.180-0523.500 | 72
P=2122 | X=0511.150-0522.270 | Y=0514.180-0523.500 | 49
P=2122 | X=0273.460-0356.250 | Y=0518.060-0529.300 | vành đai trung tâm
P=2122 | X=0107.330-0185.320 | Y=0523.820-0535.060 | chính huyện (cũ))
P=2122 | X=0107.330-0165.170 | Y=0541.850-0553.090 | Đường D15c
P=2122 | X=0107.330-0176.910 | Y=0555.250-0564.570 | (Khu Trung tâm
P=2122 | X=0090.020-0106.660 | Y=0561.010-0570.330 | 105
P=2122 | X=0188.470-0238.740 | Y=0561.010-0570.330 | Toàn tuyến
P=2122 | X=0384.620-0401.260 | Y=0561.010-0570.330 | 112
P=2122 | X=0432.650-0443.770 | Y=0561.010-0570.330 | 90
P=2122 | X=0474.890-0486.010 | Y=0561.010-0570.330 | 72
P=2122 | X=0511.150-0522.270 | Y=0561.010-0570.330 | 49
P=2122 | X=0107.330-0186.880 | Y=0566.770-0576.090 | hành chính huyện
P=2122 | X=0107.330-0127.960 | Y=0576.410-0587.650 | (cũ))
P=2122 | X=0107.330-0165.740 | Y=0594.410-0605.650 | Đường N13a
P=2122 | X=0107.330-0176.910 | Y=0607.810-0617.130 | (Khu Trung tâm
P=2122 | X=0090.020-0106.660 | Y=0613.570-0622.890 | 106
P=2122 | X=0188.470-0238.740 | Y=0613.570-0622.890 | Toàn tuyến
P=2122 | X=0384.620-0401.260 | Y=0613.570-0622.890 | 112
P=2122 | X=0432.650-0443.770 | Y=0613.570-0622.890 | 90
P=2122 | X=0474.890-0486.010 | Y=0613.570-0622.890 | 72
P=2122 | X=0511.150-0522.270 | Y=0613.570-0622.890 | 49
P=2122 | X=0107.330-0186.880 | Y=0619.350-0628.670 | hành chính huyện
P=2122 | X=0107.330-0127.960 | Y=0628.750-0639.990 | (cũ))
P=2122 | X=0107.330-0165.740 | Y=0646.750-0657.990 | Đường D15b
P=2122 | X=0107.330-0176.910 | Y=0660.150-0669.470 | (Khu Trung tâm
P=2122 | X=0090.020-0106.660 | Y=0665.910-0675.230 | 107
P=2122 | X=0188.470-0238.740 | Y=0665.910-0675.230 | Toàn tuyến
P=2122 | X=0384.620-0401.260 | Y=0665.910-0675.230 | 112
P=2122 | X=0432.650-0443.770 | Y=0665.910-0675.230 | 90
P=2122 | X=0474.890-0486.010 | Y=0665.910-0675.230 | 72
P=2122 | X=0511.150-0522.270 | Y=0665.910-0675.230 | 49
P=2122 | X=0107.330-0186.880 | Y=0671.670-0680.990 | hành chính huyện
P=2122 | X=0107.330-0127.960 | Y=0681.310-0692.550 | (cũ))
P=2122 | X=0090.020-0165.740 | Y=0699.310-0710.550 | 108 Đường N13b
P=2122 | X=0188.470-0238.740 | Y=0701.190-0710.510 | Toàn tuyến
P=2122 | X=0384.620-0401.260 | Y=0701.190-0710.510 | 112
P=2122 | X=0432.650-0443.770 | Y=0701.190-0710.510 | 90
P=2122 | X=0474.890-0486.010 | Y=0701.190-0710.510 | 72
P=2122 | X=0511.150-0522.270 | Y=0701.190-0710.510 | 49
P=2123 | X=0107.330-0176.910 | Y=0074.620-0083.940 | (Khu Trung tâm
P=2123 | X=0107.330-0186.880 | Y=0086.140-0095.460 | hành chính huyện
P=2123 | X=0107.330-0127.960 | Y=0095.780-0107.020 | (cũ))
P=2123 | X=0107.330-0165.170 | Y=0113.780-0125.020 | Đường N13c
P=2123 | X=0107.330-0176.910 | Y=0127.210-0136.530 | (Khu Trung tâm
P=2123 | X=0090.020-0106.660 | Y=0132.970-0142.290 | 109
P=2123 | X=0188.470-0238.740 | Y=0132.970-0142.290 | Toàn tuyến
P=2123 | X=0384.620-0401.260 | Y=0132.970-0142.290 | 112
P=2123 | X=0432.650-0443.770 | Y=0132.970-0142.290 | 90
P=2123 | X=0474.890-0486.010 | Y=0132.970-0142.290 | 72
P=2123 | X=0511.150-0522.270 | Y=0132.970-0142.290 | 49
P=2123 | X=0107.330-0186.880 | Y=0138.730-0148.050 | hành chính huyện
P=2123 | X=0107.330-0127.960 | Y=0148.370-0159.610 | (cũ))
P=2123 | X=0107.330-0165.740 | Y=0166.370-0177.610 | Đường N14a
P=2123 | X=0107.330-0176.910 | Y=0179.530-0188.850 | (Khu Trung tâm
P=2123 | X=0090.020-0106.660 | Y=0185.290-0194.610 | 110
P=2123 | X=0188.470-0238.740 | Y=0185.290-0194.610 | Toàn tuyến
P=2123 | X=0384.620-0401.260 | Y=0185.290-0194.610 | 112
P=2123 | X=0432.650-0443.770 | Y=0185.290-0194.610 | 90
P=2123 | X=0474.890-0486.010 | Y=0185.290-0194.610 | 72
P=2123 | X=0511.150-0522.270 | Y=0185.290-0194.610 | 49
P=2123 | X=0107.330-0186.880 | Y=0191.050-0200.370 | hành chính huyện
P=2123 | X=0107.330-0127.960 | Y=0200.710-0211.950 | (cũ))
P=2123 | X=0107.330-0184.220 | Y=0218.710-0229.950 | Đường D13 (Khu
P=2123 | X=0090.020-0238.740 | Y=0232.110-0241.430 | 111 Trung tâm hành Toàn tuyến
P=2123 | X=0384.620-0401.260 | Y=0232.110-0241.430 | 112
P=2123 | X=0432.650-0443.770 | Y=0232.110-0241.430 | 90
P=2123 | X=0474.890-0486.010 | Y=0232.110-0241.430 | 72
P=2123 | X=0511.150-0522.270 | Y=0232.110-0241.430 | 49
P=2123 | X=0107.330-0185.320 | Y=0241.750-0252.990 | chính huyện (cũ))
P=2123 | X=0107.330-0165.740 | Y=0259.750-0270.990 | Đường D10a
P=2123 | X=0107.330-0176.910 | Y=0273.150-0282.470 | (Khu Trung tâm
P=2123 | X=0090.020-0106.660 | Y=0278.910-0288.230 | 112
P=2123 | X=0188.470-0238.740 | Y=0278.910-0288.230 | Toàn tuyến
P=2123 | X=0384.620-0401.260 | Y=0278.910-0288.230 | 112
P=2123 | X=0432.650-0443.770 | Y=0278.910-0288.230 | 90
P=2123 | X=0474.890-0486.010 | Y=0278.910-0288.230 | 72
P=2123 | X=0511.150-0522.270 | Y=0278.910-0288.230 | 49
P=2123 | X=0107.330-0186.880 | Y=0284.700-0294.020 | hành chính huyện
P=2123 | X=0107.330-0127.960 | Y=0294.340-0305.580 | (cũ))
P=2123 | X=0107.330-0165.740 | Y=0312.340-0323.580 | Đường D10b
P=2123 | X=0107.330-0176.910 | Y=0325.740-0335.060 | (Khu Trung tâm
P=2123 | X=0090.020-0106.660 | Y=0331.500-0340.820 | 113
P=2123 | X=0188.470-0238.740 | Y=0331.500-0340.820 | Toàn tuyến
P=2123 | X=0384.620-0401.260 | Y=0331.500-0340.820 | 112
P=2123 | X=0432.650-0443.770 | Y=0331.500-0340.820 | 90
P=2123 | X=0474.890-0486.010 | Y=0331.500-0340.820 | 72
P=2123 | X=0511.150-0522.270 | Y=0331.500-0340.820 | 49
P=2123 | X=0107.330-0186.880 | Y=0337.260-0346.580 | hành chính huyện
P=2123 | X=0107.330-0127.960 | Y=0346.900-0358.140 | (cũ))
P=2123 | X=0107.330-0185.440 | Y=0364.900-0376.140 | Các tuyến đường
P=2123 | X=0090.020-0169.800 | Y=0378.080-0387.400 | 114 nhựa, bê tông
P=2123 | X=0188.470-0238.740 | Y=0378.080-0387.400 | Toàn tuyến
P=2123 | X=0384.620-0401.260 | Y=0378.080-0387.400 | 112
P=2123 | X=0432.650-0443.770 | Y=0378.080-0387.400 | 90
P=2123 | X=0474.890-0486.010 | Y=0378.080-0387.400 | 72
P=2123 | X=0511.150-0522.270 | Y=0378.080-0387.400 | 49
P=2123 | X=0107.330-0136.210 | Y=0389.600-0398.920 | còn lại
P=2123 | X=0107.330-0185.440 | Y=0405.720-0416.960 | Các tuyến đường
P=2123 | X=0090.020-0106.660 | Y=0413.360-0422.680 | 115
P=2123 | X=0188.470-0238.740 | Y=0413.360-0422.680 | Toàn tuyến
P=2123 | X=0390.380-0401.500 | Y=0413.360-0422.680 | 60
P=2123 | X=0432.650-0443.770 | Y=0413.360-0422.680 | 48
P=2123 | X=0474.890-0486.010 | Y=0413.360-0422.680 | 38
P=2123 | X=0511.150-0522.270 | Y=0413.360-0422.680 | 38
P=2123 | X=0107.330-0136.210 | Y=0419.120-0428.440 | còn lại
